,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
266,2024-02-14 02:57:00,144.485,144.52,144.52,144.445,31795,1707850620,1.0,,,,,,,,,,12.592442917940282,4.240860285532548,0.1520714285714299,16.701792087392306,-71.7990564435025,1,0,50008.189999999995,144.485:346.0;,144.485:346.0;,,0.0,144.485;
268,2024-02-14 02:59:00,144.492,144.475,144.512,144.475,27247,1707850740,,,,,,,,,,,9.864789905302509,4.240860285532548,0.1520714285714299,16.701792087392306,-67.09305107657501,0,0,100002.42199999999,,,144.492:346.0;,2.421999999991897,
288,2024-02-14 03:19:00,144.02,144.1,144.1,144.02,25172,1707851940,,,,,1.0,,,,,,0.966173369945043,-5.369483532115034,0.1592857142857155,11.084854760311202,-60.43092367882285,1,0,50027.48199999999,144.02:347.0;,144.02:347.0;,,0.0,144.02;
294,2024-02-14 03:25:00,144.125,144.205,144.215,144.125,30168,1707852300,,,,,,,,,,,18.974328382780552,-5.8956165647371535,0.1650000000000001,11.084854760311202,81.62046136437608,0,0,100038.85699999999,,,144.125:347.0;,36.43499999999645,
350,2024-02-14 04:21:00,143.6,143.575,143.61,143.575,54880,1707855660,,,,,,,,,1.0,,-8.426557370630128,-5.944395380345767,0.2188571428571423,-1.046820593956312,-76.42842599832545,1,0,50066.05699999999,143.6:348.0;,143.6:348.0;,,0.0,143.6;
352,2024-02-14 04:23:00,143.562,143.51,143.61,143.51,53180,1707855780,,,,,,,,,,,-9.17023680666808,-5.944395380345767,0.2188571428571423,-1.046820593956312,-73.13429866714107,0,0,100025.633,,,143.562:348.0;,-13.223999999993907,
199,2024-02-17 01:50:00,140.295,140.335,140.342,140.291,81001,1708105800,,,,,1.0,,,,,,-8.927973038926275,0.8751372147446119,0.1803571428571493,11.277941302728706,-74.9308758350959,1,0,50080.613000000005,140.295:356.0;,140.295:356.0;,,0.0,140.295;
207,2024-02-17 01:58:00,140.493,140.42,140.51,140.42,41201,1708106280,,,,,,,,,,,19.094533164623307,0.7588180774787929,0.1892857142857187,11.277941302728706,69.34958097639658,0,0,100096.12100000001,,,140.493:356.0;,70.48800000000267,
193,2024-02-27 01:44:00,137.87,137.955,137.955,137.855,122560,1708969440,,,,,1.0,,,,,,-4.466460061345128,-12.026655910056412,0.189785714285713,9.80566020028104,-75.5160145380982,1,0,50049.31100000001,137.87:363.0;,137.87:363.0;,,0.0,137.87;
196,2024-02-27 01:47:00,137.945,137.99,137.99,137.945,53124,1708969620,,,,,,,,,,,2.589585524991815,-11.664054842331492,0.182785714285712,9.80566020028104,10.654901346923412,0,0,100123.346,,,137.945:363.0;,27.224999999995873,
190,2024-02-28 01:41:00,137.08,137.045,137.1,137.045,80292,1709055660,1.0,,,,,,,,,,5.828313098232908,15.16701591067769,0.1549285714285641,-22.36476598004677,-73.5537306889651,1,0,50089.146,137.08:365.0;,137.08:365.0;,,0.0,137.08;
191,2024-02-28 01:42:00,137.04,136.99,137.042,136.99,109704,1709055720,,,,,,,,,,,3.9796205104516,15.16701591067769,0.1549285714285641,-22.36476598004677,-73.4020750609944,0,0,100108.746,,,137.04:365.0;,-14.60000000000747,
349,2024-04-05 03:20:00,151.404,151.33,151.41,151.33,65078,1712258400,,,,,,,,,1.0,,2.249028216379063,-2.563093171054433,0.3407142857142884,19.379347411352484,-76.47888370161164,1,0,50145.426,151.404:330.0;,151.404:330.0;,,0.0,151.404;
351,2024-04-05 03:22:00,151.36,151.23,151.36,151.23,225496,1712258520,,,,,,,,,,,2.722154850109145,-2.563093171054433,0.3407142857142884,19.379347411352484,-53.47402610215463,0,0,100094.226,,,151.36:330.0;,-14.519999999994297,
373,2024-04-05 03:44:00,150.75,150.685,150.75,150.685,50684,1712259840,,,,,,,1.0,,,,5.38552082717516,-10.12925683246803,0.3149285714285729,11.762091318393118,-24.28386475020385,1,0,50045.225999999995,150.75:332.0;,150.75:332.0;,,0.0,150.75;
374,2024-04-05 03:45:00,150.68,150.695,150.73,150.665,101890,1712259900,,,,,,,,,,,4.699479120802639,-11.66589311889132,0.3081428571428586,11.762091318393118,-59.34365405610762,0,0,100070.986,,,150.68:332.0;,-23.239999999997735,
69,2024-04-16 22:40:00,153.455,153.36,153.455,153.34,56050,1713278400,1.0,,,,,,,,,,-14.980429490021336,9.934505942590413,0.4993571428571418,6.796343885996564,-77.90315910065662,1,0,50044.656,153.455:326.0;,153.455:326.0;,,0.0,153.455;
71,2024-04-16 22:42:00,153.32,153.4,153.4,153.28,180931,1713278520,,,,,,,,,,,-18.673027603521376,9.934505942590413,0.4993571428571418,6.796343885996564,-78.54353883082712,0,0,100026.976,,,153.32:326.0;,-44.0100000000063,
256,2024-05-11 01:47:00,166.27,166.145,166.27,166.145,49796,1715363220,,,,,1.0,,,,,,-7.767574004960714,-10.9566748831935,0.2043571428571421,4.715063176366257,-75.26685307524436,1,0,50145.975999999995,166.27:300.0;,166.27:300.0;,,0.0,166.27;
257,2024-05-11 01:48:00,166.16,165.995,166.18,165.995,67051,1715363280,,,,,,,,,,,-7.990791133319274,-10.9566748831935,0.2043571428571421,4.715063176366257,-76.7627196732357,0,0,99993.976,,,166.16:300.0;,-33.00000000000409,
216,2024-05-24 01:07:00,174.72,174.73,174.76,174.71,13256,1716484020,,,,,1.0,,,,,,-7.684516909206813,-2.867228585351484,0.1748571428571454,-0.8793647276878573,-73.68849917058773,1,0,50024.056,174.72:286.0;,174.72:286.0;,,0.0,174.72;
218,2024-05-24 01:09:00,174.64,174.64,174.675,174.64,26062,1716484140,,,,,,,,,,,-8.151445230865058,-2.867228585351484,0.1748571428571454,-0.8793647276878573,-76.2364974024108,0,0,99971.09599999999,,,174.64:286.0;,-22.880000000003577,
251,2024-05-24 01:42:00,174.25,174.215,174.25,174.12,20055,1716486120,,,,,,,1.0,,1.0,,8.330208129969787,-10.3339546951268,0.2195000000000046,-4.536258622138007,-67.6306185659404,1,0,50135.59599999999,174.25:286.0;,174.25:286.0;,,0.0,174.25;
252,2024-05-24 01:43:00,174.2,174.175,174.2,174.15,23898,1716486180,,,,,,,,,,,8.543941839269515,-10.3339546951268,0.2195000000000046,-4.536258622138007,-60.81686331069921,0,0,99956.79599999999,,,174.2:286.0;,-14.300000000003251,
14,2024-05-31 21:45:00,171.43,171.42,171.43,171.35,39532,1717163100,1.0,,,,,,,,,,17.372355643652256,15.599797685110282,0.461428571428572,-9.1607205757511,-71.59020362187879,1,0,50070.66599999998,171.43:291.0;,171.43:291.0;,,0.0,171.43;
