,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
162,2024-02-22 01:13:00,67.26,66.873,67.26,66.873,446910.0,1708535580,,,,,1.0,,,,1.0,,-4.374917023570433,-2.943692081228761,0.1902142857142854,-24.050398150832805,-74.92903519895167,1,0,50025.82,67.26:743.0;,67.26:743.0;,,0.0,67.26;
163,2024-02-22 01:14:00,66.935,66.789,66.943,66.729,449670.0,1708535640,,,,,,,,,,,-5.582462427795932,-2.943692081228761,0.1902142857142854,-24.050398150832805,-76.57756267689861,0,0,99758.525,,,66.935:743.0;,-241.47500000000213,
165,2024-02-22 01:16:00,66.785,66.926,66.951,66.785,208172.0,1708535760,,,,,,,1.0,,,,-5.566727128218041,-5.103984673540751,0.2309999999999996,-24.050398150832805,-76.78625775087053,1,0,49803.344999999994,66.785:748.0;,66.785:748.0;,,0.0,66.785;
168,2024-02-22 01:19:00,66.786,66.712,66.81,66.618,299128.0,1708535940,,,,,,,,,,,-5.108801858448963,-5.103984673540751,0.2309999999999996,-24.050398150832805,-72.1556797375427,0,0,99759.27299999999,,,66.786:748.0;,0.7480000000035716,
6,2024-03-12 21:37:00,87.316,87.433,87.433,87.278,281136.0,1710250620,1.0,,,,,,,,,,82.74198690488532,17.256769401324178,0.5512142857142877,6.329686221027529,78.98799689707874,1,0,49901.836999999985,87.316:571.0;,87.316:571.0;,,0.0,87.316;
13,2024-03-12 21:44:00,87.227,86.69,87.227,86.69,476823.0,1710251040,,,,,,,,,,,84.50353582083366,26.288824746424005,0.5533571428571459,6.329686221027529,70.15398014743153,0,0,99708.454,,,87.227:571.0;,-50.81899999999922,
9,2024-04-05 21:40:00,86.308,86.107,86.308,86.107,250817.0,1712324400,1.0,,,,,,,,,,66.89400494143759,-2.6901099227218594,0.5037857142857172,19.821612042872037,74.6215740305617,1,0,49908.73799999999,86.308:577.0;,86.308:577.0;,,0.0,86.308;
10,2024-04-05 21:41:00,86.073,86.26,86.26,86.052,306725.0,1712324460,,,,,,,,,,,64.76021259184796,-2.6901099227218594,0.5037857142857172,19.821612042872037,64.1938270221642,0,0,99572.859,,,86.073:577.0;,-135.59500000000787,
351,2024-04-16 03:22:00,86.249,86.359,86.359,86.233,110952.0,1713208920,,,1.0,,,,,,,,-6.029414158339279,-4.305248141255724,0.2406428571428601,17.947093001435064,-73.10296085408216,1,0,49807.186,86.249:577.0;,86.249:577.0;,,0.0,86.249;
357,2024-04-16 03:28:00,86.237,86.215,86.262,86.201,62312.0,1713209280,,,,,,,,,,,0.9492798344623524,-4.46388463366187,0.2405714285714322,17.947093001435064,-55.69529366359977,0,0,99565.935,,,86.237:577.0;,-6.924000000000262,
198,2024-04-18 00:49:00,84.555,84.663,84.663,84.555,128460.0,1713372540,,,1.0,,,,,,,,6.430896116484519,-15.751694951601516,0.2782857142857163,12.066991609810673,-72.77590019470226,1,0,49847.594999999994,84.555:588.0;,84.555:588.0;,,0.0,84.555;
210,2024-04-18 01:01:00,84.649,84.717,84.731,84.649,123740.0,1713373260,,,,,,,,,,,42.064474758788826,-12.613446999743104,0.2812857142857154,8.211060027789003,75.8019664178393,0,0,99621.207,,,84.649:588.0;,55.271999999996524,
8,2024-04-18 21:39:00,83.52,83.02,83.52,83.02,452798.0,1713447540,1.0,,,,,,,,1.0,,13.026996965823116,16.62140427822284,0.671999999999999,4.39544766459391,-75.48830199919814,1,0,49843.287,83.52:596.0;,83.52:596.0;,,0.0,83.52;
9,2024-04-18 21:40:00,82.905,82.604,82.905,82.604,912061.0,1713447600,,,,,,,,,,,9.256743450533603,12.839730020471784,0.7764285714285707,4.39544766459391,-76.88601574150636,0,0,99254.66699999999,,,82.905:596.0;,-366.53999999999695,
11,2024-04-18 21:42:00,82.981,83.286,83.286,82.944,417055.0,1713447720,,,,,,,1.0,,,,6.912949822426299,12.839730020471784,0.7764285714285707,4.39544766459391,-76.00061361581865,1,0,49466.06699999999,82.981:600.0;,82.981:600.0;,,0.0,82.981;
18,2024-04-18 21:49:00,84.187,84.563,84.563,84.165,347333.0,1713448140,,1.0,,,,,,,,,21.207148134477208,14.226570340392025,0.8437142857142855,4.39544766459391,75.81348313310451,0,1,74722.16699999999,82.981:300.0;,,84.187:300;,361.8000000000009,84.35;
22,2024-04-18 21:53:00,84.259,84.443,84.572,84.259,236233.0,1713448380,,,,,,,,,,,30.87859368001567,18.55795151962122,0.8925714285714282,4.39544766459391,77.30404584257923,0,0,99999.86699999998,,,84.259:300.0;,383.40000000000174,
278,2024-04-20 02:09:00,79.277,79.044,79.277,79.033,294208.0,1713550140,,,,,1.0,,,,,,-0.2201610327057395,0.1166044841711055,0.3509285714285722,14.00116955703376,-60.38356990910549,1,0,50055.35699999998,79.277:630.0;,79.277:630.0;,,0.0,79.277;
279,2024-04-20 02:10:00,78.996,78.933,79.122,78.933,216988.0,1713550200,,,,,,,,,,,1.7383891985196414,0.8186652268337333,0.3930000000000007,14.00116955703376,-40.36790447929824,0,0,99822.83699999997,,,78.996:630.0;,-177.03000000000372,
