,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
89,2024-03-09 00:00:00,112.602,112.54,112.602,112.49,50709.0,5708480.0,1709913600,,,,,,,1.0,,,,6.13959222264495,-16.254114218518147,0.4139999999999994,18.218470853736875,-45.24084396849253,1,0,50004.712,112.602:444.0;,112.602:444.0;,,0.0,112.602;
91,2024-03-09 00:02:00,112.31,112.28,112.31,112.19,45395.0,5097472.0,1709913720,,,,,,,,,,,4.346080192774345,-16.254114218518147,0.4139999999999994,18.218470853736875,-61.90919739527072,0,0,99870.352,,,112.31:444.0;,-129.6480000000007,
109,2024-03-09 00:20:00,111.05,110.99,111.135,110.99,76996.0,8557056.0,1709914800,,,,,1.0,,,,,,1.0906081705879451,-17.62936090082942,0.4751428571428562,18.218470853736875,-51.06762338282434,1,0,49897.852,111.05:450.0;,111.05:450.0;,,0.0,111.05;
114,2024-03-09 00:25:00,110.87,110.89,110.975,110.87,36240.0,4019008.0,1709915100,,,,,,,,,,,2.6346275083904267,-17.526903337654304,0.4533571428571414,18.218470853736875,-43.991006229503,0,0,99789.352,,,110.87:450.0;,-80.99999999999667,
176,2024-03-09 01:27:00,108.96,108.96,109.01,108.95,76446.0,8329088.0,1709918820,,,1.0,,,,,,,,-1.461298191755937,-12.677954543694714,0.445214285714285,9.963905836566228,-75.8905223308882,1,0,49885.672,108.96:458.0;,108.96:458.0;,,0.0,108.96;
178,2024-03-09 01:29:00,109.4,109.97,109.97,109.4,28502.0,3122624.0,1709918940,,,,,1.0,,,,,,8.655840225735684,-12.677954543694714,0.445214285714285,9.963905836566228,-0.9294539403364552,1,0,108.67199999999866,108.96:458.0;109.4:455.0;,109.4:455.0;,,0.0,109.4;109.4;
181,2024-03-09 01:32:00,110.17,110.01,110.31,110.01,33353.0,3674240.0,1709919120,,,,,,,,,,,30.83269893116285,-10.037995951189725,0.4920714285714282,8.105821480041584,87.28443505570014,0,0,100693.88199999998,,,110.17:458.0;110.17:455.0;,904.5300000000019,
245,2024-03-22 01:36:00,123.68,123.69,123.72,123.68,33090.0,4095232.0,1711042560,,,,,,,1.0,,,,-19.79777068027726,-1.971435652181043,0.3204999999999996,-7.048495879329067,-77.60204508416766,1,0,50356.12199999998,123.68:407.0;,123.68:407.0;,,0.0,123.68;
249,2024-03-22 01:40:00,123.55,123.46,123.55,123.44,34215.0,4224768.0,1711042800,,,,,,,,,,,-20.95688762494369,-3.318105826235545,0.3097857142857145,-7.048495879329067,-78.18060495646723,0,0,100640.97199999998,,,123.55:407.0;,-52.91000000000393,
255,2024-03-22 01:46:00,123.3,123.08,123.32,123.08,38305.0,4719232.0,1711043160,,,,,1.0,,,,,,-18.999341445030048,-3.898819991742848,0.328714285714286,-7.048495879329067,-77.4890273046395,1,0,50334.57199999998,123.3:408.0;,123.3:408.0;,,0.0,123.3;
256,2024-03-22 01:47:00,123.0,122.94,123.09,122.94,58218.0,7162240.0,1711043220,,,,,,,,,,,-19.141172248501704,-3.898819991742848,0.328714285714286,-7.048495879329067,-77.80412941583282,0,0,100518.57199999999,,,123.0:408.0;,-122.39999999999884,
269,2024-03-22 02:00:00,122.565,122.61,122.67,122.565,25055.0,3074304.0,1711044000,,,1.0,,,,,,,,-10.446326489191756,-5.585406619872245,0.3633571428571441,-9.672875378827245,-75.01861670996578,1,0,50266.921999999984,122.565:410.0;,122.565:410.0;,,0.0,122.565;
271,2024-03-22 02:02:00,122.39,122.14,122.431,122.14,44909.0,5493248.0,1711044120,,,,,,,,,,,-10.474803288099023,-5.585406619872245,0.3633571428571441,-9.672875378827245,-75.04844043394004,0,0,100446.82199999999,,,122.39:410.0;,-71.74999999999883,
13,2024-03-25 21:44:00,120.47,121.155,121.155,120.47,68918.0,8323008.0,1711374240,1.0,,,,,,,,1.0,,78.64468047135261,7.332224626122624,1.153499999999999,19.86932838012938,66.83040794909033,1,0,50331.30199999999,120.47:416.0;,120.47:416.0;,,0.0,120.47;
20,2024-03-25 21:51:00,120.2,120.375,120.375,120.2,66990.0,8058944.0,1711374660,,,,,,,,,,,74.69825627843053,20.42206720996944,1.2139999999999995,19.86932838012938,51.37878076514802,0,0,100334.502,,,120.2:416.0;,-112.31999999999834,
366,2024-04-13 03:37:00,115.45,115.53,115.53,115.45,31651.0,3654464.0,1712950620,,,,,1.0,,,,,,1.3874279390261748,-5.904968279552129,0.1892142857142837,0.9071436888007298,-72.98947226211295,1,0,50229.20199999999,115.45:434.0;,115.45:434.0;,,0.0,115.45;
368,2024-04-13 03:39:00,115.45,115.41,115.48,115.41,27368.0,3158080.0,1712950740,,,,,,,,,,,1.0681009098247785,-5.904968279552129,0.1892142857142837,0.9071436888007298,-44.84914317889218,0,0,100334.502,,,115.45:434.0;,0.0,
8,2024-04-15 21:39:00,114.895,114.92,115.1,114.895,45869.0,5273696.0,1713188340,1.0,,,,,,,,,,24.005346416640734,9.90163969040982,0.3637857142857135,-8.823049630686839,-64.98006727545935,1,0,50240.28199999999,114.895:436.0;,114.895:436.0;,,0.0,114.895;
10,2024-04-15 21:41:00,114.68,114.78,114.97,114.68,46472.0,5333960.0,1713188460,,,,,,,,,,,15.751301193647803,7.819600786710676,0.445928571428571,-8.823049630686839,-74.82166316652935,0,0,100240.76199999999,,,114.68:436.0;,-93.73999999999529,
13,2024-04-15 21:44:00,114.54,114.99,114.99,114.51,30306.0,3476592.0,1713188640,,,,,1.0,,,,,,14.015127955711831,7.819600786710676,0.445928571428571,-8.823049630686839,-71.91527557405887,1,0,50186.781999999985,114.54:437.0;,114.54:437.0;,,0.0,114.54;
17,2024-04-15 21:48:00,114.91,114.935,114.935,114.86,21095.0,2423288.0,1713188880,,,,,,,,,,,18.86546225915435,11.676262757727764,0.5137857142857142,-8.823049630686839,3.9627721687088577,0,0,100402.45199999999,,,114.91:437.0;,161.6899999999958,
