,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
279,2024-01-31 03:10:00,187.21,187.095,187.24,187.095,105724.0,19832832.0,1706641800,,,,,1.0,,1.0,,,,-20.034790313622125,-1.5836967186630275,0.2144285714285721,7.643299991694384,-75.52727040559336,1,0,50014.93,187.21:267.0;,187.21:267.0;,,0.0,187.21;
280,2024-01-31 03:11:00,187.11,187.105,187.19,187.105,114276.0,21432320.0,1706641860,,,,,,,,,,,-19.97122832463636,-1.5836967186630275,0.2144285714285721,7.643299991694384,-76.07625871533149,0,0,99973.3,,,187.11:267.0;,-26.699999999998482,
337,2024-02-13 04:08:00,186.612,186.65,186.68,186.612,40488.0,7552000.0,1707768480,1.0,,,,1.0,,,,,,-0.9798883209255536,6.785919375396965,0.1644999999999978,10.182809237326396,-58.16471543063449,1,0,50147.89600000001,186.612:267.0;,186.612:267.0;,,0.0,186.612;
355,2024-02-13 04:26:00,186.855,186.925,186.925,186.855,53244.0,9960960.0,1707769560,,,,,,,,,,,69.4712596748554,6.803267345469344,0.1679999999999982,10.182809237326396,79.98586541311887,0,0,100038.18100000001,,,186.855:267.0;,64.88099999999866,
7,2024-02-13 22:38:00,184.38,184.52,184.56,184.38,294513.0,54378112.0,1707835080,1.0,,,,,,,,,,7.262916510231179,13.99332350513837,0.343285714285709,0.65481207615953,-76.34221532719961,1,0,50071.201000000015,184.38:271.0;,184.38:271.0;,,0.0,184.38;
9,2024-02-13 22:40:00,184.364,184.16,184.364,184.16,279970.0,51626624.0,1707835200,,,,,,,,,,,-0.8201933347975512,10.8658190642549,0.3714999999999954,0.65481207615953,-75.11218310390068,0,0,100033.84500000002,,,184.364:271.0;,-4.335999999997597,
86,2024-02-14 23:57:00,183.135,183.03,183.135,183.02,111029.0,20373760.0,1707926220,1.0,,,,,,,,,,16.589547061492922,9.286304257946298,0.3517142857142862,8.64081395172456,-70.44436154316004,1,0,50037.99000000002,183.135:273.0;,183.135:273.0;,,0.0,183.135;
87,2024-02-14 23:58:00,182.99,183.022,183.12,182.99,119660.0,21963776.0,1707926280,,,,,,,,,,,14.77896683878675,9.286304257946298,0.3517142857142862,8.64081395172456,-68.06371592168847,0,0,99994.26000000002,,,182.99:273.0;,-39.584999999995034,
62,2024-03-05 23:33:00,169.67,169.61,169.67,169.47,325418.0,54920192.0,1709652780,1.0,,,,,,,,,,10.262505645127472,7.43774736906181,0.7860714285714323,8.201669735361186,-73.9005046707577,1,0,50111.28000000003,169.67:294.0;,169.67:294.0;,,0.0,169.67;
93,2024-03-06 00:04:00,169.98,169.931,169.98,169.931,151136.0,25246208.0,1709654640,,,,,,,,,,,90.46854804300406,-5.381248276295452,0.354142857142859,7.363722818066261,82.12214235060264,0,0,100085.40000000002,,,169.98:294.0;,91.14000000000067,
22,2024-03-06 22:53:00,168.97,169.2,169.2,168.97,218801.0,37030400.0,1709736780,1.0,,,,1.0,,,,,,-11.922413267914171,10.32124091353895,0.3942142857142861,3.467104397970033,-76.87830170077153,1,0,50070.28000000002,168.97:296.0;,168.97:296.0;,,0.0,168.97;
29,2024-03-06 23:00:00,169.51,169.51,169.51,169.4,302023.0,51278336.0,1709737200,,,,,,,,,,,9.850696581788632,14.468369241408787,0.4587857142857164,3.7401599766047,50.81549004277688,0,0,100245.24000000002,,,169.51:296.0;,159.83999999999764,
6,2024-03-22 21:37:00,170.62,170.695,170.695,170.565,347179.0,59332672.0,1711114620,1.0,,,,,,,,,,36.43574344165208,13.329423611773532,0.3422142857142916,-11.390425125810252,-68.35181662955529,1,0,50253.580000000016,170.62:293.0;,170.62:293.0;,,0.0,170.62;
8,2024-03-22 21:39:00,170.54,170.675,170.675,170.415,427075.0,72952384.0,1711114740,,,,,,,,,,,23.7920818392726,13.329423611773532,0.3422142857142916,-11.390425125810252,-74.99578428023537,0,0,100221.80000000002,,,170.54:293.0;,-23.440000000003664,
54,2024-04-19 22:25:00,164.8,164.73,164.81,164.73,163162.0,26926592.0,1713536700,1.0,,,,,,,,,,-4.52008686831363,7.526491537564716,0.500714285714283,3.876777666845836,-74.60097334819636,1,0,50122.60000000001,164.8:304.0;,164.8:304.0;,,0.0,164.8;
69,2024-04-19 22:40:00,164.93,164.96,165.0,164.93,156592.0,26028800.0,1713537600,,,,,,,,,,,71.15779381557786,8.109749776249501,0.4593571428571396,3.973435640591244,63.502070520135234,0,0,100261.32,,,164.93:304.0;,39.51999999999862,
151,2024-04-20 00:02:00,164.35,164.405,164.415,164.35,85928.0,14141952.0,1713542520,,,,,1.0,,,,,,1.1135594348318918,-0.8761545015851624,0.2265714285714263,3.343465980594296,-69.81053912754577,1,0,50298.920000000006,164.35:304.0;,164.35:304.0;,,0.0,164.35;
157,2024-04-20 00:08:00,164.4,164.23,164.4,164.23,397994.0,65426944.0,1713542880,,,,,,,,,,,23.6714607646204,-0.2910885823590377,0.2328571428571422,3.343465980594296,67.79437325153313,0,0,100276.52,,,164.4:304.0;,15.200000000003456,
