,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
266,2024-02-14 02:57:00,144.485,144.52,144.52,144.445,31795,4599168.0,1707850620,1.0,,,,,,,,,,12.592442917940282,4.242966390356799,0.1520714285714299,16.60461527645839,-71.7990564435025,1,0,50008.189999999995,144.485:346.0;,144.485:346.0;,,0.0,144.485;
272,2024-02-14 03:03:00,144.434,144.42,144.487,144.415,23556,3405952.0,1707850980,,,,,,,,,,,5.818925599729354,1.7299325307889006,0.1431428571428585,10.9911104943655,-67.7481508141996,0,0,99982.35399999999,,,144.434:346.0;,-17.646000000005586,
288,2024-02-14 03:19:00,144.02,144.1,144.1,144.02,25172,3632384.0,1707851940,,,,,1.0,,,,,,0.966173369945043,-5.367829676727922,0.1592857142857155,10.9911104943655,-60.43092367882285,1,0,50007.41399999999,144.02:347.0;,144.02:347.0;,,0.0,144.02;
308,2024-02-14 03:39:00,144.425,144.465,144.465,144.425,18101,2622464.0,1707853140,,,,,,,,,,,89.0309041706752,-1.5887431335503592,0.172071428571428,5.657039420829733,82.51461681425887,0,0,100122.889,,,144.425:347.0;,140.5350000000004,
350,2024-02-14 04:21:00,143.6,143.575,143.61,143.575,54880,7894784.0,1707855660,,,,,,,,,1.0,,-8.426557370630128,-5.943647102368189,0.2188571428571423,-1.1337889161002297,-76.42842599832545,1,0,50150.089,143.6:348.0;,143.6:348.0;,,0.0,143.6;
363,2024-02-14 04:34:00,143.79,143.905,143.905,143.79,52556,7570432.0,1707856440,,,,,,,,,,,31.594242468055064,-4.077585130554951,0.2151428571428571,-6.317939554309731,76.5443293340304,0,0,100189.00899999999,,,143.79:348.0;,66.11999999999921,
199,2024-02-17 01:50:00,140.3,140.34,140.34,140.29,86967,12218624.0,1708105800,,,,,1.0,,,,,,-8.558766089850678,1.0816969428051806,0.1791428571428558,11.286582199396442,-75.01119488830001,1,0,50101.908999999985,140.3:357.0;,140.3:357.0;,,0.0,140.3;
201,2024-02-17 01:52:00,140.275,140.38,140.38,140.275,48451,6807936.0,1708105920,,,,,,,,,,,-2.953094466024176,1.0816969428051806,0.1791428571428558,11.286582199396442,-65.8700314342963,0,0,100180.08399999999,,,140.275:357.0;,-8.92500000000203,
193,2024-02-27 01:44:00,137.87,137.955,137.955,137.855,122560,16949248.0,1708969440,,,,,1.0,,,,,,-4.466460061345128,-12.0266559099455,0.189785714285713,9.80566020028104,-75.5160145380982,1,0,50133.27399999998,137.87:363.0;,137.87:363.0;,,0.0,137.87;
198,2024-02-27 01:49:00,137.89,137.91,137.93,137.89,90660,12548096.0,1708969740,,,,,,,,,,,3.054614665192865,-11.664054842227664,0.182785714285712,9.80566020028104,17.110482938059242,0,0,100187.34399999998,,,137.89:363.0;,7.259999999993397,
190,2024-02-28 01:41:00,137.08,137.045,137.1,137.045,80292,11049728.0,1709055660,1.0,,,,,,,,,,5.828313098232908,15.16701591067769,0.1549285714285641,-22.36476598004677,-73.5537306889651,1,0,50153.14399999998,137.08:365.0;,137.08:365.0;,,0.0,137.08;
192,2024-02-28 01:43:00,136.99,136.96,136.99,136.93,104188,14325504.0,1709055780,,,,,,,,,,,3.03405633647758,15.16701591067769,0.1549285714285641,-22.36476598004677,-75.78212116854074,0,0,100154.49399999998,,,136.99:365.0;,-32.850000000001245,
349,2024-04-05 03:20:00,151.404,151.33,151.41,151.33,65078,9869312.0,1712258400,,,,,,,,,1.0,,2.249028216379063,-2.562960668461088,0.3407142857142884,19.34379175110263,-76.47888370161164,1,0,50191.17399999998,151.404:330.0;,151.404:330.0;,,0.0,151.404;
353,2024-04-05 03:24:00,151.196,151.19,151.203,151.14,39384,5974016.0,1712258640,,,,,,,,,,,1.4749275573228644,-2.562960668461088,0.3407142857142884,19.34379175110263,-72.85085266254661,0,0,100085.85399999998,,,151.196:330.0;,-68.63999999999947,
