,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
222,2024-04-19 01:13:00,405.952,405.91,405.952,405.84,18942,7729408.0,1713460380,1.0,,,,,,,,,,3.3061917249873147,19.353791268213783,0.6782142857142779,5.66922629392073,-71.51534032033763,1,0,50067.904,405.952:123.0;,405.952:123.0;,,0.0,405.952;
228,2024-04-19 01:19:00,405.425,405.25,405.425,405.18,38491,15670784.0,1713460740,,,,,,,,,,,5.672781245772452,15.429146887558304,0.656428571428559,5.66922629392073,-59.10503748041697,0,0,99935.179,,,405.425:123.0;,-64.82099999999838,
322,2024-05-01 02:53:00,392.151,391.84,392.151,391.84,40026,15776768.0,1714503180,,,,,1.0,,,,1.0,,-10.433730142986278,2.0039479496741883,0.4105000000000091,7.557806460896032,-75.4986481374566,1,0,50132.002,392.151:127.0;,392.151:127.0;,,0.0,392.151;
323,2024-05-01 02:54:00,391.85,391.8,391.88,391.78,29355,11581952.0,1714503240,,,,,,,,,,,-10.707058755098387,2.0039479496741883,0.4105000000000091,7.557806460896032,-76.23643540515134,0,0,99896.952,,,391.85:127.0;,-38.22699999999844,
125,2024-07-18 23:36:00,434.97,435.41,435.49,434.97,72878,31858432.0,1721316960,,,,,,,1.0,,,,-3.8995328970306886,-12.87436664875952,1.121714285714274,17.23206580961805,-75.8229791594639,1,0,50310.372,434.97:114.0;,434.97:114.0;,,0.0,434.97;
129,2024-07-18 23:40:00,435.53,435.36,435.53,435.28,47316,20698368.0,1721317200,,,,,,,,,,,6.92229484655217,-13.270572442226609,1.1477857142856993,17.23206580961805,54.623036898554815,0,0,99960.792,,,435.53:114.0;,63.83999999999378,
155,2024-07-19 00:06:00,434.1,434.3,434.3,434.08,21909,9537536.0,1721318760,,,,,,,,,1.0,,5.5274811774874095,-16.612796909649653,0.962857142857136,14.696357233828923,-75.4513192326635,1,0,50039.292,434.1:115.0;,434.1:115.0;,,0.0,434.1;
159,2024-07-19 00:10:00,434.53,434.95,435.018,434.53,20119,8780800.0,1721319000,,,,,,,,,,,25.841340169892675,-15.574587472724572,0.974499999999994,14.696357233828923,61.51593992639905,0,0,100010.242,,,434.53:115.0;,49.44999999999425,
259,2024-08-27 01:50:00,412.01,411.815,412.01,411.815,22805,9401088.0,1724694600,,,,,1.0,,,,,,-10.487400341548188,14.87029720010571,0.4960714285714321,7.384196075335787,-76.92997403026355,1,0,50157.032,412.01:121.0;,412.01:121.0;,,0.0,412.01;
263,2024-08-27 01:54:00,411.72,411.9,411.9,411.72,16139,6654976.0,1724694840,,,,,,,,,,,-8.656441646450723,14.87029720010571,0.4960714285714321,7.384196075335787,-74.73268432323707,0,0,99975.152,,,411.72:121.0;,-35.0899999999956,
