,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
314,2024-02-22 03:45:00,420.47,420.375,420.47,420.365,184244.0,77650944.0,1708544700,1.0,,,,,,,,,,-14.02402369664982,13.551453100948072,0.5212142857142794,-19.980880680724454,-78.04179468701427,1,0,50384.53999999999,420.47:118.0;,420.47:118.0;,,0.0,420.47;
331,2024-02-22 04:02:00,420.865,421.195,421.205,420.865,189464.0,79967232.0,1708545720,,,,,,,,,,,24.694980023249613,12.783647299739911,0.5308571428571399,-20.22131739560247,57.49891273198813,0,0,100046.60999999999,,,420.865:118.0;,46.609999999997854,
86,2024-04-17 22:57:00,428.287,428.258,428.308,428.158,132177.0,56748032.0,1713365820,1.0,,,,,,,,,,27.725233520908183,2.9585123470059926,0.7957857142857157,10.50427755203297,-69.72384914522759,1,0,50365.31799999999,428.287:116.0;,428.287:116.0;,,0.0,428.287;
97,2024-04-17 23:08:00,428.688,428.958,428.958,428.688,81230.0,34936832.0,1713366480,,,,,,,,,,,72.0020945179751,4.1472086462500215,0.8207857142857132,9.06887908569972,75.06843544864073,0,0,100093.12599999999,,,428.688:116.0;,46.51600000000121,
56,2024-04-19 22:27:00,418.313,418.143,418.313,418.143,247519.0,103783936.0,1713536820,1.0,,,,,,,,,,-10.325725435266214,9.455107627634057,1.2374285714285602,12.417840397658065,-77.97053421506928,1,0,50313.87899999999,418.313:119.0;,418.313:119.0;,,0.0,418.313;
66,2024-04-19 22:37:00,418.488,418.498,418.598,418.408,346796.0,146313728.0,1713537420,,,,,,,,,,,12.252736741603703,9.686465594886322,1.2223571428571307,11.671092184669424,-27.482651791180725,0,0,100113.951,,,418.488:119.0;,20.825000000001353,
166,2024-04-20 00:17:00,415.108,415.288,415.288,415.108,338860.0,140930048.0,1713543420,,,,,,,,,1.0,,-2.2973022753894057,-3.876872969364296,0.604928571428571,8.417629034535405,-77.38853446079571,1,0,50300.991,415.108:120.0;,415.108:120.0;,,0.0,415.108;
170,2024-04-20 00:21:00,415.008,415.118,415.138,415.008,156768.0,65210368.0,1713543660,,,,,,,,,,,-2.8767354391186366,-4.69496205293332,0.581785714285713,8.417629034535405,-73.42836309367972,0,0,100101.951,,,415.008:120.0;,-12.000000000002728,
312,2024-04-20 02:43:00,413.598,413.508,413.598,413.408,140960.0,58251264.0,1713552180,,,,,,,1.0,,,,-11.388230471876051,19.05069988210273,0.7769285714285802,6.945416664793779,-78.30378097392398,1,0,50056.593,413.598:121.0;,413.598:121.0;,,0.0,413.598;
316,2024-04-20 02:47:00,413.238,412.918,413.319,412.908,193120.0,79702016.0,1713552420,,,,,,,,,,,-12.43205527175902,15.692298697013378,0.7680714285714397,6.945416664793779,-78.78592346105287,0,0,100058.391,,,413.238:121.0;,-43.56000000000165,
320,2024-04-20 02:51:00,413.508,413.468,413.728,413.468,191128.0,79013888.0,1713552660,,,,,1.0,,,,,,-5.158442379363123,14.66350169280186,0.780214285714294,6.945416664793779,-73.13191820420955,1,0,50023.923,413.508:121.0;,413.508:121.0;,,0.0,413.508;
322,2024-04-20 02:53:00,413.048,413.218,413.368,413.048,187792.0,77527040.0,1713552780,,,,,,,,,,,-1.1899021765610271,14.66350169280186,0.780214285714294,6.945416664793779,-52.21656523306969,0,0,100002.731,,,413.048:121.0;,-55.659999999997524,
124,2024-07-19 23:35:00,475.78,475.841,475.85,475.78,71482.0,34034176.0,1721403300,1.0,,,,,,,,,,-0.4270310245725923,18.168527609949564,1.0112142857142885,10.829296777860366,-77.23920104574593,1,0,50045.831000000006,475.78:105.0;,475.78:105.0;,,0.0,475.78;
129,2024-07-19 23:40:00,475.45,475.34,475.465,475.3,140375.0,66746880.0,1721403600,,,,,,,,,,,-8.336868588376973,12.94804722210057,0.9455000000000016,10.829296777860366,-77.76503736911754,0,0,99968.081,,,475.45:105.0;,-34.64999999999833,
323,2024-07-25 02:54:00,464.08,464.114,464.221,464.08,88920.0,41203712.0,1721847240,,,,,,,1.0,,,,-1.3656641480533054,3.572378206568008,0.5047142857142798,7.219616318053482,-74.78244381229992,1,0,50311.52100000001,464.08:107.0;,464.08:107.0;,,0.0,464.08;
334,2024-07-25 03:05:00,464.2,464.28,464.28,464.11,83236.0,38557696.0,1721847900,,,,,,,,,,,12.424791290449928,4.208078934586137,0.506857142857139,3.309493733139192,20.1961958963428,0,0,99980.921,,,464.2:107.0;,12.840000000000487,
44,2024-08-02 22:15:00,445.17,444.601,445.22,444.601,257348.0,114597376.0,1722608100,,,,,,,,,1.0,,-17.612617712483527,17.397911609676303,2.887571428571428,10.94262504530954,-78.29382660139332,1,0,50121.881,445.17:112.0;,445.17:112.0;,,0.0,445.17;
66,2024-08-02 22:37:00,445.97,445.87,446.12,445.87,126966.0,56374272.0,1722609420,,,,,,,,,,,30.543539787279958,13.884929348492982,2.8821428571428505,4.597082545427838,-18.70341733406257,0,0,100070.52100000001,,,445.97:112.0;,89.60000000000127,
272,2024-08-29 02:03:00,468.35,468.39,468.41,468.31,110360.0,51678208.0,1724868180,,,,,1.0,,,,,,-15.096417803394786,17.748602705298268,0.5925714285714362,19.71529173843077,-77.50717585417912,1,0,50425.421,468.35:106.0;,468.35:106.0;,,0.0,468.35;
295,2024-08-29 02:26:00,468.93,468.95,469.07,468.93,53568.0,25096192.0,1724869560,,,,,,,,,,,32.9525322316995,11.738265169628434,0.5700714285714363,19.71529173843077,22.627899149308472,0,0,100132.001,,,468.93:106.0;,61.47999999999831,
