,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
36,2024-01-03 23:07:00,239.745,239.43,239.98,239.43,479878.0,114924032.0,1704294420,,,,,,,1.0,,,,-7.432368491788207,-8.239620615296467,1.3991428571428568,19.93908593761357,-69.2601185672658,1,0,50133.04,239.745:208.0;,239.745:208.0;,,0.0,239.745;
38,2024-01-03 23:09:00,239.027,239.261,239.377,238.73,558188.0,133368832.0,1704294540,,,,,,,,,,,-7.528670443976285,-8.239620615296467,1.3991428571428568,19.93908593761357,-72.09148861748584,0,0,99850.65599999999,,,239.027:208.0;,-149.3440000000037,
38,2024-01-11 23:09:00,226.859,226.67,226.859,226.58,303134.0,67985920.0,1704985740,,,,,,,,,1.0,,-2.439674186817492,14.216180265267084,1.336500000000001,19.006600347606277,-76.50540549360852,1,0,49941.675999999985,226.859:220.0;,226.859:220.0;,,0.0,226.859;
64,2024-01-11 23:35:00,227.264,226.96,227.29,226.96,467544.0,105055232.0,1704987300,,,,,,,,,,,47.87038264101393,-2.6580030084604545,1.5380000000000007,17.22859318169833,59.51627169907,0,0,99939.756,,,227.264:220.0;,89.10000000000025,
98,2024-01-13 00:09:00,220.87,221.155,221.169,220.87,323788.0,71537664.0,1705075740,,,,,,,,,1.0,,14.142387592360812,14.810658766981106,0.8492142857142844,11.990600059003564,-72.30345125078998,1,0,50023.13599999999,220.87:226.0;,220.87:226.0;,,0.0,220.87;
111,2024-01-13 00:22:00,221.28,221.55,221.55,221.16,359016.0,79436800.0,1705076520,,,,,,,,,,,70.37719558291514,10.601478350864014,0.7784285714285711,11.990600059003564,70.60614992130235,0,0,100032.416,,,221.28:226.0;,92.65999999999923,
132,2024-01-13 00:43:00,219.64,219.467,219.64,219.4,279028.0,61069312.0,1705077780,,,,,,,1.0,,,,27.90543000557288,4.796273248323303,0.7757142857142867,11.5300691648517,-71.85607855417715,1,0,50174.136,219.64:227.0;,219.64:227.0;,,0.0,219.64;
139,2024-01-13 00:50:00,219.33,218.91,219.375,218.91,802512.0,175044608.0,1705078200,,,,,,,,,,,5.292668418437927,-1.6257265725718495,0.7665000000000016,11.5300691648517,-72.68363789504868,0,0,99962.046,,,219.33:227.0;,-70.36999999999406,
149,2024-01-13 01:00:00,218.26,218.25,218.27,218.161,299200.0,65175552.0,1705078800,,,,,1.0,,,,,,-9.781027399799434,-6.593276377637039,0.7433571428571436,9.58732625417364,-73.89155800499722,1,0,50198.766,218.26:228.0;,218.26:228.0;,,0.0,218.26;
153,2024-01-13 01:04:00,218.0,217.985,218.14,217.86,401592.0,87368704.0,1705079040,,,,,,,,,,,-8.414361351463661,-6.593276377637039,0.7433571428571436,9.58732625417364,-64.5133972656577,0,0,99902.766,,,218.0:228.0;,-59.279999999997926,
138,2024-01-20 00:49:00,207.93,207.92,207.947,207.82,214736.0,44527616.0,1705682940,,,,,,,1.0,,1.0,,12.754613695268231,10.85418763736807,0.7487142857142837,15.436557843012444,-75.87328252669396,1,0,49999.566,207.93:240.0;,207.93:240.0;,,0.0,207.93;
161,2024-01-20 01:12:00,208.52,208.59,208.59,208.4,210664.0,43809792.0,1705684320,,,,,,,,,,,51.854571665462345,4.544757517342703,0.5937857142857175,14.218887036547423,69.59298954361799,0,0,100044.36600000001,,,208.52:240.0;,141.60000000000082,
150,2024-01-26 01:01:00,184.284,184.167,184.359,184.167,494600.0,90732544.0,1706202060,,,,,,,1.0,,,,-2.3036603768703685,-8.467573607481611,0.6245714285714244,15.379191330030828,-78.09379532180151,1,0,50103.40200000001,184.284:271.0;,184.284:271.0;,,0.0,184.284;
152,2024-01-26 01:03:00,183.92,183.685,183.92,183.685,549864.0,100311040.0,1706202180,,,,,,,,,,,-7.608499231611816,-8.467573607481611,0.6245714285714244,15.379191330030828,-78.70726610325886,0,0,99945.72200000001,,,183.92:271.0;,-98.64400000000117,
154,2024-01-26 01:05:00,183.979,183.89,183.979,183.835,390592.0,71442432.0,1706202300,,,,,1.0,,,,,,-7.776825315461252,-8.388652628798642,0.6215714285714264,15.379191330030828,-76.14077156587899,1,0,50087.41300000001,183.979:271.0;,183.979:271.0;,,0.0,183.979;
156,2024-01-26 01:07:00,183.63,183.33,183.63,183.174,671336.0,122548224.0,1706202420,,,,,,,,,,,-10.164912456661682,-8.388652628798642,0.6215714285714264,15.379191330030828,-75.42705358946613,0,0,99851.14300000001,,,183.63:271.0;,-94.57900000000487,
