,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
19,2024-01-16 22:50:00,180.651,180.365,180.651,180.365,297298.0,53846784.0,1705416600,1.0,,,,,,,,,,-22.254710652524025,18.29109851888533,0.5735714285714307,57.81967907248462,-77.77907201775103,1,0,50140.324,180.651:276.0;,180.651:276.0;,,0.0,180.651;
20,2024-01-16 22:51:00,180.353,180.323,180.353,180.235,400338.0,72391936.0,1705416660,,,,,,,,,,,-23.918239703227258,18.29109851888533,0.5735714285714307,57.81967907248462,-78.25910186489062,0,0,99917.75200000001,,,180.353:276.0;,-82.2480000000005,
319,2024-01-26 03:50:00,192.54,192.615,192.615,192.53,54420.0,10513920.0,1706212200,,,,,,,,,1.0,,5.610280620591801,-19.92470048265216,0.2899285714285692,54.921752825462136,-64.72284309260505,1,0,50049.89200000001,192.54:259.0;,192.54:259.0;,,0.0,192.54;
338,2024-01-26 04:09:00,192.968,193.072,193.085,192.968,95212.0,18449920.0,1706213340,,,,,,,,,,,83.19627023460673,-16.963131741163522,0.2674285714285673,44.86131952736412,80.80564694639314,0,0,100028.604,,,192.968:259.0;,110.8519999999993,
20,2024-01-29 22:51:00,189.388,189.68,189.68,189.388,379397.0,72166016.0,1706539860,1.0,,,,,,,,,,2.261646570733028,-0.801787740247228,0.4054285714285726,-12.590651374039538,-72.19837872742255,1,0,50030.172000000006,189.388:264.0;,189.388:264.0;,,0.0,189.388;
32,2024-01-29 23:03:00,189.92,189.96,190.08,189.875,247655.0,47195136.0,1706540580,,,,,,,,,,,35.15426324029581,6.260578784001396,0.4587857142857164,-13.406976696394835,77.2876480479569,0,0,100169.052,,,189.92:264.0;,140.44799999999532,
86,2024-01-30 23:57:00,187.585,187.63,187.63,187.56,276444.0,52098560.0,1706630220,,,,,,,,,1.0,,-6.7282317466356645,0.0305457736953655,0.4624285714285666,21.643284307749163,-75.8156094048907,1,0,50271.441999999995,187.585:266.0;,187.585:266.0;,,0.0,187.585;
92,2024-01-31 00:03:00,187.45,187.66,187.66,187.45,268012.0,50497792.0,1706630580,,,,,,,,,,,-4.736178898117373,-4.000323512900124,0.4695714285714233,18.31251597750945,-72.09904150417529,0,0,100133.14199999999,,,187.45:266.0;,-35.91000000000514,
279,2024-01-31 03:10:00,186.96,186.845,186.99,186.845,105724.0,19832832.0,1706641800,,,,,1.0,,1.0,,,,-20.034790313622125,-1.5836967777681965,0.2144285714285721,7.68117702830645,-75.52727040559336,1,0,50214.82199999999,186.96:267.0;,186.96:267.0;,,0.0,186.96;
280,2024-01-31 03:11:00,186.86,186.855,186.94,186.855,114276.0,21432320.0,1706641860,,,,,,,,,,,-19.97122832463636,-1.5836967777681965,0.2144285714285721,7.68117702830645,-76.07625871533149,0,0,100106.442,,,186.86:267.0;,-26.699999999998482,
