,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
12,2024-01-05 22:43:00,71.785,71.82,71.82,71.77,101606.0,7462320.0,1704465780,1.0,,,,,,,,,,0.5521451841643525,7.316738511850673,0.1875714285714279,,-71.50004137808719,1,0,50037.64,71.785:696.0;,71.785:696.0;,,0.0,71.785;
15,2024-01-05 22:46:00,71.59,71.5,71.59,71.49,237873.0,17402608.0,1704465960,,,,,,,,,,,-4.873955706690104,4.985972451350115,0.2095714285714283,,-75.41054133053024,0,0,99864.28,,,71.59:696.0;,-135.71999999999525,
333,2024-01-13 04:04:00,70.305,70.31,70.31,70.305,16002.0,1150784.0,1705089840,,,,,,,,,1.0,,1.527936295636934,-14.644539125165515,0.0690714285714284,76.31240217365874,-69.8556617486616,1,0,49947.729999999996,70.305:710.0;,70.305:710.0;,,0.0,70.305;
335,2024-01-13 04:06:00,70.29,70.275,70.29,70.265,30281.0,2176576.0,1705089960,,,,,,,,,,,-1.5893305575811354,-15.51545928682546,0.0704999999999996,76.31240217365874,-73.64026915746719,0,0,99853.63,,,70.29:710.0;,-10.650000000000404,
149,2024-01-17 01:00:00,68.12,68.13,68.13,68.115,27802.0,1939200.0,1705424400,1.0,,,,,,,,,,10.313895741543078,0.1323882254236004,0.1364285714285722,13.64089375310094,-75.69178441583354,1,0,49989.79,68.12:732.0;,68.12:732.0;,,0.0,68.12;
153,2024-01-17 01:04:00,68.065,68.065,68.065,68.04,68592.0,4780544.0,1705424640,,,,,,,,,,,3.6539554777827306,0.1323882254236004,0.1364285714285722,13.64089375310094,-76.18409092353484,0,0,99813.37,,,68.065:732.0;,-40.26000000000499,
64,2024-01-25 23:35:00,72.09,72.075,72.09,72.065,69063.0,5089472.0,1706196900,,,,,,,1.0,,1.0,,-3.6478452170586593,3.4164887635335504,0.3819999999999999,92.58113355732957,-75.01443109333064,1,0,49927.09,72.09:692.0;,72.09:692.0;,,0.0,72.09;
71,2024-01-25 23:42:00,72.08,72.065,72.105,72.045,79729.0,5878080.0,1706197320,,,,,,,,,,,7.323572699634781,1.09592183580898,0.3628571428571427,92.58113355732957,-34.659701400781024,0,0,99806.45,,,72.08:692.0;,-6.92000000000354,
7,2024-01-29 22:38:00,71.97,72.12,72.175,71.97,99079.0,7304648.0,1706539080,1.0,,,,,,,,1.0,,22.33772496149408,-21.916238361653058,0.1641428571428582,52.79277712203714,-54.515873158217865,1,0,49931.24,71.97:693.0;,71.97:693.0;,,0.0,71.97;
9,2024-01-29 22:40:00,72.03,72.005,72.071,72.005,62568.0,4611056.0,1706539200,,,,,,,,,,,21.832428314607704,-19.79113633624713,0.1958571428571452,52.79277712203714,27.72745336214101,0,0,99848.03,,,72.03:693.0;,41.580000000001576,
23,2024-01-29 22:54:00,71.645,71.695,71.71,71.645,57398.0,4208320.0,1706540040,,,,,1.0,,,,,,1.3879205249218032,-20.442307705025414,0.2253571428571459,52.79277712203714,-66.60002882393239,1,0,49983.11,71.645:696.0;,71.645:696.0;,,0.0,71.645;
28,2024-01-29 22:59:00,71.646,71.74,71.74,71.646,58734.0,4306256.0,1706540340,,,,,,,,,,,3.69146688082084,-19.76701876590198,0.2300000000000029,52.79277712203714,-46.81120428769219,0,0,99848.726,,,71.646:696.0;,0.6960000000033233,
384,2024-02-01 04:55:00,70.385,70.415,70.415,70.37,45276.0,3261760.0,1706734500,1.0,,,,,,,,,,14.054545312345644,6.821021816529196,0.186642857142856,37.15117869673719,-76.6908281441636,1,0,99848.726,,,,0.0,
51,2024-02-02 23:22:00,69.8,69.86,69.86,69.794,44474.0,3177536.0,1706887320,1.0,,,,,,,,,,-1.0308289562676407,-2.6883637858917098,0.2967142857142865,51.891205585410106,-77.44184862090297,1,0,49941.725999999995,69.8:715.0;,69.8:715.0;,,0.0,69.8;
60,2024-02-02 23:31:00,69.65,69.585,69.65,69.58,103458.0,7371680.0,1706887860,,,,,,,,,,,-0.6510762727737394,-8.450733524085166,0.3045714285714282,44.367025201186536,-76.98041525703263,0,0,99741.476,,,69.65:715.0;,-107.2499999999939,
4,2024-02-06 22:35:00,74.362,74.23,74.48,74.23,391200.0,29732528.0,1707230100,1.0,,,,,,,,,,23.94351877314513,9.810866908766911,0.3909285714285713,114.43817026265816,67.08011545936589,1,0,49918.936,74.362:670.0;,74.362:670.0;,,0.0,74.362;
5,2024-02-06 22:36:00,74.142,74.55,74.55,74.142,227352.0,17262048.0,1707230160,,,,,,,,,,,27.703208736947506,9.810866908766911,0.3909285714285713,114.43817026265816,64.15642440150658,0,0,99594.076,,,74.142:670.0;,-147.39999999999924,
35,2024-02-07 23:06:00,72.209,72.15,72.209,72.14,187304.0,13835904.0,1707318360,1.0,,,,,,,,1.0,,-18.529649183204235,11.411552571200502,1.0812857142857146,79.45060498163787,-78.33063185439313,1,0,49842.075,72.209:689.0;,72.209:689.0;,,0.0,72.209;
49,2024-02-07 23:20:00,71.98,71.942,72.017,71.942,246984.0,18194304.0,1707319200,,,,,,,,,,,-2.2121586430313087,-5.552490818441541,1.1360714285714306,79.45060498163787,-72.10267148136879,0,0,99436.295,,,71.98:689.0;,-157.78099999999944,
291,2024-02-13 03:22:00,71.512,71.58,71.58,71.5,30003.0,2195968.0,1707765720,,,,,1.0,,,,,,-2.535071727696348,12.14630163977708,0.1030000000000005,57.80843464152046,-73.22041563022343,1,0,49735.454999999994,71.512:695.0;,71.512:695.0;,,0.0,71.512;
296,2024-02-13 03:27:00,71.54,71.555,71.56,71.54,14134.0,1034368.0,1707766020,,,,,,,,,,,20.354965974548428,7.948137498060362,0.1090714285714286,57.80843464152046,45.54127393951669,0,0,99455.755,,,71.54:695.0;,19.46000000000403,
10,2024-02-20 22:41:00,71.23,71.2,71.252,71.145,78807.0,5742848.0,1708440060,1.0,,,,,,,,,,3.7604751564599503,-14.931895710405144,0.1642142857142861,76.791079230397,-69.85229389812754,1,0,49737.215000000004,71.23:698.0;,71.23:698.0;,,0.0,71.23;
12,2024-02-20 22:43:00,71.16,71.1,71.16,71.09,159843.0,11628528.0,1708440180,,,,,,,,,,,3.151241774464559,-14.931895710405144,0.1642142857142861,76.791079230397,-32.71308686618052,0,0,99406.895,,,71.16:698.0;,-48.86000000000516,
15,2024-02-22 22:46:00,73.85,73.9,73.92,73.85,78116.0,5898048.0,1708613160,1.0,,,,,,,,,,32.08893189963884,15.037010306554876,0.333285714285712,96.83481213897925,-68.95788938495487,1,0,49705.84500000001,73.85:673.0;,73.85:673.0;,,0.0,73.85;
