,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
4,2024-01-17 22:35:00,55.579,55.446,55.579,55.446,370498.0,205768704.0,1705502100,1.0,,,,,,,,,,44.24001161826246,3.2808853659831243,0.2176428571428564,85.17502640701423,-69.40248553727977,1,0,50034.479,55.579:899.0;,55.579:899.0;,,0.0,55.579;
5,2024-01-17 22:36:00,55.424,55.454,55.515,55.424,288510.0,160132096.0,1705502160,,,,,,,,,,,36.228407747758055,3.2808853659831243,0.2176428571428564,85.17502640701423,-73.9711952927695,0,0,99860.655,,,55.424:899.0;,-139.34500000000102,
24,2024-01-17 22:55:00,55.054,54.959,55.054,54.959,419083.0,230476288.0,1705503300,,,,,,,,,1.0,,-11.272788522290512,-5.760819809288009,0.2863571428571418,85.17502640701423,-77.3213646931365,1,0,49871.623,55.054:908.0;,55.054:908.0;,,0.0,55.054;
26,2024-01-17 22:57:00,55.075,55.053,55.126,55.053,221675.0,122241024.0,1705503420,,,,,1.0,,,,,,-11.696018872909242,-5.760819809288009,0.2863571428571418,85.17502640701423,-77.22046638667392,1,0,28.747999999999593,55.054:908.0;55.075:905.0;,55.075:905.0;,,0.0,55.075;55.075;
30,2024-01-17 23:01:00,54.9,54.777,54.9,54.777,438533.0,240464384.0,1705503660,,,,,,,,,,,-13.774306972508503,-8.610999316996939,0.293214285714285,77.41397874709654,-77.24882363932574,0,0,99562.448,,,54.9:908.0;54.9:905.0;,-298.20700000000704,
32,2024-01-17 23:03:00,54.805,54.825,54.858,54.805,225718.0,123820032.0,1705503780,,,,,,,1.0,,,,-14.060014883647046,-8.610999316996939,0.293214285714285,77.41397874709654,-78.03225083498099,1,0,49580.28800000001,54.805:912.0;,54.805:912.0;,,0.0,54.805;
51,2024-01-17 23:22:00,55.217,55.185,55.217,55.15,333326.0,184512512.0,1705504920,,,,,,,,,,,47.44729077070429,-1.5460226485948851,0.3273571428571422,77.41397874709654,70.59195133251912,0,0,99938.19200000001,,,55.217:912.0;,375.7439999999991,
349,2024-01-25 04:20:00,61.349,61.281,61.364,61.259,133464.0,81694720.0,1706127600,1.0,,,,,,,,,,7.089598873862755,4.360098096163739,0.217142857142857,89.31155884372575,-76.28287260859643,1,0,50000.106000000014,61.349:814.0;,61.349:814.0;,,0.0,61.349;
350,2024-01-25 04:21:00,61.243,61.282,61.282,61.209,185948.0,113784832.0,1706127660,,,,,,,,,,,4.696158133293565,4.360098096163739,0.217142857142857,89.31155884372575,-76.86147722137927,0,0,99851.90800000002,,,61.243:814.0;,-86.28399999999556,
37,2024-02-06 23:08:00,67.704,67.689,67.773,67.688,189644.0,128804864.0,1707232080,,,,,,,1.0,,,,-17.40217436904259,8.184467686497669,0.5265714285714286,85.04878052920077,-77.80303882730935,1,0,49954.06000000003,67.704:737.0;,67.704:737.0;,,0.0,67.704;
41,2024-02-06 23:12:00,67.714,67.776,67.837,67.714,179080.0,121927680.0,1707232320,,,,,,,,,,,-13.74893788747614,3.5210723126249093,0.5422142857142863,85.04878052920077,-74.51605077745853,0,0,99859.27800000002,,,67.714:737.0;,7.37000000000377,
291,2024-02-13 03:22:00,71.406,71.599,71.599,71.406,221604.0,158048256.0,1707765720,,,,,,,1.0,,,,13.285047654029071,-13.85958961252598,0.3336428571428566,87.37706367840386,-75.88943553335041,1,0,49946.48400000002,71.406:699.0;,71.406:699.0;,,0.0,71.406;
306,2024-02-13 03:37:00,71.919,71.86,71.957,71.86,160224.0,115712000.0,1707766620,,,,,,,,,,,76.5153548736166,-12.175701484707204,0.3365000000000009,81.57492770675242,76.26618951542719,0,0,100217.86500000002,,,71.919:699.0;,358.58699999999374,
13,2024-02-27 22:44:00,77.57,77.336,77.679,77.336,433984.0,337095168.0,1709045040,1.0,,,,,,,,1.0,,8.79467611232819,12.064524076104306,0.3902857142857152,83.85633821656134,-76.47932339754985,1,0,50185.215000000026,77.57:645.0;,77.57:645.0;,,0.0,77.57;
15,2024-02-27 22:46:00,77.716,77.778,77.778,77.626,253772.0,197627904.0,1709045160,,,,,1.0,,,,,,7.797795612036097,11.295931985196276,0.4296428571428571,83.85633821656134,-73.54941118025994,1,0,136.11100000002625,77.57:645.0;77.716:644.0;,77.716:644.0;,,0.0,77.716;77.716;
23,2024-02-27 22:54:00,77.927,78.262,78.262,77.885,290808.0,227449856.0,1709045640,,,,,,,,,,,20.18269126932867,11.869696352045054,0.4497142857142852,83.85633821656134,-26.67493630181335,0,0,100584.01400000002,,,77.927:645.0;77.927:644.0;,366.14900000001694,
