,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
282,2024-01-05 03:13:00,148.385,148.48,148.49,148.385,2295.0,340640.0,1704395580,1.0,,,,,,,,,,-17.258720823783605,12.84342174662926,0.1557857142857171,,-77.81672444190623,1,0,50142.64,148.385:336.0;,148.385:336.0;,,0.0,148.385;
289,2024-01-05 03:20:00,148.595,148.61,148.66,148.57,9013.0,1339584.0,1704396000,,,,,,,,,,,12.001725222167494,7.1977448957594135,0.1607142857142918,,-28.429644307556025,0,0,100070.56,,,148.595:336.0;,70.56000000000267,
107,2024-01-11 00:18:00,148.925,148.91,148.95,148.842,21082.0,3138208.0,1704903480,,,,,,,,,1.0,,8.015141593426165,3.183036656473277,0.4829285714285731,89.23144519543251,-68.78074771090344,1,0,50180.68499999999,148.925:335.0;,148.925:335.0;,,0.0,148.925;
129,2024-01-11 00:40:00,149.23,149.265,149.3,149.23,3763.0,561760.0,1704904800,,,,,,,,,,,66.93022905741753,0.4724438098583334,0.3455714285714281,87.86168884070099,72.23478459006256,0,0,100172.73499999999,,,149.23:335.0;,102.17499999999276,
200,2024-01-13 01:51:00,149.23,149.17,149.23,149.17,7964.0,1188192.0,1705081860,,,,,,,,,1.0,,2.257209614543399,-15.046116922025462,0.2012142857142882,77.10907761306862,-74.79147143669428,1,0,50180.68499999999,149.23:335.0;,149.23:335.0;,,0.0,149.23;
211,2024-01-13 02:02:00,149.35,149.39,149.39,149.35,2372.0,354368.0,1705082520,,,,,,,,,,,18.05246793023245,-16.31680957728713,0.1920714285714301,70.84482222320776,76.8840452094868,0,0,100212.935,,,149.35:335.0;,40.20000000000152,
249,2024-01-13 02:40:00,148.68,148.7,148.71,148.665,4562.0,678400.0,1705084800,,,,,,,1.0,,,,10.57824095956736,-17.913549117132355,0.2417142857142827,61.56833168129393,-72.97402450892112,1,0,50256.454999999994,148.68:336.0;,148.68:336.0;,,0.0,148.68;
251,2024-01-13 02:42:00,148.59,148.56,148.59,148.56,6460.0,960064.0,1705084920,,,,,,,,,,,6.471149405521842,-17.913549117132355,0.2417142857142827,61.56833168129393,-70.80155606351906,0,0,100182.69499999999,,,148.59:336.0;,-30.240000000001146,
103,2024-01-24 00:14:00,140.54,140.51,140.54,140.45,9652.0,1356224.0,1706026440,,,,,,,1.0,,,,-7.707283416025071,2.236540605355969,0.7480714285714336,40.842636853706296,-77.76904752047632,1,0,50150.454999999994,140.54:356.0;,140.54:356.0;,,0.0,140.54;
106,2024-01-24 00:17:00,140.155,140.1,140.245,140.1,17398.0,2438464.0,1706026620,,,,,,,,,,,-7.461743521588112,-2.267407364956512,0.7502142857142928,40.842636853706296,-77.7484055295901,0,0,100045.635,,,140.155:356.0;,-137.05999999999676,
384,2024-01-27 04:55:00,141.86,141.915,141.915,141.855,19073.0,2705408.0,1706302500,1.0,,,,,,,,,,-6.841524523465694,-5.248420602293891,0.1577142857142917,31.70150530819427,-75.9775328976765,1,0,100045.635,,,,0.0,
7,2024-01-29 22:38:00,132.88,133.875,133.995,132.88,179293.0,23936480.0,1706539080,1.0,,,,,,,,1.0,,-3.3277063291644744,-7.563515662330317,0.8582142857142908,21.55331910274396,-74.90310888751911,1,0,50082.755,132.88:376.0;,132.88:376.0;,,0.0,132.88;
9,2024-01-29 22:40:00,133.63,132.99,133.63,132.99,180500.0,24065248.0,1706539200,,,,,,,,,,,0.6712987394749668,-7.340857865136513,1.030285714285719,21.55331910274396,18.049443941693557,0,0,100327.635,,,133.63:376.0;,282.0,
58,2024-01-29 23:29:00,129.54,129.455,129.54,129.16,216526.0,27993600.0,1706542140,,,,,,,1.0,,,,0.2296330385717482,-11.707102855901574,1.550785714285717,14.176622111353026,-76.06865242246583,1,0,50325.195,129.54:386.0;,129.54:386.0;,,0.0,129.54;
67,2024-01-29 23:38:00,130.07,130.24,130.51,130.07,257094.0,33487488.0,1706542680,,,,,,,,,,,29.279758349756417,-10.280551892583889,1.7489285714285765,7.140904224653752,83.20068217214799,0,0,100532.215,,,130.07:386.0;,204.58000000000044,
101,2024-01-30 00:12:00,128.5,128.975,129.01,128.5,104710.0,13491584.0,1706544720,,,1.0,,,,,,,,8.981577415258663,-9.972735642060506,1.0002142857142908,1.284458283801797,-74.95933474788063,1,0,50545.715,128.5:389.0;,128.5:389.0;,,0.0,128.5;
108,2024-01-30 00:19:00,130.01,129.62,130.01,129.59,93266.0,12109056.0,1706545140,,,,,,,,,,,52.55022856701808,-7.727912909509119,1.120285714285718,1.284458283801797,85.01035269583137,0,0,101119.605,,,130.01:389.0;,587.3899999999965,
