,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
281,2024-01-03 03:12:00,184.185,184.105,184.2,184.105,190704.0,1704222720,,,,,,,,,1.0,,4.960337517913651,-2.091781170653846,0.2092857142857188,-10.795811519854766,-72.7647941633205,1,0,50085.865,184.185:271.0;,184.185:271.0;,,0.0,184.185;
288,2024-01-03 03:19:00,184.025,184.07,184.07,184.015,135556.0,1704223140,,,,,,,,,,,2.673319092073328,-2.814869607557984,0.2080000000000045,-10.795811519854766,-71.28777410916126,0,0,99956.64,,,184.025:271.0;,-43.359999999999076,
299,2024-01-03 03:30:00,183.86,184.005,184.005,183.86,176824.0,1704223800,,,,,,,1.0,,,,2.4644118332573264,-4.037489045183662,0.2135000000000043,-13.50596374964158,-51.90653752226541,1,0,50130.579999999994,183.86:271.0;,183.86:271.0;,,0.0,183.86;
302,2024-01-03 03:33:00,183.99,184.058,184.066,183.945,148484.0,1704223980,,,,,,,,,,,15.417130544756446,-4.037489045183662,0.2135000000000043,-13.50596374964158,86.36611062537159,0,0,99991.87,,,183.99:271.0;,35.22999999999877,
20,2024-01-29 22:51:00,189.638,189.93,189.93,189.638,379397.0,1706539860,1.0,,,,,,,,,,2.261646570733028,-0.8015455816718671,0.4054285714285726,-12.60867665262839,-72.19837872742255,1,0,50117.075999999994,189.638:263.0;,189.638:263.0;,,0.0,189.638;
35,2024-01-29 23:06:00,190.05,190.24,190.27,190.05,93764.0,1706540760,,,,,,,,,,,37.48469918687434,9.188108032656103,0.4657857142857153,-13.434563012583652,68.51455305713678,0,0,100100.226,,,190.05:263.0;,108.35600000000161,
279,2024-01-31 03:10:00,187.21,187.095,187.24,187.095,105724.0,1706641800,,,,,1.0,,1.0,,,,-20.034790313622125,-1.5836967186630275,0.2144285714285721,7.643299991694384,-75.52727040559336,1,0,50115.155999999995,187.21:267.0;,187.21:267.0;,,0.0,187.21;
281,2024-01-31 03:12:00,187.05,187.162,187.162,187.025,185780.0,1706641920,,,,,,,,,,,-18.73039315242322,-1.5836967186630275,0.2144285714285721,7.643299991694384,-76.25706602685437,0,0,100057.506,,,187.05:267.0;,-42.71999999999909,
337,2024-02-13 04:08:00,186.612,186.65,186.68,186.612,40488.0,1707768480,1.0,,,,1.0,,,,,,-0.9798883209255536,6.785919375396965,0.1644999999999978,10.182809237326396,-58.16471543063449,1,0,50045.49,186.612:268.0;,186.612:268.0;,,0.0,186.612;
361,2024-02-13 04:32:00,186.81,186.87,186.87,186.81,67326.0,1707769920,,,,,,,,,,,85.66562700877674,7.593736430285922,0.1514999999999986,6.86239028465198,69.57485003719282,0,0,100110.57,,,186.81:268.0;,53.06400000000201,
7,2024-02-13 22:38:00,184.38,184.52,184.56,184.38,294513.0,1707835080,1.0,,,,,,,,,,7.262916510231179,13.99332350513837,0.343285714285709,0.65481207615953,-76.34221532719961,1,0,50143.59000000001,184.38:271.0;,184.38:271.0;,,0.0,184.38;
10,2024-02-13 22:41:00,184.243,184.14,184.243,184.14,188050.0,1707835260,,,,,,,,,,,-4.765017956160833,10.8658190642549,0.3714999999999954,0.65481207615953,-76.20404967595533,0,0,100073.443,,,184.243:271.0;,-37.12700000000012,
86,2024-02-14 23:57:00,183.135,183.03,183.135,183.02,111029.0,1707926220,1.0,,,,,,,,,,16.589547061492922,9.286304257946298,0.3517142857142862,8.64081395172456,-70.44436154316004,1,0,50077.588,183.135:273.0;,183.135:273.0;,,0.0,183.135;
90,2024-02-15 00:01:00,182.82,182.742,182.82,182.74,391508.0,1707926460,,,,,,,,,,,8.432670516160485,6.867249683698809,0.3445714285714274,6.376971821369189,-61.51748582876623,0,0,99987.448,,,182.82:273.0;,-85.99499999999938,
62,2024-03-05 23:33:00,169.67,169.61,169.67,169.47,325418.0,1709652780,1.0,,,,,,,,,,10.262505645127472,7.43774736906181,0.7860714285714323,8.201669735361186,-73.9005046707577,1,0,50104.46800000001,169.67:294.0;,169.67:294.0;,,0.0,169.67;
94,2024-03-06 00:05:00,169.885,169.91,169.955,169.885,149960.0,1709654700,,,,,,,,,,,90.02483102080451,-6.403710357521788,0.3460000000000016,7.363722818066261,80.36964593260946,0,0,100050.658,,,169.885:294.0;,63.210000000001,
22,2024-03-06 22:53:00,168.97,169.2,169.2,168.97,218801.0,1709736780,1.0,,,,1.0,,,,,,-11.922413267914171,10.32124091353895,0.3942142857142861,3.467104397970033,-76.87830170077153,1,0,50035.53799999999,168.97:296.0;,168.97:296.0;,,0.0,168.97;
30,2024-03-06 23:01:00,169.29,169.44,169.47,169.29,371077.0,1709737260,,,,,,,,,,,11.16318576564747,14.468369241408787,0.4587857142857164,3.7401599766047,48.93078305891592,0,0,100145.378,,,169.29:296.0;,94.71999999999798,
6,2024-03-22 21:37:00,170.62,170.695,170.695,170.565,347179.0,1711114620,1.0,,,,,,,,,,36.43574344165208,13.329423611773532,0.3422142857142916,-11.390425125810252,-68.35181662955529,1,0,50153.71799999999,170.62:293.0;,170.62:293.0;,,0.0,170.62;
11,2024-03-22 21:42:00,170.281,170.14,170.31,170.14,475715.0,1711114920,,,,,,,,,,,7.75708121089049,13.503196604965126,0.35578571428572,-11.390425125810252,-76.37619617047832,0,0,100046.05099999999,,,170.281:293.0;,-99.3269999999996,
54,2024-04-19 22:25:00,164.8,164.73,164.81,164.73,163162.0,1713536700,1.0,,,,,,,,,,-4.52008686831363,7.526491537564716,0.500714285714283,3.876777666845836,-74.60097334819636,1,0,50111.65099999999,164.8:303.0;,164.8:303.0;,,0.0,164.8;
69,2024-04-19 22:40:00,164.93,164.96,165.0,164.93,156592.0,1713537600,,,,,,,,,,,71.15779381557786,8.109749776249501,0.4593571428571396,3.973435640591244,63.502070520135234,0,0,100085.44099999999,,,164.93:303.0;,39.38999999999862,
151,2024-04-20 00:02:00,164.35,164.405,164.415,164.35,85928.0,1713542520,,,,,1.0,,,,,,1.1135594348318918,-0.8761545015851624,0.2265714285714263,3.343465980594296,-69.81053912754577,1,0,50123.04099999999,164.35:304.0;,164.35:304.0;,,0.0,164.35;
158,2024-04-20 00:09:00,164.23,164.385,164.385,164.23,105278.0,1713542940,,,,,,,,,,,26.191867581010897,-0.2910885823590377,0.2328571428571422,3.343465980594296,38.12570600219917,0,0,100048.96099999998,,,164.23:304.0;,-36.48000000000138,
278,2024-05-24 02:09:00,187.47,187.44,187.53,187.44,149116.0,1716487740,,,,,1.0,,,,,,-1.8545470789553955,-0.4162196632256965,0.2508571428571429,-4.228127811322764,-74.48646352015729,1,0,50181.940999999984,187.47:266.0;,187.47:266.0;,,0.0,187.47;
289,2024-05-24 02:20:00,187.52,187.33,187.52,187.33,96390.0,1716488400,,,,,,,,,,,22.9527046939717,-0.3611013588192122,0.2817857142857158,-4.228127811322764,80.9644643436251,0,0,100062.26099999998,,,187.52:266.0;,13.300000000003024,
388,2024-05-24 03:59:00,186.82,186.89,186.89,186.76,377416.0,1716494340,,,,,,,1.0,,1.0,,-5.964120690444432,3.689189092620428,0.2405714285714302,-16.289789556261866,-75.44141355149951,1,0,100062.26099999998,,,,0.0,
83,2024-06-20 22:54:00,210.247,210.4,210.4,210.247,305244.0,1718895240,,,,,1.0,,1.0,,1.0,,-5.256173084100372,3.083553566446227,0.4772142857142845,12.497325512491985,-76.58414464408685,1,0,50233.72199999998,210.247:237.0;,210.247:237.0;,,0.0,210.247;
92,2024-06-20 23:03:00,210.965,210.749,211.035,210.749,162818.0,1718895780,,,,,,,,,,,37.94599544798509,2.9692774284604297,0.505428571428571,8.289424795649865,82.79897331154926,0,0,100232.42699999998,,,210.965:237.0;,170.16599999999747,
389,2024-06-22 04:00:00,208.02,207.49,208.35,207.19,165091840.0,1719000000,,,,,1.0,,,,1.0,,4.02216299154648,15.168980632090223,0.5307142857142882,10.663568736777536,-74.71753900791585,1,0,100232.42699999998,,,,0.0,
74,2024-07-18 22:45:00,225.88,225.92,226.04,225.88,315226.0,1721313900,,,,,,,1.0,,,,8.383603587682117,7.201380180477997,0.7850000000000047,2.4894672636392983,-78.06414142930468,1,0,50312.946999999986,225.88:221.0;,225.88:221.0;,,0.0,225.88;
76,2024-07-18 22:47:00,225.29,225.72,225.72,225.22,264288.0,1721314020,,,,,,,,,,,4.558743252468624,7.201380180477997,0.7850000000000047,2.4894672636392983,-78.44513516024308,0,0,100102.03699999998,,,225.29:221.0;,-130.39000000000075,
