,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
58,2024-01-29 23:29:00,129.54,129.455,129.54,129.16,216526.0,27993600.0,1706542140,,,,,,,1.0,,,,0.2296330385717482,-11.70697722626526,1.550785714285717,14.21427031169793,-76.06865242246583,1,0,50127.100000000006,129.54:385.0;,129.54:385.0;,,0.0,129.54;
67,2024-01-29 23:38:00,130.07,130.24,130.51,130.07,257094.0,33487488.0,1706542680,,,,,,,,,,,29.279758349756417,-10.28044097773941,1.7489285714285765,7.16432418816666,83.20068217214799,0,0,100204.05,,,130.07:385.0;,204.05000000000044,
101,2024-01-30 00:12:00,128.5,128.975,129.01,128.5,104710.0,13491584.0,1706544720,,,1.0,,,,,,,,8.981577415258663,-9.972664021572626,1.0002142857142908,1.295630415172127,-74.95933474788063,1,0,50217.55,128.5:389.0;,128.5:389.0;,,0.0,128.5;
109,2024-01-30 00:20:00,129.61,129.47,129.61,129.43,33879.0,4386432.0,1706545200,,,,,,,,,,,52.25946763127002,-6.957583735654914,1.1502857142857172,1.295630415172127,83.4623639875398,0,0,100635.84000000001,,,129.61:389.0;,431.7900000000053,
89,2024-03-09 00:00:00,112.602,112.54,112.602,112.49,50709.0,5708480.0,1709913600,,,,,,,1.0,,,,6.13959222264495,-16.254114218518147,0.4139999999999994,18.218470853736875,-45.24084396849253,1,0,50415.34800000001,112.602:446.0;,112.602:446.0;,,0.0,112.602;
91,2024-03-09 00:02:00,112.31,112.28,112.31,112.19,45395.0,5097472.0,1709913720,,,,,,,,,,,4.346080192774345,-16.254114218518147,0.4139999999999994,18.218470853736875,-61.90919739527072,0,0,100505.60800000001,,,112.31:446.0;,-130.2320000000007,
109,2024-03-09 00:20:00,111.05,110.99,111.135,110.99,76996.0,8557056.0,1709914800,,,,,1.0,,,,,,1.0906081705879451,-17.62936090082942,0.4751428571428562,18.218470853736875,-51.06762338282434,1,0,50199.958000000006,111.05:453.0;,111.05:453.0;,,0.0,111.05;
120,2024-03-09 00:31:00,110.62,110.735,110.735,110.57,69080.0,7646400.0,1709915460,,,,,,,,,,,4.743281689347452,-17.402606837913233,0.4422857142857138,13.953120087124326,-18.23398836233262,0,0,100310.818,,,110.62:453.0;,-194.78999999999667,
176,2024-03-09 01:27:00,108.96,108.96,109.01,108.95,76446.0,8329088.0,1709918820,,,1.0,,,,,,,,-1.461298191755937,-12.677954543694714,0.445214285714285,9.963905836566228,-75.8905223308882,1,0,50080.258,108.96:461.0;,108.96:461.0;,,0.0,108.96;
178,2024-03-09 01:29:00,109.4,109.97,109.97,109.4,28502.0,3122624.0,1709918940,,,,,1.0,,,,,,8.655840225735684,-12.677954543694714,0.445214285714285,9.963905836566228,-0.9294539403364552,1,0,84.45799999999872,108.96:461.0;109.4:457.0;,109.4:457.0;,,0.0,109.4;109.4;
