,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
266,2024-02-14 02:57:00,144.485,144.52,144.52,144.445,31795,4599168.0,1707850620,1.0,,,,,,,,,,12.592442917940282,4.240860285532548,0.1520714285714299,16.701792087392306,-71.7990564435025,1,0,50008.189999999995,144.485:346.0;,144.485:346.0;,,0.0,144.485;
273,2024-02-14 03:04:00,144.415,144.385,144.415,144.378,18963,2740224.0,1707851040,,,,,,,,,,,3.9341742622211626,1.7279497149618948,0.1431428571428585,11.084854760311202,-72.83863089877394,0,0,99975.78,,,144.415:346.0;,-24.220000000007474,
288,2024-02-14 03:19:00,144.02,144.1,144.1,144.02,25172,3632384.0,1707851940,,,,,1.0,,,,,,0.966173369945043,-5.369483532115034,0.1592857142857155,11.084854760311202,-60.43092367882285,1,0,50000.84,144.02:347.0;,144.02:347.0;,,0.0,144.02;
317,2024-02-14 03:48:00,144.4,144.26,144.4,144.26,44937,6491136.0,1707853680,,,,,,,,,,,108.2392873454721,3.515880305048391,0.1695714285714282,5.747376917514828,74.61386156226432,0,0,100107.64,,,144.4:347.0;,131.85999999999842,
350,2024-02-14 04:21:00,143.6,143.575,143.61,143.575,54880,7894784.0,1707855660,,,,,,,,,1.0,,-8.426557370630128,-5.944395380345767,0.2188571428571423,-1.046820593956312,-76.42842599832545,1,0,50134.840000000004,143.6:348.0;,143.6:348.0;,,0.0,143.6;
380,2024-02-14 04:51:00,144.35,144.34,144.395,144.31,161114,23267328.0,1707857460,,,,,,,,,,,123.0776403171356,15.107442035235572,0.2276428571428579,-6.23429268342008,79.26702695581392,0,0,100368.64,,,144.35:348.0;,261.0,
199,2024-02-17 01:50:00,140.295,140.335,140.342,140.291,81001,11380992.0,1708105800,,,,,1.0,,,,,,-8.927973038926275,0.8751372147446119,0.1803571428571493,11.277941302728706,-74.9308758350959,1,0,50283.325000000004,140.295:357.0;,140.295:357.0;,,0.0,140.295;
208,2024-02-17 01:59:00,140.375,140.403,140.42,140.375,66802,9400320.0,1708106340,,,,,,,,,,,20.533233637361636,0.7588180774787929,0.1892857142857187,11.277941302728706,65.63309948198177,0,0,100397.20000000001,,,140.375:357.0;,28.560000000004464,
193,2024-02-27 01:44:00,137.87,137.955,137.955,137.855,122560,16949248.0,1708969440,,,,,1.0,,,,,,-4.466460061345128,-12.026655910056412,0.189785714285713,9.80566020028104,-75.5160145380982,1,0,50212.52000000001,137.87:364.0;,137.87:364.0;,,0.0,137.87;
204,2024-02-27 01:55:00,137.863,137.865,137.875,137.853,92408,12775680.0,1708970100,,,,,,,,,,,7.500746618702781,-11.390988869373007,0.1827142857142831,9.80566020028104,15.913010032844776,0,0,100394.652,,,137.863:364.0;,-2.548000000001821,
190,2024-02-28 01:41:00,137.08,137.045,137.1,137.045,80292,11049728.0,1709055660,1.0,,,,,,,,,,5.828313098232908,15.16701591067769,0.1549285714285641,-22.36476598004677,-73.5537306889651,1,0,50223.371999999996,137.08:366.0;,137.08:366.0;,,0.0,137.08;
232,2024-02-28 02:23:00,137.72,137.66,137.72,137.66,23964,3312384.0,1709058180,,,,,,,,,,,121.22564992894488,26.32357321857701,0.2099999999999937,-22.80401511017624,68.32089719754653,0,0,100628.89199999999,,,137.72:366.0;,234.239999999995,
349,2024-04-05 03:20:00,151.404,151.33,151.41,151.33,65078,9869312.0,1712258400,,,,,,,,,1.0,,2.249028216379063,-2.563093171054433,0.3407142857142884,19.379347411352484,-76.47888370161164,1,0,50362.763999999996,151.404:332.0;,151.404:332.0;,,0.0,151.404;
354,2024-04-05 03:25:00,151.15,151.19,151.2,151.15,31280,4747520.0,1712258700,,,,,,,,,,,1.2943448200525474,-5.125422355863464,0.336428571428574,19.379347411352484,-72.75641170012393,0,0,100544.564,,,151.15:332.0;,-84.3279999999969,
373,2024-04-05 03:44:00,150.75,150.685,150.75,150.685,50684,7662592.0,1712259840,,,,,,,1.0,,,,5.38552082717516,-10.12925683246803,0.3149285714285729,11.762091318393118,-24.28386475020385,1,0,50344.814,150.75:333.0;,150.75:333.0;,,0.0,150.75;
381,2024-04-05 03:52:00,150.647,150.62,150.66,150.605,98752,14909696.0,1712260320,,,,,,,,,,,5.1036309116966,-12.48307779449616,0.287785714285716,11.762091318393118,-8.752837299261227,0,0,100510.26499999998,,,150.647:333.0;,-34.29900000000288,
69,2024-04-16 22:40:00,153.455,153.36,153.455,153.34,56050,8597568.0,1713278400,1.0,,,,,,,,,,-14.980429490021336,9.934505942590413,0.4993571428571418,6.796343885996564,-77.90315910065662,1,0,50330.47999999998,153.455:327.0;,153.455:327.0;,,0.0,153.455;
106,2024-04-16 23:17:00,154.165,154.22,154.25,154.165,28405,4373632.0,1713280620,,,,,,,,,,,97.91139634459569,28.65991629260463,0.3337142857142814,3.1377556382771985,62.350107888334456,0,0,100742.43499999997,,,154.165:327.0;,232.1699999999933,
256,2024-05-11 01:47:00,166.27,166.145,166.27,166.145,49796,8294656.0,1715363220,,,,,1.0,,,,,,-7.767574004960714,-10.9566748831935,0.2043571428571421,4.715063176366257,-75.26685307524436,1,0,50528.89499999997,166.27:302.0;,166.27:302.0;,,0.0,166.27;
