,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
282,2024-02-14 03:13:00,403.7,403.691,403.7,403.64,25527,10356224.0,1707851580,1.0,,,,,,,,,,-11.082469283115827,13.266412977957714,0.4647857142857146,2.2995861484242823,-75.5176721063404,1,0,50344.9,403.7:123.0;,403.7:123.0;,,0.0,403.7;
315,2024-02-14 03:46:00,403.928,403.91,404.005,403.91,23580,9580544.0,1707853560,,,,,,,,,,,55.58812388368316,4.680519300957933,0.4440714285714315,-2.363595234521,63.3925344673475,0,0,100028.044,,,403.928:123.0;,28.044000000001063,
184,2024-04-16 00:35:00,419.29,419.23,419.37,419.2,23721,9968640.0,1713198900,,,,,1.0,,,,,,-6.842218570313683,2.369191616932696,0.5929999999999974,5.124803223756345,-76.8620810917978,1,0,50132.53399999999,419.29:119.0;,419.29:119.0;,,0.0,419.29;
189,2024-04-16 00:40:00,418.821,418.89,418.89,418.71,16798,7054848.0,1713199200,,,,,,,,,,,-8.695367904295907,-0.4373060323586344,0.6037142857142815,5.124803223756345,-77.46284209426955,0,0,99972.233,,,418.821:119.0;,-55.8109999999993,
233,2024-04-16 01:24:00,417.11,417.01,417.25,416.99,45728,19112960.0,1713201840,,,,,,,1.0,,1.0,,11.178593425736588,-7.778145278999084,0.6469999999999955,1.12365106278979,-77.39885479888783,1,0,50336.14299999999,417.11:119.0;,417.11:119.0;,,0.0,417.11;
236,2024-04-16 01:27:00,416.42,416.16,416.42,416.16,91068,38014208.0,1713202020,,,,,,,,,,,2.6939235012486407,-9.414910563180072,0.687428571428565,1.12365106278979,-78.57977802303616,0,0,99890.12299999999,,,416.42:119.0;,-82.10999999999973,
245,2024-04-16 01:36:00,414.87,415.18,415.18,414.85,116071,48282624.0,1713202560,,,,,1.0,,,,,,-3.173321009388822,-11.370998488291242,0.7202857142857104,-3.691401011368896,-73.54572355709676,1,0,50105.72299999999,414.87:120.0;,414.87:120.0;,,0.0,414.87;
249,2024-04-16 01:40:00,414.7,414.613,414.7,414.61,35930,14934272.0,1713202800,,,,,,,,,,,-4.711734150221879,-12.318764715437789,0.7389999999999921,-3.691401011368896,-70.30327966122607,0,0,99869.723,,,414.7:120.0;,-20.40000000000191,
222,2024-04-19 01:13:00,406.702,406.66,406.702,406.59,18942,7729408.0,1713460380,1.0,,,,,,,,,,3.3061917249873147,19.353791268213783,0.6782142857142779,5.66922629392073,-71.51534032033763,1,0,50252.079,406.702:122.0;,406.702:122.0;,,0.0,406.702;
228,2024-04-19 01:19:00,406.175,406.0,406.175,405.93,38491,15670784.0,1713460740,,,,,,,,,,,5.672781245772452,15.429146887558304,0.656428571428559,5.66922629392073,-59.10503748041697,0,0,99805.429,,,406.175:122.0;,-64.29399999999839,
322,2024-05-01 02:53:00,392.901,392.59,392.901,392.59,40026,15776768.0,1714503180,,,,,1.0,,,,1.0,,-10.433730142986278,2.0039479496741883,0.4105000000000091,7.557806460896032,-75.4986481374566,1,0,49907.002,392.901:127.0;,392.901:127.0;,,0.0,392.901;
323,2024-05-01 02:54:00,392.6,392.55,392.63,392.53,29355,11581952.0,1714503240,,,,,,,,,,,-10.707058755098387,2.0039479496741883,0.4105000000000091,7.557806460896032,-76.23643540515134,0,0,99767.202,,,392.6:127.0;,-38.22699999999844,
370,2024-05-31 03:41:00,415.29,415.205,415.34,415.135,80828,33572352.0,1717098060,,,,,1.0,,,,1.0,,1.6493993404736926,5.498807992303277,0.5162142857143002,4.243269641159444,-59.38120000613458,1,0,49932.402,415.29:120.0;,415.29:120.0;,,0.0,415.29;
379,2024-05-31 03:50:00,414.83,414.63,414.83,414.6,106468,44023808.0,1717098600,,,,,,,,,,,7.94687601476388,3.680246243081825,0.5864285714285862,4.243269641159444,53.1107336843461,0,0,99712.00200000001,,,414.83:120.0;,-55.200000000004366,
381,2024-05-31 03:52:00,414.925,414.84,414.99,414.8,127308,52768768.0,1717098720,,,,,,,1.0,,,,7.654172682699215,3.680246243081825,0.5864285714285862,4.243269641159444,-27.54325374513952,1,0,49921.00200000001,414.925:120.0;,414.925:120.0;,,0.0,414.925;
386,2024-05-31 03:57:00,414.85,414.73,414.85,414.72,171688,71155712.0,1717099020,,,,,,,,,,,11.520851131554071,3.966239916644966,0.6325000000000135,4.243269641159444,54.03920368959096,0,0,99703.00200000001,,,414.85:120.0;,-8.999999999998636,415.285;
10,2024-05-31 21:41:00,413.095,413.467,413.467,413.02,69172,28565504.0,1717162860,1.0,,,,,,,,,,45.11177790194735,15.6676957172155,1.4055000000000055,-1.810792927049377,48.5257815564155,1,0,50131.602000000006,413.095:120.0;,413.095:120.0;,,0.0,413.095;
13,2024-05-31 21:44:00,412.21,412.49,412.65,412.21,84158,34693440.0,1717163040,,,,,,,,,,,36.66860557825444,15.6676957172155,1.4055000000000055,-1.810792927049377,-21.582837909274776,0,0,99596.802,,,412.21:120.0;,-106.20000000000573,
