,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
162,2024-02-22 01:13:00,67.26,66.873,67.26,66.873,446910.0,300747776.0,1708535580,,,,,1.0,,,,1.0,,-4.374917023570433,-2.943692081228761,0.1902142857142854,-24.050398150832805,-74.92903519895167,1,0,50025.82,67.26:743.0;,67.26:743.0;,,0.0,67.26;
163,2024-02-22 01:14:00,66.935,66.789,66.943,66.729,449670.0,301365248.0,1708535640,,,,,,,,,,,-5.582462427795932,-2.943692081228761,0.1902142857142854,-24.050398150832805,-76.57756267689861,0,0,99758.525,,,66.935:743.0;,-241.47500000000213,
165,2024-02-22 01:16:00,66.785,66.926,66.951,66.785,208172.0,139520000.0,1708535760,,,,,,,1.0,,,,-5.566727128218041,-5.103984673540751,0.2309999999999996,-24.050398150832805,-76.78625775087053,1,0,49803.344999999994,66.785:748.0;,66.785:748.0;,,0.0,66.785;
169,2024-02-22 01:20:00,66.699,66.859,66.859,66.699,199744.0,133723136.0,1708536000,,,,,,,,,,,-3.6653577375974606,-5.800982595471552,0.2402857142857135,-24.050398150832805,-73.1359422585609,0,0,99694.19699999999,,,66.699:748.0;,-64.3279999999989,
6,2024-03-12 21:37:00,87.316,87.433,87.433,87.278,281136.0,245538304.0,1710250620,1.0,,,,,,,,,,82.74198690488532,17.256769401324178,0.5512142857142877,6.329686221027529,78.98799689707874,1,0,49924.07699999998,87.316:570.0;,87.316:570.0;,,0.0,87.316;
13,2024-03-12 21:44:00,87.227,86.69,87.227,86.69,476823.0,414780928.0,1710251040,,,,,,,,,,,84.50353582083366,26.288824746424005,0.5533571428571459,6.329686221027529,70.15398014743153,0,0,99643.46699999998,,,87.227:570.0;,-50.72999999999922,
9,2024-04-05 21:40:00,86.308,86.107,86.308,86.107,250817.0,216349440.0,1712324400,1.0,,,,,,,,,,66.89400494143759,-2.6901099227218594,0.5037857142857172,19.821612042872037,74.6215740305617,1,0,49843.75099999997,86.308:577.0;,86.308:577.0;,,0.0,86.308;
16,2024-04-05 21:47:00,87.209,87.127,87.273,87.095,156473.0,136444416.0,1712324820,,1.0,,,,,,,,,92.31076690859878,3.4372701299466826,0.5625714285714309,19.821612042872037,82.3656193706541,0,1,75047.15199999997,86.308:288.0;,,87.209:289;,260.38899999999893,87.294;
32,2024-04-05 22:03:00,87.214,87.175,87.214,87.157,153442.0,133829120.0,1712325780,,,,,,,,,,,111.50497723089234,21.003789408907014,0.5894285714285731,20.979464360865137,63.13449000337897,0,0,100164.78399999997,,,87.214:288.0;,260.9279999999976,
351,2024-04-16 03:22:00,86.249,86.359,86.359,86.233,110952.0,95477760.0,1713208920,,,1.0,,,,,,,,-6.029414158339279,-4.305248141255724,0.2406428571428601,17.947093001435064,-73.10296085408216,1,0,50140.36399999997,86.249:580.0;,86.249:580.0;,,0.0,86.249;
358,2024-04-16 03:29:00,86.192,86.138,86.193,86.132,70424.0,60393472.0,1713209340,,,,,,,,,,,-0.8146894149607888,-4.46388463366187,0.2405714285714322,17.947093001435064,-62.4988201711436,0,0,100131.72399999996,,,86.192:580.0;,-33.06000000000125,
198,2024-04-18 00:49:00,84.555,84.663,84.663,84.555,128460.0,108320768.0,1713372540,,,1.0,,,,,,,,6.430896116484519,-15.751694951601516,0.2782857142857163,12.066991609810673,-72.77590019470226,1,0,50075.16399999995,84.555:592.0;,84.555:592.0;,,0.0,84.555;
