,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
162,2024-02-22 01:13:00,67.26,66.873,67.26,66.873,446910.0,1708535580,,,,,1.0,,,,1.0,,-4.374917023570433,-2.943692081228761,0.1902142857142854,-24.050398150832805,-74.92903519895167,1,0,50025.82,67.26:743.0;,67.26:743.0;,,0.0,67.26;
163,2024-02-22 01:14:00,66.935,66.789,66.943,66.729,449670.0,1708535640,,,,,,,,,,,-5.582462427795932,-2.943692081228761,0.1902142857142854,-24.050398150832805,-76.57756267689861,0,0,99758.525,,,66.935:743.0;,-241.47500000000213,
165,2024-02-22 01:16:00,66.785,66.926,66.951,66.785,208172.0,1708535760,,,,,,,1.0,,,,-5.566727128218041,-5.103984673540751,0.2309999999999996,-24.050398150832805,-76.78625775087053,1,0,49803.344999999994,66.785:748.0;,66.785:748.0;,,0.0,66.785;
169,2024-02-22 01:20:00,66.699,66.859,66.859,66.699,199744.0,1708536000,,,,,,,,,,,-3.6653577375974606,-5.800982595471552,0.2402857142857135,-24.050398150832805,-73.1359422585609,0,0,99694.19699999999,,,66.699:748.0;,-64.3279999999989,
6,2024-03-12 21:37:00,87.316,87.433,87.433,87.278,281136.0,1710250620,1.0,,,,,,,,,,82.74198690488532,17.256769401324178,0.5512142857142877,6.329686221027529,78.98799689707874,1,0,49924.07699999998,87.316:570.0;,87.316:570.0;,,0.0,87.316;
14,2024-03-12 21:45:00,86.9,86.799,86.939,86.799,243524.0,1710251100,,,,,,,,,,,81.15935699722203,30.92126777749856,0.6085000000000035,6.329686221027529,59.55600731526889,0,0,99457.07699999999,,,86.9:570.0;,-237.11999999999819,
9,2024-04-05 21:40:00,86.308,86.107,86.308,86.107,250817.0,1712324400,1.0,,,,,,,,,,66.89400494143759,-2.6901099227218594,0.5037857142857172,19.821612042872037,74.6215740305617,1,0,49743.66899999999,86.308:576.0;,86.308:576.0;,,0.0,86.308;
16,2024-04-05 21:47:00,87.209,87.127,87.273,87.095,156473.0,1712324820,,1.0,,,,,,,,,92.31076690859878,3.4372701299466826,0.5625714285714309,19.821612042872037,82.3656193706541,0,1,74859.86099999999,86.308:288.0;,,87.209:288;,259.4879999999989,87.294;
33,2024-04-05 22:04:00,87.185,87.255,87.266,87.185,124134.0,1712325840,,,,,,,,,,,109.90059175287752,21.003789408907014,0.5894285714285731,20.979464360865137,57.92204575436066,0,0,99969.14099999999,,,87.185:288.0;,252.57599999999866,
351,2024-04-16 03:22:00,86.249,86.359,86.359,86.233,110952.0,1713208920,,,1.0,,,,,,,,-6.029414158339279,-4.305248141255724,0.2406428571428601,17.947093001435064,-73.10296085408216,1,0,50030.969999999994,86.249:579.0;,86.249:579.0;,,0.0,86.249;
359,2024-04-16 03:30:00,86.124,86.033,86.124,86.02,173776.0,1713209400,,,,,,,,,,,-2.705448182881085,-5.803084963606679,0.2496428571428605,9.20679127099703,-70.18751170093832,0,0,99896.76599999999,,,86.124:579.0;,-72.375,
198,2024-04-18 00:49:00,84.555,84.663,84.663,84.555,128460.0,1713372540,,,1.0,,,,,,,,6.430896116484519,-15.751694951601516,0.2782857142857163,12.066991609810673,-72.77590019470226,1,0,50009.315999999984,84.555:590.0;,84.555:590.0;,,0.0,84.555;
225,2024-04-18 01:16:00,85.051,85.065,85.089,85.04,77150.0,1713374160,,,,,,,,,,,98.3571530645522,-5.525182550622532,0.2851428571428564,8.211060027789003,69.42501552591736,0,0,100189.40599999999,,,85.051:590.0;,292.63999999999714,
8,2024-04-18 21:39:00,83.52,83.02,83.52,83.02,452798.0,1713447540,1.0,,,,,,,,1.0,,13.026996965823116,16.62140427822284,0.671999999999999,4.39544766459391,-75.48830199919814,1,0,50160.92599999999,83.52:599.0;,83.52:599.0;,,0.0,83.52;
10,2024-04-18 21:41:00,82.771,82.973,82.973,82.771,364471.0,1713447660,,,,,,,,,,,7.3573795961785535,12.839730020471784,0.7764285714285707,4.39544766459391,-77.70152434219264,0,0,99740.75499999999,,,82.771:599.0;,-448.6509999999971,
11,2024-04-18 21:42:00,82.981,83.286,83.286,82.944,417055.0,1713447720,,,,,,,1.0,,,,6.912949822426299,12.839730020471784,0.7764285714285707,4.39544766459391,-76.00061361581865,1,0,49703.21199999999,82.981:603.0;,82.981:603.0;,,0.0,82.981;
18,2024-04-18 21:49:00,84.187,84.563,84.563,84.165,347333.0,1713448140,,1.0,,,,,,,,,21.207148134477208,14.226570340392025,0.8437142857142855,4.39544766459391,75.81348313310451,0,1,75127.68599999999,82.981:301.0;,,84.187:302;,364.2120000000009,84.35;
43,2024-04-18 22:14:00,84.863,84.894,84.905,84.863,94802.0,1713449640,,,,,,,,,,1.0,47.95146123497429,28.968010532002168,0.9428571428571432,5.236046123242446,66.85598353134338,0,1,100671.449,,,84.863:301.0;,566.4820000000016,84.971;
278,2024-04-20 02:09:00,79.277,79.044,79.277,79.033,294208.0,1713550140,,,,,1.0,,,,,,-0.2201610327057395,0.1166044841711055,0.3509285714285722,14.00116955703376,-60.38356990910549,1,0,50409.83099999999,79.277:634.0;,79.277:634.0;,,0.0,79.277;
