,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
210,2024-01-03 02:01:00,47.915,47.885,47.915,47.885,124200,1704218460,,,,,1.0,,,,,,-14.662820141074675,11.532803395768774,-8.98995992211286,-78.28188129612465,1,0,50024.655,47.915:1043.0;,47.915:1043.0;,,0.0,47.915;
274,2024-01-03 03:05:00,47.615,47.565,47.615,47.565,470156,1704222300,,,,,,,,,,,1.175692396983422,23.440245889255777,-14.454818696584011,-77.23452444173651,0,0,99687.1,,,47.615:1043.0;,-312.899999999997,
338,2024-01-03 04:09:00,47.164,47.175,47.175,47.145,137944,1704226140,,,,,1.0,,,,,,-5.896852410025545,6.072505436562118,-19.09139380672697,-74.10613947933827,1,0,49693.26,47.164:1060.0;,47.164:1060.0;,,0.0,47.164;
386,2024-01-03 04:57:00,47.79,47.825,47.825,47.79,359712,1704229020,,,,,,,,,,,120.7621629885088,12.021684117310684,-20.70157425820308,82.79020368635199,0,0,100350.66,,,47.79:1060.0;,663.5599999999976,47.79;
46,2024-01-03 23:17:00,46.615,46.659,46.685,46.615,261880,1704295020,1.0,,,,,,,,,,-3.237038908399789,16.667135342213683,11.012132278725232,-77.64105760258853,1,0,50192.92,46.615:1076.0;,46.615:1076.0;,,0.0,46.615;
71,2024-01-03 23:42:00,46.535,46.51,46.562,46.51,270712,1704296520,,,,,,,,,1.0,,7.897935382282021,8.76770529710548,9.655727295628015,-73.82420219068386,1,0,28.19000000000233,46.615:1076.0;46.535:1078.0;,46.535:1078.0;,,0.0,46.785;46.535;
169,2024-01-04 01:20:00,46.455,46.46,46.46,46.445,48576,1704302400,,,,,,,,,,,-5.289195833490446,10.658429855001812,7.397483750370007,-76.62754796385995,0,0,100092.26000000001,,,46.455:1076.0;46.455:1078.0;,-258.40000000000214,
296,2024-01-05 03:27:00,45.955,45.905,45.955,45.886,70820,1704396420,1.0,,,,,,,,,,-5.222379284219059,15.894020142210977,7.895546994599147,-75.36255297402816,1,0,50047.265000000014,45.955:1089.0;,45.955:1089.0;,,0.0,45.955;
386,2024-01-05 04:57:00,45.603,45.615,45.645,45.585,666704,1704401820,,,,,,,,,,,-0.7440406429978452,8.833362890717225,6.642510981571771,-76.71079397719976,0,0,99708.93200000002,,,45.603:1089.0;,-383.32799999999645,46.125;
387,2024-01-05 04:58:00,45.625,45.605,45.625,45.59,183496,1704401880,,,,,,,,,1.0,,-0.8665576274715647,8.833362890717225,6.642510981571771,-75.26683307382747,1,0,99708.93200000002,,,,0.0,46.125;
280,2024-02-14 03:11:00,55.915,55.891,55.936,55.891,192396,1707851460,,,,,,,,,1.0,,-6.81114411492176,13.328335538516306,1.5701620970461363,-74.36173540805012,1,0,49888.667000000016,55.915:891.0;,55.915:891.0;,,0.0,55.915;
282,2024-02-14 03:13:00,55.905,55.83,55.905,55.83,105644,1707851580,,,,,1.0,,,,,,-7.960260917554347,13.328335538516306,1.5701620970461363,-76.49034519677721,1,0,77.31200000001263,55.915:891.0;55.905:891.0;,55.905:891.0;,,0.0,55.915;55.905;
286,2024-02-14 03:17:00,55.795,55.755,55.795,55.735,250936,1707851820,,,,,,,1.0,,,,-6.443127937257767,9.48931891638317,1.5701620970461363,-69.14905967158724,1,0,77.31200000001263,55.915:891.0;55.905:891.0;,,,0.0,55.915;55.905;
324,2024-02-14 03:55:00,55.55,55.57,55.62,55.535,290936,1707854100,,,,,,,,,,,33.00719034821914,4.758607396793508,-4.391350350778453,-75.22775276139903,0,0,99067.41200000001,,,55.55:891.0;55.55:891.0;,-641.5200000000053,
346,2024-03-06 04:17:00,58.035,58.015,58.041,58.015,151040,1709669820,,,1.0,,,,,,,,14.907685189997409,4.019394209072292,-11.530776186716508,-62.00736621304123,1,0,49563.557000000015,58.035:853.0;,58.035:853.0;,,0.0,58.035;
386,2024-03-06 04:57:00,58.725,58.74,58.775,58.725,444664,1709672220,,,,,,,,,,,122.44648079384078,24.610283726768458,-16.718112203891366,80.56617689872513,0,0,99655.98200000002,,,58.725:853.0;,588.5700000000041,58.725;
235,2024-04-16 01:26:00,57.156,57.045,57.156,57.045,244980,1713201960,,,1.0,,,,,,,,4.617769881920438,-3.759750060346129,8.490702580457551,-78.05907775321465,1,0,49873.10600000002,57.156:871.0;,57.156:871.0;,,0.0,57.156;
241,2024-04-16 01:32:00,56.05,56.345,56.345,56.05,1077744,1713202320,,,,,,,,,,,-2.434123702417033,-5.766350710587794,3.170561631229674,-79.01125384685537,0,0,98692.65600000002,,,56.05:871.0;,-963.3260000000014,
244,2024-04-16 01:35:00,56.26,56.34,56.405,56.26,724264,1713202500,,,,,1.0,,,,,,-0.8895692792101002,-6.113453360986682,3.170561631229674,-67.17549946631209,1,0,48902.55600000002,56.26:885.0;,56.26:885.0;,,0.0,56.26;
335,2024-04-16 03:06:00,55.605,55.74,55.74,55.605,389920,1713207960,,,,,,,,,,,8.652371370517557,-5.761756823669543,-6.898486714957045,-59.23599221997749,0,0,98112.98100000001,,,55.605:885.0;,-579.675000000001,
19,2024-04-16 21:50:00,55.45,55.565,55.57,55.45,265617,1713275400,1.0,,,,,,,,,,42.19723473186068,10.187972536763064,2.80599631676224,-49.78386836199945,1,0,49095.18100000001,55.45:884.0;,55.45:884.0;,,0.0,55.45;
30,2024-04-16 22:01:00,55.93,55.875,55.93,55.875,293664,1713276060,,1.0,,,,,,,,,74.19131238806193,15.631264764086495,2.891605367564374,70.54559917601334,0,1,73816.24100000001,55.45:442.0;,,55.93:442;,212.1599999999986,56.08;
242,2024-04-17 01:33:00,55.32,55.65,55.65,55.265,1161024,1713288780,,,,,,,,,,,51.233090135473645,103.62291493649916,4.107487977701425,-69.90000962604469,0,0,98267.68100000001,,,55.32:442.0;,-57.46000000000113,
196,2024-04-18 00:47:00,53.43,53.395,53.43,53.35,463924,1713372420,,,1.0,,,,,,,,-1.583924484160864,-16.866411792922364,4.738198248611781,-75.04775294890372,1,0,49165.51100000001,53.43:919.0;,53.43:919.0;,,0.0,53.43;
330,2024-04-18 03:01:00,54.07,54.03,54.08,54.015,321840,1713380460,,,,,,,,,,,20.006207119204877,57.44280042322084,7.779466521617465,-73.8743114146081,0,0,98855.84100000001,,,54.07:919.0;,588.1600000000005,
10,2024-04-19 21:41:00,51.84,51.762,51.905,51.76,357502,1713534060,1.0,,,,,,,,,,24.297852652928256,15.532400115526592,11.468342624089058,-63.097888094482535,1,0,49452.32100000001,51.84:953.0;,51.84:953.0;,,0.0,51.84;
18,2024-04-19 21:49:00,52.11,52.06,52.11,52.01,346837,1713534540,,1.0,,,,,,,,,38.30433930691052,18.496065005229973,11.468342624089058,16.10145992244484,0,1,74308.79100000001,51.84:476.0;,,52.11:477;,128.7899999999981,52.339;
50,2024-04-19 22:21:00,51.32,51.25,51.331,51.21,612926,1713536460,,,,,,,,,,,-1.0607934586020065,17.02106635171878,12.136625308926517,-73.3342346331033,0,0,98737.111,,,51.32:476.0;,-247.5200000000015,
56,2024-04-19 22:27:00,51.1,51.036,51.1,51.036,350176,1713536820,,,,,,,1.0,,,,-10.070830713554706,13.174573167690356,12.136625308926517,-77.76735840748564,1,0,49323.411,51.1:967.0;,51.1:967.0;,,0.0,51.1;
146,2024-04-19 23:57:00,50.601,50.58,50.601,50.545,206168,1713542220,,,,,,,,,,,14.252856304770567,-0.0189084079787704,9.84388641334691,-71.05882089138947,0,0,98254.57800000001,,,50.601:967.0;,-482.53300000000223,
166,2024-04-20 00:17:00,49.906,49.96,49.96,49.906,394488,1713543420,,,1.0,,,,,,,,-2.296357448231408,-4.28238312809102,8.372763119277247,-77.47514705605931,1,0,48847.638000000006,49.906:990.0;,49.906:990.0;,,0.0,49.906;
277,2024-04-20 02:08:00,49.9,50.26,50.26,49.9,779600,1713550080,,,,,,,,,,,5.661890104531551,32.84617376778081,8.336109823211862,-76.80003860491145,0,0,98248.638,,,49.9:990.0;,-5.940000000000225,
320,2024-04-20 02:51:00,49.302,49.3,49.385,49.3,462176,1713552660,,,,,1.0,,,,,,-4.889845156774832,15.052378187094211,7.088142350509806,-73.01630831715764,1,0,48848.03400000001,49.302:1002.0;,49.302:1002.0;,,0.0,49.302;
386,2024-04-20 03:57:00,49.49,49.535,49.54,49.49,360840,1713556620,,,,,,,,,,,56.10683988184228,20.488902293722447,6.453746885649643,79.14188096043782,0,0,98437.01400000001,,,49.49:1002.0;,188.3760000000024,49.6;
110,2024-05-01 23:21:00,51.51,51.45,51.515,51.45,294860,1714576860,,,,,,,,,1.0,,-10.08159612742115,14.9659561754818,18.16036737469139,-76.0042117249862,1,0,49244.964000000014,51.51:955.0;,51.51:955.0;,,0.0,51.51;
