,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
210,2024-01-03 02:01:00,47.915,47.885,47.915,47.885,124200,1704218460,,,,,1.0,,,,,,-14.662820141074675,11.532803395768774,0.1237857142857135,-8.98995992211286,-78.28188129612465,1,0,50024.655,47.915:1043.0;,47.915:1043.0;,,0.0,47.915;
267,2024-01-03 02:58:00,47.685,47.709,47.715,47.678,361620,1704221880,,,,,,,,,,,31.61466897358727,32.562811828559504,0.1215,-11.236460352218929,-76.42033310318021,0,0,99760.11,,,47.685:1043.0;,-239.88999999999675,
338,2024-01-03 04:09:00,47.164,47.175,47.175,47.145,137944,1704226140,,,,,1.0,,,,,,-5.896852410025545,6.072505436562118,0.1339285714285699,-19.09139380672697,-74.10613947933827,1,0,49766.27,47.164:1060.0;,47.164:1060.0;,,0.0,47.164;
386,2024-01-03 04:57:00,47.79,47.825,47.825,47.79,359712,1704229020,,,,,,,,,,,120.7621629885088,12.021684117310684,0.1462857142857134,-20.70157425820308,82.79020368635199,0,0,100423.67,,,47.79:1060.0;,663.5599999999976,47.79;
46,2024-01-03 23:17:00,46.615,46.659,46.685,46.615,261880,1704295020,1.0,,,,,,,,,,-3.237038908399789,16.667135342213683,0.308642857142857,11.012132278725232,-77.64105760258853,1,0,50219.314999999995,46.615:1077.0;,46.615:1077.0;,,0.0,46.615;
71,2024-01-03 23:42:00,46.535,46.51,46.562,46.51,270712,1704296520,,,,,,,,,1.0,,7.897935382282021,8.76770529710548,0.2969999999999996,9.655727295628015,-73.82420219068386,1,0,54.58499999999913,46.615:1077.0;46.535:1078.0;,46.535:1078.0;,,0.0,46.785;46.535;
148,2024-01-04 00:59:00,46.55,46.565,46.569,46.525,128036,1704301140,,,,,,,,,,,0.25575381038378,18.955896628960645,0.1429285714285712,8.624028527856197,-54.314431157990754,0,0,100369.83499999999,,,46.55:1077.0;46.55:1078.0;,-53.835000000004584,
296,2024-01-05 03:27:00,45.955,45.905,45.955,45.886,70820,1704396420,1.0,,,,,,,,,,-5.222379284219059,15.894020142210977,0.1003571428571424,7.895546994599147,-75.36255297402816,1,0,50186.97499999999,45.955:1092.0;,45.955:1092.0;,,0.0,45.955;
380,2024-01-05 04:51:00,45.775,45.705,45.775,45.705,735052,1704401460,,,,,,,,,,,16.975937645754613,12.40321874227353,0.1166428571428568,6.642510981571771,-55.686216516706544,0,0,100173.275,,,45.775:1092.0;,-196.5599999999997,
387,2024-01-05 04:58:00,45.625,45.605,45.625,45.59,183496,1704401880,,,,,,,,,1.0,,-0.8665576274715647,8.833362890717225,0.128071428571428,6.642510981571771,-75.26683307382747,1,0,100173.275,,,,0.0,
280,2024-02-14 03:11:00,55.915,55.891,55.936,55.891,192396,1707851460,,,,,,,,,1.0,,-6.81114411492176,13.328335538516306,0.1424285714285719,1.5701620970461363,-74.36173540805012,1,0,50129.35,55.915:895.0;,55.915:895.0;,,0.0,55.915;
282,2024-02-14 03:13:00,55.905,55.83,55.905,55.83,105644,1707851580,,,,,1.0,,,,,,-7.960260917554347,13.328335538516306,0.1424285714285719,1.5701620970461363,-76.49034519677721,1,0,94.375,55.915:895.0;55.905:895.0;,55.905:895.0;,,0.0,55.915;55.905;
286,2024-02-14 03:17:00,55.795,55.755,55.795,55.735,250936,1707851820,,,,,,,1.0,,,,-6.443127937257767,9.48931891638317,0.1514285714285722,1.5701620970461363,-69.14905967158724,1,0,94.375,55.915:895.0;55.905:895.0;,,,0.0,55.915;55.905;
323,2024-02-14 03:54:00,55.61,55.575,55.61,55.537,423712,1707854040,,,,,,,,,,,38.995058132952295,7.335714883738845,0.1780000000000003,-4.391350350778453,-74.06741768704647,0,0,99636.275,,,55.61:895.0;55.61:895.0;,-537.0000000000013,
346,2024-03-06 04:17:00,58.035,58.015,58.041,58.015,151040,1709669820,,,1.0,,,,,,,,14.907685189997409,4.019394209072292,0.177428571428572,-11.530776186716508,-62.00736621304123,1,0,49842.244999999995,58.035:858.0;,58.035:858.0;,,0.0,58.035;
386,2024-03-06 04:57:00,58.725,58.74,58.775,58.725,444664,1709672220,,,,,,,,,,,122.44648079384078,24.610283726768458,0.1750000000000017,-16.718112203891366,80.56617689872513,0,0,100228.295,,,58.725:858.0;,592.0200000000042,58.725;
235,2024-04-16 01:26:00,57.156,57.045,57.156,57.045,244980,1713201960,,,1.0,,,,,,,,4.617769881920438,-3.759750060346129,0.2649285714285717,8.490702580457551,-78.05907775321465,1,0,50159.639,57.156:876.0;,57.156:876.0;,,0.0,57.156;
241,2024-04-16 01:32:00,56.05,56.345,56.345,56.05,1077744,1713202320,,,,,,,,,,,-2.434123702417033,-5.766350710587794,0.288214285714286,3.170561631229674,-79.01125384685537,0,0,99259.439,,,56.05:876.0;,-968.8560000000015,
244,2024-04-16 01:35:00,56.26,56.34,56.405,56.26,724264,1713202500,,,,,1.0,,,,,,-0.8895692792101002,-6.113453360986682,0.282428571428572,3.170561631229674,-67.17549946631209,1,0,49188.039,56.26:890.0;,56.26:890.0;,,0.0,56.26;
335,2024-04-16 03:06:00,55.605,55.74,55.74,55.605,389920,1713207960,,,,,,,,,,,8.652371370517557,-5.761756823669543,0.2564999999999995,-6.898486714957045,-59.23599221997749,0,0,98676.489,,,55.605:890.0;,-582.950000000001,
19,2024-04-16 21:50:00,55.45,55.565,55.57,55.45,265617,1713275400,1.0,,,,,,,,,,42.19723473186068,10.187972536763064,0.3515000000000015,2.80599631676224,-49.78386836199945,1,0,49381.439,55.45:889.0;,55.45:889.0;,,0.0,55.45;
30,2024-04-16 22:01:00,55.93,55.875,55.93,55.875,293664,1713276060,,1.0,,,,,,,,,74.19131238806193,15.631264764086495,0.358428571428573,2.891605367564374,70.54559917601334,0,1,74270.28899999999,55.45:444.0;,,55.93:445;,213.5999999999986,56.08;
241,2024-04-17 01:32:00,55.575,55.44,55.63,55.44,860752,1713288720,,,,,,,,,,,54.56665875506444,103.62291493649916,0.1909999999999999,4.107487977701425,-56.75064586096405,0,0,98945.58899999999,,,55.575:444.0;,55.5,
196,2024-04-18 00:47:00,53.43,53.395,53.43,53.35,463924,1713372420,,,1.0,,,,,,,,-1.583924484160864,-16.866411792922364,0.2262142857142853,4.738198248611781,-75.04775294890372,1,0,49522.83899999999,53.43:925.0;,53.43:925.0;,,0.0,53.43;
330,2024-04-18 03:01:00,54.07,54.03,54.08,54.015,321840,1713380460,,,,,,,,,,,20.006207119204877,57.44280042322084,0.284357142857142,7.779466521617465,-73.8743114146081,0,0,99537.58899999999,,,54.07:925.0;,592.0000000000006,
