,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
149,2024-01-17 01:00:00,68.12,68.13,68.13,68.115,27802.0,1939200.0,1705424400,1.0,,,,,,,,,,10.313895741543078,0.1323882254236004,0.1364285714285722,13.64089375310094,-75.69178441583354,1,0,50068.03999999999,68.12:733.0;,68.12:733.0;,,0.0,68.12;
162,2024-01-17 01:13:00,67.955,67.93,67.97,67.93,113395.0,7896000.0,1705425180,,,,,,,,,,,-2.8989055482910477,-1.061980757017384,0.1339285714285724,13.64089375310094,-74.4629733587037,0,0,99879.055,,,67.955:733.0;,-120.94500000000458,
383,2024-02-29 04:54:00,72.895,72.86,72.895,72.86,66851.0,4980224.0,1709153640,,,,,,,1.0,,,,24.465849867422374,10.694411208277389,0.0900714285714302,-11.467719382111696,-55.972849676499465,1,0,49945.979999999996,72.895:685.0;,72.895:685.0;,,0.0,72.895;
386,2024-02-29 04:57:00,72.925,72.935,72.94,72.92,59204.0,4416256.0,1709153820,,,,,,,,,,,26.63265157228203,10.386349900282482,0.0997857142857157,-11.467719382111696,-25.439742117828693,0,0,99899.605,,,72.925:685.0;,20.55000000000078,72.965;
313,2024-03-15 02:44:00,71.955,71.94,71.957,71.94,15818.0,1163840.0,1710441840,,,,,,,1.0,,,,0.6153624483887654,13.929044754126624,0.0742142857142858,-3.364420102343871,-76.71639501654998,1,0,49962.835,71.955:694.0;,71.955:694.0;,,0.0,71.955;
321,2024-03-15 02:52:00,71.905,71.89,71.915,71.89,19370.0,1424512.0,1710442320,,,,,,,,,,,-12.486051197296192,9.997372222082063,0.0752857142857144,-3.364420102343871,-76.04263951382286,0,0,99864.905,,,71.905:694.0;,-34.69999999999803,
342,2024-03-15 03:13:00,71.715,71.685,71.715,71.67,23389.0,1716160.0,1710443580,,,,,,,,,1.0,,-12.757567708109196,4.4414302780114525,0.0757857142857147,-8.996706426719697,-76.7093974134936,1,0,49951.265,71.715:696.0;,71.715:696.0;,,0.0,71.715;
364,2024-03-15 03:35:00,71.725,71.695,71.725,71.687,48841.0,3581440.0,1710444900,,,,,,,,,,,30.900967322680977,9.562752190454749,0.0834285714285708,-13.423421493854876,21.025359066168743,0,0,99871.86499999999,,,71.725:696.0;,6.95999999999367,
100,2024-03-25 23:11:00,69.89,69.895,69.895,69.885,17646.0,1262112.0,1711379460,1.0,,,,,,,,,,0.4063867820556872,-6.7239486101678025,0.0901428571428561,-25.777293494779,-73.23778993202367,1,0,49970.40499999999,69.89:714.0;,69.89:714.0;,,0.0,69.89;
138,2024-03-25 23:49:00,69.915,69.915,69.93,69.915,17875.0,1279328.0,1711381740,,,,,,,,,,,54.38291791798464,-5.720623580675962,0.070214285714286,-28.15648344002868,58.02538977523119,0,0,99889.715,,,69.915:714.0;,17.85000000000406,
260,2024-04-09 01:51:00,70.035,70.02,70.035,70.02,18130.0,1299232.0,1712598660,1.0,,,,,,,,,,-2.6972518940682164,-8.196773126466184,0.0498571428571444,9.194398611959812,-75.14700450432846,1,0,49954.76,70.035:713.0;,70.035:713.0;,,0.0,70.035;
270,2024-04-09 02:01:00,69.98,69.96,69.98,69.96,20100.0,1439424.0,1712599260,,,,,,,,,,,-6.107765689182784,-13.762503182616996,0.0496428571428586,6.600152599162598,-73.78933170168712,0,0,99850.5,,,69.98:713.0;,-39.21499999999473,
