,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
176,2024-01-31 01:27:00,173.56,173.32,173.772,173.32,450756,78152704.0,1706635620,,,,,,,1.0,,,,-20.673682056541608,18.528427002820607,0.6387142857142842,17.405262175828085,-78.59631934701301,1,0,50014.72,173.56:288.0;,173.56:288.0;,,0.0,173.56;
178,2024-01-31 01:29:00,173.704,173.87,173.87,173.635,293084,50898432.0,1706635740,,,,,1.0,,,,,,-18.714608044142395,18.528427002820607,0.6387142857142842,17.405262175828085,-78.10924139477176,1,0,161.67199999999866,173.56:288.0;173.704:287.0;,173.704:287.0;,,0.0,173.704;173.704;
184,2024-01-31 01:35:00,172.835,173.16,173.16,172.75,408868,70668288.0,1706636100,,,,,,,,,,,-17.12064251350464,9.632458646085167,0.6808571428571436,11.640533244621253,-77.4524356039303,0,0,99541.79699999999,,,172.835:288.0;172.835:287.0;,-458.20299999999827,
264,2024-01-31 02:55:00,170.22,170.43,170.43,170.04,358208,60945408.0,1706640900,,,1.0,,,,,,,,4.563868913017743,-10.86616081377604,0.7042857142857132,3.4363040238959,-3.350646555155889,1,0,49667.33699999999,170.22:293.0;,170.22:293.0;,,0.0,170.22;
282,2024-01-31 03:13:00,170.455,170.6,170.63,170.455,291080,49633280.0,1706641980,,,,,,,,,,,43.07093268629331,-6.486805121991175,0.7077857142857097,0.4047910040660269,40.62211680427362,0,0,99610.652,,,170.455:293.0;,68.855000000004,
138,2024-02-07 00:49:00,166.702,166.491,166.702,166.491,223932,37338112.0,1707238140,,,,,1.0,,,,,,-4.36814387423739,-9.716972341795824,0.4714285714285751,19.42282872591636,-76.9965275682219,1,0,49933.456000000006,166.702:298.0;,166.702:298.0;,,0.0,166.702;
164,2024-02-07 01:15:00,166.078,165.837,166.078,165.837,415860,68897280.0,1707239700,,,,,,,,,,,3.8949267015522864,-10.897697440172358,0.5244285714285785,11.61883206292481,-65.99077382184016,0,0,99424.70000000001,,,166.078:298.0;,-185.95199999999858,
148,2024-02-21 00:59:00,163.13,163.266,163.3,163.13,150272,24530432.0,1708448340,,,1.0,,,,,,,,1.7388757973056954,-3.875066832773875,0.5452142857142864,14.56042292838478,-75.85846342300681,1,0,49833.180000000015,163.13:304.0;,163.13:304.0;,,0.0,163.13;
157,2024-02-21 01:08:00,162.64,162.37,162.64,162.36,335796,54581760.0,1708448880,,,,,,,,,,,5.592076679958439,-4.656613337870262,0.5205000000000025,7.750926411788953,-71.41887529388401,0,0,99275.74000000002,,,162.64:304.0;,-148.96000000000276,
359,2024-03-12 03:30:00,197.24,197.46,197.46,197.24,106760,21051392.0,1710185400,,,,,1.0,,,,,,-14.1761472620058,10.301584913514652,0.5301428571428529,-20.939353054980018,-74.51612732506184,1,0,49768.500000000015,197.24:251.0;,197.24:251.0;,,0.0,197.24;
386,2024-03-12 03:57:00,197.99,197.91,198.121,197.91,198896,39286784.0,1710187020,,,,,,,,,,,81.49511686428188,18.80297094315277,0.6501428571428575,-20.939353054980018,32.44047343687603,0,0,99463.99000000002,,,197.99:251.0;,188.25,198.543;
9,2024-03-12 21:40:00,196.85,196.32,196.855,196.17,423109,83123584.0,1710250800,,,,,,,1.0,,1.0,,26.999784993527623,17.530564699024836,1.125785714285716,-3.918684973801661,-73.91257109907922,1,0,49857.79000000002,196.85:252.0;,196.85:252.0;,,0.0,196.85;
14,2024-03-12 21:45:00,195.3,194.985,195.3,194.845,398026,77619072.0,1710251100,,,,,,,,,,,2.500704913935536,14.51474857114534,1.241428571428573,-3.918684973801661,-77.91562855814658,0,0,99073.39000000003,,,195.3:252.0;,-390.5999999999957,
20,2024-03-12 21:51:00,195.78,196.43,196.43,195.64,467059,91544064.0,1710251460,,,,,1.0,,,,,,-2.029171721718825,15.007432581095776,1.3146428571428612,-3.918684973801661,-70.85860290641439,1,0,49345.270000000026,195.78:254.0;,195.78:254.0;,,0.0,195.78;
31,2024-03-12 22:02:00,197.76,198.29,198.29,197.76,266474,52778240.0,1710252120,,1.0,,,,,,,,,37.49299362540866,25.38439300974771,1.4525000000000026,-3.6497839662550007,75.640685169768,0,1,74460.79000000002,195.78:127.0;,,197.76:127;,251.4599999999987,198.01;
