,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
36,2024-01-03 23:07:00,239.745,239.43,239.98,239.43,479878.0,1704294420,,,,,,,1.0,,,,-7.432368491788207,-8.239620615296467,1.3991428571428568,19.93908593761357,-69.2601185672658,1,0,50133.04,239.745:208.0;,239.745:208.0;,,0.0,239.745;
41,2024-01-03 23:12:00,237.42,237.17,237.53,237.17,670024.0,1704294720,,,,,,,,,,,-9.101061941207307,-10.02541021853184,1.4867857142857122,19.93908593761357,-76.16298047029616,0,0,99516.4,,,237.42:208.0;,-483.60000000000355,
38,2024-01-11 23:09:00,226.859,226.67,226.859,226.58,303134.0,1704985740,,,,,,,,,1.0,,-2.439674186817492,14.216180265267084,1.336500000000001,19.006600347606277,-76.50540549360852,1,0,49834.278999999995,226.859:219.0;,226.859:219.0;,,0.0,226.859;
79,2024-01-11 23:50:00,226.76,226.69,226.76,226.515,387332.0,1704988200,,,,,,,,,,,42.10589442870858,-7.430080580178711,0.9912857142857152,17.22859318169833,-59.795094439202,0,0,99494.71899999998,,,226.76:219.0;,-21.681000000003934,
98,2024-01-13 00:09:00,220.87,221.155,221.169,220.87,323788.0,1705075740,,,,,,,,,1.0,,14.142387592360812,14.810658766981106,0.8492142857142844,11.990600059003564,-72.30345125078998,1,0,49798.96899999998,220.87:225.0;,220.87:225.0;,,0.0,220.87;
123,2024-01-13 00:34:00,220.95,221.08,221.08,220.91,346748.0,1705077240,,,,,,,,,,,93.93272517373144,10.354299943585346,0.6787857142857153,11.5300691648517,68.08718472496295,0,0,99512.71899999998,,,220.95:225.0;,17.99999999999642,
132,2024-01-13 00:43:00,219.64,219.467,219.64,219.4,279028.0,1705077780,,,,,,,1.0,,,,27.90543000557288,4.796273248323303,0.7757142857142867,11.5300691648517,-71.85607855417715,1,0,49874.07899999998,219.64:226.0;,219.64:226.0;,,0.0,219.64;
144,2024-01-13 00:55:00,218.73,218.38,218.73,218.38,425320.0,1705078500,,,,,,,,,,,-7.0368027814749965,-4.805285612894181,0.7479285714285737,11.5300691648517,-76.29826357322295,0,0,99307.05899999998,,,218.73:226.0;,-205.65999999999923,
149,2024-01-13 01:00:00,218.26,218.25,218.27,218.161,299200.0,1705078800,,,,,1.0,,,,,,-9.781027399799434,-6.593276377637039,0.7433571428571436,9.58732625417364,-73.89155800499722,1,0,49762.03899999998,218.26:227.0;,218.26:227.0;,,0.0,218.26;
243,2024-01-13 02:34:00,219.099,219.14,219.159,219.07,144464.0,1705084440,,,,,,,,,,,53.74674283747345,11.161828780492485,0.4865714285714294,8.679310728250794,-19.53868875375274,0,0,99497.51199999999,,,219.099:227.0;,190.4529999999997,
138,2024-01-20 00:49:00,207.93,207.92,207.947,207.82,214736.0,1705682940,,,,,,,1.0,,1.0,,12.754613695268231,10.85418763736807,0.7487142857142837,15.436557843012444,-75.87328252669396,1,0,49802.241999999984,207.93:239.0;,207.93:239.0;,,0.0,207.93;
196,2024-01-20 01:47:00,209.3,209.268,209.3,209.268,192256.0,1705686420,,,,,,,,,,,93.1907473638185,18.697984117687227,0.5094285714285759,13.919950005112184,39.08338787146575,0,0,99824.94199999998,,,209.3:239.0;,327.4300000000011,
150,2024-01-26 01:01:00,184.284,184.167,184.359,184.167,494600.0,1706202060,,,,,,,1.0,,,,-2.3036603768703685,-8.467573607481611,0.6245714285714244,15.379191330030828,-78.09379532180151,1,0,50068.26199999998,184.284:270.0;,184.284:270.0;,,0.0,184.284;
154,2024-01-26 01:05:00,183.979,183.89,183.979,183.835,390592.0,1706202300,,,,,1.0,,,,,,-7.776825315461252,-8.388652628798642,0.6215714285714264,15.379191330030828,-76.14077156587899,1,0,209.9529999999795,184.284:270.0;183.979:271.0;,183.979:271.0;,,0.0,184.284;183.979;
157,2024-01-26 01:08:00,183.34,183.22,183.34,183.22,410008.0,1706202480,,,,,,,,,,,-11.405796370797006,-8.388652628798642,0.6215714285714264,15.379191330030828,-75.15890020825664,0,0,49711.75299999998,183.979:271.0;,,183.34:270.0;,-254.87999999999687,183.98;
164,2024-01-26 01:15:00,183.01,183.05,183.05,182.755,724624.0,1706202900,,,,,,,,,,,-12.03827236268252,-8.273067329968509,0.6434285714285721,15.379191330030828,-73.88934514421243,0,0,99307.46299999999,,,183.01:271.0;,-262.5990000000061,
184,2024-01-26 01:35:00,180.17,180.5,180.5,180.08,991008.0,1706204100,,,1.0,,,,,,,,-7.396701393631128,-7.854555423953112,0.7435000000000015,11.829600679374948,-77.32485698499076,1,0,49400.37299999999,180.17:277.0;,180.17:277.0;,,0.0,180.17;
228,2024-01-26 02:19:00,180.94,180.875,181.06,180.875,392704.0,1706206740,,,,,,,,,,,90.95203938425996,-0.7081288662709149,0.7204285714285723,9.411388970527398,28.968422125248804,0,0,99520.753,,,180.94:277.0;,213.29000000000283,
285,2024-02-14 03:16:00,182.556,182.75,182.75,182.556,297480.0,1707851760,,,,,,,,,1.0,,-19.281004640732554,6.68376091194267,0.3658571428571459,-9.107890176930312,-78.02326739471467,1,0,49865.52099999999,182.556:272.0;,182.556:272.0;,,0.0,182.556;
316,2024-02-14 03:47:00,182.905,182.84,182.905,182.84,158968.0,1707853620,,,,,,,,,,,63.86842440677207,8.692930676412182,0.3508571428571412,-12.35187914769584,38.02889885899545,0,0,99615.681,,,182.905:272.0;,94.92799999999716,
326,2024-02-14 03:57:00,182.34,182.461,182.533,182.34,312544.0,1707854220,,,,,,,1.0,,,,11.809900821076036,3.1829630468688563,0.3532857142857141,-12.35187914769584,-77.38391856501784,1,0,50019.200999999994,182.34:272.0;,182.34:272.0;,,0.0,182.34;
355,2024-02-14 04:26:00,182.372,182.24,182.4,182.24,177280.0,1707855960,,,,,,,,,,,15.074231322479,-0.2562034893418996,0.3491428571428555,-15.539146336555362,-64.95952786560089,0,0,99624.385,,,182.372:272.0;,8.704000000002907,
164,2024-03-05 01:15:00,189.102,189.21,189.354,189.102,296088.0,1709572500,,,1.0,,,,,,,,14.55540068593887,-21.10812543847851,0.6104999999999998,18.339468902617117,-73.65514608424772,1,0,49890.558999999994,189.102:263.0;,189.102:263.0;,,0.0,189.102;
184,2024-03-05 01:35:00,188.584,188.78,188.78,188.584,295464.0,1709573700,,,,,,,,,,,17.53588238667377,-18.979111650290346,0.6387142857142862,12.50209183067561,-47.20776880092943,0,0,99488.151,,,188.584:263.0;,-136.23400000000018,
205,2024-03-05 01:56:00,187.162,187.05,187.18,187.05,355024.0,1709574960,,,,,1.0,,,,,,-4.050094080869254,-17.06561152659224,0.6419285714285691,12.50209183067561,-71.23038354738301,1,0,49703.058999999994,187.162:266.0;,187.162:266.0;,,0.0,187.162;
248,2024-03-05 02:39:00,187.173,186.984,187.27,186.984,500824.0,1709577540,,,,,,,,,,,38.26044016024929,-5.347897278454518,0.6349285714285681,3.3662215502146893,-49.27607800138622,0,0,99491.07699999999,,,187.173:266.0;,2.925999999998851,
103,2024-03-06 00:14:00,177.761,177.95,177.95,177.7,312640.0,1709655240,,,,,,,1.0,,,,11.85666079649549,-2.510797884485065,0.946785714285716,-13.723362030426657,-75.88809186155586,1,0,49895.757999999994,177.761:279.0;,177.761:279.0;,,0.0,177.761;
192,2024-03-06 01:43:00,180.57,180.73,180.73,180.57,174704.0,1709660580,,,,,,,,,,,78.99443552577054,15.708629877794571,0.5603571428571448,-15.274360612802766,-28.736174251297143,0,0,100274.788,,,180.57:279.0;,783.7109999999993,
122,2024-03-14 23:33:00,163.256,163.257,163.3,163.18,395904.0,1710430380,,,,,1.0,,,,,,-3.846392568529275,1.2578125388496844,0.5629285714285714,-15.454091918340168,-68.51821717822027,1,0,50155.196,163.256:307.0;,163.256:307.0;,,0.0,163.256;
142,2024-03-14 23:53:00,163.005,163.359,163.359,163.005,324928.0,1710431580,,,,,,,,,,,20.361432934099675,1.588302726883402,0.5358571428571415,-15.454091918340168,-53.04541689344467,0,0,100197.731,,,163.005:307.0;,-77.05700000000147,
149,2024-03-15 00:00:00,162.959,162.8,162.99,162.79,235948.0,1710432000,,,1.0,,,,,,,,7.111854558325984,-0.1609077235114817,0.526142857142854,-16.786476741120488,-74.31099997062054,1,0,50169.318,162.959:307.0;,162.959:307.0;,,0.0,162.959;
157,2024-03-15 00:08:00,162.4,162.209,162.425,162.209,374232.0,1710432480,,,,,,,,,,,4.445245868295711,-0.8477181438352908,0.5205714285714252,-16.786476741120488,-70.75215062050098,0,0,100026.118,,,162.4:307.0;,-171.61299999999923,
211,2024-03-16 01:02:00,161.05,161.12,161.12,160.96,139744.0,1710522120,,,,,,,1.0,,,,9.958850251340206,12.644144076304856,0.3690714285714226,6.401696109390583,-60.3007079207234,1,0,50100.618,161.05:310.0;,161.05:310.0;,,0.0,161.05;
276,2024-03-16 02:07:00,162.6,162.61,162.63,162.57,113736.0,1710526020,,,,,,,,,,,76.92713953629655,47.7432598806426,0.3780714285714249,7.719096735999354,-1.140636067438366,0,0,100506.618,,,162.6:310.0;,480.4999999999947,
190,2024-04-16 00:41:00,164.45,164.46,164.52,164.45,204592.0,1713199260,,,,,1.0,,,,,,-18.562875807899395,7.283704177864259,0.444357142857139,4.711619043835299,-77.27133027720198,1,0,50349.368,164.45:305.0;,164.45:305.0;,,0.0,164.45;
229,2024-04-16 01:20:00,164.04,164.04,164.055,163.921,295596.0,1713201600,,,,,,,,,,,56.12578571637376,-0.1932105869734144,0.4159285714285699,1.5395687297259857,-37.65667241964943,0,0,100381.568,,,164.04:305.0;,-125.04999999999896,
9,2024-04-16 21:40:00,154.18,154.46,154.46,154.06,958813.0,1713274800,1.0,,,,,,,,1.0,,-3.1470392331607684,7.797616245159453,1.21914285714286,-3.4658293389289128,-77.04389152642774,1,0,50273.068,154.18:325.0;,154.18:325.0;,,0.0,154.18;
47,2024-04-16 22:18:00,156.77,156.589,156.96,156.57,412380.0,1713277080,,,,,,,,,,1.0,51.70817667074333,12.79545065206334,1.527857142857146,-4.029916022604063,76.51502971363377,0,1,101223.318,,,156.77:325.0;,841.7500000000011,157.09;
307,2024-05-10 02:38:00,172.252,172.335,172.335,172.252,153476.0,1715279880,,,,,,,1.0,,,,15.200394323456663,8.460617348576719,0.2560714285714311,12.573984500693967,-65.36679761553985,1,0,50753.481999999996,172.252:293.0;,172.252:293.0;,,0.0,172.252;
311,2024-05-10 02:42:00,171.959,171.983,172.032,171.959,130248.0,1715280120,,,,,,,,,,,17.16607821963086,9.435626074537566,0.2560000000000023,12.573984500693967,-24.61532260479308,0,0,101137.469,,,171.959:293.0;,-85.84900000000187,
7,2024-05-10 21:38:00,171.25,171.12,171.25,170.934,405579.0,1715348280,1.0,,,,,,,,,,28.385227064727744,6.308041783077925,0.5478571428571399,11.486226139052825,-75.04870943216308,1,0,50618.719,171.25:295.0;,171.25:295.0;,,0.0,171.25;
14,2024-05-10 21:45:00,170.274,170.18,170.31,170.18,501219.0,1715348700,,,,,,,,,,,3.590620487336821,2.111298169391304,0.645071428571427,11.486226139052825,-75.07042820560928,0,0,100849.549,,,170.274:295.0;,-287.91999999999973,
61,2024-05-10 22:32:00,169.218,168.971,169.218,168.971,557656.0,1715351520,,,,,,,1.0,,1.0,,-0.8323113528765873,16.692718284318318,0.99857142857143,7.973048365248871,-77.86357785079826,1,0,50422.585,169.218:298.0;,169.218:298.0;,,0.0,169.218;
84,2024-05-10 22:55:00,168.282,168.12,168.282,168.12,443512.0,1715352900,,,,,,,,,,,-7.175206657525891,6.144264679286792,0.738428571428571,7.973048365248871,-77.66276990963803,0,0,100570.621,,,168.282:298.0;,-278.92799999999363,
89,2024-05-10 23:00:00,168.18,168.21,168.21,168.06,303064.0,1715353200,,,,,1.0,,,,,,-4.227986011091176,4.869790029874672,0.7082857142857161,5.634555692878656,-73.45126219152014,1,0,50116.621,168.18:300.0;,168.18:300.0;,,0.0,168.18;
