,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
320,2024-01-06 03:51:00,138.52,138.283,138.52,138.283,208292.0,28822528.0,1704484260,1.0,,,,,,,,,,-12.444218538382358,-14.428019603994656,0.3055000000000031,61.60743521014365,-76.11081958994527,1,0,50132.799999999996,138.52:360.0;,138.52:360.0;,,0.0,138.52;
328,2024-01-06 03:59:00,138.075,137.97,138.13,137.96,277508.0,38292480.0,1704484740,,,,,,,,,,,-10.58373150773954,-17.045432175083164,0.3119285714285748,61.60743521014365,-75.80104719015274,0,0,99839.79999999999,,,138.075:360.0;,-160.20000000000778,
18,2024-01-10 22:49:00,147.525,147.67,147.67,147.457,267237.0,39435392.0,1704898140,,,,,,,1.0,,1.0,,4.833806410355777,18.37347835308836,0.615714285714284,95.81726768181004,-76.95754760366374,1,0,49976.349999999984,147.525:338.0;,147.525:338.0;,,0.0,147.525;
27,2024-01-10 22:58:00,146.839,146.841,146.841,146.66,278111.0,40818688.0,1704898680,,,,,,,,,,,-9.063528098747668,6.718781016920843,0.6249999999999959,95.81726768181004,-78.19684576992168,0,0,99607.93199999999,,,146.839:338.0;,-231.86800000000238,
24,2024-01-17 22:55:00,155.693,155.48,155.693,155.33,365484.0,56829184.0,1705503300,,,,,,,,,1.0,,-18.257663869480357,15.32333773758164,1.0994285714285692,104.81283105816162,-77.61706721785603,1,0,49941.86499999998,155.693:319.0;,155.693:319.0;,,0.0,155.693;
31,2024-01-17 23:02:00,155.15,154.94,155.15,154.69,472492.0,73171968.0,1705503720,,,,,,,1.0,,,,-19.76637153905054,9.23268751555102,1.139714285714285,101.87866593702256,-77.92702740616897,1,0,293.8649999999834,155.693:319.0;155.15:320.0;,155.15:320.0;,,0.0,155.736;155.15;
98,2024-01-18 00:09:00,157.06,156.94,157.145,156.94,183420.0,28811776.0,1705507740,,1.0,,,,,,,,,96.27419263446222,11.695438155563252,0.7804285714285787,99.9869182740814,80.05445058185825,0,1,50553.06499999998,155.693:159.0;155.15:160.0;,,157.06:160;157.06:160;,524.3199999999979,157.23;157.23;
127,2024-01-18 00:38:00,158.19,158.325,158.334,158.19,199968.0,31654400.0,1705509480,,,,,,,,,,1.0,106.0698691070974,32.957988334178964,0.6498571428571479,100.76800227876244,36.23646210565542,0,1,101015.67499999999,,,158.19:159.0;158.19:160.0;,883.4229999999965,158.39;158.39;
186,2024-01-19 01:37:00,160.324,160.64,160.64,160.324,325408.0,52296704.0,1705599420,,,1.0,,,,,,,,12.02292670682317,5.893653567795852,0.6877142857142827,78.09384095570454,-67.27454884362389,1,0,50513.61499999998,160.324:315.0;,160.324:315.0;,,0.0,160.324;
202,2024-01-19 01:53:00,160.14,159.8,160.14,159.8,582856.0,93415424.0,1705600380,,,,,,,,,,,42.28723541420005,0.1109308495394287,0.707571428571427,78.09384095570454,-10.417003933943084,0,0,100957.71499999998,,,160.14:315.0;,-57.960000000008165,
62,2024-01-22 23:33:00,165.77,165.71,165.77,165.455,626648.0,103615488.0,1705937580,,,1.0,,,,,,,,-7.4322953811189905,-8.255824344964765,1.80085714285714,91.20089182914182,-78.26529676244851,1,0,50563.63499999998,165.77:304.0;,165.77:304.0;,,0.0,165.77;
90,2024-01-23 00:01:00,164.3,164.225,164.3,164.19,436248.0,71541760.0,1705939260,,,,,,,,,,,12.696125151540656,-26.775247841971293,1.2402142857142835,83.34393224867856,-23.792928176705384,0,0,100510.83499999999,,,164.3:304.0;,-446.87999999999965,
275,2024-01-26 03:06:00,178.35,178.79,178.79,178.28,326040.0,58224640.0,1706209560,,,,,,,1.0,,,,7.377749512531622,-1.1208045785186729,0.7539999999999988,95.00121904597135,-75.38790598883787,1,0,50394.48499999999,178.35:281.0;,178.35:281.0;,,0.0,178.35;
353,2024-01-26 04:24:00,179.914,179.83,179.919,179.815,160856.0,28948480.0,1706214240,,,,,,,,,,,70.84708437331716,19.20310307359381,0.6164999999999959,92.30079038053174,4.020957219678446,0,0,100950.31899999999,,,179.914:281.0;,439.483999999998,
176,2024-01-31 01:27:00,173.56,173.32,173.772,173.32,450756.0,78152704.0,1706635620,,,,,,,1.0,,,,-20.673682056541608,18.52842708342281,0.6387142857142842,17.383996727302886,-78.59631934701301,1,0,50617.91899999999,173.56:290.0;,173.56:290.0;,,0.0,173.56;
178,2024-01-31 01:29:00,173.704,173.87,173.87,173.635,293084.0,50898432.0,1706635740,,,,,1.0,,,,,,-18.714608044142395,18.52842708342281,0.6387142857142842,17.383996727302886,-78.10924139477176,1,0,243.75899999998364,173.56:290.0;173.704:290.0;,173.704:290.0;,,0.0,173.704;173.704;
184,2024-01-31 01:35:00,172.835,173.16,173.16,172.75,408868.0,70668288.0,1706636100,,,,,,,,,,,-17.12064251350464,9.632458717236888,0.6808571428571436,11.622774729712503,-77.4524356039303,0,0,100488.05899999998,,,172.835:290.0;172.835:290.0;,-462.2599999999983,
264,2024-01-31 02:55:00,170.22,170.43,170.43,170.04,358208.0,60945408.0,1706640900,,,1.0,,,,,,,,4.563868913017743,-10.866160787694753,0.7042857142857132,3.424474299454758,-3.350646555155889,1,0,50102.93899999998,170.22:296.0;,170.22:296.0;,,0.0,170.22;
287,2024-01-31 03:18:00,170.466,170.53,170.578,170.466,150896.0,25738240.0,1706642280,,,,,,,,,,,42.86563519553081,-6.02544478609618,0.6313571428571387,0.3954485550202093,37.99277847330775,0,0,100560.87499999997,,,170.466:296.0;,72.81600000000276,
302,2024-02-09 03:33:00,169.37,169.3,169.37,169.278,73290.0,12407808.0,1707420780,,,,,1.0,,,,,,-16.76838457844611,15.134906766426084,0.2747857142857149,52.18058004856081,-75.98392143029396,1,0,50427.35499999997,169.37:296.0;,169.37:296.0;,,0.0,169.37;
306,2024-02-09 03:37:00,168.997,168.922,168.997,168.845,187304.0,31625216.0,1707421020,,,,,,,,,,,-19.721047950107547,9.362776126590148,0.2830000000000012,52.18058004856081,-78.18327227678678,0,0,100450.46699999998,,,168.997:296.0;,-110.40799999999717,
310,2024-02-09 03:41:00,168.862,168.82,168.862,168.816,65660.0,11082752.0,1707421260,,,,,,,,,1.0,,-17.481467370370275,5.896964907071904,0.2930714285714312,52.18058004856081,-76.75850996796382,1,0,50298.45299999998,168.862:297.0;,168.862:297.0;,,0.0,168.862;
359,2024-02-09 04:30:00,169.635,169.605,169.635,169.59,46732.0,7917056.0,1707424200,,,,,,,,,,,112.89900891014608,22.29779426535268,0.2872857142857197,52.36810998645633,62.467967141730114,0,0,100680.04799999998,,,169.635:297.0;,229.58099999999885,169.82;
288,2024-02-13 03:19:00,171.349,171.02,171.349,171.02,258752.0,44196352.0,1707765540,,,,,,,1.0,,,,-2.783950691556919,7.525970771628465,0.5850714285714288,102.88690452601342,-77.42774165893141,1,0,50474.79099999998,171.349:293.0;,171.349:293.0;,,0.0,171.349;
329,2024-02-13 04:00:00,171.71,171.767,171.767,171.68,59680.0,10252288.0,1707768000,,,,,,,,,,,66.28084151940371,-7.331356735818289,0.658857142857138,87.58133553910415,9.960645556512157,0,0,100785.82099999998,,,171.71:293.0;,105.7730000000054,
24,2024-02-23 22:55:00,179.765,179.83,179.83,179.43,335061.0,60241920.0,1708700100,,,,,,,1.0,,,,2.4172125055776803,16.703051924660315,1.0080714285714285,121.69387711828278,-77.12004087791222,1,0,50451.620999999985,179.765:280.0;,179.765:280.0;,,0.0,179.765;
28,2024-02-23 22:59:00,178.33,178.3,178.488,178.3,487133.0,86918400.0,1708700340,,,,,,,,,,,-8.006003688183341,16.703051924660315,1.0080714285714285,121.69387711828278,-78.04647210577475,0,0,100384.02099999998,,,178.33:280.0;,-401.7999999999927,
32,2024-02-23 23:03:00,178.53,178.97,178.97,178.53,531229.0,94967808.0,1708700580,,,,,1.0,,,,,,-8.434498069333848,9.337045711746356,1.1042857142857148,120.81643926594263,-76.55242051270692,1,0,50038.56099999998,178.53:282.0;,178.53:282.0;,,0.0,178.53;
40,2024-02-23 23:11:00,177.48,177.59,177.615,177.41,374752.0,66513664.0,1708701060,,,,,,,,,,,-9.792839537734238,-2.74833611268312,1.168214285714285,120.81643926594263,-74.9886838951999,0,0,100087.92099999997,,,177.48:282.0;,-296.1000000000032,
98,2024-02-24 00:09:00,175.185,175.54,175.63,175.185,244190.0,42800640.0,1708704540,,,,,1.0,,,,,,7.571904812376268,-24.53751357589765,0.9430714285714268,116.54098037044416,-72.38752290739059,1,0,49809.82599999997,175.185:287.0;,175.185:287.0;,,0.0,175.185;
105,2024-02-24 00:16:00,175.04,175.09,175.14,175.01,213472.0,37316096.0,1708704960,,,1.0,,,,,,,,7.088758613151839,-24.91841361880724,0.8554285714285673,116.54098037044416,-8.951230053264489,1,0,98.46599999997125,175.185:287.0;175.04:284.0;,175.04:284.0;,,0.0,175.54;175.04;
140,2024-02-24 00:51:00,175.645,175.9,175.9,175.645,130940.0,22979072.0,1708707060,,,,,,,,,,,80.1034805081966,-13.458589841807736,0.7612142857142804,113.9261221167893,20.898401294753025,0,0,100391.76099999998,,,175.645:287.0;175.645:284.0;,303.8400000000074,
39,2024-02-28 23:10:00,174.206,174.17,174.21,174.16,158020.0,27521664.0,1709133000,1.0,,,,,,,,,,-5.954814438654971,16.554889618960743,0.7662857142857129,39.278728479350406,-74.498888547999,1,0,50220.43299999999,174.206:288.0;,174.206:288.0;,,0.0,174.206;
100,2024-02-29 00:11:00,175.72,175.63,175.744,175.62,57672.0,10150144.0,1709136660,,1.0,,,,,,,,,110.0448776657428,8.209362445225793,0.4956428571428566,28.21875465594329,74.1077714386373,0,1,75524.11299999998,174.206:144.0;,,175.72:144;,218.01600000000144,175.835;
139,2024-02-29 00:50:00,176.154,176.19,176.19,176.124,229418.0,40407040.0,1709139000,,,,,,,,,,,71.44155245318493,39.95942652555971,0.3603571428571399,26.246992483681865,-15.03443560420632,0,0,100890.28899999999,,,176.154:144.0;,280.5120000000011,
9,2024-03-12 21:40:00,196.85,196.32,196.855,196.17,423109.0,83123584.0,1710250800,,,,,,,1.0,,1.0,,26.999784993589145,17.524065610678534,1.125785714285716,-3.9114402016431953,-73.91257109907922,1,0,50496.68899999999,196.85:256.0;,196.85:256.0;,,0.0,196.85;
15,2024-03-12 21:46:00,194.85,194.865,194.865,194.39,370345.0,72118400.0,1710251160,,,,,,,,,,,-0.015052348935356,14.508581662660935,1.241428571428573,-3.9114402016431953,-77.88201317253896,0,0,100378.28899999999,,,194.85:256.0;,-512.0,
20,2024-03-12 21:51:00,195.78,196.43,196.43,195.64,467059.0,91544064.0,1710251460,,,,,1.0,,,,,,-2.029171721689238,15.001582446662113,1.3146428571428612,-3.9114402016431953,-70.85860290641439,1,0,50062.82899999999,195.78:257.0;,195.78:257.0;,,0.0,195.78;
31,2024-03-12 22:02:00,197.76,198.29,198.29,197.76,266474.0,52778240.0,1710252120,,1.0,,,,,,,,,37.49299362542291,25.37913250843144,1.4525000000000026,-3.6438683558792206,75.640685169768,0,1,75573.86899999999,195.78:128.0;,,197.76:129;,255.41999999999868,198.01;
48,2024-03-12 22:19:00,196.645,196.74,196.889,196.645,194096.0,38195200.0,1710253140,,,,,,,,,,,55.1382308081536,36.262881534333175,1.5527857142857189,-3.6438683558792206,-20.955638278404123,0,0,100744.42899999999,,,196.645:128.0;,110.72000000000116,
46,2024-03-13 22:17:00,193.74,192.89,193.74,192.72,630604.0,121919744.0,1710339420,,,,,,,1.0,,,,-9.137940720946707,7.92997283383383,1.781785714285712,19.01633858366704,-76.267981926428,1,0,50565.768999999986,193.74:259.0;,193.74:259.0;,,0.0,193.74;
104,2024-03-13 23:15:00,195.705,195.455,195.705,195.378,229790.0,44880384.0,1710342900,,1.0,,,,,,,,,104.97160183899696,-8.754272062918687,1.059214285714282,14.68003844212031,78.98454487200424,0,1,76007.419,193.74:129.0;,,195.705:130;,255.45000000000044,196.06;
118,2024-03-13 23:29:00,194.673,194.345,194.673,194.345,195912.0,38114816.0,1710343740,,,,,,,,,,,62.275959313513226,-6.889593530508975,0.9110714285714262,14.68003844212031,29.940302220290818,0,0,101120.23599999999,,,194.673:129.0;,120.35699999999906,
224,2024-03-15 01:15:00,189.269,189.588,189.588,189.269,313968.0,59442176.0,1710436500,,,,,1.0,,,,,,-8.943914184708397,-7.570935713937402,0.5745714285714294,3.077444843068413,-77.61653075194118,1,0,50585.412999999986,189.269:267.0;,189.269:267.0;,,0.0,189.269;
