,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
187,2024-01-05 01:38:00,137.555,137.59,137.605,137.555,28693.0,3955072.0,1704389880,1.0,,,,,,,,,,7.163773861250746,-10.346197344885653,0.1897142857142861,,-74.53849523748511,1,0,50067.534999999996,137.555:363.0;,137.555:363.0;,,0.0,137.555;
195,2024-01-05 01:46:00,137.38,137.29,137.38,137.29,54178.0,7445504.0,1704390360,,,,,,,,,,,8.630103254594854,-13.49997094487628,0.1946428571428567,,-72.23828080811417,0,0,99936.47499999999,,,137.38:363.0;,-63.52500000000413,
387,2024-01-05 04:58:00,136.26,136.285,136.285,136.24,245756.0,33534464.0,1704401880,,,,,,,,,1.0,,8.656553478803005,6.732938070665856,0.1864285714285764,,-77.0938265069105,1,0,99936.47499999999,,,,0.0,
107,2024-01-12 00:18:00,141.31,141.31,141.31,141.24,56278.0,7966976.0,1704989880,,,,,,,1.0,,,,-9.663248714602217,-6.600100714913012,0.3794285714285763,82.8503484979999,-78.0058349885473,1,0,50054.04499999999,141.31:353.0;,141.31:353.0;,,0.0,141.31;
130,2024-01-12 00:41:00,141.07,141.13,141.14,141.01,95438.0,13474560.0,1704991260,,,,,,,,,,,3.083956341554209,-18.933699979332783,0.3022857142857162,78.09374263498503,-69.56050214946058,0,0,99851.75499999999,,,141.07:353.0;,-84.72000000000321,
387,2024-01-23 04:58:00,145.74,145.78,145.78,145.685,642272.0,93757696.0,1705957080,,,,,1.0,,,,,,-10.444098754279077,-1.057935343935661,0.1475000000000039,86.16388587907997,-76.79564597497654,1,0,99851.75499999999,,,,0.0,
169,2024-01-31 01:20:00,151.735,151.715,151.735,151.705,90299.0,13718400.0,1706635200,1.0,,,,,,,,,,7.1624467381531645,-24.11065133662849,0.17207142857143,79.94422239862217,-72.11040007191362,1,0,49930.93999999999,151.735:329.0;,151.735:329.0;,,0.0,151.735;
177,2024-01-31 01:28:00,151.57,151.513,151.57,151.5,53567.0,8131968.0,1706635680,,,,,,,,,,,2.016880173248456,-24.81745749622929,0.1717142857142874,79.94422239862217,-74.68659125761504,0,0,99797.46999999999,,,151.57:329.0;,-54.28500000000673,
283,2024-02-07 03:14:00,143.035,143.079,143.11,143.035,43442.0,6231808.0,1707246840,,,,,1.0,,,,,,-15.031887508202828,9.9718583497246,0.167357142857136,106.35061665119296,-77.10083003009035,1,0,50021.289999999986,143.035:348.0;,143.035:348.0;,,0.0,143.035;
307,2024-02-07 03:38:00,143.195,143.12,143.195,143.11,36418.0,5226496.0,1707248280,,,,,,,,,,,42.30987751562698,6.423007352371485,0.1632142857142834,105.72018621491536,4.408463023209577,0,0,99853.15,,,143.195:348.0;,55.67999999999881,
