,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
359,2024-01-06 04:30:00,394.275,394.385,394.385,394.265,79128.0,31312896.0,1704486600,1.0,,,,,,,,,,6.96275220716748,-8.818106250454932,0.3453571428571414,25.895522889226392,-73.8710282017745,1,0,100000.0,,,,0.0,
385,2024-01-25 04:56:00,424.575,424.675,424.805,424.575,317408.0,135301120.0,1706129760,1.0,,,,,,,,,,32.17239628075838,-16.488555897740085,0.507571428571416,84.55383490373757,-70.2478500181741,1,0,100000.0,,,,0.0,
74,2024-02-05 23:45:00,423.885,423.875,424.005,423.875,184500.0,78489600.0,1707147900,1.0,,,,,,,,,,0.1882849200680922,-17.566763825574185,0.7028571428571452,114.27519675550086,-75.76305429662209,1,0,50405.455,423.885:117.0;,423.885:117.0;,,0.0,423.885;
201,2024-02-06 01:52:00,427.145,427.05,427.145,427.05,83104.0,35596288.0,1707155520,,,,,,,,,,,74.43824039866573,58.82110747768005,0.3264999999999978,108.77137903024366,-20.85802861858688,0,0,100381.42,,,427.145:117.0;,381.41999999999894,
291,2024-02-13 03:22:00,433.605,434.075,434.075,433.605,208796.0,90927104.0,1707765720,1.0,,,,,,,,,,7.943773172500144,-0.8823316405020591,0.5319999999999985,88.20785793695617,-76.23564387556796,1,0,50516.844999999994,433.605:115.0;,433.605:115.0;,,0.0,433.605;
322,2024-02-13 03:53:00,433.755,433.865,433.905,433.735,51524.0,22388736.0,1707767580,,,,,,,,,,,38.68745026155362,-7.053220677122695,0.4612857142857243,81.9218741059116,-3.774551804662447,0,0,100398.66999999998,,,433.755:115.0;,17.249999999997385,
314,2024-02-22 03:45:00,420.47,420.375,420.47,420.365,184244.0,77650944.0,1708544700,1.0,,,,,,,,,,-14.02402369664982,13.551453100948072,0.5212142857142794,-19.980880680724454,-78.04179468701427,1,0,50362.73999999998,420.47:119.0;,420.47:119.0;,,0.0,420.47;
386,2024-02-22 04:57:00,424.125,424.075,424.17,424.075,338324.0,144033792.0,1708549020,,,,,,,,,,,117.94376820056186,67.6464472649686,0.4650714285714384,-19.802059768147053,62.02068454720039,0,0,100833.61499999999,,,424.125:119.0;,434.94499999999675,424.125;
96,2024-02-24 00:07:00,434.865,434.78,434.915,434.78,278355.0,121432576.0,1708704420,1.0,,,,,,,,,,-7.307976938268403,7.672375731627255,0.7675000000000044,127.49981433426495,-78.33163538773465,1,0,50824.13999999999,434.865:115.0;,434.865:115.0;,,0.0,434.865;
166,2024-02-24 01:17:00,436.565,436.575,436.615,436.485,80298.0,35185664.0,1708708620,,,,,,,,,,,98.7333933049847,16.532983503262727,0.4702142857142795,127.00822174685254,51.63096448913422,0,0,101029.11499999999,,,436.565:115.0;,195.4999999999987,
212,2024-03-09 02:03:00,438.385,438.535,438.705,438.355,357760.0,156985344.0,1709920980,,,,,1.0,,1.0,,1.0,,-5.316857141563872,-21.724656713014497,0.9161428571428588,81.94335399285464,-75.2068436061191,1,0,50614.83999999999,438.385:115.0;,438.385:115.0;,,0.0,438.385;
235,2024-03-09 02:26:00,438.095,438.385,438.385,438.095,163908.0,71823360.0,1709922360,,,,,,,,,,,11.079486795729116,-22.88796414364737,0.7694285714285668,81.94335399285464,-53.90618359546958,0,0,100995.76499999998,,,438.095:115.0;,-33.349999999995816,
294,2024-04-05 02:25:00,442.228,442.248,442.258,442.198,184568.0,81702912.0,1712255100,,,,,1.0,,,,,,3.400728584580815,9.472646025120554,0.4474285714285721,104.5923905221686,11.423487702264229,1,0,50581.77299999999,442.228:114.0;,442.228:114.0;,,0.0,442.228;
298,2024-04-05 02:29:00,441.218,440.838,441.218,440.778,446692.0,197298176.0,1712255340,,,,,,,,,,,2.9299894189954507,9.472646025120554,0.4474285714285721,104.5923905221686,-45.94237954248713,0,0,100880.62499999999,,,441.218:114.0;,-115.13999999999896,
302,2024-04-05 02:33:00,439.618,439.468,439.618,439.058,421454.0,185474048.0,1712255580,,,,,,,,,1.0,,2.009822149922641,2.414383636990408,0.5624285714285732,97.19541265894534,-70.25742315690425,1,0,50764.17299999999,439.618:114.0;,439.618:114.0;,,0.0,439.618;
313,2024-04-05 02:44:00,439.36,439.518,439.518,439.298,186168.0,81907712.0,1712256240,,,,,,,,,,,11.89809901832828,-5.528342080005359,0.7239285714285667,97.19541265894534,38.43705194465374,0,0,100851.21299999999,,,439.36:114.0;,-29.411999999997875,
327,2024-04-05 02:58:00,438.168,438.288,438.288,438.098,250804.0,110076928.0,1712257080,,,,,,,1.0,,,,7.240296133213462,-16.234608271729655,0.8934285714285701,97.19541265894534,-69.85157882652501,1,0,50461.89299999999,438.168:115.0;,438.168:115.0;,,0.0,438.168;
346,2024-04-05 03:17:00,436.798,436.948,436.948,436.798,201256.0,87869440.0,1712258220,,,,,,,,,,,4.644147680993015,-24.34105558990173,1.0464999999999889,84.94568967311336,-71.74786571360065,0,0,100693.66299999999,,,436.798:115.0;,-157.55000000000052,
190,2024-04-13 00:41:00,437.388,437.198,437.388,437.198,138346.0,60623872.0,1712940060,1.0,,,,,,,,,,-15.476766933986047,-14.264615795477283,0.5397142857142886,74.62978095989638,-77.07130410100909,1,0,50394.04299999999,437.388:115.0;,437.388:115.0;,,0.0,437.388;
231,2024-04-13 01:22:00,436.907,436.758,436.907,436.688,154330.0,67520512.0,1712942520,,,,,,,,,,,40.73753305097063,-15.085616393447282,0.5372857142857137,67.6933740345093,14.278815860581751,0,0,100638.348,,,436.907:115.0;,-55.31499999999937,
86,2024-04-17 22:57:00,428.287,428.258,428.308,428.158,132177.0,56748032.0,1713365820,1.0,,,,,,,,,,27.725233520908183,2.9585123470059926,0.7957857142857157,10.50427755203297,-69.72384914522759,1,0,50528.769,428.287:117.0;,428.287:117.0;,,0.0,428.287;
108,2024-04-17 23:19:00,428.459,428.423,428.459,428.368,60093.0,25844224.0,1713367140,,,,,,,,,,,52.85470816984933,2.3185588791518086,0.7925714285714329,9.06887908569972,31.79243506382916,0,0,100658.47200000001,,,428.459:117.0;,20.12400000000298,
56,2024-04-19 22:27:00,418.313,418.143,418.313,418.143,247519.0,103783936.0,1713536820,1.0,,,,,,,,,,-10.325725435266214,9.455107627634057,1.2374285714285602,12.417840397658065,-77.97053421506928,1,0,50460.91200000001,418.313:120.0;,418.313:120.0;,,0.0,418.313;
93,2024-04-19 23:04:00,418.468,418.258,418.468,418.246,111024.0,46328832.0,1713539040,,,,,,,,,,,61.45582813906405,13.767022618662203,0.7743571428571272,11.37363204610481,5.147437373918916,0,0,100677.07200000001,,,418.468:120.0;,18.600000000003547,
166,2024-04-20 00:17:00,415.108,415.288,415.288,415.108,338860.0,140930048.0,1713543420,,,,,,,,,1.0,,-2.2973022753894057,-3.876872969364296,0.604928571428571,8.417629034535405,-77.38853446079571,1,0,50449.004000000015,415.108:121.0;,415.108:121.0;,,0.0,415.108;
179,2024-04-20 00:30:00,414.588,414.638,414.683,414.588,197344.0,82000896.0,1713544200,,,,,,,,,,,-2.62163437380352,-5.95305144221955,0.5560714285714222,7.072738164594735,-70.52124093307519,0,0,100614.15200000002,,,414.588:121.0;,-62.9199999999978,
