,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
6,2024-01-03 22:37:00,241.87,242.315,242.356,241.87,849775.0,205808384.0,1704292620,1.0,,,,,,,,1.0,,38.14909312205533,10.98983263977415,1.1155714285714242,,-74.86366312048216,1,0,50174.78,241.87:206.0;,241.87:206.0;,,0.0,241.87;
15,2024-01-03 22:46:00,240.367,240.296,240.397,240.296,842589.0,202604800.0,1704293160,,,,,,,,,,,-0.2382932526315073,4.963081791136361,1.2131428571428535,,-77.01332693318763,0,0,99690.382,,,240.367:206.0;,-309.61800000000295,
18,2024-01-03 22:49:00,241.25,240.97,241.25,240.86,454330.0,109517056.0,1704293340,,,,,1.0,,,,,,-3.679578586303592,4.963081791136361,1.2131428571428535,,-75.40286157736888,1,0,49751.632,241.25:207.0;,241.25:207.0;,,0.0,241.25;
27,2024-01-03 22:58:00,238.984,239.15,239.185,238.905,840598.0,200770560.0,1704293880,,,,,,,,,,,-13.427615418812977,-0.4992705905357582,1.291642857142855,,-78.21943673445156,0,0,99221.32,,,238.984:207.0;,-469.0619999999982,
36,2024-01-03 23:07:00,239.745,239.43,239.98,239.43,479878.0,114924032.0,1704294420,,,,,,,1.0,,,,-7.432368492801718,-4.676940285003667,1.3991428571428568,,-69.2601185672658,1,0,49354.36000000001,239.745:208.0;,239.745:208.0;,,0.0,239.745;
41,2024-01-03 23:12:00,237.42,237.17,237.53,237.17,670024.0,158840832.0,1704294720,,,,,,,,,,,-9.101061941933544,-6.606963835858018,1.4867857142857122,,-76.16298047029616,0,0,98737.72,,,237.42:208.0;,-483.60000000000355,
292,2024-01-05 03:23:00,239.425,239.351,239.425,239.305,159968.0,38342656.0,1704396180,1.0,,,,,,,,,,-14.595509955620471,19.11644939623494,0.503857142857143,,-76.35189634187172,1,0,49416.17,239.425:206.0;,239.425:206.0;,,0.0,239.425;
348,2024-01-05 04:19:00,239.255,239.28,239.29,239.14,214824.0,51429376.0,1704399540,,,,,,,,,,,84.31748308960165,1.2198982109626684,0.465285714285715,,36.27808830104818,0,0,98702.7,,,239.255:206.0;,-35.02000000000328,
387,2024-01-05 04:58:00,238.12,238.06,238.12,237.95,259624.0,61849600.0,1704401880,,,,,,,,,1.0,,-13.052358234214708,1.8981277510279284,0.5205714285714313,,-76.87807293389976,1,0,98702.7,,,,0.0,
37,2024-01-09 23:08:00,234.1,233.78,234.1,233.5,779956.0,181522432.0,1704812880,,,,,,,1.0,,,,-4.176502063969693,12.76848700206358,0.8861428571428637,64.47010292422664,-73.52328007049879,1,0,49541.7,234.1:210.0;,234.1:210.0;,,0.0,234.1;
45,2024-01-09 23:16:00,233.49,233.79,233.896,233.49,438620.0,101580800.0,1704813360,,,,,,,,,1.0,,-2.951965214169448,0.1934908073378665,1.0454285714285751,64.47010292422664,-75.63409224388761,1,0,275.3099999999977,234.1:210.0;233.49:211.0;,233.49:211.0;,,0.0,234.205;233.49;
59,2024-01-09 23:30:00,232.177,232.35,232.35,232.116,713532.0,164593152.0,1704814200,,,,,,,,,,,1.715704837814492,-13.897230900629763,1.1993571428571426,56.38017544465127,-76.96618030585338,0,0,98021.82699999999,,,232.177:210.0;232.177:211.0;,-680.8730000000039,
38,2024-01-11 23:09:00,226.859,226.67,226.859,226.58,303134.0,67985920.0,1704985740,,,,,,,,,1.0,,-2.439674186817492,14.216180265267084,1.336500000000001,19.006600347606277,-76.50540549360852,1,0,49020.28299999999,226.859:216.0;,226.859:216.0;,,0.0,226.859;
79,2024-01-11 23:50:00,226.76,226.69,226.76,226.515,387332.0,87550976.0,1704988200,,,,,,,,,,,42.10589442870858,-7.430080580178711,0.9912857142857152,17.22859318169833,-59.795094439202,0,0,98000.44299999998,,,226.76:216.0;,-21.38400000000388,
98,2024-01-13 00:09:00,220.87,221.155,221.169,220.87,323788.0,71537664.0,1705075740,,,,,,,,,1.0,,14.142387592360812,14.810658766981106,0.8492142857142844,11.990600059003564,-72.30345125078998,1,0,49188.17299999998,220.87:221.0;,220.87:221.0;,,0.0,220.87;
123,2024-01-13 00:34:00,220.95,221.08,221.08,220.91,346748.0,76603392.0,1705077240,,,,,,,,,,,93.93272517373144,10.354299943585346,0.6787857142857153,11.5300691648517,68.08718472496295,0,0,98018.12299999998,,,220.95:221.0;,17.679999999996483,
