,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
13,2024-01-16 22:44:00,144.68,144.815,144.815,144.61,28580.0,4135696.0,1705416240,1.0,,,,,,,,1.0,,17.37948275737878,11.951679617924489,0.5474999999999953,17.374213478343762,-72.3851315325029,1,0,50085.399999999994,144.68:345.0;,144.68:345.0;,,0.0,144.68;
47,2024-01-16 23:18:00,143.98,144.08,144.175,143.9,123407.0,17776000.0,1705418280,,,,,,,,,,,4.948677455171811,13.711070695019425,0.8786428571428603,12.843170558036263,-73.63779913397187,0,0,99758.5,,,143.98:345.0;,-241.50000000000588,
76,2024-01-16 23:47:00,142.859,142.85,142.95,142.82,47657.0,6809536.0,1705420020,,,,,,,1.0,,,,3.3244386330050872,6.217933368356139,0.7980714285714328,7.634771578289218,-74.75134446030013,1,0,49900.708999999995,142.859:349.0;,142.859:349.0;,,0.0,142.859;
96,2024-01-17 00:07:00,143.37,143.33,143.37,143.33,24144.0,3462080.0,1705421220,,,,,,,,,,,71.24257507981284,16.184066269164457,0.8050000000000027,4.297376319746547,49.864260703139,0,0,99936.839,,,143.37:349.0;,178.3389999999985,
58,2024-01-29 23:29:00,129.54,129.455,129.54,129.16,216526.0,27993600.0,1706542140,,,,,,,1.0,,,,0.2296330385717482,-11.70697722626526,1.550785714285717,14.21427031169793,-76.06865242246583,1,0,50063.93900000001,129.54:385.0;,129.54:385.0;,,0.0,129.54;
74,2024-01-29 23:45:00,129.21,129.32,129.33,129.21,83311.0,10767616.0,1706543100,,,,,,,,,,,22.920863287900865,-10.019281630481489,1.2315000000000051,7.16432418816666,-46.70792828339316,0,0,99809.78900000002,,,129.21:385.0;,-127.04999999999387,
101,2024-01-30 00:12:00,128.5,128.975,129.01,128.5,104710.0,13491584.0,1706544720,,,1.0,,,,,,,,8.981577415258663,-9.972664021572626,1.0002142857142908,1.295630415172127,-74.95933474788063,1,0,49951.78900000002,128.5:388.0;,128.5:388.0;,,0.0,128.5;
203,2024-01-30 01:54:00,130.52,130.21,130.52,130.21,99472.0,12980224.0,1706550840,,,,,,,,,,,31.55601755193325,14.27164190383236,0.4789285714285723,-8.001763787327533,-43.97996490817307,0,0,100593.54900000003,,,130.52:388.0;,783.760000000004,
89,2024-03-09 00:00:00,112.602,112.54,112.602,112.49,50709.0,5708480.0,1709913600,,,,,,,1.0,,,,6.13959222264495,-16.254114218518147,0.4139999999999994,18.218470853736875,-45.24084396849253,1,0,50373.05700000003,112.602:446.0;,112.602:446.0;,,0.0,112.602;
94,2024-03-09 00:05:00,111.868,111.84,111.868,111.765,73309.0,8199296.0,1709913900,,,,,,,,,,,1.515178141199815,-16.85343238715712,0.4361428571428568,18.218470853736875,-73.70422015113134,0,0,100266.18500000003,,,111.868:446.0;,-327.36400000000395,
109,2024-03-09 00:20:00,111.05,110.99,111.135,110.99,76996.0,8557056.0,1709914800,,,,,1.0,,,,,,1.0906081705879451,-17.62936090082942,0.4751428571428562,18.218470853736875,-51.06762338282434,1,0,50071.58500000003,111.05:452.0;,111.05:452.0;,,0.0,111.05;
150,2024-03-09 01:01:00,110.43,110.36,110.43,110.345,39734.0,4386048.0,1709917260,,,,,,,,,,,14.073404750171267,-13.743789398001637,0.4227142857142841,9.963905836566228,-73.95366557077143,0,0,99985.94500000004,,,110.43:452.0;,-280.23999999999563,
176,2024-03-09 01:27:00,108.96,108.96,109.01,108.95,76446.0,8329088.0,1709918820,,,1.0,,,,,,,,-1.461298191755937,-12.677954543694714,0.445214285714285,9.963905836566228,-75.8905223308882,1,0,49755.38500000004,108.96:461.0;,108.96:461.0;,,0.0,108.96;
