,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
282,2024-02-14 03:13:00,403.7,403.691,403.7,403.64,25527,1707851580,1.0,,,,,,,,,,-11.082469283115827,13.266412977957714,0.4647857142857146,2.2995861484242823,-75.5176721063404,1,0,50344.9,403.7:123.0;,403.7:123.0;,,0.0,403.7;
321,2024-02-14 03:52:00,403.25,403.296,403.304,403.2,31096,1707853920,,,,,,,,,,,35.78103687084877,2.543600433256735,0.4572857142857174,-2.363595234521,-70.3308575231235,0,0,99944.65,,,403.25:123.0;,-55.3499999999986,
184,2024-04-16 00:35:00,419.29,419.23,419.37,419.2,23721,1713198900,,,,,1.0,,,,,,-6.842218570313683,2.369191616932696,0.5929999999999974,5.124803223756345,-76.8620810917978,1,0,50049.13999999999,419.29:119.0;,419.29:119.0;,,0.0,419.29;
228,2024-04-16 01:19:00,418.74,418.28,418.74,418.28,56826,1713201540,,,,,,,,,,,32.11911150184298,-5.859521124816837,0.5939285714285673,1.12365106278979,-67.304858759713,0,0,99879.19999999998,,,418.74:119.0;,-65.45000000000135,
233,2024-04-16 01:24:00,417.11,417.01,417.25,416.99,45728,1713201840,,,,,,,1.0,,1.0,,11.178593425736588,-7.778145278999084,0.6469999999999955,1.12365106278979,-77.39885479888783,1,0,50243.10999999998,417.11:119.0;,417.11:119.0;,,0.0,417.11;
239,2024-04-16 01:30:00,415.665,415.425,415.665,415.425,35915,1713202200,,,,,,,,,,,-2.376262462107796,-10.798870941563592,0.7442142857142804,-3.691401011368896,-78.3957016008219,0,0,99707.24499999998,,,415.665:119.0;,-171.9549999999992,
245,2024-04-16 01:36:00,414.87,415.18,415.18,414.85,116071,1713202560,,,,,1.0,,,,,,-3.173321009388822,-11.370998488291242,0.7202857142857104,-3.691401011368896,-73.54572355709676,1,0,49922.84499999998,414.87:120.0;,414.87:120.0;,,0.0,414.87;
281,2024-04-16 02:12:00,413.712,413.62,413.712,413.47,33508,1713204720,,,,,,,,,,,14.129933962863312,-9.60140145283212,0.8465714285714269,-6.393878571231255,-68.01768771701848,0,0,99568.28499999997,,,413.712:120.0;,-138.96000000000186,
222,2024-04-19 01:13:00,406.702,406.66,406.702,406.59,18942,1713460380,1.0,,,,,,,,,,3.3061917249873147,19.353791268213783,0.6782142857142779,5.66922629392073,-71.51534032033763,1,0,49950.640999999974,406.702:122.0;,406.702:122.0;,,0.0,406.702;
264,2024-04-19 01:55:00,405.58,405.59,405.59,405.45,46732,1713462900,,,,,,,,,,,37.00082924981318,3.16796883690634,0.6926428571428532,4.721438118493879,-69.75442002845588,0,0,99431.40099999997,,,405.58:122.0;,-136.88400000000172,
322,2024-05-01 02:53:00,392.901,392.59,392.901,392.59,40026,1714503180,,,,,1.0,,,,1.0,,-10.433730142986278,2.0039479496741883,0.4105000000000091,7.557806460896032,-75.4986481374566,1,0,49925.87499999997,392.901:126.0;,392.901:126.0;,,0.0,392.901;
352,2024-05-01 03:23:00,392.76,392.53,392.788,392.51,58051,1714504980,,,,,,,,,,,38.434396783010776,7.64913075376294,0.4076428571428648,3.594877824099584,-50.90294525805694,0,0,99413.63499999998,,,392.76:126.0;,-17.766000000002464,
370,2024-05-31 03:41:00,415.29,415.205,415.34,415.135,80828,1717098060,,,,,1.0,,,,1.0,,1.6493993404736926,5.498807992303277,0.5162142857143002,4.243269641159444,-59.38120000613458,1,0,49994.12499999998,415.29:119.0;,415.29:119.0;,,0.0,415.29;
380,2024-05-31 03:51:00,414.49,414.92,414.92,414.49,144716,1717098660,,,,,,,,,,,7.955625953583571,3.680246243081825,0.5864285714285862,4.243269641159444,-38.65381337337882,0,0,99318.43499999997,,,414.49:119.0;,-95.20000000000135,
381,2024-05-31 03:52:00,414.925,414.84,414.99,414.8,127308,1717098720,,,,,,,1.0,,,,7.654172682699215,3.680246243081825,0.5864285714285862,4.243269641159444,-27.54325374513952,1,0,49942.359999999964,414.925:119.0;,414.925:119.0;,,0.0,414.925;
