,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
13,2024-01-16 22:44:00,144.68,144.815,144.815,144.61,28580.0,1705416240,1.0,,,,,,,,1.0,,17.37948275737878,11.951679617924489,0.5474999999999953,17.374213478343762,-72.3851315325029,1,0,50085.399999999994,144.68:345.0;,144.68:345.0;,,0.0,144.68;
47,2024-01-16 23:18:00,143.98,144.08,144.175,143.9,123407.0,1705418280,,,,,,,,,,,4.948677455171811,13.711070695019425,0.8786428571428603,12.843170558036263,-73.63779913397187,0,0,99758.5,,,143.98:345.0;,-241.50000000000588,
76,2024-01-16 23:47:00,142.859,142.85,142.95,142.82,47657.0,1705420020,,,,,,,1.0,,,,3.3244386330050872,6.217933368356139,0.7980714285714328,7.634771578289218,-74.75134446030013,1,0,49900.708999999995,142.859:349.0;,142.859:349.0;,,0.0,142.859;
98,2024-01-17 00:09:00,143.04,142.96,143.125,142.89,23051.0,1705421340,,,,,,,,,,,58.19623881171901,16.184066269164457,0.8050000000000027,4.297376319746547,-27.270840795622167,0,0,99821.669,,,143.04:349.0;,63.16899999999413,
58,2024-01-29 23:29:00,129.54,129.455,129.54,129.16,216526.0,1706542140,,,,,,,1.0,,,,0.2296330385717482,-11.70697722626526,1.550785714285717,14.21427031169793,-76.06865242246583,1,0,49948.769,129.54:385.0;,129.54:385.0;,,0.0,129.54;
90,2024-01-30 00:01:00,129.255,129.006,129.255,129.006,88501.0,1706544060,,,,,,,,,,,21.46093529525784,-9.351627342149648,1.0344285714285777,1.295630415172127,55.16294165787477,0,0,99711.94399999999,,,129.255:385.0;,-109.72499999999869,
101,2024-01-30 00:12:00,128.5,128.975,129.01,128.5,104710.0,1706544720,,,1.0,,,,,,,,8.981577415258663,-9.972664021572626,1.0002142857142908,1.295630415172127,-74.95933474788063,1,0,49853.94399999999,128.5:388.0;,128.5:388.0;,,0.0,128.5;
204,2024-01-30 01:55:00,130.22,130.11,130.22,130.07,12668.0,1706550900,,,,,,,,,,,22.404733552569496,14.07682781862232,0.4962142857142879,-8.001763787327533,-52.65846880537423,0,0,100379.30399999999,,,130.22:388.0;,667.3599999999996,
89,2024-03-09 00:00:00,112.602,112.54,112.602,112.49,50709.0,1709913600,,,,,,,1.0,,,,6.13959222264495,-16.254114218518147,0.4139999999999994,18.218470853736875,-45.24084396849253,1,0,50271.41399999999,112.602:445.0;,112.602:445.0;,,0.0,112.602;
95,2024-03-09 00:06:00,111.795,111.861,111.944,111.795,54938.0,1709913960,,,,,,,,,,,1.2613637228732415,-16.85343238715712,0.4361428571428568,18.218470853736875,-72.06443383679348,0,0,100020.18899999998,,,111.795:445.0;,-359.115000000001,
