,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
176,2024-01-31 01:27:00,173.56,173.32,173.772,173.32,450756,1706635620,,,,,,,1.0,,,,-20.673682056541608,18.528427002820607,0.6387142857142842,17.405262175828085,-78.59631934701301,1,0,50014.72,173.56:288.0;,173.56:288.0;,,0.0,173.56;
178,2024-01-31 01:29:00,173.704,173.87,173.87,173.635,293084,1706635740,,,,,1.0,,,,,,-18.714608044142395,18.528427002820607,0.6387142857142842,17.405262175828085,-78.10924139477176,1,0,161.67199999999866,173.56:288.0;173.704:287.0;,173.704:287.0;,,0.0,173.704;173.704;
214,2024-01-31 02:05:00,172.14,171.914,172.2,171.83,664172,1706637900,,,,,,,,,,,5.568144318072015,-5.91983537123518,0.7512857142857184,7.285896574139386,-72.01387487934467,0,0,99142.17199999999,,,172.14:288.0;172.14:287.0;,-857.8280000000107,
264,2024-01-31 02:55:00,170.22,170.43,170.43,170.04,358208,1706640900,,,1.0,,,,,,,,4.563868913017743,-10.86616081377604,0.7042857142857132,3.4363040238959,-3.350646555155889,1,0,49267.71199999999,170.22:293.0;,170.22:293.0;,,0.0,170.22;
289,2024-01-31 03:20:00,169.71,169.99,169.99,169.71,459600,1706642400,,,,,,,,,,,34.3044456583812,-6.610134751241027,0.6522142857142816,0.4047910040660269,-42.28202193178602,0,0,98992.742,,,169.71:293.0;,-149.42999999999734,
138,2024-02-07 00:49:00,166.702,166.491,166.702,166.491,223932,1707238140,,,,,1.0,,,,,,-4.36814387423739,-9.716972341795824,0.4714285714285751,19.42282872591636,-76.9965275682219,1,0,49648.95,166.702:296.0;,166.702:296.0;,,0.0,166.702;
174,2024-02-07 01:25:00,165.66,165.745,165.745,165.645,140768,1707240300,,,,,,,,,,,-2.835197204825011,-11.360915319087802,0.5176428571428622,11.61883206292481,-76.49996808053763,0,0,98684.31,,,165.66:296.0;,-308.43200000000047,
148,2024-02-21 00:59:00,163.13,163.266,163.3,163.13,150272,1708448340,,,1.0,,,,,,,,1.7388757973056954,-3.875066832773875,0.5452142857142864,14.56042292838478,-75.85846342300681,1,0,49419.049999999996,163.13:302.0;,163.13:302.0;,,0.0,163.13;
159,2024-02-21 01:10:00,162.08,162.23,162.298,162.08,186692,1708449000,,,,,,,,,,,2.76476498796481,-5.137609168749005,0.560928571428572,7.750926411788953,-76.46344276856759,0,0,98367.20999999999,,,162.08:302.0;,-317.09999999999485,
359,2024-03-12 03:30:00,197.24,197.46,197.46,197.24,106760,1710185400,,,,,1.0,,,,,,-14.1761472620058,10.301584913514652,0.5301428571428529,-20.939353054980018,-74.51612732506184,1,0,49254.44999999999,197.24:249.0;,197.24:249.0;,,0.0,197.24;
386,2024-03-12 03:57:00,197.99,197.91,198.121,197.91,198896,1710187020,,,,,,,,,,,81.49511686428188,18.80297094315277,0.6501428571428575,-20.939353054980018,32.44047343687603,0,0,98553.95999999999,,,197.99:249.0;,186.75,198.543;
9,2024-03-12 21:40:00,196.85,196.32,196.855,196.17,423109,1710250800,,,,,,,1.0,,1.0,,26.999784993527623,17.530564699024836,1.125785714285716,-3.918684973801661,-73.91257109907922,1,0,49341.45999999999,196.85:250.0;,196.85:250.0;,,0.0,196.85;
20,2024-03-12 21:51:00,195.78,196.43,196.43,195.64,467059,1710251460,,,,,1.0,,,,,,-2.029171721718825,15.007432581095776,1.3146428571428612,-3.918684973801661,-70.85860290641439,1,0,200.67999999999302,196.85:250.0;195.78:251.0;,195.78:251.0;,,0.0,196.85;195.78;
31,2024-03-12 22:02:00,197.76,198.29,198.29,197.76,266474,1710252120,,1.0,,,,,,,,,37.49299362540866,25.38439300974771,1.4525000000000026,-3.6497839662550007,75.640685169768,0,1,49838.43999999999,196.85:125.0;195.78:125.0;,,197.76:125;197.76:126;,363.2299999999983,198.01;198.01;
