,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
162,2024-02-22 01:13:00,67.26,66.873,67.26,66.873,446910.0,1708535580,,,,,1.0,,,,1.0,,-4.374917023570433,-2.943692081228761,0.1902142857142854,-24.050398150832805,-74.92903519895167,1,0,50025.82,67.26:743.0;,67.26:743.0;,,0.0,67.26;
165,2024-02-22 01:16:00,66.785,66.926,66.951,66.785,208172.0,1708535760,,,,,,,1.0,,,,-5.566727128218041,-5.103984673540751,0.2309999999999996,-24.050398150832805,-76.78625775087053,1,0,49691.895,66.785:748.0;,66.785:748.0;,66.785:743.0;,-352.9250000000063,66.785;
251,2024-02-22 02:42:00,66.916,66.961,66.961,66.916,45872.0,1708540920,,,,,,,,,,,8.639151156144052,8.983894316460194,0.2037857142857169,-26.16624504326994,51.04147698635642,0,0,99745.063,,,66.916:748.0;,97.98800000000017,
6,2024-03-12 21:37:00,87.316,87.433,87.433,87.278,281136.0,1710250620,1.0,,,,,,,,,,82.74198690488532,17.256769401324178,0.5512142857142877,6.329686221027529,78.98799689707874,1,0,49887.62699999999,87.316:571.0;,87.316:571.0;,,0.0,87.316;
19,2024-03-12 21:50:00,86.239,86.661,86.661,86.239,260163.0,1710251400,,,,,,,1.0,,,,59.40557132154858,34.15939851764686,0.6323571428571465,6.329686221027529,-39.61045404632148,0,0,99130.09599999999,,,86.239:571.0;,-614.966999999999,
9,2024-04-05 21:40:00,86.308,86.107,86.308,86.107,250817.0,1712324400,1.0,,,,,,,,,,66.89400494143759,-2.6901099227218594,0.5037857142857172,19.821612042872037,74.6215740305617,1,0,49589.30399999999,86.308:574.0;,86.308:574.0;,,0.0,86.308;
16,2024-04-05 21:47:00,87.209,87.127,87.273,87.095,156473.0,1712324820,,1.0,,,,,,,,,92.31076690859878,3.4372701299466826,0.5625714285714309,19.821612042872037,82.3656193706541,0,1,74618.28699999998,86.308:287.0;,,87.209:287;,258.5869999999989,87.294;
149,2024-04-06 00:00:00,88.224,88.228,88.26,88.221,61762.0,1712332800,,,,,,,,1.0,,1.0,105.93303460796918,97.56997361236344,0.2117142857142856,27.73377213367769,23.76162698931139,0,1,99938.57499999998,,,88.224:287.0;,549.8919999999991,88.233;
351,2024-04-16 03:22:00,86.249,86.359,86.359,86.233,110952.0,1713208920,,,1.0,,,,,,,,-6.029414158339279,-4.305248141255724,0.2406428571428601,17.947093001435064,-73.10296085408216,1,0,50000.40399999999,86.249:579.0;,86.249:579.0;,,0.0,86.249;
384,2024-04-16 03:55:00,86.056,86.132,86.132,86.041,148288.0,1713210900,,,,,,,,,,,40.72230905568805,-1.8765241219942297,0.2860000000000023,9.20679127099703,-65.83915322046656,0,0,99826.82799999998,,,86.056:579.0;,-111.74699999999875,
198,2024-04-18 00:49:00,84.555,84.663,84.663,84.555,128460.0,1713372540,,,1.0,,,,,,,,6.430896116484519,-15.751694951601516,0.2782857142857163,12.066991609810673,-72.77590019470226,1,0,49939.377999999975,84.555:590.0;,84.555:590.0;,,0.0,84.555;
