,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
13,2024-01-16 22:44:00,144.68,144.815,144.815,144.61,28580.0,1705416240,1.0,,,,,,,,1.0,,17.37948275737878,11.951679617924489,0.5474999999999953,17.374213478343762,-72.3851315325029,1,0,50085.399999999994,144.68:345.0;,144.68:345.0;,,0.0,144.68;
66,2024-01-16 23:37:00,143.368,143.614,143.614,143.368,56776.0,1705419420,,,,,,,,,,,19.432687741740978,9.956624927968312,1.0497142857142856,7.634771578289218,-73.5971562397132,0,0,99547.35999999999,,,143.368:345.0;,-452.6400000000041,
76,2024-01-16 23:47:00,142.859,142.85,142.95,142.82,47657.0,1705420020,,,,,,,1.0,,,,3.3244386330050872,6.217933368356139,0.7980714285714328,7.634771578289218,-74.75134446030013,1,0,49689.56899999998,142.859:349.0;,142.859:349.0;,,0.0,142.859;
98,2024-01-17 00:09:00,143.04,142.96,143.125,142.89,23051.0,1705421340,,,,,,,,,,,58.19623881171901,16.184066269164457,0.8050000000000027,4.297376319746547,-27.270840795622167,0,0,99610.52899999998,,,143.04:349.0;,63.16899999999413,
58,2024-01-29 23:29:00,129.54,129.455,129.54,129.16,216526.0,1706542140,,,,,,,1.0,,,,0.2296330385717482,-11.70697722626526,1.550785714285717,14.21427031169793,-76.06865242246583,1,0,49867.16899999998,129.54:384.0;,129.54:384.0;,,0.0,129.54;
90,2024-01-30 00:01:00,129.255,129.006,129.255,129.006,88501.0,1706544060,,,,,,,,,,,21.46093529525784,-9.351627342149648,1.0344285714285777,1.295630415172127,55.16294165787477,0,0,99501.08899999998,,,129.255:384.0;,-109.43999999999869,
101,2024-01-30 00:12:00,128.5,128.975,129.01,128.5,104710.0,1706544720,,,1.0,,,,,,,,8.981577415258663,-9.972664021572626,1.0002142857142908,1.295630415172127,-74.95933474788063,1,0,49771.58899999998,128.5:387.0;,128.5:387.0;,,0.0,128.5;
204,2024-01-30 01:55:00,130.22,130.11,130.22,130.07,12668.0,1706550900,,,,,,,,,,,22.404733552569496,14.07682781862232,0.4962142857142879,-8.001763787327533,-52.65846880537423,0,0,100166.72899999998,,,130.22:387.0;,665.6399999999995,
89,2024-03-09 00:00:00,112.602,112.54,112.602,112.49,50709.0,1709913600,,,,,,,1.0,,,,6.13959222264495,-16.254114218518147,0.4139999999999994,18.218470853736875,-45.24084396849253,1,0,50171.44099999998,112.602:444.0;,112.602:444.0;,,0.0,112.602;
102,2024-03-09 00:13:00,111.605,111.659,111.659,111.59,69587.0,1709914380,,,,,,,,,,,2.439178179643516,-17.387347946958187,0.4401428571428565,18.218470853736875,-59.60341789855798,0,0,99724.06099999999,,,111.605:444.0;,-442.66799999999995,
109,2024-03-09 00:20:00,111.05,110.99,111.135,110.99,76996.0,1709914800,,,,,1.0,,,,,,1.0906081705879451,-17.62936090082942,0.4751428571428562,18.218470853736875,-51.06762338282434,1,0,49751.56099999999,111.05:450.0;,111.05:450.0;,,0.0,111.05;
160,2024-03-09 01:11:00,110.04,110.02,110.04,109.9,79873.0,1709917860,,,,,,,,,,,23.010672975518297,-12.98440068914503,0.4557142857142843,9.963905836566228,-64.94251035358523,0,0,99269.56099999999,,,110.04:450.0;,-454.4999999999959,
176,2024-03-09 01:27:00,108.96,108.96,109.01,108.95,76446.0,1709918820,,,1.0,,,,,,,,-1.461298191755937,-12.677954543694714,0.445214285714285,9.963905836566228,-75.8905223308882,1,0,49256.92099999999,108.96:459.0;,108.96:459.0;,,0.0,108.96;
178,2024-03-09 01:29:00,109.4,109.97,109.97,109.4,28502.0,1709918940,,,,,1.0,,,,,,8.655840225735684,-12.677954543694714,0.445214285714285,9.963905836566228,-0.9294539403364552,1,0,26.920999999987544,108.96:459.0;109.4:450.0;,109.4:450.0;,,0.0,109.4;109.4;
327,2024-03-09 03:58:00,110.76,110.785,110.83,110.76,14366.0,1709927880,,,,,,,,,,,38.20977571447443,68.98747307845335,0.1861428571428547,5.920399752181993,-49.46448509622923,0,0,100707.76099999998,,,110.76:459.0;110.76:450.0;,1438.200000000005,
245,2024-03-22 01:36:00,123.68,123.69,123.72,123.68,33090.0,1711042560,,,,,,,1.0,,,,-19.79777068027726,-1.971435652181043,0.3204999999999996,-7.048495879329067,-77.60204508416766,1,0,50370.00099999998,123.68:407.0;,123.68:407.0;,,0.0,123.68;
253,2024-03-22 01:44:00,123.097,123.1,123.1,123.085,29794.0,1711043040,,,,,,,,,,,-20.80818931847084,-3.318105826235545,0.3097857142857145,-7.048495879329067,-78.65761249600958,0,0,100470.47999999998,,,123.097:407.0;,-237.28100000000512,
255,2024-03-22 01:46:00,123.3,123.08,123.32,123.08,38305.0,1711043160,,,,,1.0,,,,,,-18.999341445030048,-3.898819991742848,0.328714285714286,-7.048495879329067,-77.4890273046395,1,0,50164.07999999998,123.3:408.0;,123.3:408.0;,,0.0,123.3;
264,2024-03-22 01:55:00,122.51,122.458,122.535,122.458,28232.0,1711043700,,,,,,,,,,,-16.38053542229736,-5.644453612038866,0.3519285714285719,-7.048495879329067,-78.60310466502054,0,0,100148.15999999997,,,122.51:408.0;,-322.31999999999675,
269,2024-03-22 02:00:00,122.565,122.61,122.67,122.565,25055.0,1711044000,,,1.0,,,,,,,,-10.446326489191756,-5.585406619872245,0.3633571428571441,-9.672875378827245,-75.01861670996578,1,0,49896.50999999997,122.565:410.0;,122.565:410.0;,,0.0,122.565;
335,2024-03-22 03:06:00,122.154,122.39,122.39,122.154,18460.0,1711047960,,,,,,,,,,,33.344016543345376,5.987207087891132,0.3339285714285722,-13.415356707964335,53.20121402695491,0,0,99979.64999999997,,,122.154:410.0;,-168.51000000000056,
13,2024-03-25 21:44:00,120.47,121.155,121.155,120.47,68918.0,1711374240,1.0,,,,,,,,1.0,,78.64468047135261,7.332224626122624,1.153499999999999,19.86932838012938,66.83040794909033,1,0,50105.06999999996,120.47:414.0;,120.47:414.0;,,0.0,120.47;
89,2024-03-25 23:00:00,119.88,119.825,119.88,119.825,20020.0,1711378800,,,,,,,,,,,30.360528334148785,54.529131772595264,0.581785714285712,19.43827443685588,-71.42933349711667,0,0,99735.38999999996,,,119.88:414.0;,-244.2600000000014,
366,2024-04-13 03:37:00,115.45,115.53,115.53,115.45,31651.0,1712950620,,,,,1.0,,,,,,1.3874279390261748,-5.904968279552129,0.1892142857142837,0.9071436888007298,-72.98947226211295,1,0,49976.43999999995,115.45:431.0;,115.45:431.0;,,0.0,115.45;
386,2024-04-13 03:57:00,115.635,115.585,115.65,115.585,43960.0,1712951820,,,,,,,,,,,29.411209162784864,2.3174750382594667,0.2267142857142841,0.9071436888007298,70.75089296743401,0,0,99815.12499999996,,,115.635:431.0;,79.73500000000098,115.825;
8,2024-04-15 21:39:00,114.895,114.92,115.1,114.895,45869.0,1713188340,1.0,,,,,,,,,,24.005346416640734,9.90163969040982,0.3637857142857135,-8.823049630686839,-64.98006727545935,1,0,49950.694999999956,114.895:434.0;,114.895:434.0;,,0.0,114.895;
13,2024-04-15 21:44:00,114.54,114.99,114.99,114.51,30306.0,1713188640,,,,,1.0,,,,,,14.015127955711831,7.819600786710676,0.445928571428571,-8.823049630686839,-71.91527557405887,1,0,125.7949999999546,114.895:434.0;114.54:435.0;,114.54:435.0;,,0.0,114.895;114.54;
45,2024-04-15 22:16:00,116.13,116.05,116.13,116.05,9588.0,1713190560,,1.0,,,,,,,,,71.47981841508792,35.19855080164612,0.6695000000000023,-10.186534675994793,74.28960638349618,0,1,50642.34499999996,114.895:217.0;114.54:217.0;,,116.13:217;116.13:218;,614.6149999999975,116.295;116.295;
115,2024-04-15 23:26:00,115.732,115.72,115.765,115.72,4590.0,1713194760,,,,,,,,,,,59.39293527358316,83.36887156958115,0.327142857142856,-10.106389430148056,-50.87891448690452,0,0,100870.03299999997,,,115.732:217.0;115.732:217.0;,440.2929999999992,
269,2024-04-16 02:00:00,113.801,113.77,113.801,113.665,41534.0,1713204000,,,,,,,1.0,,,,2.162705498805757,3.651615497160151,0.2710714285714236,-11.627423043526726,-76.13888758750598,1,0,51025.19499999996,113.801:438.0;,113.801:438.0;,,0.0,113.801;
386,2024-04-16 03:57:00,114.29,114.38,114.38,114.28,25790.0,1713211020,,,,,,,,,,,105.15652177034916,13.785764124901632,0.2009999999999994,-13.604906477773362,27.721515605011,0,0,101084.21499999997,,,114.29:438.0;,214.1820000000019,114.41;
89,2024-06-04 23:00:00,144.88,144.885,144.92,144.84,11392.0,1717513200,,,,,,,1.0,,,,16.735469847676434,2.17757487051351,0.4724999999999966,5.823552051268884,-73.78449829171943,1,0,50665.97499999997,144.88:348.0;,144.88:348.0;,,0.0,144.88;
109,2024-06-04 23:20:00,144.17,144.105,144.17,144.07,10917.0,1717514400,,,,,,,,,,,-0.2829718319439962,-9.659820284444478,0.4154285714285696,5.823552051268884,-61.81893226580009,0,0,100837.13499999997,,,144.17:348.0;,-247.08000000000277,
43,2024-06-20 22:14:00,142.82,142.63,142.86,142.61,33931.0,1718892840,,,,,,,1.0,,1.0,,-11.793583375916064,-5.50765439195213,0.6702857142857154,17.911156016136317,-75.92364966903286,1,0,50421.67499999997,142.82:353.0;,142.82:353.0;,,0.0,142.82;
170,2024-06-21 00:21:00,142.59,142.474,142.63,142.474,11341.0,1718900460,,,,,,,,,,,6.151565740445363,11.778772296297548,0.2184285714285709,8.738594446862393,-73.85284212469055,0,0,100755.94499999998,,,142.59:353.0;,-81.18999999999639,
65,2024-06-21 22:36:00,140.574,140.61,140.61,140.47,28212.0,1718980560,,,,,,,1.0,,,,-1.7576549014006917,0.1554424593823427,0.6487142857142872,5.898192155334449,-77.0031455256523,1,0,50430.45299999997,140.574:358.0;,140.574:358.0;,,0.0,140.574;
187,2024-06-22 00:38:00,141.95,141.96,142.0,141.95,3307.0,1718987880,,,,,,,,,,,0.5582319904457904,40.585625834806095,0.2101428571428495,8.518335944671065,-58.46024203789905,0,0,101248.55299999997,,,141.95:358.0;,492.60799999999153,
6,2024-06-26 21:37:00,139.26,138.77,139.26,138.76,19571.0,1719409020,1.0,,,,,,,,,,18.26851345085165,0.4399853697730123,0.4364285714285724,11.78253109499206,64.550056698565,1,0,50697.17299999997,139.26:363.0;,139.26:363.0;,,0.0,139.26;
84,2024-06-26 22:55:00,138.28,138.31,138.33,138.23,6440.0,1719413700,,,,,,,,,,,49.572381445122645,-1.036589564603581,0.4656428571428575,7.5171299635627875,74.77154672507665,0,0,100892.81299999997,,,138.28:363.0;,-355.73999999999626,
220,2024-06-27 01:11:00,137.57,137.25,137.57,136.925,158345.0,1719421860,,,,,,,,,1.0,,-6.5225218906124525,16.97718055130023,0.2721428571428532,5.721222208060823,-73.35415193038344,1,0,50404.62299999997,137.57:367.0;,137.57:367.0;,,0.0,137.57;
223,2024-06-27 01:14:00,136.62,136.97,137.39,136.62,183677.0,1719422040,,,,,,,1.0,,,,-6.184734467285253,16.97718055130023,0.2721428571428532,5.721222208060823,-74.56508853654434,1,0,50268.00299999997,136.62:368.0;,136.62:368.0;,136.62:367.0;,-348.6499999999958,136.62;
225,2024-06-27 01:16:00,136.37,137.13,137.13,136.306,182945.0,1719422160,,,,,,,,,,,-6.31685330967774,13.63450289754703,0.3532142857142832,5.721222208060823,-76.18829922047902,0,0,100452.16299999997,,,136.37:368.0;,-92.0,
226,2024-06-27 01:17:00,137.31,136.76,137.5,136.7,123899.0,1719422220,,,,,1.0,,,,,,-5.857066531573267,13.63450289754703,0.3532142857142832,5.721222208060823,-73.90065024271925,1,0,49922.08299999997,137.31:368.0;,137.31:368.0;,,0.0,137.31;
