,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
149,2024-01-17 01:00:00,68.12,68.13,68.13,68.115,27802.0,1705424400,1.0,,,,,,,,,,10.313895741543078,0.1323882254236004,0.1364285714285722,13.64089375310094,-75.69178441583354,1,0,50068.03999999999,68.12:733.0;,68.12:733.0;,,0.0,68.12;
282,2024-01-17 03:13:00,68.035,68.023,68.045,68.01,41914.0,1705432380,,,,,,,,,,,-4.702104973919106,36.36314399597049,0.0638571428571412,-1.8082540731608103,-74.2160689704001,0,0,99937.69499999999,,,68.035:733.0;,-62.30500000000583,
383,2024-02-29 04:54:00,72.895,72.86,72.895,72.86,66851.0,1709153640,,,,,,,1.0,,,,24.465849867422374,10.694411208277389,0.0900714285714302,-11.467719382111696,-55.972849676499465,1,0,50004.619999999995,72.895:685.0;,72.895:685.0;,,0.0,72.895;
386,2024-02-29 04:57:00,72.925,72.935,72.94,72.92,59204.0,1709153820,,,,,,,,,,,26.63265157228203,10.386349900282482,0.0997857142857157,-11.467719382111696,-25.439742117828693,0,0,99958.245,,,72.925:685.0;,20.55000000000078,72.965;
371,2024-03-01 04:42:00,72.18,72.19,72.19,72.18,24699.0,1709239320,,,,,1.0,,,,,,1.1424713176239578,8.916400359044289,0.0530714285714282,-33.0821502446765,-74.96275380363302,1,0,50009.68499999999,72.18:692.0;,72.18:692.0;,,0.0,72.18;
386,2024-03-01 04:57:00,72.395,72.38,72.395,72.38,45793.0,1709240220,,,,,,,,,,,78.77797848785305,16.217964997192148,0.0653571428571433,-33.0821502446765,84.41935503651828,0,0,100107.025,,,72.395:692.0;,148.77999999999253,72.395;
313,2024-03-15 02:44:00,71.955,71.94,71.957,71.94,15818.0,1710441840,,,,,,,1.0,,,,0.6153624483887654,13.929044754126624,0.0742142857142858,-3.364420102343871,-76.71639501654998,1,0,50098.299999999996,71.955:695.0;,71.955:695.0;,,0.0,71.955;
335,2024-03-15 03:06:00,71.77,71.785,71.79,71.77,30872.0,1710443160,,,,,,,,,,,-13.027578479519876,5.897461342197968,0.0729285714285714,-8.996706426719697,-76.26069806177337,0,0,99978.44999999998,,,71.77:695.0;,-128.57500000000158,
342,2024-03-15 03:13:00,71.715,71.685,71.715,71.67,23389.0,1710443580,,,,,,,,,1.0,,-12.757567708109196,4.4414302780114525,0.0757857142857147,-8.996706426719697,-76.7093974134936,1,0,49993.09499999998,71.715:697.0;,71.715:697.0;,,0.0,71.715;
386,2024-03-15 03:57:00,71.79,71.785,71.79,71.74,144564.0,1710446220,,,,,,,,,,,92.208632077987,21.20744267964501,0.097142857142856,-13.423421493854876,77.99004730644089,0,0,100030.72499999998,,,71.79:697.0;,52.27500000000198,71.87;
