,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
266,2024-02-14 02:57:00,144.485,144.52,144.52,144.445,31795,1707850620,1.0,,,,,,,,,,12.592442917940282,4.240860285532548,0.1520714285714299,16.701792087392306,-71.7990564435025,1,0,50008.189999999995,144.485:346.0;,144.485:346.0;,,0.0,144.485;
283,2024-02-14 03:14:00,144.035,144.01,144.035,144.005,60970,1707851640,,,,,,,,,,,-2.2549901943776547,-3.214348217345844,0.1492857142857145,11.084854760311202,-74.2528010261451,0,0,99844.29999999999,,,144.035:346.0;,-155.7000000000059,
288,2024-02-14 03:19:00,144.02,144.1,144.1,144.02,25172,1707851940,,,,,1.0,,,,,,0.966173369945043,-5.369483532115034,0.1592857142857155,11.084854760311202,-60.43092367882285,1,0,49869.359999999986,144.02:347.0;,144.02:347.0;,,0.0,144.02;
322,2024-02-14 03:53:00,143.96,143.89,143.97,143.89,51920,1707853980,,,,,,,,,,,56.08595186031407,2.0784721245541817,0.1956428571428574,5.747376917514828,-69.22198321697464,0,0,99823.47999999998,,,143.96:347.0;,-20.82000000000079,
350,2024-02-14 04:21:00,143.6,143.575,143.61,143.575,54880,1707855660,,,,,,,,,1.0,,-8.426557370630128,-5.944395380345767,0.2188571428571423,-1.046820593956312,-76.42842599832545,1,0,49850.679999999986,143.6:348.0;,143.6:348.0;,,0.0,143.6;
386,2024-02-14 04:57:00,144.745,144.815,144.87,144.745,166388,1707857820,,,,,,,,,,,125.1331419640076,22.23176858216189,0.2419285714285714,-6.23429268342008,75.800922849301,0,0,100221.93999999999,,,144.745:348.0;,398.46000000000356,144.745;
199,2024-02-17 01:50:00,140.295,140.335,140.342,140.291,81001,1708105800,,,,,1.0,,,,,,-8.927973038926275,0.8751372147446119,0.1803571428571493,11.277941302728706,-74.9308758350959,1,0,50136.62499999999,140.295:357.0;,140.295:357.0;,,0.0,140.295;
315,2024-02-17 03:46:00,140.615,140.385,140.615,140.385,69562,1708112760,,,,,,,,,,,-1.9166525687069225,61.12733773808161,0.155071428571426,8.112488745418581,-51.609585216305,0,0,100336.18,,,140.615:357.0;,114.24000000000771,
193,2024-02-27 01:44:00,137.87,137.955,137.955,137.855,122560,1708969440,,,,,1.0,,,,,,-4.466460061345128,-12.026655910056412,0.189785714285713,9.80566020028104,-75.5160145380982,1,0,50289.36999999999,137.87:363.0;,137.87:363.0;,,0.0,137.87;
328,2024-02-27 03:59:00,137.944,137.99,138.01,137.944,41128,1708977540,,,,,,,,,,,-19.746115089055863,44.68152873463917,0.1778571428571455,-6.71700971412956,-65.003855485136,0,0,100363.04199999999,,,137.944:363.0;,26.86199999999414,
