,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
282,2024-02-14 03:13:00,403.7,403.691,403.7,403.64,25527,1707851580,1.0,,,,,,,,,,-11.082469283115827,13.266412977957714,0.4647857142857146,2.2995861484242823,-75.5176721063404,1,0,50344.9,403.7:123.0;,403.7:123.0;,,0.0,403.7;
386,2024-02-14 04:57:00,404.83,405.0,405.01,404.825,146198,1707857820,,,,,,,,,,,100.57827806721428,19.384316891964325,0.4620000000000012,-9.948733819030023,55.657099453556825,0,0,100138.98999999999,,,404.83:123.0;,138.98999999999944,404.857;
184,2024-04-16 00:35:00,419.29,419.23,419.37,419.2,23721,1713198900,,,,,1.0,,,,,,-6.842218570313683,2.369191616932696,0.5929999999999974,5.124803223756345,-76.8620810917978,1,0,50243.47999999999,419.29:119.0;,419.29:119.0;,,0.0,419.29;
230,2024-04-16 01:21:00,417.745,417.49,417.745,417.42,53384,1713201660,,,,,,,,,,,22.22555229549832,-7.778145278999084,0.6469999999999955,1.12365106278979,-75.65649490676542,0,0,99955.13499999998,,,417.745:119.0;,-183.8550000000019,
233,2024-04-16 01:24:00,417.11,417.01,417.25,416.99,45728,1713201840,,,,,,,1.0,,1.0,,11.178593425736588,-7.778145278999084,0.6469999999999955,1.12365106278979,-77.39885479888783,1,0,49901.934999999976,417.11:120.0;,417.11:120.0;,,0.0,417.11;
241,2024-04-16 01:32:00,414.655,415.245,415.245,414.655,44764,1713202320,,,,,,,,,,,-2.8591259695556133,-10.798870941563592,0.7442142857142804,-3.691401011368896,-78.6386569979207,0,0,99660.53499999997,,,414.655:120.0;,-294.6000000000049,
245,2024-04-16 01:36:00,414.87,415.18,415.18,414.85,116071,1713202560,,,,,1.0,,,,,,-3.173321009388822,-11.370998488291242,0.7202857142857104,-3.691401011368896,-73.54572355709676,1,0,49876.13499999997,414.87:120.0;,414.87:120.0;,,0.0,414.87;
347,2024-04-16 03:18:00,413.12,412.77,413.12,412.77,82732,1713208680,,,,,,,,,,,-1.016130522321717,-4.424287509769137,0.6487857142857162,-11.731024698375832,-68.54980180991063,0,0,99450.53499999997,,,413.12:120.0;,-210.0,
222,2024-04-19 01:13:00,406.702,406.66,406.702,406.59,18942,1713460380,1.0,,,,,,,,,,3.3061917249873147,19.353791268213783,0.6782142857142779,5.66922629392073,-71.51534032033763,1,0,49832.890999999974,406.702:122.0;,406.702:122.0;,,0.0,406.702;
280,2024-04-19 02:11:00,404.88,404.68,405.06,404.68,26741,1713463860,,,,,,,,,,,-4.977116240799106,-4.03227059047795,0.6417142857142883,2.760075805772793,-76.67417079458576,0,0,99228.25099999997,,,404.88:122.0;,-222.28400000000033,
322,2024-05-01 02:53:00,392.901,392.59,392.901,392.59,40026,1714503180,,,,,1.0,,,,1.0,,-10.433730142986278,2.0039479496741883,0.4105000000000091,7.557806460896032,-75.4986481374566,1,0,49722.72499999998,392.901:126.0;,392.901:126.0;,,0.0,392.901;
381,2024-05-01 03:52:00,392.13,391.93,392.23,391.93,104294,1714506720,,,,,,,,,,,8.020387823156682,5.488582399287399,0.4216428571428586,-0.2852675332159293,-24.58038072376511,0,0,99131.10499999998,,,392.13:126.0;,-97.14600000000189,
370,2024-05-31 03:41:00,415.29,415.205,415.34,415.135,80828,1717098060,,,,,1.0,,,,1.0,,1.6493993404736926,5.498807992303277,0.5162142857143002,4.243269641159444,-59.38120000613458,1,0,49711.59499999998,415.29:119.0;,415.29:119.0;,,0.0,415.29;
381,2024-05-31 03:52:00,414.925,414.84,414.99,414.8,127308,1717098720,,,,,,,1.0,,,,7.654172682699215,3.680246243081825,0.5864285714285862,4.243269641159444,-27.54325374513952,1,0,335.51999999997497,415.29:119.0;414.925:119.0;,414.925:119.0;,,0.0,415.65;414.925;
386,2024-05-31 03:57:00,414.85,414.73,414.85,414.72,171688,1717099020,,,,,,,,,,,11.520851131554071,3.966239916644966,0.6325000000000135,4.243269641159444,54.03920368959096,0,0,99069.81999999998,,,414.85:119.0;414.85:119.0;,-61.28499999999838,415.65;415.285;
10,2024-05-31 21:41:00,413.095,413.467,413.467,413.02,69172,1717162860,1.0,,,,,,,,,,45.11177790194735,15.6676957172155,1.4055000000000055,-1.810792927049377,48.5257815564155,1,0,49911.51499999998,413.095:119.0;,413.095:119.0;,,0.0,413.095;
65,2024-05-31 22:36:00,408.525,408.035,408.525,408.035,142649,1717166160,,,,,,,,,,,-3.763729890243038,4.984755576061936,1.5523571428571472,-7.824816975265463,-77.56327958548927,0,0,98525.98999999998,,,408.525:119.0;,-543.830000000006,
69,2024-05-31 22:40:00,407.91,407.89,407.92,407.804,73034,1717166400,,,,,,,1.0,,1.0,,-4.632002981566529,3.2571184852946047,1.303428571428579,-7.824816975265463,-77.41103420986498,1,0,49168.879999999976,407.91:121.0;,407.91:121.0;,,0.0,407.91;
82,2024-05-31 22:53:00,407.16,406.995,407.16,406.94,83760,1717167180,,,,,1.0,,,,,,-0.7492149159455721,0.2736367503749832,0.9111428571428632,-7.824816975265463,-56.17826005034341,1,0,309.6799999999712,407.91:121.0;407.16:120.0;,407.16:120.0;,,0.0,407.91;407.16;
152,2024-06-01 00:03:00,406.2,405.86,406.2,405.86,82370,1717171380,,,,,,,,,,,7.82642172769323,-1.58053729673491,0.5583571428571515,-13.767464356842638,15.831000476694916,0,0,49459.87999999997,407.16:120.0;,,406.2:121.0;,-206.9100000000044,407.84;
153,2024-06-01 00:04:00,405.905,405.9,405.99,405.89,37693,1717171440,,,,,,,,,,,5.61998120059161,-1.58053729673491,0.5583571428571515,-13.767464356842638,-57.60078774243633,0,0,98168.47999999997,,,405.905:120.0;,-150.60000000000628,
385,2024-07-10 03:56:00,458.98,459.095,459.36,458.98,192837,1720554960,,,,,1.0,,,,,,5.124914395113024,9.5139287166688,0.3422142857142854,-4.119975741591532,-58.22287262403916,1,0,49516.59999999996,458.98:106.0;,458.98:106.0;,,0.0,458.98;
386,2024-07-10 03:57:00,459.06,459.21,459.21,459.06,140617,1720555020,,,,,,,,,,,12.921006276749182,9.5139287166688,0.3422142857142854,-4.119975741591532,54.99154633961107,0,0,98176.95999999996,,,459.06:106.0;,8.479999999998313,459.06;
125,2024-07-18 23:36:00,435.72,436.16,436.24,435.72,72878,1721316960,,,,,,,1.0,,,,-3.8995328970306886,-12.87436664875952,1.121714285714274,17.23206580961805,-75.8229791594639,1,0,49376.31999999996,435.72:112.0;,435.72:112.0;,,0.0,435.72;
155,2024-07-19 00:06:00,434.85,435.05,435.05,434.83,21909,1721318760,,,,,,,,,1.0,,5.5274811774874095,-16.612796909649653,0.962857142857136,14.696357233828923,-75.4513192326635,1,0,673.119999999959,435.72:112.0;434.85:112.0;,434.85:112.0;,,0.0,436.85;434.85;
381,2024-07-19 03:52:00,439.545,439.18,439.65,439.18,106081,1721332320,,1.0,,,,,,,,,103.06678619720756,111.94351906195055,0.8068571428571423,16.993742777185187,43.09519906071412,0,1,49902.15999999996,435.72:56.0;434.85:56.0;,,439.545:56;439.545:56;,477.119999999999,440.495;440.495;
386,2024-07-19 03:57:00,440.81,440.19,440.85,440.19,118938,1721332620,,,,,,,,,,,87.73470998322662,108.68573541876574,0.9106428571428588,16.993742777185187,-11.793460723986092,0,0,99272.87999999996,,,440.81:56.0;440.81:56.0;,618.7999999999975,440.81;440.81;
