,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
281,2024-01-03 03:12:00,184.185,184.105,184.2,184.105,190704.0,1704222720,,,,,,,,,1.0,,4.960337517913651,-2.091781170653846,0.2092857142857188,-10.795811519854766,-72.7647941633205,1,0,50085.865,184.185:271.0;,184.185:271.0;,,0.0,184.185;
299,2024-01-03 03:30:00,183.86,184.005,184.005,183.86,176824.0,1704223800,,,,,,,1.0,,,,2.4644118332573264,-4.037489045183662,0.2135000000000043,-13.50596374964158,-51.90653752226541,1,0,259.804999999993,184.185:271.0;183.86:271.0;,183.86:271.0;,,0.0,184.195;183.86;
332,2024-01-03 04:03:00,183.485,183.526,183.542,183.485,254320.0,1704225780,,,,,,,,,,,10.56083576305923,-3.48095251181433,0.2206428571428611,-16.25563423928655,-76.97851400216743,0,0,49984.24,183.86:271.0;,,183.485:271.0;,-189.69999999999692,184.14;
334,2024-01-03 04:05:00,183.42,183.497,183.497,183.42,171096.0,1704225900,,,,,,,,,,,7.361072701732986,-3.709751517832864,0.2096428571428613,-16.25563423928655,-77.47324599754684,0,0,99691.06,,,183.42:271.0;,-119.24000000000709,
20,2024-01-29 22:51:00,189.638,189.93,189.93,189.638,379397.0,1706539860,1.0,,,,,,,,,,2.261646570733028,-0.8015455816718671,0.4054285714285726,-12.60867665262839,-72.19837872742255,1,0,50005.903999999995,189.638:262.0;,189.638:262.0;,,0.0,189.638;
131,2024-01-30 00:42:00,189.946,189.94,189.95,189.925,35212.0,1706546520,,,,,,,,,,,22.862082076933262,37.30015637848566,0.2519285714285705,-14.804439950172863,-74.0625815260717,0,0,99771.756,,,189.946:262.0;,80.6959999999981,
279,2024-01-31 03:10:00,187.21,187.095,187.24,187.095,105724.0,1706641800,,,,,1.0,,1.0,,,,-20.034790313622125,-1.5836967186630275,0.2144285714285721,7.643299991694384,-75.52727040559336,1,0,49973.89599999999,187.21:266.0;,187.21:266.0;,,0.0,187.21;
386,2024-01-31 04:57:00,187.505,187.53,187.56,187.505,249008.0,1706648220,,,,,,,,,,,42.16619636048432,39.93349963179444,0.2108571428571468,4.959064923172853,-63.51446647824896,0,0,99850.226,,,187.505:266.0;,78.46999999999667,187.77;
337,2024-02-13 04:08:00,186.612,186.65,186.68,186.612,40488.0,1707768480,1.0,,,,1.0,,,,,,-0.9798883209255536,6.785919375396965,0.1644999999999978,10.182809237326396,-58.16471543063449,1,0,50024.822,186.612:267.0;,186.612:267.0;,,0.0,186.612;
386,2024-02-13 04:57:00,186.78,186.745,186.8,186.745,256556.0,1707771420,,,,,,,,,,,84.43415319894322,14.868232159326569,0.140357142857141,6.86239028465198,65.24452522490917,0,0,99895.082,,,186.78:267.0;,44.8560000000017,187.155;
7,2024-02-13 22:38:00,184.38,184.52,184.56,184.38,294513.0,1707835080,1.0,,,,,,,,,,7.262916510231179,13.99332350513837,0.343285714285709,0.65481207615953,-76.34221532719961,1,0,50112.481999999996,184.38:270.0;,184.38:270.0;,,0.0,184.38;
123,2024-02-14 00:34:00,185.145,185.105,185.158,185.105,75228.0,1707842040,,,,,,,,,,,-24.43892376665268,43.94524356949061,0.2569999999999948,0.5393248671965836,-52.13457977108259,0,0,100101.632,,,185.145:270.0;,206.550000000004,
86,2024-02-14 23:57:00,183.135,183.03,183.135,183.02,111029.0,1707926220,1.0,,,,,,,,,,16.589547061492922,9.286304257946298,0.3517142857142862,8.64081395172456,-70.44436154316004,1,0,50105.777,183.135:273.0;,183.135:273.0;,,0.0,183.135;
154,2024-02-15 01:05:00,182.48,182.435,182.48,182.435,99600.0,1707930300,,,,,,,,,,,-1.683773636021698,5.398043119619807,0.2597142857142834,4.182798716934784,-75.57490664809428,0,0,99922.817,,,182.48:273.0;,-178.8150000000003,
