,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
162,2024-02-22 01:13:00,67.26,66.873,67.26,66.873,446910.0,1708535580,,,,,1.0,,,,1.0,,-4.374917023570433,-2.943692081228761,0.1902142857142854,-24.050398150832805,-74.92903519895167,1,0,50025.82,67.26:743.0;,67.26:743.0;,,0.0,67.26;
165,2024-02-22 01:16:00,66.785,66.926,66.951,66.785,208172.0,1708535760,,,,,,,1.0,,,,-5.566727128218041,-5.103984673540751,0.2309999999999996,-24.050398150832805,-76.78625775087053,1,0,70.63999999999942,67.26:743.0;66.785:748.0;,66.785:748.0;,,0.0,67.26;66.785;
298,2024-02-22 03:29:00,66.853,66.786,66.936,66.786,145000.0,1708543740,,,,,,,,,,,48.15273431349925,28.60654184604479,0.1950000000000023,-26.80010736245993,-71.01847535606615,0,0,99748.46299999999,,,66.853:743.0;66.853:748.0;,-251.53700000000953,
6,2024-03-12 21:37:00,87.316,87.433,87.433,87.278,281136.0,1710250620,1.0,,,,,,,,,,82.74198690488532,17.256769401324178,0.5512142857142877,6.329686221027529,78.98799689707874,1,0,49891.02699999999,87.316:571.0;,87.316:571.0;,,0.0,87.316;
39,2024-03-12 22:10:00,87.999,87.826,87.999,87.807,210804.0,1710252600,,1.0,,,,,,,,,97.6535419447514,64.56933400437725,0.7005714285714311,7.750397716506811,64.84469038838466,0,1,75058.74099999998,87.316:285.0;,,87.999:286;,195.33799999999792,88.058;
58,2024-03-12 22:29:00,88.446,88.581,88.639,88.446,275790.0,1710253740,,,,,,,,,,1.0,104.48267501473586,83.24223679835855,0.7263571428571447,7.750397716506811,49.01496916449061,0,1,100265.85099999998,,,88.446:285.0;,322.0499999999987,88.446;
9,2024-04-05 21:40:00,86.308,86.107,86.308,86.107,250817.0,1712324400,1.0,,,,,,,,,,66.89400494143759,-2.6901099227218594,0.5037857142857172,19.821612042872037,74.6215740305617,1,0,50207.210999999974,86.308:580.0;,86.308:580.0;,,0.0,86.308;
16,2024-04-05 21:47:00,87.209,87.127,87.273,87.095,156473.0,1712324820,,1.0,,,,,,,,,92.31076690859878,3.4372701299466826,0.5625714285714309,19.821612042872037,82.3656193706541,0,1,75497.82099999997,86.308:290.0;,,87.209:290;,261.28999999999894,87.294;
149,2024-04-06 00:00:00,88.224,88.228,88.26,88.221,61762.0,1712332800,,,,,,,,1.0,,1.0,105.93303460796918,97.56997361236344,0.2117142857142856,27.73377213367769,23.76162698931139,0,1,101082.78099999997,,,88.224:290.0;,555.6399999999991,88.233;
351,2024-04-16 03:22:00,86.249,86.359,86.359,86.233,110952.0,1713208920,,,1.0,,,,,,,,-6.029414158339279,-4.305248141255724,0.2406428571428601,17.947093001435064,-73.10296085408216,1,0,50627.11599999998,86.249:585.0;,86.249:585.0;,,0.0,86.249;
386,2024-04-16 03:57:00,86.135,86.178,86.178,86.127,132320.0,1713211020,,,,,,,,,,,35.946377904643725,-1.8765241219942297,0.2860000000000023,9.20679127099703,-68.77332034849249,0,0,101016.09099999999,,,86.135:585.0;,-66.68999999999421,86.647;
198,2024-04-18 00:49:00,84.555,84.663,84.663,84.555,128460.0,1713372540,,,1.0,,,,,,,,6.430896116484519,-15.751694951601516,0.2782857142857163,12.066991609810673,-72.77590019470226,1,0,50536.75599999998,84.555:597.0;,84.555:597.0;,,0.0,84.555;
328,2024-04-18 02:59:00,84.884,84.927,84.927,84.878,64856.0,1713380340,,,,,,,,,,,33.05914954158342,44.57444808129373,0.2749999999999976,3.0641413117731133,-74.89604614064909,0,0,101212.50399999999,,,84.884:597.0;,196.41299999999615,
