,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
13,2024-01-16 22:44:00,144.68,144.815,144.815,144.61,28580.0,1705416240,1.0,,,,,,,,1.0,,17.37948275737878,11.951679617924489,0.5474999999999953,17.374213478343762,-72.3851315325029,1,0,50085.399999999994,144.68:345.0;,144.68:345.0;,,0.0,144.68;
74,2024-01-16 23:45:00,142.56,142.48,142.63,142.475,74345.0,1705419900,,,,,,,,,,,3.1374176981996484,6.217933368356139,0.7980714285714328,7.634771578289218,-76.73084188112547,0,0,99268.6,,,142.56:345.0;,-731.4000000000016,
76,2024-01-16 23:47:00,142.859,142.85,142.95,142.82,47657.0,1705420020,,,,,,,1.0,,,,3.3244386330050872,6.217933368356139,0.7980714285714328,7.634771578289218,-74.75134446030013,1,0,49410.809,142.859:349.0;,142.859:349.0;,,0.0,142.859;
161,2024-01-17 01:12:00,143.35,143.395,143.41,143.34,13780.0,1705425120,,,,,,,,,,,-7.775752118477172,22.254757123089163,0.4535000000000053,-2.0772065171234004,-67.2730422473656,0,0,99439.959,,,143.35:349.0;,171.35899999999492,
58,2024-01-29 23:29:00,129.54,129.455,129.54,129.16,216526.0,1706542140,,,,,,,1.0,,,,0.2296330385717482,-11.70697722626526,1.550785714285717,14.21427031169793,-76.06865242246583,1,0,49826.139,129.54:383.0;,129.54:383.0;,,0.0,129.54;
101,2024-01-30 00:12:00,128.5,128.975,129.01,128.5,104710.0,1706544720,,,1.0,,,,,,,,8.981577415258663,-9.972664021572626,1.0002142857142908,1.295630415172127,-74.95933474788063,1,0,225.13900000000285,129.54:383.0;128.5:386.0;,128.5:386.0;,,0.0,131.346;128.5;
224,2024-01-30 02:15:00,129.939,129.77,129.939,129.77,18930.0,1706552100,,,,,,,,,,,-17.921204896998333,13.626400188406684,0.4679999999999974,-9.86099763589732,-67.67642413715221,0,0,100148.22999999998,,,129.939:383.0;129.939:386.0;,708.2709999999976,
89,2024-03-09 00:00:00,112.602,112.54,112.602,112.49,50709.0,1709913600,,,,,,,1.0,,,,6.13959222264495,-16.254114218518147,0.4139999999999994,18.218470853736875,-45.24084396849253,1,0,50152.94199999998,112.602:444.0;,112.602:444.0;,,0.0,112.602;
107,2024-03-09 00:18:00,110.95,110.86,110.95,110.86,78919.0,1709914680,,,,,,,,,,,-0.9337893489379764,-17.710739623797885,0.4465714285714282,18.218470853736875,-75.36377270594066,0,0,99414.74199999998,,,110.95:444.0;,-733.4880000000005,
109,2024-03-09 00:20:00,111.05,110.99,111.135,110.99,76996.0,1709914800,,,,,1.0,,,,,,1.0906081705879451,-17.62936090082942,0.4751428571428562,18.218470853736875,-51.06762338282434,1,0,49442.241999999984,111.05:450.0;,111.05:450.0;,,0.0,111.05;
166,2024-03-09 01:17:00,109.79,109.705,109.79,109.67,37908.0,1709918220,,,,,,,,,,,11.376995677610374,-12.683094646798338,0.4285714285714275,9.963905836566228,-67.96059551860999,0,0,98847.74199999998,,,109.79:450.0;,-566.9999999999959,
176,2024-03-09 01:27:00,108.96,108.96,109.01,108.95,76446.0,1709918820,,,1.0,,,,,,,,-1.461298191755937,-12.677954543694714,0.445214285714285,9.963905836566228,-75.8905223308882,1,0,48835.101999999984,108.96:459.0;,108.96:459.0;,,0.0,108.96;
178,2024-03-09 01:29:00,109.4,109.97,109.97,109.4,28502.0,1709918940,,,,,1.0,,,,,,8.655840225735684,-12.677954543694714,0.445214285714285,9.963905836566228,-0.9294539403364552,1,0,42.701999999982945,108.96:459.0;109.4:446.0;,109.4:446.0;,,0.0,109.4;109.4;
333,2024-03-09 04:04:00,110.555,110.72,110.735,110.555,17751.0,1709928240,,,,,,,,,,,5.402018125334891,73.18971710594026,0.1939999999999985,5.398424493713158,-77.57162034898406,0,0,100094.97699999998,,,110.555:459.0;110.555:446.0;,1247.2350000000065,
245,2024-03-22 01:36:00,123.68,123.69,123.72,123.68,33090.0,1711042560,,,,,,,1.0,,,,-19.79777068027726,-1.971435652181043,0.3204999999999996,-7.048495879329067,-77.60204508416766,1,0,50128.25699999998,123.68:404.0;,123.68:404.0;,,0.0,123.68;
255,2024-03-22 01:46:00,123.3,123.08,123.32,123.08,38305.0,1711043160,,,,,1.0,,,,,,-18.999341445030048,-3.898819991742848,0.328714285714286,-7.048495879329067,-77.4890273046395,1,0,191.75699999998324,123.68:404.0;123.3:405.0;,123.3:405.0;,,0.0,123.755;123.3;
262,2024-03-22 01:53:00,122.67,122.63,122.67,122.6,29580.0,1711043580,,,,,,,,,,,-16.79403711695464,-4.651959416674735,0.3394285714285711,-7.048495879329067,-78.19583690545883,0,0,49750.43699999998,123.3:405.0;,,122.67:404.0;,-408.04000000000207,123.3;
269,2024-03-22 02:00:00,122.565,122.61,122.67,122.565,25055.0,1711044000,,,1.0,,,,,,,,-10.446326489191756,-5.585406619872245,0.3633571428571441,-9.672875378827245,-75.01861670996578,1,0,111.61199999998644,123.3:405.0;122.565:405.0;,122.565:405.0;,,0.0,123.3;122.565;
272,2024-03-22 02:03:00,122.15,122.11,122.15,122.07,53285.0,1711044180,,,,,,,,,,,-10.192736876949326,-5.585406619872245,0.3633571428571441,-9.672875378827245,-76.64260933113103,0,0,49582.36199999999,122.565:405.0;,,122.15:405.0;,-465.74999999999653,122.565;
356,2024-03-22 03:27:00,121.97,121.813,121.983,121.813,38688.0,1711049220,,,,,,,,,,,32.61740033509837,7.684154756349098,0.2867142857142864,-13.415356707964335,-62.04623934999323,0,0,98980.21199999998,,,121.97:405.0;,-240.97499999999954,
13,2024-03-25 21:44:00,120.47,121.155,121.155,120.47,68918.0,1711374240,1.0,,,,,,,,1.0,,78.64468047135261,7.332224626122624,1.153499999999999,19.86932838012938,66.83040794909033,1,0,49587.51199999999,120.47:410.0;,120.47:410.0;,,0.0,120.47;
105,2024-03-25 23:16:00,119.58,119.77,119.83,119.58,30664.0,1711379760,,,,,,,,,,,1.4623410180321343,53.95790269559842,0.4817142857142847,19.43827443685588,-71.99075155475823,0,0,98615.31199999999,,,119.58:410.0;,-364.9000000000002,
366,2024-04-13 03:37:00,115.45,115.53,115.53,115.45,31651.0,1712950620,,,,,1.0,,,,,,1.3874279390261748,-5.904968279552129,0.1892142857142837,0.9071436888007298,-72.98947226211295,1,0,49318.16199999999,115.45:427.0;,115.45:427.0;,,0.0,115.45;
386,2024-04-13 03:57:00,115.635,115.585,115.65,115.585,43960.0,1712951820,,,,,,,,,,,29.411209162784864,2.3174750382594667,0.2267142857142841,0.9071436888007298,70.75089296743401,0,0,98694.307,,,115.635:427.0;,78.99500000000097,115.825;
8,2024-04-15 21:39:00,114.895,114.92,115.1,114.895,45869.0,1713188340,1.0,,,,,,,,,,24.005346416640734,9.90163969040982,0.3637857142857135,-8.823049630686839,-64.98006727545935,1,0,49404.352,114.895:429.0;,114.895:429.0;,,0.0,114.895;
13,2024-04-15 21:44:00,114.54,114.99,114.99,114.51,30306.0,1713188640,,,,,1.0,,,,,,14.015127955711831,7.819600786710676,0.445928571428571,-8.823049630686839,-71.91527557405887,1,0,152.1519999999946,114.895:429.0;114.54:430.0;,114.54:430.0;,,0.0,114.895;114.54;
45,2024-04-15 22:16:00,116.13,116.05,116.13,116.05,9588.0,1713190560,,1.0,,,,,,,,,71.47981841508792,35.19855080164612,0.6695000000000023,-10.186534675994793,74.28960638349618,0,1,50088.051999999996,114.895:214.0;114.54:215.0;,,116.13:215;116.13:215;,607.3749999999975,116.295;116.295;
189,2024-04-16 00:40:00,115.59,115.6,115.6,115.58,3254.0,1713199200,,,,,,,,,,,-9.110243608527398,83.89370947839092,0.2080714285714273,-7.462208617207622,-75.99909425653325,0,0,99676.162,,,115.59:214.0;115.59:215.0;,374.4800000000009,
269,2024-04-16 02:00:00,113.801,113.77,113.801,113.665,41534.0,1713204000,,,,,,,1.0,,,,2.162705498805757,3.651615497160151,0.2710714285714236,-11.627423043526726,-76.13888758750598,1,0,50400.329,113.801:433.0;,113.801:433.0;,,0.0,113.801;
386,2024-04-16 03:57:00,114.29,114.38,114.38,114.28,25790.0,1713211020,,,,,,,,,,,105.15652177034916,13.785764124901632,0.2009999999999994,-13.604906477773362,27.721515605011,0,0,99887.899,,,114.29:433.0;,211.73700000000187,114.41;
89,2024-06-04 23:00:00,144.88,144.885,144.92,144.84,11392.0,1717513200,,,,,,,1.0,,,,16.735469847676434,2.17757487051351,0.4724999999999966,5.823552051268884,-73.78449829171943,1,0,50049.179000000004,144.88:344.0;,144.88:344.0;,,0.0,144.88;
119,2024-06-04 23:30:00,143.99,144.18,144.18,143.99,17301.0,1717515000,,,,,,,,,,,0.0888189723620271,-12.723968151788426,0.3500714285714293,3.589292018555426,-68.44528328200371,0,0,99581.739,,,143.99:344.0;,-306.1599999999953,
43,2024-06-20 22:14:00,142.82,142.63,142.86,142.61,33931.0,1718892840,,,,,,,1.0,,1.0,,-11.793583375916064,-5.50765439195213,0.6702857142857154,17.911156016136317,-75.92364966903286,1,0,49880.379,142.82:348.0;,142.82:348.0;,,0.0,142.82;
173,2024-06-21 00:24:00,142.36,142.39,142.44,142.36,12312.0,1718900640,,,,,,,,,,,-9.225756032989494,11.778772296297548,0.2184285714285709,8.738594446862393,-77.77140493037223,0,0,99421.65900000001,,,142.36:348.0;,-160.07999999999288,
