,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
36,2024-01-03 23:07:00,239.745,239.43,239.98,239.43,479878.0,1704294420,,,,,,,1.0,,,,-7.432368491788207,-8.239620615296467,1.3991428571428568,19.93908593761357,-69.2601185672658,1,0,50133.04,239.745:208.0;,239.745:208.0;,,0.0,239.745;
192,2024-01-04 01:43:00,240.88,240.69,240.88,240.665,132064.0,1704303780,,1.0,,,,,,,,,72.91507075317978,30.950706707902967,0.6301428571428492,16.25792940300737,46.06079247227884,0,1,75184.56,239.745:104.0;,,240.88:104;,118.03999999999905,240.91;
276,2024-01-04 03:07:00,238.973,239.65,239.65,238.973,372632.0,1704308820,,,,,,,,,,,44.80886220166119,88.93883335455259,0.5805000000000027,17.809091340346278,-73.97388558085052,0,0,100037.75200000001,,,238.973:104.0;,-80.2879999999991,
38,2024-01-11 23:09:00,226.859,226.67,226.859,226.58,303134.0,1704985740,,,,,,,,,1.0,,-2.439674186817492,14.216180265267084,1.336500000000001,19.006600347606277,-76.50540549360852,1,0,50128.772000000004,226.859:220.0;,226.859:220.0;,,0.0,226.859;
149,2024-01-12 01:00:00,226.08,226.035,226.08,226.01,159244.0,1704992400,,,,,,,,,,,56.65298153724662,-12.527487319602471,0.6290000000000029,9.033439654299317,-1.094144932846895,0,0,99866.372,,,226.08:220.0;,-171.3799999999992,
98,2024-01-13 00:09:00,220.87,221.155,221.169,220.87,323788.0,1705075740,,,,,,,,,1.0,,14.142387592360812,14.810658766981106,0.8492142857142844,11.990600059003564,-72.30345125078998,1,0,49949.752,220.87:226.0;,220.87:226.0;,,0.0,220.87;
129,2024-01-13 00:40:00,219.51,219.61,219.61,219.23,712444.0,1705077600,,,,,,,,,,,44.72022487750552,4.796273248323303,0.7757142857142867,11.5300691648517,-72.58691268362699,0,0,99559.01199999999,,,219.51:226.0;,-307.3600000000031,
132,2024-01-13 00:43:00,219.64,219.467,219.64,219.4,279028.0,1705077780,,,,,,,1.0,,,,27.90543000557288,4.796273248323303,0.7757142857142867,11.5300691648517,-71.85607855417715,1,0,49700.73199999999,219.64:227.0;,219.64:227.0;,,0.0,219.64;
149,2024-01-13 01:00:00,218.26,218.25,218.27,218.161,299200.0,1705078800,,,,,1.0,,,,,,-9.781027399799434,-6.593276377637039,0.7433571428571436,9.58732625417364,-73.89155800499722,1,0,155.71199999999226,219.64:227.0;218.26:227.0;,218.26:227.0;,,0.0,219.72;218.26;
257,2024-01-13 02:48:00,218.36,218.37,218.395,218.31,189144.0,1705085280,,,,,,,,,,,-15.623573921221135,13.338690311806644,0.452928571428574,8.679310728250794,-70.97212081519042,0,0,99291.152,,,218.36:227.0;218.36:227.0;,-267.85999999998864,
138,2024-01-20 00:49:00,207.93,207.92,207.947,207.82,214736.0,1705682940,,,,,,,1.0,,1.0,,12.754613695268231,10.85418763736807,0.7487142857142837,15.436557843012444,-75.87328252669396,1,0,49803.812,207.93:238.0;,207.93:238.0;,,0.0,207.93;
320,2024-01-20 03:51:00,212.185,212.05,212.185,212.021,132912.0,1705693860,,,,,,,,,,1.0,79.00594591619648,111.21134060510596,0.478357142857143,19.753635162487864,47.84820702761091,0,1,100303.842,,,212.185:238.0;,1012.6899999999989,212.185;
150,2024-01-26 01:01:00,184.284,184.167,184.359,184.167,494600.0,1706202060,,,,,,,1.0,,,,-2.3036603768703685,-8.467573607481611,0.6245714285714244,15.379191330030828,-78.09379532180151,1,0,50178.594000000005,184.284:272.0;,184.284:272.0;,,0.0,184.284;
154,2024-01-26 01:05:00,183.979,183.89,183.979,183.835,390592.0,1706202300,,,,,1.0,,,,,,-7.776825315461252,-8.388652628798642,0.6215714285714264,15.379191330030828,-76.14077156587899,1,0,136.30600000000413,184.284:272.0;183.979:272.0;,183.979:272.0;,,0.0,184.284;183.979;
