,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
36,2024-01-03 23:07:00,239.745,239.43,239.98,239.43,479878.0,1704294420,,,,,,,1.0,,,,-7.432368491788207,-8.239620615296467,1.3991428571428568,19.93908593761357,-69.2601185672658,1,0,50133.04,239.745:208.0;,239.745:208.0;,,0.0,239.745;
192,2024-01-04 01:43:00,240.88,240.69,240.88,240.665,132064.0,1704303780,,1.0,,,,,,,,,72.91507075317978,30.950706707902967,0.6301428571428492,16.25792940300737,46.06079247227884,0,1,75184.56,239.745:104.0;,,240.88:104;,118.03999999999905,240.91;
380,2024-01-04 04:51:00,238.414,238.06,238.414,238.03,514584.0,1704315060,,,,,,,,,,,4.292394720903808,23.86599494737186,0.5671428571428611,18.12402984133773,-75.26750269863433,0,0,99979.616,,,238.414:104.0;,-138.4240000000018,
38,2024-01-11 23:09:00,226.859,226.67,226.859,226.58,303134.0,1704985740,,,,,,,,,1.0,,-2.439674186817492,14.216180265267084,1.336500000000001,19.006600347606277,-76.50540549360852,1,0,50070.63599999999,226.859:220.0;,226.859:220.0;,,0.0,226.859;
386,2024-01-12 04:57:00,227.08,227.229,227.36,227.08,252016.0,1705006620,,,,,,,,,,,-0.5616175570094697,92.95101886600142,0.6249285714285732,6.834133561246958,-67.79310928599888,0,0,100028.236,,,227.08:220.0;,48.6200000000008,228.55;
98,2024-01-13 00:09:00,220.87,221.155,221.169,220.87,323788.0,1705075740,,,,,,,,,1.0,,14.142387592360812,14.810658766981106,0.8492142857142844,11.990600059003564,-72.30345125078998,1,0,50111.616,220.87:226.0;,220.87:226.0;,,0.0,220.87;
132,2024-01-13 00:43:00,219.64,219.467,219.64,219.4,279028.0,1705077780,,,,,,,1.0,,,,27.90543000557288,4.796273248323303,0.7757142857142867,11.5300691648517,-71.85607855417715,1,0,253.33600000000297,220.87:226.0;219.64:227.0;,219.64:227.0;,,0.0,222.005;219.64;
146,2024-01-13 00:57:00,217.972,217.79,218.0,217.77,888600.0,1705078620,,,,,,,,,,,-10.961473749300763,-4.805285612894181,0.7479285714285737,11.5300691648517,-77.98775180735637,0,0,49515.008,219.64:227.0;,,217.972:226.0;,-654.9479999999992,219.72;
149,2024-01-13 01:00:00,218.26,218.25,218.27,218.161,299200.0,1705078800,,,,,1.0,,,,,,-9.781027399799434,-6.593276377637039,0.7433571428571436,9.58732625417364,-73.89155800499722,1,0,188.24800000000687,219.64:227.0;218.26:226.0;,218.26:226.0;,,0.0,219.72;218.26;
301,2024-01-13 03:32:00,217.63,217.685,217.73,217.63,310488.0,1705087920,,,,,,,,,,,2.5968959576911885,16.336978936691608,0.40271428571428,6.415650524717151,-77.52190361896602,0,0,98774.638,,,217.63:227.0;217.63:226.0;,-598.6499999999969,
138,2024-01-20 00:49:00,207.93,207.92,207.947,207.82,214736.0,1705682940,,,,,,,1.0,,1.0,,12.754613695268231,10.85418763736807,0.7487142857142837,15.436557843012444,-75.87328252669396,1,0,49495.228,207.93:237.0;,207.93:237.0;,,0.0,207.93;
320,2024-01-20 03:51:00,212.185,212.05,212.185,212.021,132912.0,1705693860,,,,,,,,,,1.0,79.00594591619648,111.21134060510596,0.478357142857143,19.753635162487864,47.84820702761091,0,1,99783.073,,,212.185:237.0;,1008.4349999999989,212.185;
150,2024-01-26 01:01:00,184.284,184.167,184.359,184.167,494600.0,1706202060,,,,,,,1.0,,,,-2.3036603768703685,-8.467573607481611,0.6245714285714244,15.379191330030828,-78.09379532180151,1,0,50026.393000000004,184.284:270.0;,184.284:270.0;,,0.0,184.284;
154,2024-01-26 01:05:00,183.979,183.89,183.979,183.835,390592.0,1706202300,,,,,1.0,,,,,,-7.776825315461252,-8.388652628798642,0.6215714285714264,15.379191330030828,-76.14077156587899,1,0,168.08400000000256,184.284:270.0;183.979:271.0;,183.979:271.0;,,0.0,184.284;183.979;
