,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
293,2023-07-12 02:24:00,185.875,185.84,185.887,185.84,101072.0,1689099840,1.0,,,,,,,,,,4.556320384108716,-1.016064523315812,-4.919739238999114,-73.66961809150366,1,0,50185.5,185.875:268.0;,185.875:268.0;,,0.0,185.875;
363,2023-07-12 03:34:00,186.05,186.065,186.07,186.015,123188.0,1689104040,,,,,,,,,,,23.201305377582244,30.732278220664757,-8.281911390309133,-12.634439368898434,0,0,100046.9,,,186.05:268.0;,46.90000000000305,
361,2023-07-25 03:32:00,191.6,191.6,191.615,191.58,78812.0,1690227120,1.0,,,,,,,,,,13.916144530168935,1.7129124888998462,11.512016942841129,-68.30061545212456,1,0,50039.299999999996,191.6:261.0;,191.6:261.0;,,0.0,191.6;
386,2023-07-25 03:57:00,191.46,191.545,191.545,191.46,190408.0,1690228620,,,,,,,,,,,20.658658945461056,-5.040811789980758,11.512016942841129,-63.14175418471319,0,0,100010.36,,,191.46:261.0;,-36.53999999999644,191.6;
283,2023-08-05 02:14:00,183.095,183.14,183.17,183.095,169464.0,1691172840,,,,,1.0,,,,,,0.1090891071083604,16.451593723789948,19.775474558270457,-70.85231579610439,1,0,50025.425,183.095:273.0;,183.095:273.0;,,0.0,183.095;
289,2023-08-05 02:20:00,182.7,182.785,182.785,182.7,275080.0,1691173200,,,,,,,,,,,-2.225912705825671,12.137871698430216,19.775474558270457,-62.88850053163649,0,0,99902.525,,,182.7:273.0;,-107.8350000000028,
294,2023-08-05 02:25:00,182.39,182.355,182.39,182.345,239744.0,1691173500,,,,,,,,,1.0,,-9.494244926822487,9.341019019262191,19.775474558270457,-76.3019354317478,1,0,49927.665,182.39:274.0;,182.39:274.0;,,0.0,182.39;
309,2023-08-05 02:40:00,182.125,181.86,182.125,181.86,726528.0,1691174400,,,,,,,,,,,-8.562307450678578,3.828594891528951,16.913515305864202,-76.58347214170064,0,0,99829.91500000001,,,182.125:274.0;,-72.60999999999626,
327,2023-08-05 02:58:00,181.39,181.5,181.5,181.39,297040.0,1691175480,,,,,,,1.0,,,,3.732300574576637,0.3098060206723332,16.913515305864202,-66.47068165860495,1,0,49947.665000000015,181.39:275.0;,181.39:275.0;,,0.0,181.39;
355,2023-08-05 03:26:00,181.68,181.595,181.68,181.505,293224.0,1691177160,,,,,,,,,,,83.07448809615269,8.95249125914912,14.498472529221694,70.49626508415011,0,0,99909.66500000001,,,181.68:275.0;,79.75000000000563,
