,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
354,2023-07-21 03:25:00,109.64,109.726,109.735,109.62,179232,1689881100,,,,,1.0,,,,,,5.717892008883007,-3.154508907357446,-1.245012588780682,-10.518164486780394,1,0,50004.159999999996,109.64:456.0;,109.64:456.0;,,0.0,109.64;
386,2023-07-21 03:57:00,110.269,110.35,110.35,110.269,352344,1689883020,,,,,,,,,,,109.57890070104548,12.588720315844988,-3.883883662017212,65.65395055953404,0,0,100286.824,,,110.269:456.0;,286.82400000000223,110.62;
18,2023-07-24 21:49:00,109.93,109.64,109.93,109.64,216254,1690206540,1.0,,,,,,,,,,16.679617623844663,5.30477371756426,16.663445198259208,-66.41163932697869,1,0,50158.74399999999,109.93:456.0;,109.93:456.0;,,0.0,109.93;
22,2023-07-24 21:53:00,109.31,109.32,109.395,109.31,204155,1690206780,,,,,,,,,,,2.038636741386469,1.4009249484498838,16.663445198259208,-76.95758192998869,0,0,100004.10399999999,,,109.31:456.0;,-282.7200000000021,
27,2023-07-24 21:58:00,109.05,108.895,109.063,108.863,246771,1690207080,,,,,,,1.0,,1.0,,-4.828839103733898,-3.0772576731535395,16.663445198259208,-74.82773234225047,1,0,49950.153999999995,109.05:459.0;,109.05:459.0;,,0.0,109.05;
53,2023-07-24 22:24:00,110.63,110.53,110.63,110.49,139015,1690208640,,1.0,,,,,,,,,85.32746647422836,6.442701155353589,14.667367097128691,76.83796767859378,0,1,75395.05399999999,109.05:229.0;,,110.63:230;,363.39999999999964,110.63;
74,2023-07-24 22:45:00,110.17,110.09,110.17,110.09,113297,1690209900,,,,,,,,,,,95.99951515775126,24.877799231828845,15.102948422315176,27.74312046116836,0,0,100623.984,,,110.17:229.0;,256.48000000000104,
92,2023-08-09 23:03:00,110.11,110.06,110.159,110.06,286758,1691593380,,,,,1.0,,,,,,-16.029453961414788,14.889204675287516,-2.800061658605273,-78.03613383453798,1,0,50413.824,110.11:456.0;,110.11:456.0;,,0.0,110.11;
104,2023-08-09 23:15:00,109.35,109.04,109.35,109.04,451082,1691594100,,,,,,,,,,,-12.931253106074532,1.441197732430183,-2.800061658605273,-77.65095998316924,0,0,100277.424,,,109.35:456.0;,-346.56000000000233,
144,2023-08-11 23:55:00,106.6,106.73,106.73,106.56,134630,1691769300,,,,,,,,,1.0,,8.217944255652853,1.2900000556329303,12.632744445757488,-74.99340306612491,1,0,50175.424,106.6:470.0;,106.6:470.0;,,0.0,106.6;
200,2023-08-12 00:51:00,107.26,107.215,107.262,107.165,189740,1691772660,,,,,,,,,,,18.83462266826064,14.86131577837176,10.246179181426484,-30.02746630093568,0,0,100587.62400000001,,,107.26:470.0;,310.20000000000505,
18,2023-08-17 21:49:00,105.92,105.99,105.99,105.81,188591,1692280140,,,,,1.0,,,,,,0.2273739803389247,18.005540339987434,16.026613338397055,-66.27370694949448,1,0,50381.54400000001,105.92:474.0;,105.92:474.0;,,0.0,105.92;
41,2023-08-17 22:12:00,105.86,105.84,105.86,105.84,186612,1692281520,,,,,,,,,,,24.927748199766967,14.829142132209071,11.186075997854571,-18.999076493331607,0,0,100559.18400000001,,,105.86:474.0;,-28.440000000001078,
46,2023-08-17 22:17:00,105.282,105.04,105.282,105.04,273150,1692281820,,,,,,,1.0,,1.0,,9.607386620490225,10.480466669254142,11.186075997854571,-74.14490827497683,1,0,50339.67000000001,105.282:477.0;,105.282:477.0;,,0.0,105.282;
57,2023-08-17 22:28:00,104.549,104.54,104.6,104.54,290632,1692282480,,,,,,,,,,,-2.22602073929437,4.006188846507484,11.186075997854571,-77.48297221669827,0,0,100209.543,,,104.549:477.0;,-349.6409999999952,
9,2023-09-11 21:40:00,104.485,103.93,104.485,103.93,491123,1694439600,1.0,,,,,,,,1.0,,21.70831185790513,-4.3333907243093925,19.719309188788053,-76.38819194649466,1,0,50161.228,104.485:479.0;,104.485:479.0;,,0.0,104.485;
11,2023-09-11 21:42:00,103.609,103.615,103.72,103.38,604095,1694439720,,,,,,,,,,,11.58666842377778,-4.3333907243093925,19.719309188788053,-78.02087844798369,0,0,99789.939,,,103.609:479.0;,-419.6040000000023,
44,2023-09-11 22:15:00,103.368,103.34,103.37,103.33,143353,1694441700,,,,,,,1.0,,,,-3.756604500605576,4.7541882858240285,16.20520309112989,-76.11028724178215,1,0,49759.827,103.368:484.0;,103.368:484.0;,,0.0,103.368;
