,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
266,2023-07-19 01:57:00,89.315,89.38,89.41,89.315,76427.0,1689703020,,,,,,,,,1.0,,3.854487114624007,-12.316925309780672,-10.835683214405648,-48.56008452079674,1,0,50072.915,89.315:559.0;,89.315:559.0;,,0.0,89.315;
386,2023-07-19 03:57:00,90.23,90.295,90.295,90.23,98706.0,1689710220,,,,,,,,,,,92.07892713198076,109.47203745836237,-14.382344983739628,8.850399565928017,0,0,100511.485,,,90.23:559.0;,511.4850000000035,90.28;
15,2023-08-15 21:46:00,90.91,90.88,90.928,90.88,225614.0,1692107160,1.0,,,,,,,,,,-10.861610173740942,6.88511674633402,8.703257572824043,-74.0193478861546,1,0,50329.165,90.91:552.0;,90.91:552.0;,,0.0,90.91;
28,2023-08-15 21:59:00,90.47,90.43,90.47,90.408,133336.0,1692107940,,,,,,,,,,,-8.290023996137357,1.5318394361147938,8.703257572824043,-74.55249859435693,0,0,100268.60500000001,,,90.47:552.0;,-242.87999999999874,
38,2023-08-15 22:09:00,89.987,89.985,90.0,89.958,116984.0,1692108540,,,,,,,1.0,,1.0,,-7.180429577966503,-4.169611530072174,6.214159323073133,-77.57523128661899,1,0,50055.85900000001,89.987:558.0;,89.987:558.0;,,0.0,89.987;
166,2023-08-16 00:17:00,90.445,90.563,90.563,90.445,18734.0,1692116220,,,,,,,,,,,-2.559027486286382,27.44278294279609,3.525769904379388,-73.99058254247132,0,0,100524.16900000001,,,90.445:558.0;,255.5639999999991,
69,2023-09-11 22:40:00,87.531,87.52,87.531,87.51,34075.0,1694443200,,,,,,,1.0,,,,-0.2487018723107183,-2.0562089846696807,12.160353095973186,-77.76668410050726,1,0,50281.37500000001,87.531:574.0;,87.531:574.0;,,0.0,87.531;
88,2023-09-11 22:59:00,87.433,87.33,87.433,87.315,133281.0,1694444340,,,,,,,,,,,17.364966588369796,-10.223202189188116,12.160353095973186,-55.3818083809772,0,0,100467.91700000002,,,87.433:574.0;,-56.25199999999941,
93,2023-09-11 23:04:00,87.145,87.085,87.145,87.07,78269.0,1694444640,,,,,,,,,1.0,,5.657244837337679,-13.882011226719683,9.639388688582676,-75.48159208562733,1,0,50272.39700000002,87.145:576.0;,87.145:576.0;,,0.0,87.145;
98,2023-09-11 23:09:00,86.79,86.748,86.82,86.748,116917.0,1694444940,,,,,,,,,,,-0.3774456941397446,-16.665982321384917,9.639388688582676,-76.30103404254825,0,0,100263.43700000002,,,86.79:576.0;,-204.4799999999941,
