,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
159,2023-07-20 00:10:00,122.75,122.94,122.94,122.75,179308.0,1689783000,,,,,1.0,,,,1.0,,16.786834698361872,4.05836238185249,7.054179935134613,-68.91105303551758,1,0,50040.75,122.75:407.0;,122.75:407.0;,,0.0,122.75;
175,2023-07-20 00:26:00,122.78,122.78,122.78,122.695,78153.0,1689783960,,,,,,,,,,,31.91212460919232,6.490136210811372,7.054179935134613,-13.803563560336778,0,0,100012.20999999999,,,122.78:407.0;,12.210000000000463,
218,2023-07-20 01:09:00,122.215,122.121,122.23,122.121,55556.0,1689786540,,,,,,,1.0,,,,-2.607857697883404,-5.68866710626277,-0.9194350070169292,-77.70861884285685,1,0,50026.27499999999,122.215:409.0;,122.215:409.0;,,0.0,122.215;
279,2023-07-20 02:10:00,122.11,122.12,122.15,122.08,52080.0,1689790200,,,,,,,,,,,85.39433027040539,-0.3609539640760388,-7.603037126820567,7.470441004561525,0,0,99969.26499999998,,,122.11:409.0;,-42.94500000000163,
116,2023-07-20 23:27:00,120.73,120.78,120.81,120.73,92563.0,1689866820,,,,,,,1.0,,,,14.615758309738004,5.108697501775865,-5.057773610668463,-72.05437872716566,1,0,49987.044999999984,120.73:414.0;,120.73:414.0;,,0.0,120.73;
138,2023-07-20 23:49:00,120.5,120.585,120.59,120.5,87715.0,1689868140,,,,,,,,,,,15.37325679945969,-1.2607115438820813,-6.840869522970252,-70.77280033747029,0,0,99874.04499999998,,,120.5:414.0;,-95.22000000000165,
187,2023-07-21 00:38:00,120.16,120.135,120.16,120.12,67069.0,1689871080,,,,,1.0,,,,,,-1.7747289766151937,-7.436423061422417,-9.95158941560247,-74.8869570329094,1,0,50007.64499999998,120.16:415.0;,120.16:415.0;,,0.0,120.16;
211,2023-07-21 01:02:00,119.838,119.93,119.94,119.838,47144.0,1689872520,,,,,,,,,,,2.7597136006985323,-8.523636460744285,-11.52253482658849,-71.2162852731957,0,0,99740.41499999998,,,119.838:415.0;,-133.63000000000113,
294,2023-07-21 02:25:00,119.39,119.32,119.39,119.32,39976.0,1689877500,,,,,1.0,,,,,,-8.205479742845903,-4.065817399550351,-12.7403657446497,-74.69968949585244,1,0,49835.39499999998,119.39:418.0;,119.39:418.0;,,0.0,119.39;
313,2023-07-21 02:44:00,119.034,118.875,119.035,118.875,201134.0,1689878640,,,,,,,,,,,-7.616577440554231,-4.2701478118963365,-13.729363563679293,-57.08596284943622,0,0,99591.60699999999,,,119.034:418.0;,-148.80799999999772,
156,2023-08-03 00:07:00,127.77,127.63,127.77,127.63,42956.0,1690992420,,,,,,,,,1.0,,-11.763061086257494,-6.603267124262246,11.667909078600616,-76.95247252585997,1,0,49889.07699999999,127.77:389.0;,127.77:389.0;,,0.0,127.77;
349,2023-08-03 03:20:00,128.28,128.295,128.33,128.28,52708.0,1691004000,,,,,,,,,,,-14.448732312008616,82.98621348024712,-7.407028251784922,-71.15947544056284,0,0,99789.99699999999,,,128.28:389.0;,198.39000000000198,
214,2023-09-07 01:05:00,133.761,133.77,133.8,133.76,27470.0,1694019900,,,,,,,1.0,,,,6.117387753193164,-15.762546116929322,-2.6857326140621183,-64.23905249517254,1,0,49897.14399999999,133.761:373.0;,133.761:373.0;,,0.0,133.761;
386,2023-09-07 03:57:00,134.395,134.405,134.405,134.365,120614.0,1694030220,,,,,,,,,,,68.05527647539756,74.67048587187506,-7.611655732115921,0.0075147587454121,0,0,100026.47899999999,,,134.395:373.0;,236.48200000000543,134.44;
118,2023-09-20 23:29:00,135.3,135.255,135.305,135.255,42294.0,1695223740,,,,,,,1.0,,1.0,,-7.330824076529353,-13.05632017427088,13.932058651510856,-76.62192793566982,1,0,50100.77899999999,135.3:369.0;,135.3:369.0;,,0.0,135.3;
153,2023-09-21 00:04:00,135.68,135.655,135.71,135.655,37577.0,1695225840,,,,,,,,,,,88.51796696081718,-9.930780466149308,3.727853513977749,58.65432094202555,0,0,100166.699,,,135.68:369.0;,140.21999999999832,
351,2023-09-21 03:22:00,134.365,134.44,134.44,134.32,53520.0,1695237720,,,,,1.0,,,,,,-13.99300678902015,18.32575258198124,-10.83875562846211,-78.50997347618572,1,0,50182.91899999999,134.365:372.0;,134.365:372.0;,,0.0,134.365;
362,2023-09-21 03:33:00,134.385,134.18,134.385,134.18,141472.0,1695238380,,,,,,,,,,,0.1725914530570946,16.437569103994328,-13.275362173073203,-61.91157862042659,0,0,100174.13899999998,,,134.385:372.0;,7.439999999993233,
58,2023-09-21 22:29:00,130.37,130.45,130.458,130.3,74764.0,1695306540,1.0,,,,,,,,,,8.656462943780468,1.1948243611956428,8.653481251897361,-74.0668253323932,1,0,50112.05899999998,130.37:384.0;,130.37:384.0;,,0.0,130.37;
79,2023-09-21 22:50:00,130.48,130.64,130.64,130.47,71619.0,1695307800,,,,,,,,,,,60.45293013912914,1.312344581978035,6.185703780768655,62.76758844228406,0,0,100216.37899999997,,,130.48:384.0;,42.239999999994325,
10,2023-09-22 21:41:00,129.89,129.81,129.97,129.81,128665.0,1695390060,1.0,,,,,,,,,,5.479769404036915,-0.1717241360905461,8.27063680686306,-73.89038151871968,1,0,50208.72899999998,129.89:385.0;,129.89:385.0;,,0.0,129.89;
21,2023-09-22 21:52:00,130.56,130.57,130.61,130.479,55433.0,1695390720,,,,,,,,,,,50.46079903076724,5.091642170806424,8.27063680686306,82.25688787588491,0,0,100474.32899999997,,,130.56:385.0;,257.9500000000061,
36,2023-09-26 22:07:00,128.38,128.31,128.38,128.28,66912.0,1695737220,,,,,1.0,,,,,,-19.602469322773477,5.845529448272004,15.736946390851124,-77.19738237697501,1,0,50277.74899999997,128.38:391.0;,128.38:391.0;,,0.0,128.38;
42,2023-09-26 22:13:00,128.0,127.95,128.045,127.95,77580.0,1695737580,,,,,,,,,,,-16.3908936047238,-0.1253777801841806,15.736946390851124,-77.54847247148244,0,0,100325.74899999997,,,128.0:391.0;,-148.57999999999822,
121,2023-09-26 23:32:00,127.36,127.365,127.406,127.345,83915.0,1695742320,,,,,,,1.0,,,,3.294805789978668,-23.64453223357622,7.959688169123801,-65.10494083244465,1,0,50145.90899999997,127.36:394.0;,127.36:394.0;,,0.0,127.36;
142,2023-09-26 23:53:00,127.45,127.5,127.5,127.45,70829.0,1695743580,,,,,,,,,,,74.7864789445944,-18.721567508884668,7.959688169123801,24.106665042075225,0,0,100361.20899999997,,,127.45:394.0;,35.460000000001344,
64,2023-10-20 22:35:00,136.12,136.185,136.185,136.041,146535.0,1697812500,1.0,,,,,,,,,,-11.67413149060593,3.7959220368485305,7.045195337894455,-77.2281471674857,1,0,50269.04899999997,136.12:368.0;,136.12:368.0;,,0.0,136.12;
68,2023-10-20 22:39:00,135.8,136.01,136.01,135.798,59098.0,1697812740,,,,,,,,,,,-12.79517496143125,3.7959220368485305,7.045195337894455,-77.7898616258015,0,0,100243.44899999996,,,135.8:368.0;,-117.75999999999749,
91,2023-10-20 23:02:00,135.495,135.54,135.54,135.45,53318.0,1697814120,,,,,,,,,1.0,,-3.089448731286975,-6.389294077340779,1.2535390458703546,-70.45512563111326,1,0,50110.29899999996,135.495:370.0;,135.495:370.0;,,0.0,135.495;
101,2023-10-20 23:12:00,135.47,135.542,135.59,135.47,52194.0,1697814720,,,,,,,,,,,35.78959555590677,-3.2601060323332263,1.2535390458703546,74.7500132819646,0,0,100234.19899999996,,,135.47:370.0;,-9.250000000002103,
18,2023-11-30 22:49:00,134.185,134.3,134.32,134.185,67209.0,1701355740,1.0,,,,,,,,,,0.1747093169443871,14.39957056146974,3.074802477748591,-77.42478858953794,1,0,50183.19399999997,134.185:373.0;,134.185:373.0;,,0.0,134.185;
30,2023-11-30 23:01:00,133.95,133.85,133.95,133.785,156596.0,1701356460,,,,,,,,,,,-9.691594828293638,11.22447810834074,0.2137910366405648,-76.8298094295741,0,0,100146.54399999997,,,133.95:373.0;,-87.65500000000509,
78,2023-11-30 23:49:00,132.685,132.685,132.74,132.67,108295.0,1701359340,,,,,,,1.0,,,,0.5929473224462996,1.5132401323415827,-2.2794180011097183,-74.54776293223802,1,0,50124.29899999996,132.685:377.0;,132.685:377.0;,,0.0,132.685;
86,2023-11-30 23:57:00,132.36,132.48,132.48,132.34,165618.0,1701359820,,,,,,,,,,,2.981503551970473,-0.3822727691786873,-2.2794180011097183,-71.86649177364507,0,0,100024.01899999997,,,132.36:377.0;,-122.52499999999571,
120,2023-12-01 00:31:00,132.06,132.06,132.06,132.004,136453.0,1701361860,,,,,,,,,1.0,,4.625912491858585,-1.949123506951516,-5.39991508287568,-74.23869695997685,1,0,49973.27899999997,132.06:379.0;,132.06:379.0;,,0.0,132.06;
145,2023-12-01 00:56:00,131.91,131.895,131.91,131.86,51681.0,1701363360,,,,,,,,,,,11.331532682833846,-2.0126331937377824,-5.39991508287568,-70.71925710160424,0,0,99967.16899999997,,,131.91:379.0;,-56.850000000002154,
51,2023-12-04 23:22:00,128.45,128.46,128.47,128.42,69092.0,1701703320,1.0,,,,,,,,,,-5.978004080836087,10.691018034055972,15.258613436600363,-77.82934315332946,1,0,50000.11899999997,128.45:389.0;,128.45:389.0;,,0.0,128.45;
58,2023-12-04 23:29:00,128.12,127.983,128.14,127.983,246712.0,1701703740,,,,,,,,,,,-7.598246271522431,5.455439933097296,15.258613436600363,-78.25868593102734,0,0,99838.79899999997,,,128.12:389.0;,-128.3699999999938,
157,2023-12-14 01:08:00,131.948,131.925,131.958,131.925,35386.0,1702487280,1.0,,,,,,,,,,2.505212605188074,-4.393262526916999,11.839311972879678,-71.08132065194262,1,0,49962.454999999965,131.948:378.0;,131.948:378.0;,,0.0,131.948;
270,2023-12-14 03:01:00,131.59,132.1,132.1,131.59,223194.0,1702494060,,,,,,,,,,,62.21501018925829,-3.1584906105033674,5.812651820821543,-65.09533280273577,0,0,99703.47499999998,,,131.59:378.0;,-135.32400000000155,
108,2023-12-30 00:19:00,139.02,139.105,139.13,139.02,32587.0,1703866740,1.0,,,,,,,,,,-0.7497291091249707,15.36975350743218,12.995006934838289,-77.92295761635587,1,0,49934.31499999997,139.02:358.0;,139.02:358.0;,,0.0,139.02;
174,2023-12-30 01:25:00,138.96,139.03,139.05,138.932,21980.0,1703870700,,,,,,,,,,,68.192658973398,5.204758793954923,8.623209814786534,-32.92568840890379,0,0,99681.99499999997,,,138.96:358.0;,-21.480000000000814,
