,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
143,2023-07-10 23:54:00,326.415,326.67,326.67,326.415,77002.0,1689004440,,,,,,,1.0,,,,31.10847910266169,-3.862396497796915,14.629209588188589,-71.55579130210214,1,0,50058.505,326.415:153.0;,326.415:153.0;,,0.0,326.415;
151,2023-07-11 00:02:00,325.69,325.68,325.809,325.42,159945.0,1689004920,,,,,,,,,,,12.165021850233586,-4.724023262340907,6.8846097813797655,-66.06287447792066,0,0,99889.075,,,325.69:153.0;,-110.92500000000348,
344,2023-07-22 03:15:00,339.8,339.74,339.8,339.63,76964.0,1689966900,,,,,,,,,1.0,,-1.4264986868848162,-0.3748352994165742,-6.019015248120482,-74.54224879930179,1,0,50278.274999999994,339.8:146.0;,339.8:146.0;,,0.0,339.8;
346,2023-07-22 03:17:00,339.985,339.7,340.0,339.7,66576.0,1689967020,,,,,,,1.0,,,,-0.5399626273881033,-0.3748352994165742,-6.019015248120482,-59.26065079063528,1,0,640.4649999999892,339.8:146.0;339.985:146.0;,339.985:146.0;,,0.0,339.985;339.985;
365,2023-07-22 03:36:00,338.58,338.67,338.67,338.32,206982.0,1689968160,,,,,,,,,,,1.538598494155952,-3.712953283811196,-8.396783726174547,-74.60619264330802,0,0,99505.82499999998,,,338.58:146.0;338.58:146.0;,-383.2500000000083,
243,2023-07-28 01:34:00,330.51,330.45,330.54,330.44,54772.0,1690479240,,,,,,,1.0,,,,-15.30409903750818,3.1932643686592,-5.093934113971443,-78.41184888937507,1,0,49929.32499999998,330.51:150.0;,330.51:150.0;,,0.0,330.51;
250,2023-07-28 01:41:00,330.145,330.39,330.42,330.08,72236.0,1690479660,,,,,1.0,,,,,,-10.976488719157842,-0.8176580956737496,-5.093934113971443,-75.49341741849625,1,0,407.57499999998254,330.51:150.0;330.145:150.0;,330.145:150.0;,,0.0,330.51;330.145;
281,2023-07-28 02:12:00,330.09,330.13,330.168,330.071,67856.0,1690481520,,,,,,,,,,,60.74608127515744,16.174553676572785,-6.106956878669564,-50.19690721830137,0,0,99434.57499999997,,,330.09:150.0;330.09:150.0;,-71.25000000000341,
374,2023-07-28 03:45:00,327.04,326.66,327.04,326.655,154724.0,1690487100,,,,,1.0,,,,,,-1.871120653601324,-3.694740906310592,-12.044775596823044,-72.1217252034461,1,0,49724.494999999966,327.04:152.0;,327.04:152.0;,,0.0,327.04;
386,2023-07-28 03:57:00,327.37,327.55,327.55,327.37,168812.0,1690487820,,,,,,,,,,,42.02565321357447,-0.9310360288361892,-12.044775596823044,82.84978824482228,0,0,99484.73499999996,,,327.37:152.0;,50.15999999999758,327.77;
84,2023-08-09 22:55:00,320.69,320.485,320.775,320.485,48274.0,1691592900,1.0,,,,,,,,,,9.754023038477705,5.1550787181592455,3.933160415940705,-72.96823858869519,1,0,49777.78499999996,320.69:155.0;,320.69:155.0;,,0.0,320.69;
107,2023-08-09 23:18:00,319.4,319.6,319.6,319.22,79105.0,1691594280,,,,,,,,,,,11.32568427213372,-6.413476521220659,0.8304750265028389,-75.69031004287493,0,0,99284.78499999996,,,319.4:155.0;,-199.95000000000317,
114,2023-08-09 23:25:00,318.53,318.16,318.53,318.16,150046.0,1691594700,,,,,1.0,,,,,,1.7438372862244265,-11.471058821360032,0.8304750265028389,-71.95209012530462,1,0,49594.10499999997,318.53:156.0;,318.53:156.0;,,0.0,318.53;
338,2023-08-10 03:09:00,321.37,321.39,321.39,321.182,39247.0,1691608140,,,,,,,,,,,-11.332114730905758,113.89925752348135,9.340140309553036,-68.8278481395786,0,0,99727.82499999997,,,321.37:156.0;,443.04000000000497,
347,2023-08-18 03:18:00,314.86,314.885,314.885,314.735,54535.0,1692299880,,,,,1.0,,,,,,-11.032651892560182,5.80635708070956,1.539131346218042,-76.17713716204327,1,0,49979.94499999996,314.86:158.0;,314.86:158.0;,,0.0,314.86;
372,2023-08-18 03:43:00,314.51,314.45,314.535,314.43,69305.0,1692301380,,,,,,,,,,,-0.9515093856121056,-0.3385715501178126,-2.0827053766897734,-71.63151348814884,0,0,99672.52499999997,,,314.51:158.0;,-55.30000000000359,
