,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
71,2023-07-21 22:42:00,447.34,446.48,447.42,446.48,145913,1689950520,,,,,,,1.0,,,,-5.153390199315957,5.30506819606709,-3.5075520890787715,-76.90973473089383,1,0,50345.26,447.34:111.0;,447.34:111.0;,,0.0,447.34;
85,2023-07-21 22:56:00,447.33,446.55,447.33,446.53,123050,1689951360,,,,,,,,,,,28.498746122600565,3.2381762280106443,-3.5075520890787715,36.69980064037051,0,0,99998.89,,,447.33:111.0;,-1.1099999999989905,
14,2023-07-24 21:45:00,445.0,445.77,445.77,445.0,129592,1690206300,1.0,,,,,,,,,,74.27436054987754,15.109262038289884,1.470376527057624,44.497135166423945,1,0,50158.89,445.0:112.0;,445.0:112.0;,,0.0,445.0;
17,2023-07-24 21:48:00,443.35,443.35,443.98,443.08,205530,1690206480,,,,,,,,,,,59.54298671178144,15.109262038289884,1.470376527057624,-4.02404103646566,0,0,99814.09,,,443.35:112.0;,-184.79999999999745,
20,2023-07-24 21:51:00,442.71,442.99,443.16,442.71,200299,1690206660,,,,,,,,,1.0,,40.36289913656404,12.831597827176225,1.470376527057624,-68.78041338215954,1,0,50230.57,442.71:112.0;,442.71:112.0;,,0.0,442.71;
24,2023-07-24 21:55:00,440.76,440.75,440.76,440.57,306399,1690206900,,,,,,,,,,,18.05426420600878,9.052320645119693,1.470376527057624,-74.75708158837422,0,0,99595.69,,,440.76:112.0;,-218.39999999999873,
153,2023-08-03 00:04:00,438.56,438.1,438.56,438.1,173990,1690992240,,,,,1.0,,,,,,-1.6090283870289142,-16.186334376227144,7.163408862954242,-76.6338041196961,1,0,50038.41,438.56:113.0;,438.56:113.0;,,0.0,438.56;
161,2023-08-03 00:12:00,436.01,435.5,436.01,435.4,209668,1690992720,,,,,,,,,,,-2.6617137683496037,-16.21496298878136,7.163408862954242,-69.84690486979433,0,0,99307.54000000001,,,436.01:113.0;,-288.1500000000013,
165,2023-08-03 00:16:00,436.15,436.76,436.76,436.08,274684,1690992960,,,1.0,,,,,,,,3.555327861856494,-15.161144386479211,7.163408862954242,54.68023796682584,1,0,49586.44000000001,436.15:114.0;,436.15:114.0;,,0.0,436.15;
173,2023-08-03 00:24:00,435.07,434.83,435.25,434.83,197612,1690993440,,,,,,,,,,,12.22284308789105,-14.273801831488464,7.163408862954242,72.3645332151845,0,0,99184.42000000001,,,435.07:114.0;,-123.11999999999819,
74,2023-08-09 22:45:00,428.78,429.33,429.33,428.75,239208,1691592300,,,,,,,1.0,,1.0,,9.377226078971413,-1.824512472556037,16.955659963301557,-77.41111195153864,1,0,49874.720000000016,428.78:115.0;,428.78:115.0;,,0.0,428.78;
82,2023-08-09 22:53:00,427.27,427.28,427.37,427.18,171982,1691592780,,,,,,,,,,,0.4305438184368491,-4.839315648874788,16.955659963301557,-77.15791529985059,0,0,99010.77000000002,,,427.27:115.0;,-173.64999999999895,
92,2023-08-09 23:03:00,425.56,426.18,426.18,425.56,336212,1691593380,,,,,1.0,,,,,,0.4217995039669162,-9.573622100303623,10.271113199656456,66.74475383337449,1,0,49645.81000000002,425.56:116.0;,425.56:116.0;,,0.0,425.56;
100,2023-08-09 23:11:00,425.21,424.63,425.29,424.49,196320,1691593860,,,,,,,,,,,16.605478171937733,-10.558923247217097,10.271113199656456,78.79930154627525,0,0,98970.17000000001,,,425.21:116.0;,-40.60000000000264,
99,2023-08-11 23:10:00,412.09,412.02,412.26,412.02,145612,1691766600,,,,,,,,,1.0,,1.3615660858070768,-2.6203943885721515,4.267946427371861,-67.73320300895185,1,0,49519.37000000002,412.09:120.0;,412.09:120.0;,,0.0,412.09;
107,2023-08-11 23:18:00,410.84,410.47,410.92,410.47,154838,1691767080,,,,,,,1.0,,,,-6.019796017484445,-4.772633535242932,4.267946427371861,-71.8012952042365,1,0,218.57000000002154,412.09:120.0;410.84:120.0;,410.84:120.0;,,0.0,412.09;410.84;
120,2023-08-11 23:31:00,409.29,409.08,409.29,408.78,329500,1691767860,,,,,,,,,,,-2.6054651763520624,-9.750620948681169,2.0599092332180438,-69.46777814923865,0,0,98448.17000000003,,,409.29:120.0;409.29:120.0;,-521.9999999999891,
147,2023-08-25 23:58:00,452.04,450.62,452.04,450.43,574760,1692979080,,,1.0,,,,,,,,22.41662987854005,1.5961514813110966,13.781353437025388,-74.57858105449439,1,0,49627.85000000003,452.04:108.0;,452.04:108.0;,,0.0,452.04;
171,2023-08-26 00:22:00,451.17,451.07,451.52,450.8,208660,1692980520,,,,,,,,,,,16.280256366975223,-1.3897159571540598,7.169307117584054,-51.63147655479338,0,0,98354.21000000002,,,451.17:108.0;,-93.96000000000049,
36,2023-09-06 22:07:00,470.57,470.04,470.57,469.77,431959,1694009220,,,,,,,1.0,,1.0,,-13.413371837037698,16.433053991867638,12.686517824140608,-77.13758784497635,1,0,49414.93000000002,470.57:104.0;,470.57:104.0;,,0.0,470.57;
55,2023-09-06 22:26:00,469.25,471.17,471.17,469.25,458893,1694010360,,,,,,,,,,,4.623015682684184,-4.313336066628196,12.686517824140608,-64.68739737423142,0,0,98216.93000000002,,,469.25:104.0;,-137.2799999999993,
11,2023-09-11 21:42:00,450.35,449.19,450.35,449.09,681193,1694439720,1.0,,,,,,,,1.0,,14.576360309394218,14.62488529173693,9.495438963750448,-76.42061209637112,1,0,49128.78000000002,450.35:109.0;,450.35:109.0;,,0.0,450.35;
16,2023-09-11 21:47:00,446.25,447.12,447.12,445.88,451100,1694440020,,,,,,,,,,,-3.934935421053069,11.07341533244626,9.495438963750448,-78.5090338643503,0,0,97770.03000000003,,,446.25:109.0;,-446.9000000000025,
18,2023-09-11 21:49:00,447.79,445.29,447.79,445.29,412359,1694440140,,,,,1.0,,,,,,-7.375729048526523,11.07341533244626,9.495438963750448,-76.69001811317045,1,0,48960.92000000003,447.79:109.0;,447.79:109.0;,,0.0,447.79;
20,2023-09-11 21:51:00,447.38,447.03,447.38,446.92,247087,1694440260,,,,,,,1.0,,,,-8.20033070328357,9.512480785908444,9.495438963750448,-76.53466319751848,1,0,196.5000000000291,447.79:109.0;447.38:109.0;,447.38:109.0;,,0.0,447.79;447.38;
29,2023-09-11 22:00:00,445.88,445.7,446.24,445.7,181983,1694440800,,,,,,,,,,,-7.602307930140547,6.824360301254941,7.647246969354683,-72.68954201139442,0,0,97398.34000000003,,,445.88:109.0;445.88:109.0;,-371.6900000000027,
230,2023-09-16 01:21:00,441.31,441.08,441.31,441.08,69430,1694798460,,,,,1.0,,,,,,-19.15730217246501,10.95445592103022,14.09397886290678,-76.49295052098975,1,0,48854.24000000003,441.31:110.0;,441.31:110.0;,,0.0,441.31;
241,2023-09-16 01:32:00,439.11,439.23,439.27,439.11,96052,1694799120,,,,,,,,,,,-30.02917521760226,7.331778912243088,8.22248724708524,-78.39810114751128,0,0,97156.34000000003,,,439.11:110.0;,-241.99999999999875,
345,2023-09-22 03:16:00,410.81,410.71,410.81,410.61,80704,1695323760,,,,,1.0,,,,1.0,,-5.270814339330997,12.923551559809468,6.481637728136128,-74.57200220270708,1,0,48680.760000000024,410.81:118.0;,410.81:118.0;,,0.0,410.81;
364,2023-09-22 03:35:00,410.38,410.27,410.71,410.27,134564,1695324900,,,,,,,1.0,,,,1.9872081980320075,6.925800872319549,3.756143876925513,-69.75841382249735,1,0,255.92000000002736,410.81:118.0;410.38:118.0;,410.38:118.0;,,0.0,411.32;410.38;
386,2023-09-22 03:57:00,410.69,410.77,410.77,410.54,193580,1695326220,,,,,,,,,,,68.38334892930382,13.738219719136438,3.756143876925513,23.111954901270533,0,0,97178.76000000002,,,410.69:118.0;410.69:118.0;,22.41999999999973,412.12;412.12;
100,2023-10-18 23:11:00,422.81,422.81,422.9,422.61,111176,1697641860,,,,,,,,,1.0,,3.238740994749641,-3.7913048560324754,13.025481264958003,-66.39559966832915,1,0,48978.42000000002,422.81:114.0;,422.81:114.0;,,0.0,422.81;
