,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
186,2023-07-21 00:37:00,43.433,43.433,43.433,43.403,281688,1689871020,,,,,1.0,,,,,,-13.72869660554656,6.992938177002337,18.113373592707347,-77.86302351091544,1,0,50008.617,43.433:1151.0;,43.433:1151.0;,,0.0,43.433;
235,2023-07-21 01:26:00,43.283,43.333,43.333,43.283,187120,1689873960,,,,,,,,,,,23.43265513904529,-2.999797584054676,9.117292618075853,-70.05362359120264,0,0,99827.35,,,43.283:1151.0;,-172.64999999999836,
292,2023-07-21 02:23:00,42.932,42.908,42.946,42.908,164864,1689877380,,,1.0,,,,,,,,-11.539025919885283,-1.1109683897001652,-4.314143170755671,-74.51660952008302,1,0,49854.502,42.932:1164.0;,42.932:1164.0;,,0.0,42.932;
299,2023-07-21 02:30:00,42.703,42.683,42.723,42.683,406480,1689877800,,,,,,,,,,,-13.108183016339872,-2.194100575296119,-10.646207804540351,-75.74532337410983,0,0,99560.794,,,42.703:1164.0;,-266.5559999999991,
301,2023-07-21 02:32:00,42.813,42.804,42.813,42.733,303800,1689877920,,,,,1.0,,,,,,-9.153954792797968,-2.194100575296119,-10.646207804540351,-71.28902955778246,1,0,49598.022999999994,42.813:1167.0;,42.813:1167.0;,,0.0,42.813;
329,2023-07-21 03:00:00,42.635,42.628,42.643,42.623,108920,1689879600,,,,,,,,,,,3.53167291836753,-2.285555077881284,-16.090384423160884,-73.81909318562819,0,0,99353.068,,,42.635:1167.0;,-207.72600000000511,
156,2023-08-03 00:07:00,41.124,41.048,41.124,41.048,408424,1690992420,,,1.0,,,,,,,,-9.239863890492655,-24.330795800649437,18.64116029760248,-76.55832620170692,1,0,49716.399999999994,41.124:1207.0;,41.124:1207.0;,,0.0,41.124;
259,2023-08-03 01:50:00,41.504,41.513,41.545,41.504,237888,1690998600,,,,,,,,,,,33.01955585091261,29.39595516488909,1.6718202224645893,-26.92808362969001,0,0,99811.72799999999,,,41.504:1207.0;,458.6599999999945,
111,2023-08-07 23:22:00,40.503,40.503,40.503,40.454,179700,1691421720,,,,,,,1.0,,,,-8.133622200078044,13.061288910569251,16.586465303291227,-75.0002190850924,1,0,49912.031999999985,40.503:1232.0;,40.503:1232.0;,,0.0,40.503;
190,2023-08-08 00:41:00,40.824,40.865,40.865,40.824,165544,1691426460,,,,,,,,,,,36.07197897845828,56.34913862969841,13.788004489624278,-16.657853324478477,0,0,100207.19999999998,,,40.824:1232.0;,395.4719999999975,
