,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
186,2023-07-21 00:37:00,43.433,43.433,43.433,43.403,281688,1689871020,,,,,1.0,,,,,,-13.72869660554656,6.992938177002337,18.113373592707347,-77.86302351091544,1,0,50008.617,43.433:1151.0;,43.433:1151.0;,,0.0,43.433;
286,2023-07-21 02:17:00,43.093,43.053,43.103,43.053,528288,1689877020,,,,,,,,,,,-7.876217610899815,-0.0003617144432261,-4.314143170755671,-77.18009102292264,0,0,99608.66,,,43.093:1151.0;,-391.33999999999577,
292,2023-07-21 02:23:00,42.932,42.908,42.946,42.908,164864,1689877380,,,1.0,,,,,,,,-11.539025919885283,-1.1109683897001652,-4.314143170755671,-74.51660952008302,1,0,49635.812,42.932:1164.0;,42.932:1164.0;,,0.0,42.932;
301,2023-07-21 02:32:00,42.813,42.804,42.813,42.733,303800,1689877920,,,,,1.0,,,,,,-9.153954792797968,-2.194100575296119,-10.646207804540351,-71.28902955778246,1,0,-326.95900000000256,42.932:1164.0;42.813:1167.0;,42.813:1167.0;,,0.0,42.943;42.813;
335,2023-07-21 03:06:00,42.548,42.523,42.553,42.503,376464,1689879960,,,,,,,,,,,2.469258226172137,-2.913630328567581,-16.090384423160884,-74.19048117942724,0,0,49198.913,42.813:1167.0;,,42.548:1164.0;,-446.9760000000004,42.853;
338,2023-07-21 03:09:00,42.463,42.443,42.48,42.443,212928,1689880140,,,,,,,,,,,-0.5486091679308558,-2.913630328567581,-16.090384423160884,-76.4858829430779,0,0,98753.234,,,42.463:1167.0;,-408.45000000000164,
156,2023-08-03 00:07:00,41.124,41.048,41.124,41.048,408424,1690992420,,,1.0,,,,,,,,-9.239863890492655,-24.330795800649437,18.64116029760248,-76.55832620170692,1,0,49404.433999999994,41.124:1200.0;,41.124:1200.0;,,0.0,41.124;
348,2023-08-03 03:19:00,41.275,41.253,41.275,41.243,154528,1691003940,,,,,,,,,,,-6.324774327208573,79.8079989673037,-7.275479146764866,-76.94784343596005,0,0,98934.434,,,41.275:1200.0;,181.1999999999955,
111,2023-08-07 23:22:00,40.503,40.503,40.503,40.454,179700,1691421720,,,,,,,1.0,,,,-8.133622200078044,13.061288910569251,16.586465303291227,-75.0002190850924,1,0,49480.27099999999,40.503:1221.0;,40.503:1221.0;,,0.0,40.503;
224,2023-08-08 01:15:00,41.103,41.039,41.103,41.033,123436,1691428500,,1.0,,,,,,,,,91.98430616791696,73.51408932703193,16.319613184328034,10.38589553844888,0,1,74594.204,40.503:610.0;,,41.103:611;,366.6000000000009,41.163;
385,2023-08-08 03:56:00,41.493,41.533,41.533,41.493,304976,1691438160,,,,,,,,,,1.0,102.6977867187466,110.06726165298556,30.285061187766274,37.05732884288624,0,1,99904.934,,,41.493:610.0;,603.9000000000012,41.523;
126,2023-08-11 23:37:00,38.123,38.193,38.193,38.123,367144,1691768220,,,,,,,,,1.0,,-3.995053312092331,11.386067723009807,18.489338717905483,-75.66635510212056,1,0,49963.804,38.123:1310.0;,38.123:1310.0;,,0.0,38.123;
386,2023-08-12 03:57:00,38.402,38.393,38.433,38.383,470664,1691783820,,,,,,,,,,,16.467275339020404,86.05919843136708,16.080014918326462,-71.6442237571788,0,0,100270.424,,,38.402:1310.0;,365.49000000000456,38.798;
219,2023-08-17 01:10:00,37.743,37.697,37.743,37.693,552256,1692205800,,,,,,,1.0,,,,26.9297262387738,-3.0982186814343398,10.859193071767038,-70.11957017535013,1,0,50147.719999999994,37.743:1328.0;,37.743:1328.0;,,0.0,37.743;
281,2023-08-17 02:12:00,37.613,37.728,37.733,37.613,640456,1692209520,,,,,,,,,,,20.52654225615521,20.44549753893731,7.823582370325013,-66.67782331980912,0,0,100097.78399999999,,,37.613:1328.0;,-172.6400000000034,
8,2023-08-17 21:39:00,37.478,37.428,37.488,37.423,241071,1692279540,1.0,,,,,,,,,,53.5122884777189,14.377712528958329,3.7914440096999584,75.2695825109665,1,0,50064.65399999998,37.478:1335.0;,37.478:1335.0;,,0.0,37.478;
