,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
212,2023-07-21 01:03:00,267.15,267.17,267.17,267.07,326752.0,1689872580,,,1.0,,,,,,,,-5.57339429491018,-4.724382698383078,1.427440662636485,-75.96302649941192,1,0,50042.950000000004,267.15:187.0;,267.15:187.0;,,0.0,267.15;
220,2023-07-21 01:11:00,266.05,266.115,266.12,265.96,710520.0,1689873060,,,,,,,,,,,2.9346575767175267,-5.210389573843916,1.427440662636485,-64.66045019468075,0,0,99794.3,,,266.05:187.0;,-205.69999999999362,
147,2023-08-02 23:58:00,252.67,252.485,252.7,252.485,235880.0,1690991880,,,,,,,1.0,,,,8.675795725394657,14.55903384279371,12.019486690055912,-75.12536696532048,1,0,50018.310000000005,252.67:197.0;,252.67:197.0;,,0.0,252.67;
155,2023-08-03 00:06:00,251.216,251.35,251.35,251.216,277624.0,1690992360,,,,,,,,,,,-3.808906411905447,6.497123324354739,4.746790662048937,-77.30459210232692,0,0,99507.86200000001,,,251.216:197.0;,-286.4379999999959,
65,2023-08-15 22:36:00,234.65,234.353,234.65,234.353,317156.0,1692110160,,,,,,,,,1.0,,-3.9262622744206936,4.416888192976586,19.819703736296752,-77.0959213520933,1,0,49762.062000000005,234.65:212.0;,234.65:212.0;,,0.0,234.65;
116,2023-08-15 23:27:00,235.105,235.169,235.23,235.105,273688.0,1692113220,,,,,,,,,,,62.52941793728553,5.0285574000925095,16.261303489415596,6.085376027670839,0,0,99604.322,,,235.105:212.0;,96.45999999999663,
218,2023-08-16 01:09:00,233.39,233.42,233.441,233.325,151400.0,1692119340,,,,,,,1.0,,,,-6.145202331604374,-3.2918597275561794,6.721957669214255,-74.24565250315517,1,0,49892.252,233.39:213.0;,233.39:213.0;,,0.0,233.39;
253,2023-08-16 01:44:00,232.89,233.042,233.045,232.89,241200.0,1692121440,,,,,,,,,,,15.77418320211217,-1.6369284036128775,4.496709234344003,-74.44289229011362,0,0,99497.822,,,232.89:213.0;,-106.5,
173,2023-08-17 00:24:00,227.04,226.94,227.04,226.83,231332.0,1692203040,,,,,,,1.0,,,,15.597021884603189,17.55323086425335,6.518854060188914,-74.67615894157196,1,0,49776.062000000005,227.04:219.0;,227.04:219.0;,,0.0,227.04;
273,2023-08-17 02:04:00,227.29,227.87,227.99,227.29,414056.0,1692209040,,,,,,,,,,,54.327474357812605,18.45337088414083,4.039035680389617,-64.6526504423719,0,0,99552.572,,,227.29:219.0;,54.75,
3,2023-08-17 21:34:00,224.195,223.937,224.285,223.71,536716.0,1692279240,1.0,,,,,,,,,,15.596339887377212,19.77714436239313,11.013467603805664,70.56522228921425,1,0,49781.282,224.195:222.0;,224.195:222.0;,,0.0,224.195;
9,2023-08-17 21:40:00,222.815,222.645,222.83,222.64,687429.0,1692279600,,,,,,,,,,,4.5406357703446005,14.944854232282289,11.013467603805664,-71.86183766011023,0,0,99246.212,,,222.815:222.0;,-306.359999999999,
26,2023-08-17 21:57:00,222.033,222.64,222.67,222.015,590438.0,1692280620,,,,,,,1.0,,,,4.210892227694945,7.842088610746231,11.013467603805664,-66.58161470439552,1,0,49510.82,222.033:224.0;,222.033:224.0;,,0.0,222.033;
43,2023-08-17 22:14:00,222.4,222.61,222.61,222.3,365620.0,1692281640,,,,,,,,,,,14.177163361843618,8.319298373319064,10.35791868076895,-26.964083299130625,0,0,99328.42,,,222.4:224.0;,82.20800000000418,
302,2023-08-18 02:33:00,221.54,221.485,221.59,221.48,187376.0,1692297180,,,,,,,,,1.0,,4.038090422134616,15.401680221212644,11.334267668001704,-70.18844674560943,1,0,49703.46,221.54:224.0;,221.54:224.0;,,0.0,221.54;
339,2023-08-18 03:10:00,220.37,220.4,220.4,220.37,212464.0,1692299400,,,,,,,,,,,10.212883551730474,-3.2630884173719323,9.772804511369568,-69.7886471900609,0,0,99066.34,,,220.37:224.0;,-262.0799999999972,
