,dt_1D,open,close,high,low,vol,turnover,m1,m2,long,short
0,20210712,143.42,141.71,143.43,141.232,76299720,11041144832.0,0.0,0.0,0,0
1,20210713,141.24,142.85,144.665,140.62,100827096,14716527616.0,0.015,0.059,0,0
2,20210714,145.31,146.36,146.76,142.486,127050784,18893492224.0,0.077,0.287,0,0
3,20210715,146.45,145.69,147.2,144.333,106820296,15865161728.0,0.126,0.426,0,0
4,20210716,145.67,143.6,146.94,143.02,94827744,13759898624.0,0.145,0.42,0,0
5,20210719,140.96,139.66,143.01,138.892,121434568,17306271744.0,0.108,0.205,0,0
6,20210720,140.67,143.36,144.273,139.96,96715560,14017081344.0,0.124,0.228,0,0
7,20210721,142.74,142.61,143.72,141.919,75342592,10948163584.0,0.129,0.203,0,0
8,20210722,143.145,144.01,145.4,142.73,77338160,11357458432.0,0.152,0.254,0,0
9,20210723,144.76,145.77,145.915,144.205,71447416,10568218624.0,0.197,0.382,0,0
10,20210726,145.48,146.2,147.015,144.61,72434088,10787068928.0,0.246,0.499,0,0
11,20210727,146.33,143.98,146.71,139.76,104818576,15291069440.0,0.261,0.468,0,0
12,20210728,142.02,142.19,144.13,139.79,118931192,17222033408.0,0.251,0.345,0,0
13,20210729,141.895,142.85,143.755,141.54,56699476,8248108032.0,0.251,0.279,0,0
14,20210730,141.59,143.07,143.528,141.21,70440624,10241835008.0,0.253,0.235,0,0
15,20210802,143.57,142.73,144.16,142.47,62879960,9353617408.0,0.251,0.181,0,0
16,20210803,143.02,144.57,145.23,142.42,64786616,9509693440.0,0.273,0.231,0,0
17,20210804,144.48,144.16,144.97,143.5,56368272,8286479872.0,0.288,0.246,0,0
18,20210805,144.19,144.27,145.032,143.455,46397672,6825650176.0,0.304,0.261,0,0
19,20210806,143.78,143.57,144.525,143.075,54126812,7913909760.0,0.309,0.232,0,0
20,20210809,143.63,143.52,144.074,143.01,48908688,7148571648.0,0.313,0.204,0,0
21,20210810,143.87,143.03,145.14,142.73,69023080,10085999616.0,0.309,0.154,0,0
22,20210811,143.48,143.29,144.1,142.37,48493464,7081059840.0,0.309,0.127,0,0
23,20210812,143.62,146.32,146.475,142.926,73779112,10703500288.0,0.35,0.262,0,0
24,20210813,146.4,146.53,146.85,145.725,59375008,8823870464.0,0.391,0.374,0,0
25,20210816,145.965,148.55,149.12,143.985,103558784,15111199744.0,0.457,0.561,0,0
26,20210817,147.66,147.62,149.09,146.53,92229736,13859028992.0,0.506,0.652,0,0
27,20210818,147.23,143.79,148.12,143.43,86325992,12559399936.0,0.5,0.515,0,0
28,20210819,142.46,144.13,145.42,141.73,86960312,12731180032.0,0.499,0.419,0,0
29,20210820,144.87,145.62,145.91,143.33,60549632,8819009536.0,0.517,0.417,0,0
30,20210823,145.74,147.14,147.605,145.25,60131808,8962209792.0,0.554,0.488,0,0
31,20210824,146.88,147.05,148.28,146.63,48606428,7273440256.0,0.588,0.533,0,0
32,20210825,147.24,145.79,147.695,145.235,58991296,8765539328.0,0.602,0.496,0,0
33,20210826,145.78,144.97,146.502,144.94,48597196,7150029824.0,0.604,0.417,0,0
34,20210827,144.91,146.03,146.17,144.282,55802388,8265179648.0,0.62,0.406,0,0
35,20210830,146.43,150.55,150.92,146.01,90956720,13774699520.0,0.695,0.627,0,0
36,20210831,150.09,149.26,151.11,148.745,86453120,13122499584.0,0.748,0.723,0,0
37,20210901,150.26,149.94,152.385,148.881,80438488,12293300224.0,0.806,0.825,0,0
38,20210902,151.3,151.08,152.11,149.559,71171320,10915099648.0,0.876,0.952,0,0
39,20210903,151.19,151.73,151.97,150.62,57866064,8895970304.0,0.95,1.073,0,0
40,20210907,152.4,154.12,154.675,151.345,82278264,12844325888.0,1.052,1.277,0,0
41,20210908,154.41,152.54,154.62,151.46,74420208,11503099904.0,1.125,1.338,0,0
42,20210909,152.92,151.5,153.528,151.39,57305728,8713100288.0,1.179,1.314,0,0
