,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,143.42,141.71,143.43,141.232,76299720,11041144832.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071309,141.24,142.85,144.665,140.62,100827096,14716527616.0,0.015,0.059,,,,0,0,0,0,0,0,0,0,
2,2021071409,145.31,146.36,146.76,142.486,127050784,18893492224.0,0.077,0.287,,,,0,0,0,0,0,0,0,0,
3,2021071509,146.45,145.69,147.2,144.333,106820296,15865161728.0,0.126,0.426,,,,0,0,0,0,0,0,0,0,
4,2021071609,145.67,143.6,146.94,143.02,94827744,13759898624.0,0.145,0.42,,,,0,0,0,0,0,0,0,0,
5,2021071909,140.96,139.66,143.01,138.892,121434568,17306271744.0,0.108,0.205,,,,0,0,0,0,0,0,0,0,
6,2021072009,140.67,143.36,144.273,139.96,96715560,14017081344.0,0.124,0.228,,,,0,0,0,0,0,0,0,0,
7,2021072109,142.74,142.61,143.72,141.919,75342592,10948163584.0,0.129,0.203,,,,0,0,1,1,0,0,0,0,
8,2021072209,143.145,144.01,145.4,142.73,77338160,11357458432.0,0.152,0.254,,,,0,0,0,0,0,0,0,0,
9,2021072309,144.76,145.77,145.915,144.205,71447416,10568218624.0,0.197,0.382,,,,0,0,0,0,0,0,0,0,
10,2021072609,145.48,146.2,147.015,144.61,72434088,10787068928.0,0.246,0.499,,,,0,0,0,0,0,0,0,0,
11,2021072709,146.33,143.98,146.71,139.76,104818576,15291069440.0,0.261,0.468,,,,0,0,0,0,0,0,0,0,
12,2021072809,142.02,142.19,144.13,139.79,118931192,17222033408.0,0.251,0.345,,,,0,0,0,0,0,0,0,0,
13,2021072909,141.895,142.85,143.755,141.54,56699476,8248108032.0,0.251,0.279,,,,0,0,1,0,0,0,0,0,
14,2021073009,141.59,143.07,143.528,141.21,70440624,10241835008.0,0.253,0.235,,,,0,0,0,0,0,0,0,0,
15,2021080209,143.57,142.73,144.16,142.47,62879960,9353617408.0,0.251,0.181,,,,0,0,0,0,0,0,0,0,
16,2021080309,143.02,144.57,145.23,142.42,64786616,9509693440.0,0.273,0.231,,,,0,0,1,1,0,0,0,0,
17,2021080409,144.48,144.16,144.97,143.5,56368272,8286479872.0,0.288,0.246,,,,0,0,0,0,0,0,0,0,
18,2021080509,144.19,144.27,145.032,143.455,46397672,6825650176.0,0.304,0.261,,,,0,0,0,1,0,0,0,0,
19,2021080609,143.78,143.57,144.525,143.075,54126812,7913909760.0,0.309,0.232,,,,0,0,1,1,0,0,0,0,
20,2021080909,143.63,143.52,144.074,143.01,48908688,7148571648.0,0.313,0.204,,,,0,0,0,0,0,0,0,0,
21,2021081009,143.87,143.03,145.14,142.73,69023080,10085999616.0,0.309,0.154,,,,0,0,1,0,0,0,0,0,
22,2021081109,143.48,143.29,144.1,142.37,48493464,7081059840.0,0.309,0.127,,,,0,0,0,0,0,0,0,0,
23,2021081209,143.62,146.32,146.475,142.926,73779112,10703500288.0,0.35,0.262,,,,0,0,0,0,0,0,0,0,
24,2021081309,146.4,146.53,146.85,145.725,59375008,8823870464.0,0.391,0.374,,,,0,0,0,0,0,0,0,0,
25,2021081609,145.965,148.55,149.12,143.985,103558784,15111199744.0,0.457,0.561,,,,0,0,0,1,0,0,0,0,
