,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,91.22,90.81,91.877,89.67,28526560,2579551488.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071309,90.48,90.26,91.4,89.842,30367596,2749403392.0,-0.007,-0.029,,,,0,0,0,0,0,0,0,0,
2,2021071409,90.76,89.05,91.321,88.91,28108504,2522624768.0,-0.031,-0.113,,,,0,0,0,0,0,0,0,0,
3,2021071509,89.78,86.93,90.98,86.19,38944740,3413085184.0,-0.081,-0.288,,,,0,0,0,0,0,0,0,0,
4,2021071609,87.32,85.89,87.98,85.69,35895208,3102347520.0,-0.143,-0.474,,,,0,0,0,0,0,0,0,0,
5,2021071909,84.99,86.58,87.3,84.28,39244796,3374636288.0,-0.192,-0.578,,,,0,0,0,0,0,0,0,0,
6,2021072009,87.09,87.11,87.765,85.18,28088956,2431947008.0,-0.23,-0.623,,,,0,0,0,0,0,0,0,0,
7,2021072109,87.25,89.41,89.6,86.96,29481696,2614842112.0,-0.235,-0.531,,,,0,0,0,0,0,0,0,0,
8,2021072209,89.4,91.21,91.38,89.1,33730080,3041927936.0,-0.216,-0.359,,,,0,0,0,0,0,0,0,0,
9,2021072309,91.348,92.15,92.36,90.194,31708900,2900243712.0,-0.185,-0.171,,,,0,0,0,1,0,0,0,0,
10,2021072609,92.01,91.82,92.96,90.81,27668460,2535020288.0,-0.159,-0.04,,,,0,0,0,0,0,0,0,0,
11,2021072709,92.94,91.03,94.073,88.65,69427024,6310771200.0,-0.146,0.022,,,,0,0,0,0,0,0,0,0,
12,2021072809,93.44,97.93,98.68,89.7,140561024,13446184960.0,-0.04,0.428,,,,0,0,0,1,0,0,0,0,
13,2021072909,96.58,102.95,105.73,96.55,164091760,16848775168.0,0.127,1.0,,,,0,0,0,0,0,0,0,0,
14,2021073009,101.6,106.19,106.96,101.2,125632016,13276749824.0,0.329,1.601,,,,0,0,0,0,0,0,0,0,
15,2021080209,105.93,108.63,110.29,103.965,115581856,12498242560.0,0.551,2.175,,,,0,0,0,0,0,0,0,0,
16,2021080309,108.15,112.56,114.77,107.64,157723136,17595437056.0,0.814,2.799,,,,0,0,0,0,0,0,0,0,
17,2021080409,114.36,118.77,122.37,112.279,225368704,26840813568.0,1.144,3.571,,,,0,0,0,0,0,0,0,0,
18,2021080509,116.63,112.35,118.3,111.615,137860864,15690000384.0,1.368,3.792,,,,0,0,0,0,0,0,0,0,
19,2021080609,110.55,110.11,116.178,109.725,143899024,16273000448.0,1.549,3.799,,,,0,0,0,0,0,0,0,0,
20,2021080909,111.31,107.58,112.245,107.075,115749944,12674246656.0,1.683,3.624,,,,0,0,0,0,0,0,0,0,
21,2021081009,107.895,106.48,108.97,104.42,113012296,12076999680.0,1.794,3.383,,,,0,0,0,0,0,0,0,0,
22,2021081109,107.6,107.68,109.759,105.73,91788288,9898762240.0,1.913,3.214,,,,0,0,1,0,0,0,0,0,
23,2021081209,107.39,106.5,108.44,106.16,60625724,6476689920.0,2.007,2.979,,,,0,0,0,0,0,0,0,0,
24,2021081309,107.17,110.55,111.7,106.234,100135744,11001799680.0,2.15,2.968,,,,0,0,0,0,0,0,0,0,
25,2021081609,110.2,107.48,111.497,105.95,73398936,7885199872.0,2.241,2.761,,,,0,0,0,0,0,0,0,0,
26,2021081709,106.644,107.56,108.67,105.435,74053904,7933961216.0,2.326,2.568,,,,0,0,0,0,0,0,0,0,
27,2021081809,107.35,103.44,107.958,102.44,79387944,8346862592.0,2.349,2.171,,,,0,0,0,0,0,0,0,0,
28,2021081909,103.315,103.7,106.15,101.7,71117496,7384169984.0,2.372,1.846,,,,0,0,0,0,0,0,0,0,
29,2021082009,104.32,104.65,105.97,103.17,55227560,5788407296.0,2.405,1.618,,,,0,0,0,0,0,0,0,0,
30,2021082309,105.295,108.77,109.62,104.85,68835280,7342410240.0,2.49,1.634,,,,0,0,0,0,0,0,0,0,
31,2021082409,109.45,107.65,109.97,107.295,51239296,5524980224.0,2.553,1.567,,,,0,0,0,0,0,0,0,0,
32,2021082509,108.13,108.3,109.885,107.36,45485504,4933665792.0,2.619,1.528,,,,0,0,0,0,0,0,0,0,
33,2021082609,108.57,107.27,109.143,106.85,51517612,5546200064.0,2.665,1.424,,,,0,0,0,0,0,0,0,0,
34,2021082709,108.01,111.4,111.73,107.32,61030016,6741799936.0,2.762,1.54,,77.39957994224208,,0,0,1,1,0,0,0,0,
35,2021083009,112.61,111.32,114.445,111.04,56130468,6302649856.0,2.85,1.605,,77.37024257502073,-0.029337367221359045,0,0,0,0,0,0,0,0,
36,2021083109,111.26,110.72,111.99,109.1,49338956,5437040128.0,2.923,1.604,,77.11326755841627,-0.2569750166044571,0,0,0,0,0,0,0,0,
37,2021090109,111.3,109.99,111.77,109.0,38579560,4257939968.0,2.98,1.545,,76.53170015525659,-0.5815674031596814,0,0,0,0,0,0,0,0,
38,2021090209,110.32,109.2,110.875,108.815,40108764,4395879936.0,3.02,1.438,,75.59587698106387,-0.9358231741927199,0,0,0,0,0,0,0,0,
39,2021090309,108.85,109.92,111.08,108.53,42623780,4695725056.0,3.065,1.373,,74.88239669684768,-0.7134802842161889,0,0,0,0,0,0,0,0,
40,2021090709,109.955,109.15,110.522,108.4,28815232,3138569984.0,3.095,1.264,,73.91287140736343,-0.9695252894842525,0,0,0,0,0,0,0,0,
41,2021090809,108.88,106.17,109.179,105.56,43067912,4587979776.0,3.081,1.008,,71.53227812178996,-2.380593285573468,0,0,0,0,0,0,0,0,
42,2021090909,106.56,106.15,107.249,105.06,31857872,3335010048.0,3.064,0.795,,68.54920349778448,-2.983074624005482,0,0,0,0,0,0,0,0,
