,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,201.28,202.86,203.781,200.52,11259481,2309182464.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071309,206.61,206.89,210.02,205.67,17375880,3656504320.0,0.054,0.209,,,,0,0,0,0,0,0,0,0,
2,2021071409,212.88,208.88,215.09,206.367,19484214,4156207872.0,0.132,0.473,,,,0,0,0,0,0,0,0,0,
3,2021071509,212.49,212.14,214.46,208.352,14283583,3066047744.0,0.25,0.842,,,,0,0,0,0,0,0,0,0,
4,2021071609,212.23,209.48,213.26,208.78,11150244,2367119872.0,0.325,0.98,,,,0,0,0,0,0,0,0,0,
5,2021071909,203.48,206.29,207.28,200.63,15865819,3274301952.0,0.352,0.909,,,,0,0,0,0,0,0,0,0,
6,2021072009,206.38,207.97,208.97,204.91,9986819,2094934400.0,0.4,0.93,,,,0,0,0,0,0,0,0,0,
7,2021072109,206.53,208.46,209.9,205.87,7650329,1606712448.0,0.451,0.959,,,,0,0,0,0,0,0,0,0,
8,2021072209,210.02,211.42,213.7,209.3,10563112,2263872770.0,0.539,1.123,,,,0,0,0,0,0,0,0,0,
9,2021072309,203.67,203.91,208.38,201.015,25539860,5237277696.0,0.521,0.846,,,,0,0,0,0,0,0,0,0,
10,2021072609,195.75,189.14,203.91,188.28,55736768,10807409664.0,0.303,-0.148,,,,0,0,0,0,0,0,0,0,
11,2021072709,180.97,183.45,184.1,177.14,59265660,10869818368.0,0.022,-1.216,,,,0,0,1,0,0,0,0,0,
12,2021072809,187.61,193.39,195.26,183.45,34535176,6694610944.0,-0.11,-1.516,,,,0,0,0,0,0,0,0,0,
13,2021072909,198.425,194.92,199.36,191.12,23363232,4624459264.0,-0.213,-1.651,,,,0,0,0,0,0,0,0,0,
14,2021073009,187.96,192.57,193.83,187.28,17250596,3348697344.0,-0.343,-1.857,,,,0,0,0,0,0,0,0,0,
15,2021080209,193.65,197.47,199.37,193.63,17889194,3584277252.0,-0.398,-1.738,,,,0,0,0,0,0,0,0,0,
16,2021080309,192.39,194.76,200.38,189.43,20115916,3930861568.0,-0.486,-1.764,,,,0,0,0,0,0,0,0,0,
17,2021080409,194.87,198.09,200.65,192.76,22327280,4498240000.0,-0.524,-1.588,,,,0,0,0,0,0,0,0,0,
18,2021080509,196.65,196.66,197.654,195.1,9881409,1967857920.0,-0.579,-1.505,,,,0,0,0,0,0,0,0,0,
19,2021080609,196.63,193.77,198.57,193.075,11967719,2356588544.0,-0.669,-1.571,,,,0,0,1,1,0,0,0,0,
20,2021080909,191.96,192.63,192.86,190.24,14657158,2849029884.0,-0.769,-1.661,,,,0,0,0,0,0,0,0,0,
21,2021081009,194.65,193.11,195.79,191.559,9983680,1960309888.0,-0.856,-1.685,,,,0,0,0,0,0,0,0,0,
22,2021081109,193.98,192.24,195.06,192.14,8985075,1757280000.0,-0.949,-1.726,,,,0,0,0,0,0,0,0,0,
23,2021081209,188.55,189.04,192.24,187.14,12885440,2455940096.0,-1.079,-1.903,,,,0,0,0,0,0,0,0,0,
24,2021081309,185.99,186.0,188.561,184.09,15376980,2881349888.0,-1.242,-2.173,,,,0,0,0,0,0,0,0,0,
25,2021081609,182.38,180.09,183.62,178.92,21044108,3854421504.0,-1.474,-2.663,,,,0,0,0,0,0,0,0,0,
26,2021081709,173.3,171.11,175.17,170.58,40557976,6738420224.0,-1.814,-3.476,,,,0,0,0,0,0,0,0,0,
27,2021081809,171.48,169.73,173.63,169.28,34339832,5950960128.0,-2.15,-4.137,,,,0,0,0,0,0,0,0,0,
28,2021081909,164.08,157.93,164.538,156.94,66662952,10844241920.0,-2.626,-5.211,,,,0,0,0,0,0,0,0,0,
29,2021082009,161.5,155.34,164.229,153.0,75948864,12190061568.0,-3.106,-6.114,,,,0,0,0,0,0,0,0,0,
30,2021082309,156.66,158.44,160.5,150.33,88699152,13911790592.0,-3.516,-6.578,,,,0,0,0,0,0,0,0,0,
31,2021082409,166.42,169.08,171.493,158.44,62786404,10733400064.0,-3.755,-6.301,,,,0,0,0,0,0,0,0,0,
32,2021082509,166.08,166.48,167.43,163.47,26055352,4355369976.0,-4.013,-6.139,,,,0,0,0,0,0,0,0,0,
33,2021082609,164.84,162.62,166.48,161.58,18816500,3109769984.0,-4.305,-6.133,,,,0,0,0,1,0,0,0,0,
