,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,126.168,126.965,127.13,125.602,883389,2234571520.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071309,127.029,127.332,128.031,126.665,962347,2451196160.0,0.005,0.019,,,,0,0,0,0,0,0,0,0,
2,2021071409,127.948,128.227,129.26,127.446,1187283,3051171840.0,0.022,0.08,,,,0,0,0,0,0,0,0,0,
3,2021071509,128.639,126.995,128.857,126.52,1210940,3079588352.0,0.021,0.063,,,,0,0,0,0,0,0,0,0,
4,2021071609,127.653,126.96,127.785,126.155,1021227,2589255680.0,0.02,0.047,,,,0,0,0,0,0,0,0,0,
5,2021071909,126.08,124.568,126.73,123.498,1398379,3479600128.0,-0.014,-0.091,,,,0,0,0,0,0,0,0,0,
6,2021072009,125.518,126.2,127.033,124.34,1315822,3319511552.0,-0.024,-0.112,,,,0,0,1,0,0,0,0,0,
7,2021072109,126.123,127.539,127.574,126.014,1044301,2654071296.0,-0.014,-0.058,,,,0,0,0,0,0,0,0,0,
8,2021072209,127.834,128.411,129.989,127.489,715094,1828463232.0,0.006,0.031,,,,0,0,0,0,0,0,0,0,
9,2021072309,130.421,133.005,133.379,129.49,2075321,5474381824.0,0.087,0.338,,,,0,0,0,1,0,0,0,0,
10,2021072609,133.318,134.025,134.731,132.292,1528574,4074822144.0,0.177,0.626,,,,0,0,0,0,0,0,0,0,
11,2021072709,134.241,131.89,138.74,130.118,2735555,7265922560.0,0.233,0.731,,,,0,0,0,0,0,0,0,0,
12,2021072809,136.302,136.084,138.24,135.313,4756530,13048927232.0,0.343,1.022,,,,0,0,0,0,0,0,0,0,
13,2021072909,136.14,135.768,136.74,134.853,1585786,4303798784.0,0.441,1.219,,,,0,0,0,0,0,0,0,0,
14,2021073009,135.025,134.717,136.107,134.271,1278789,3445631744.0,0.519,1.301,,,,0,0,0,0,0,0,0,0,
15,2021080209,135.107,134.845,135.49,133.784,1081710,2914062336.0,0.595,1.356,,,,0,0,0,0,0,0,0,0,
16,2021080309,135.125,135.62,135.722,133.309,1038094,2799854336.0,0.676,1.421,,,,0,0,0,0,0,0,0,0,
17,2021080409,135.34,135.116,135.611,134.478,983801,2658330112.0,0.744,1.427,,,,0,0,0,0,0,0,0,0,
18,2021080509,135.671,136.242,136.34,134.881,893450,2427940096.0,0.824,1.471,,,,0,0,0,0,0,0,0,0,
19,2021080609,136.032,135.729,136.42,135.2,1024406,2781690112.0,0.891,1.46,,,,0,0,0,0,0,0,0,0,
20,2021080909,135.933,136.903,137.158,135.351,888300,2424300032.0,0.97,1.494,,,,0,0,0,0,0,0,0,0,
21,2021081009,137.332,136.797,137.73,136.376,970704,2659120128.0,1.042,1.495,,,,0,0,0,0,0,0,0,0,
22,2021081109,137.171,136.269,137.672,135.99,767600,2097799936.0,1.102,1.449,,,,0,0,0,0,0,0,0,0,
23,2021081209,135.965,137.184,137.26,135.487,825943,2253410048.0,1.17,1.442,,,,0,0,0,0,0,0,0,0,
24,2021081309,137.24,137.717,137.842,137.068,797372,2189540096.0,1.241,1.445,,,,0,0,1,1,0,0,0,0,
25,2021081609,137.515,138.299,138.34,135.337,1119918,3064440064.0,1.314,1.459,,,,0,0,1,1,0,0,0,0,
26,2021081709,137.74,136.652,138.299,136.072,1085760,2973816320.0,1.36,1.366,,,,0,0,0,0,0,0,0,0,
27,2021081809,136.49,135.439,137.094,135.29,962947,2608950016.0,1.385,1.212,,,,0,0,0,0,0,0,0,0,
28,2021081909,134.426,135.67,136.342,134.303,1089127,2947899904.0,1.412,1.089,,,,0,0,0,0,0,0,0,0,
29,2021082009,135.99,137.42,137.54,135.139,1559658,4189609984.0,1.459,1.07,,,,0,0,0,0,0,0,0,0,
30,2021082309,137.96,140.032,140.865,137.598,1422670,3972310016.0,1.538,1.176,,,,0,0,0,0,0,0,0,0,
31,2021082409,140.602,141.251,142.061,140.337,963361,2723401984.0,1.627,1.307,,,,0,0,0,0,0,0,0,0,
32,2021082509,141.615,142.069,142.146,141.366,792574,2241090048.0,1.721,1.435,,,,0,0,0,1,0,0,0,0,
33,2021082609,141.74,141.431,142.408,141.348,1030466,2919010048.0,1.8,1.483,,,,0,0,0,0,0,0,0,0,
34,2021082709,141.643,143.994,144.488,141.543,1439010,4130560000.0,1.907,1.634,,130.2929966650786,,0,0,0,0,0,0,0,0,
35,2021083009,144.39,144.581,145.96,144.153,1221710,3541860096.0,2.015,1.761,,129.7641926879911,-0.5288039770874775,0,0,0,0,0,0,0,0,
36,2021083109,145.137,144.688,145.34,144.289,1122438,3239650048.0,2.116,1.843,,129.16480513306425,-0.5993875549268637,0,0,0,0,0,0,0,0,
37,2021090109,144.99,145.206,146.178,144.39,1096805,3162170112.0,2.217,1.909,,128.77804222015905,-0.3867629129051977,0,0,0,0,0,0,0,0,
38,2021090209,145.206,143.277,145.509,143.175,1617907,4650679808.0,2.284,1.836,,127.3179767602247,-1.4600654599343557,0,0,1,1,0,0,0,0,
39,2021090309,143.071,143.73,144.13,142.445,992718,2849550080.0,2.352,1.779,,125.90546108157284,-1.4125156786518573,0,0,0,0,0,0,0,0,
40,2021090709,143.824,144.271,144.555,143.648,1006595,2894490112.0,2.421,1.739,,124.91124385039538,-0.9942172311774584,0,0,1,0,0,0,0,0,
41,2021090809,144.09,143.681,144.377,142.998,917511,2625949952.0,2.476,1.655,,123.66115188588506,-1.2500919645103181,0,0,0,0,0,0,0,0,
42,2021090909,143.831,143.531,144.299,143.168,765855,2188379904.0,2.525,1.56,,122.2104643056633,-1.4506875802217678,0,0,0,0,0,0,0,0,
43,2021091009,144.202,140.866,144.709,140.763,1841967,5129549824.0,2.532,1.328,,118.35816782501294,-3.8522964806503524,0,0,0,0,0,0,0,0,
44,2021091309,141.939,142.322,142.913,141.267,1104692,3138970624.0,2.557,1.205,82.9982363315697,115.11351692345721,-3.2446509015557297,0,0,0,0,0,0,0,0,
45,2021091409,142.986,142.535,143.351,141.768,1004113,2861672192.0,2.581,1.104,83.17771898883012,112.52956041138887,-2.5839565120683403,0,0,0,0,0,0,0,0,
46,2021091509,142.762,144.42,144.49,141.338,1370379,3933121792.0,2.627,1.11,84.92582402508327,111.7215929460194,-0.8079674653694724,0,0,0,0,0,0,0,0,
47,2021091609,143.941,143.6,144.24,142.423,1309771,3720699904.0,2.658,1.057,85.79019766150626,110.76298011374958,-0.9586128322698215,0,0,0,0,0,0,0,0,
48,2021091709,143.021,140.79,143.93,140.464,2669223,7191869952.0,2.646,0.856,84.18797566573033,106.83865004813666,-3.9243300656129207,0,0,0,0,0,0,0,0,
49,2021092009,138.152,138.71,139.915,136.316,2325902,6271099904.0,2.606,0.581,81.00425850298652,99.96292910551024,-6.875720942626415,0,0,0,0,0,0,0,0,
50,2021092109,139.74,139.023,140.163,138.268,1266595,3528155136.0,2.569,0.375,78.20025226912244,92.95199395531026,-7.010935150199984,0,0,0,0,0,0,0,0,
51,2021092209,139.294,140.273,140.851,138.59,1297493,3634191360.0,2.55,0.274,76.37382081483585,87.32056712354303,-5.631426831767229,0,0,0,0,0,0,0,0,
52,2021092309,140.978,141.206,141.686,140.392,1047550,2955279872.0,2.542,0.241,75.2700113370984,83.84049582305805,-3.4800713004849797,0,0,0,0,0,0,0,0,
53,2021092409,140.529,142.205,142.32,140.231,1149195,3252600064.0,2.546,0.263,74.8345573463184,82.69203122363491,-1.1484645994231357,0,0,1,1,0,0,0,0,
54,2021092709,140.795,141.062,142.288,140.059,1094098,3084499968.0,2.533,0.218,72.92319856385379,81.19474379889299,-1.497287424741927,0,0,0,0,0,0,0,0,
55,2021092809,138.645,135.82,139.49,135.351,2288610,6140530176.0,2.447,-0.092,64.99906813905059,73.58570226703846,-7.60904153185453,0,0,0,0,0,0,0,0,
56,2021092909,136.97,134.344,137.565,133.855,1542435,4153809920.0,2.345,-0.409,52.71693201457353,63.251588938182664,-10.334113328855793,0,0,1,0,0,0,0,0,
57,2021093009,134.251,133.666,135.49,133.54,1901440,5102459904.0,2.237,-0.686,40.81241006565892,52.335250195023434,-10.91633874315923,0,0,0,0,0,0,0,0,
58,2021100109,134.438,136.533,136.887,132.74,1768009,4801908224.0,2.172,-0.744,35.137314852001396,45.99405793033671,-6.341192264686725,0,0,0,0,0,0,0,0,
59,2021100409,135.951,133.65,136.277,131.072,2560098,6792430080.0,2.071,-0.93,28.030185826080867,40.335515318656334,-5.6585426116803745,0,0,0,0,0,0,0,0,
60,2021100509,134.031,136.013,137.183,133.65,1620163,4084389888.0,2.005,-0.939,24.77986850229857,37.77298024304861,-2.5625350756077268,0,0,0,0,0,0,0,0,
61,2021100609,134.74,137.555,137.74,134.24,1218214,3323320064.0,1.963,-0.855,23.93455722988739,37.973034051056885,0.20005380800827766,0,0,0,0,0,0,0,0,
62,2021100709,138.882,139.215,140.023,138.573,1255514,3494439936.0,1.944,-0.691,25.382684464275798,40.69199397046431,2.7189599194074248,0,0,0,0,0,0,0,0,
63,2021100809,139.567,139.775,140.433,139.159,1326292,3702089984.0,1.931,-0.526,27.479408217605936,44.546856164312885,3.854862193848575,1,0,0,1,1,0,0,0,
64,2021101109,139.282,138.904,140.702,138.546,897681,2496770048.0,1.907,-0.435,28.337882533022793,47.580425991230484,3.0335698269175992,0,0,0,0,0,0,0,0,
65,2021101209,139.47,136.439,139.59,135.797,1816613,4958029824.0,1.849,-0.487,26.071638978926217,47.64948571688791,0.06905972565742502,0,0,0,0,0,0,0,0,
66,2021101309,137.393,137.572,137.988,136.549,983116,2697669888.0,1.808,-0.462,25.572918028151832,47.552921030118995,-0.0965646867689145,0,0,0,0,0,0,0,0,
67,2021101409,139.464,141.141,141.34,138.749,1598667,4490284544.0,1.816,-0.252,29.73132292348899,50.517644651415296,2.964723621296301,0,0,0,0,0,0,0,0,
68,2021101509,141.605,141.358,141.84,140.745,1513722,4267840000.0,1.825,-0.073,33.79239771299564,54.39413268350796,3.8764880320926665,0,0,0,0,0,0,0,0,
69,2021101809,141.066,142.768,142.796,140.889,1019808,2898999040.0,1.851,0.14,39.26632707472794,59.52318822796397,5.129055544456008,0,0,0,0,0,0,0,0,
70,2021101909,143.378,143.227,143.652,142.59,1008150,2885003520.0,1.88,0.329,44.78502355828016,64.96019382442923,5.437005596465255,1,0,0,1,1,0,0,0,
71,2021102009,143.328,141.759,143.49,141.384,1164403,3288740096.0,1.887,0.395,47.89378138340166,68.55929920066636,3.5991053762371337,0,0,0,0,0,0,0,0,
72,2021102109,141.759,141.876,142.146,136.418,1314613,3706745600.0,1.893,0.448,50.851444150765474,71.63901541529471,3.0797162146283483,0,0,0,0,0,0,0,0,
73,2021102209,139.14,137.557,140.482,136.048,2529448,6968047104.0,1.839,0.258,48.05564999167129,70.29195407024778,-1.3470613450469244,0,0,0,0,0,0,0,0,
