,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,271.147,272.97,274.817,268.54,45051824,12594214912.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071409,274.335,273.02,276.24,271.83,45738227,12884526080.0,0.001,0.003,,,,0,0,0,0,0,0,0,0,
2,2021071609,274.06,269.0,276.06,267.24,59122482,16495327744.0,-0.053,-0.204,,,,0,0,0,0,0,0,0,0,
3,2021072009,270.02,273.39,273.78,268.3,50822852,14216412160.0,-0.044,-0.135,,,,0,0,1,0,0,0,0,0,
4,2021072209,275.83,281.66,281.915,273.99,46152132,13246458880.0,0.076,0.351,,,,0,0,0,0,0,0,0,0,
5,2021072609,280.99,278.53,283.71,268.78,56780144,16223563776.0,0.146,0.562,,,,0,0,0,1,0,0,0,0,
6,2021072809,280.98,278.49,283.81,260.845,51735146,14865898496.0,0.212,0.717,,,,0,0,0,0,0,0,0,0,
7,2021073009,277.16,276.81,278.84,275.77,37212203,10607808000.0,0.252,0.742,,,,0,0,0,0,0,0,0,0,
8,2021080309,277.41,278.5,279.57,276.23,34070349,9749207552.0,0.312,0.839,,,,0,0,0,0,0,0,0,0,
9,2021080509,278.87,281.45,282.29,278.19,30489503,8800923648.0,0.407,1.057,,,,0,0,0,0,0,0,0,0,
10,2021080909,281.74,278.43,283.53,277.226,34734207,9992877536.0,0.457,1.056,,,,0,0,0,0,0,0,0,0,
11,2021081109,279.2,281.8,281.935,277.28,28526325,8168939776.0,0.548,1.217,,,,0,0,0,0,0,0,0,0,
12,2021081309,281.47,286.59,286.79,280.69,40765074,11913926656.0,0.699,1.575,,,,0,0,0,0,0,0,0,0,
13,2021081709,284.38,283.28,287.35,282.55,41937689,12212230144.0,0.796,1.662,,,,0,0,0,0,0,0,0,0,
14,2021081909,281.243,296.91,298.37,279.8,70886188,21134999552.0,1.07,2.416,,,,0,0,0,0,0,0,0,0,
15,2021082309,295.795,295.17,298.57,294.57,41071598,12171720192.0,1.305,2.882,,,,0,0,0,0,0,0,0,0,
16,2021082509,296.85,291.64,297.2,291.1,38114898,11123012608.0,1.477,3.024,,,,0,0,0,0,0,0,0,0,
17,2021082709,291.537,296.14,296.75,289.393,38953798,11661070336.0,1.699,3.329,,,,0,0,0,0,0,0,0,0,
18,2021083109,296.97,294.38,297.7,294.05,45269164,13538540032.0,1.884,3.433,,,,0,0,0,0,0,0,0,0,
19,2021090209,294.75,293.69,295.895,292.733,31042155,9344640000.0,2.047,3.433,,,,0,0,0,0,0,0,0,0,
20,2021090709,293.555,292.76,294.7,290.08,32230903,9570470400.0,2.186,3.34,,,,0,0,0,0,0,0,0,0,
21,2021090909,293.37,288.26,294.56,287.93,39560364,11770610176.0,2.255,2.99,,,,0,0,0,0,0,0,0,0,
22,2021091309,290.1,292.34,295.67,286.67,45506380,13353049600.0,2.374,2.891,,,,0,0,0,0,0,0,0,0,
23,2021091509,295.81,297.77,298.132,293.34,47907120,14326389760.0,2.557,3.058,,,,0,0,0,0,0,0,0,0,
24,2021091709,296.72,286.85,298.533,282.09,79651116,23528500224.0,2.58,2.582,,,,0,0,0,0,0,0,0,0,
25,2021092109,288.24,291.13,292.75,286.59,48990446,14339019776.0,2.657,2.399,,,,0,0,0,0,0,0,0,0,
26,2021092309,291.395,291.9,294.05,289.53,33603578,9929370112.0,2.739,2.265,,,,0,0,0,0,0,0,0,0,
27,2021092709,288.69,276.07,292.648,275.365,66757978,19055199744.0,2.6,1.31,,,,0,0,0,0,0,0,0,0,
28,2021092909,277.65,274.47,280.31,274.254,58717500,16662701056.0,2.445,0.465,,,,0,0,0,0,0,0,0,0,
29,2021100109,274.672,275.66,282.455,272.22,61437028,17471719424.0,2.313,-0.138,,,,0,0,0,0,0,0,0,0,
30,2021100509,276.596,285.66,287.34,275.51,52995584,15187589632.0,2.322,-0.086,,,,0,0,1,0,0,0,0,0,
31,2021100709,287.725,287.4,289.98,286.321,38116172,11242840064.0,2.352,0.046,,,,0,0,0,0,0,0,0,0,
32,2021101109,285.47,285.43,290.52,284.15,37272778,10957270016.0,2.352,0.046,,,,0,0,0,1,0,0,0,0,
33,2021101309,287.46,295.3,296.05,285.55,50686926,15020420096.0,2.483,0.558,,,,0,0,0,0,0,0,0,0,
34,2021101509,294.89,299.84,300.215,293.1,48114100,14548259840.0,2.666,1.185,,133.09499618999234,,0,0,0,0,0,0,0,0,
35,2021101909,300.898,299.96,302.42,298.68,34219209,10518749696.0,2.838,1.665,,132.40154005199912,-0.6934561379932234,0,0,0,0,0,0,0,0,
36,2021102109,299.72,301.71,305.45,298.99,34367432,10631009280.0,3.022,2.108,,131.18357203717778,-1.2179680148213379,0,0,0,0,0,0,0,0,
37,2021102509,301.91,302.66,309.25,299.048,45661816,14126705664.0,3.205,2.475,,129.14967748390734,-2.033894553270443,0,0,0,0,0,0,0,0,
38,2021102709,308.55,316.9,318.62,306.65,78886632,25414759936.0,3.568,3.469,,128.49970059704142,-0.6499768868659146,0,0,0,0,0,0,0,0,
39,2021102909,316.68,321.92,325.97,315.92,61839166,20333049856.0,3.974,4.459,,127.9415409251786,-0.5581596718628248,0,0,0,0,0,0,0,0,
40,2021110209,322.86,326.55,327.39,322.0,47987190,15968009216.0,4.417,5.413,,128.2085541384812,0.2670132133025902,0,0,0,0,0,0,0,0,
41,2021110409,325.44,328.61,331.34,322.36,46562300,15634231296.0,4.859,6.194,,128.2806854484871,0.07213131000591488,0,0,0,0,0,0,0,0,
42,2021110809,329.85,328.5,330.95,327.02,42204370,14189555712.0,5.27,6.715,,128.26837788317533,-0.01230756531177235,0,0,0,0,0,0,0,0,
43,2021111009,327.12,324.98,329.339,322.47,42350782,14047240192.0,5.606,6.852,,127.38270193226853,-0.8856759509068013,0,0,0,0,0,0,0,0,
44,2021111209,326.47,328.62,332.286,324.98,40554057,13603001344.0,5.968,7.058,94.86849288223848,126.91124413774375,-0.4714577945247811,0,0,0,0,0,0,0,0,
45,2021111609,328.23,332.29,335.35,328.09,39940212,13476940288.0,6.353,7.318,95.0642671450116,126.78027883078387,-0.1309653069598795,0,0,0,0,0,0,0,0,
46,2021111809,331.35,336.28,338.22,330.351,44426964,15162258432.0,6.766,7.633,95.54423771133798,127.05838128674648,0.2781024559626104,0,0,0,0,0,0,0,0,
47,2021112209,337.79,330.85,342.77,326.797,61660801,20899578880.0,7.076,7.497,93.66952623170752,125.51151986845177,-1.5468614182947107,0,0,0,0,0,0,0,0,
48,2021112409,329.45,322.85,331.924,321.59,45878550,15207362048.0,7.255,6.878,90.13370793836864,121.88439853192855,-3.627121336523217,0,0,0,0,0,0,0,0,
49,2021112909,328.11,323.76,332.17,322.22,71449088,23769747456.0,7.43,6.354,87.20168208249873,117.9947355249264,-3.889663007002156,0,0,1,0,0,0,0,0,
50,2021120109,328.3,322.66,332.42,321.01,64167132,21277299712.0,7.574,5.806,84.34471037639531,114.12203222766166,-3.872703297264735,0,0,0,0,0,0,0,0,
51,2021120309,325.16,319.36,326.559,311.251,71811836,23185199104.0,7.66,5.132,80.16615104036521,109.98785570467997,-4.13417652298169,0,0,0,0,0,0,0,0,
52,2021120709,324.81,328.14,331.48,323.39,55783324,18558460416.0,7.853,4.996,78.84522783427622,107.91911981113293,-2.068735893547043,0,0,0,0,0,0,0,0,
53,2021120909,327.58,335.71,336.13,325.34,60309854,20083599872.0,8.131,5.218,79.74703158368223,108.29332404663653,0.3742042355035977,0,0,0,0,0,0,0,0,
54,2021121309,333.85,321.51,336.89,317.335,73338184,24231128064.0,8.195,4.587,76.73153800515217,106.74945030951902,-1.543873737117508,0,0,0,0,0,0,0,0,
55,2021121509,321.78,318.07,331.04,316.32,70415908,23019401216.0,8.203,3.856,73.14233872259686,104.04145310454467,-2.7079972049743475,0,0,0,0,0,0,0,0,
56,2021121709,314.05,313.08,318.07,310.57,76310236,24380109824.0,8.136,2.977,68.627783445098,100.11606026858513,-3.925392835959542,0,0,0,0,0,0,0,0,
57,2021122109,316.46,326.37,327.13,313.01,49656363,16128529920.0,8.246,2.944,68.24759240087403,98.71572188984388,-1.400338378741253,0,0,0,0,0,0,0,0,
58,2021122309,325.92,335.62,335.92,325.87,39564768,13236144128.0,8.468,3.361,70.45991945873988,100.13874235191014,1.4230204620662619,0,0,0,0,0,0,0,0,
59,2021122809,336.32,335.12,337.57,332.9,30703423,10494610944.0,8.663,3.616,72.33790473461633,102.38538921796778,2.2466468660576453,0,0,0,0,0,0,0,0,
60,2021123009,335.08,329.49,336.29,329.055,33995265,11504434176.0,8.765,3.475,72.52349198518638,103.63848000613737,1.2530907881695867,0,0,0,0,0,0,0,0,
61,2022010309,328.52,322.18,331.57,319.31,61592318,20393865216.0,8.756,2.94,70.74342936758683,102.9415304865364,-0.6969495196009774,0,0,0,0,0,0,0,0,
62,2022010509,319.03,307.05,321.87,304.88,79839332,25285022720.0,8.535,1.7,65.09458780176104,98.54139174100686,-4.4001387455295315,0,0,0,0,0,0,0,0,
63,2022010709,307.32,307.44,310.189,297.949,77009376,23940899840.0,8.326,0.731,60.20957483549034,93.2310151400386,-5.310376600968269,0,0,0,0,0,0,0,0,
64,2022011109,306.55,311.44,316.53,303.188,63758990,20181990400.0,8.176,0.175,56.992013276334944,88.48129027811325,-4.749724861925344,0,0,0,0,0,0,0,0,
65,2022011309,313.636,303.37,314.54,294.81,85212440,26305078272.0,7.92,-0.68,51.99687449285065,81.48725529267486,-6.99403498543839,0,0,0,0,0,0,0,0,
66,2022011809,297.24,296.5,307.01,293.77,88367968,27003400192.0,7.579,-1.695,45.74969537224368,72.7582905372145,-8.728964755460353,0,0,1,0,0,0,0,0,
67,2022012009,302.24,289.2,304.63,287.82,93365080,28231148544.0,7.153,-2.842,38.27985463187417,62.15446417001962,-10.603826367194884,0,0,0,0,0,0,0,0,
68,2022012409,285.37,281.66,292.25,263.64,158884032,45604605952.0,6.644,-4.091,31.462067405598475,54.167314018265586,-7.987150151754037,0,0,0,0,0,0,0,0,
69,2022012609,301.155,293.01,301.87,286.29,143910172,43200299008.0,6.312,-4.422,28.225597010946387,49.86042771976204,-4.306886298503542,0,0,0,0,0,0,0,0,
70,2022012809,293.4,304.15,305.5,287.725,96188232,29380200448.0,6.144,-4.043,28.136266410223243,49.33106118913125,-0.5293665306307958,0,0,0,0,0,0,0,0,
71,2022020109,303.58,306.63,308.2,298.315,77586384,23915710464.0,6.014,-3.567,28.759887516063458,50.71925865236261,1.3881974632313643,0,0,0,0,0,0,0,0,
72,2022020309,302.66,299.11,305.15,290.47,78826460,23731318784.0,5.786,-3.54,27.60057269906531,51.37381389128356,0.654555238920949,0,0,0,1,0,0,0,0,
73,2022020709,299.34,297.73,300.98,293.13,60954474,17686149632.0,5.547,-3.545,26.333942355994765,51.42282005256011,0.04900616127655155,0,0,0,0,0,0,0,0,
74,2022020909,303.035,295.55,305.07,293.87,76670872,23430417408.0,5.288,-3.616,24.77849448080343,50.74557507424946,-0.6772449783106538,0,0,0,0,0,0,0,0,
75,2022021109,296.36,288.17,297.4,283.17,75535108,22349400064.0,4.941,-4.007,21.710243362132957,48.45946045168117,-2.2861146225682916,0,0,1,0,0,0,0,0,
76,2022021509,293.178,293.29,294.87,287.505,57361608,16926370304.0,4.678,-3.995,20.31530053009888,46.62062757261772,-1.838832879063446,0,0,0,0,0,0,0,0,
77,2022021709,290.15,281.72,292.12,279.49,66725588,19376759808.0,4.27,-4.534,16.38206056292688,42.96159244315699,-3.659035129460733,0,0,0,0,0,0,0,0,
78,2022022209,278.79,274.06,285.4,272.29,79547284,22759789568.0,3.779,-5.293,11.13450343143299,37.60555493576855,-5.356037507388436,0,0,0,0,0,0,0,0,
79,2022022409,266.3,291.1,291.68,263.79,89536408,25846960128.0,3.543,-4.931,10.68775865778116,35.06872121230259,-2.5368337234659606,0,0,0,0,0,0,0,0,
80,2022022809,288.1,288.74,293.75,285.79,66014877,19506842624.0,3.286,-4.707,9.835349739986356,33.27576194565009,-1.7929592666525025,0,0,0,0,0,0,0,0,
81,2022030209,289.15,289.71,297.54,285.56,59187476,17610520576.0,3.054,-4.421,9.424341678018834,32.12446229982163,-1.151299645828459,0,0,0,0,0,0,0,0,
82,2022030409,288.08,272.7,289.165,271.3,75526832,21459740672.0,2.603,-5.024,5.0626713198793425,28.38785595564829,-3.736606344173339,0,0,0,0,0,0,0,0,
83,2022030809,271.59,282.29,283.35,263.84,83363956,23316799488.0,2.306,-4.931,3.6076901570839652,25.853686663861637,-2.534169291786654,0,0,0,0,0,0,0,0,
84,2022031009,276.81,273.86,286.79,273.36,57837342,16304569856.0,1.909,-5.232,0.3929814349034757,22.266687927377234,-3.5869987364844036,0,0,0,0,0,0,0,0,
85,2022031409,274.13,280.94,281.59,268.41,64905832,18269740032.0,1.63,-5.031,-0.6418028021987965,19.962455901288024,-2.3042320260892097,0,0,0,0,0,0,0,0,
86,2022031609,282.9,289.01,289.79,277.134,69191456,20184723456.0,1.474,-4.39,0.5058344431828203,19.779320877872465,-0.18313502341555932,0,0,0,0,0,0,0,0,
87,2022031809,289.16,292.95,294.75,286.09,72372132,21563752448.0,1.379,-3.629,2.5973704654815464,21.089182014183493,1.309861136311028,0,0,0,0,0,0,0,0,
88,2022032209,293.59,293.28,298.76,291.58,53315064,16072560128.0,1.293,-2.971,4.6521105518197885,22.854559564916897,1.7653775507334046,0,0,0,0,0,0,0,0,
89,2022032409,292.93,297.47,300.0,292.105,47050908,14208106496.0,1.267,-2.203,7.59976792386837,25.359668734755644,2.5051091698387467,0,0,0,0,0,0,0,0,
90,2022032809,298.12,309.2,309.79,296.85,59971592,18627359744.0,1.4,-0.966,13.15671435086331,30.02196307306052,4.662294338304875,0,0,0,0,0,0,0,0,
91,2022033009,307.55,302.1,309.72,302.1,61585626,19200761856.0,1.428,-0.358,16.48009268266418,33.58505151328694,3.563088440226423,0,0,0,0,0,0,0,0,
92,2022040109,303.16,308.76,309.26,299.378,51446396,15956480000.0,1.544,0.466,21.89286017419363,37.630033697550886,4.044982184263944,0,0,0,0,0,0,0,0,
93,2022040509,307.06,293.29,309.24,290.55,63267092,19249805312.0,1.442,0.298,22.782889924526955,38.40667224649562,0.7766385489447316,1,0,0,1,1,0,0,0,
94,2022040709,290.45,290.76,297.439,289.9,55773072,16708899840.0,1.312,0.032,22.981182077076042,37.480404227209874,-0.9262680192857431,0,0,0,0,0,0,0,0,
95,2022041109,285.58,275.85,288.98,274.325,65535984,18671159296.0,0.987,-0.95,19.36053852664729,33.176927465906914,-4.30347676130296,0,0,1,0,0,1,0,0,-0.047960061972800894
