,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,20.13,20.402,20.431,19.929,8049619,6554149376.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071309,20.29,20.14,20.514,20.012,7267658,5896354816.0,-0.004,-0.014,,,,0,0,0,0,0,0,0,0,
2,2021071409,20.247,19.731,20.302,19.648,9502480,7594760192.0,-0.012,-0.045,,,,0,0,0,0,0,0,0,0,
3,2021071509,19.701,18.856,19.865,18.742,13764113,10569587712.0,-0.033,-0.115,,,,0,0,0,0,0,0,0,0,
4,2021071609,18.92,18.051,19.07,17.965,17205566,12712986624.0,-0.062,-0.209,,,,0,0,0,0,0,0,0,0,
5,2021071909,17.805,18.669,18.925,17.665,18726468,13961271296.0,-0.082,-0.248,,,,0,0,0,0,0,0,0,0,
6,2021072009,18.289,18.171,18.939,17.735,43468656,8182716416.0,-0.107,-0.301,,,,0,0,0,0,0,0,0,0,
7,2021072109,18.441,18.969,19.079,18.179,37113536,7145545728.0,-0.12,-0.297,,,,0,0,0,0,0,0,0,0,
8,2021072209,19.201,19.153,19.436,18.837,32382596,6324334592.0,-0.13,-0.28,,,,0,0,0,0,0,0,0,0,
9,2021072309,19.215,19.117,19.329,18.815,19567198,3808801280.0,-0.139,-0.266,,,,0,0,0,1,0,0,0,0,
10,2021072609,18.87,18.853,19.059,18.49,20394316,3924150016.0,-0.152,-0.264,,,,0,0,1,1,0,0,0,0,
11,2021072709,18.824,18.767,19.172,18.302,24886258,4747747328.0,-0.165,-0.264,,,,0,0,1,1,0,0,0,0,
12,2021072809,18.878,19.062,19.199,18.559,20219116,3925601280.0,-0.172,-0.246,,,,0,0,1,1,0,0,0,0,
13,2021072909,19.078,19.221,19.411,18.913,19078088,3750205440.0,-0.178,-0.22,,,,0,0,0,0,0,0,0,0,
14,2021073009,18.977,19.058,19.18,18.592,18349746,3570964480.0,-0.184,-0.205,,,,0,0,0,0,0,0,0,0,
15,2021080209,19.259,19.309,19.518,18.928,21744396,4288178176.0,-0.187,-0.178,,,,0,0,0,0,0,0,0,0,
16,2021080309,19.299,19.374,19.772,18.822,30181074,5961218560.0,-0.189,-0.151,,,,0,0,0,0,0,0,0,0,
17,2021080409,19.549,19.833,19.872,19.209,23130940,4656050176.0,-0.185,-0.104,,,,0,0,0,0,0,0,0,0,
18,2021080509,20.059,20.196,20.279,19.843,21143536,4349003264.0,-0.175,-0.048,,,,0,0,0,0,0,0,0,0,
19,2021080609,20.083,19.925,20.275,19.773,17849660,3645642496.0,-0.17,-0.017,,,,0,0,0,0,0,0,0,0,
20,2021080909,20.005,19.854,20.157,19.712,14644310,2977639936.0,-0.166,0.003,,,,0,0,0,0,0,0,0,0,
21,2021081009,19.881,19.495,19.98,19.396,17923778,3597006848.0,-0.166,0.0,,,,0,0,1,1,0,0,0,0,
22,2021081109,19.602,19.258,19.673,18.995,18597455,3661430016.0,-0.17,-0.014,,,,0,0,1,1,0,0,0,0,
23,2021081209,19.429,19.464,19.585,19.093,15186155,3002660096.0,-0.171,-0.014,,,,0,0,1,1,0,0,0,0,
24,2021081309,19.464,19.747,19.77,19.419,18306286,3666050048.0,-0.167,0.0,,,,0,0,1,1,0,0,0,0,
25,2021081609,19.694,19.509,19.842,19.047,21115280,4184320000.0,-0.167,-0.001,,,,0,0,1,1,0,0,0,0,
26,2021081709,19.244,19.017,19.509,18.833,20458484,3985000704.0,-0.173,-0.027,,,,0,0,0,0,0,0,0,0,
27,2021081809,19.059,18.599,19.204,18.059,28591348,5230369792.0,-0.185,-0.069,,,,0,0,0,0,0,0,0,0,
28,2021081909,19.053,19.357,20.045,18.337,76655480,15143100416.0,-0.185,-0.061,,,,0,0,0,0,0,0,0,0,
29,2021082009,19.55,20.375,20.429,19.269,67574128,13660499968.0,-0.172,-0.002,,,,0,0,0,0,0,0,0,0,
30,2021082309,20.53,21.517,21.555,20.33,57580656,12478904320.0,-0.144,0.104,,,,0,0,0,1,0,0,0,0,
31,2021082409,21.312,21.352,21.724,21.098,29729892,6444980224.0,-0.119,0.177,,,,0,0,0,1,0,0,0,0,
32,2021082509,21.296,21.772,22.019,21.172,34770104,7744505344.0,-0.091,0.253,,,,0,0,0,0,0,0,0,0,
33,2021082609,21.759,21.627,21.883,21.359,23794042,5232849920.0,-0.065,0.301,,,,0,0,0,0,0,0,0,0,
34,2021082709,21.743,22.195,22.276,21.557,30472220,6840719872.0,-0.034,0.364,,131.48666232921278,,0,0,0,0,0,0,0,0,
35,2021083009,22.389,22.247,22.595,22.118,26257990,5954809856.0,-0.003,0.412,,130.74604389576263,-0.7406184334501518,0,0,0,0,0,0,0,0,
36,2021083109,22.294,21.984,22.449,21.721,25984968,5787879936.0,0.022,0.43,,129.06821521929095,-1.6778286764716768,0,0,0,0,0,0,0,0,
37,2021090109,22.084,22.04,22.286,21.928,20176696,4492400128.0,0.046,0.441,,127.36003082940485,-1.7081843898860996,0,0,0,0,0,0,0,0,
38,2021090209,22.117,21.995,22.192,21.895,18810956,4210510080.0,0.069,0.442,,125.66108354433494,-1.6989472850699059,0,0,1,1,0,0,0,0,
39,2021090309,21.924,22.442,22.581,21.819,28083198,6376139776.0,0.096,0.46,,125.40692890981012,-0.25415463452482356,0,0,1,1,0,0,0,0,
40,2021090709,22.432,22.261,22.549,22.129,19810716,4343799808.0,0.119,0.458,,125.17717792653154,-0.2297509832785778,0,0,1,1,0,0,0,0,
41,2021090809,22.112,21.938,22.255,21.583,25443420,5647079936.0,0.136,0.435,,123.95859619350246,-1.2185817330290831,0,0,0,0,0,0,0,0,
42,2021090909,21.911,21.776,22.133,21.696,19685600,4391601152.0,0.15,0.402,,122.00484237894895,-1.953753814553508,0,0,1,0,0,0,0,0,
43,2021091009,21.947,22.077,22.209,21.849,24837574,5582582272.0,0.168,0.387,,120.87444750127763,-1.1303948776713213,0,0,0,0,0,0,0,0,
44,2021091309,22.283,21.751,22.553,21.461,29749990,6567209984.0,0.179,0.353,82.88032454361061,119.12366945705209,-1.750778044225541,0,0,0,0,0,0,0,0,
45,2021091409,21.874,21.841,22.006,21.638,19975460,4446583808.0,0.191,0.327,83.22920892494935,117.62248043648479,-1.5011890205672955,0,0,0,0,0,0,0,0,
46,2021091509,21.908,21.94,21.959,21.572,16653801,3662510080.0,0.204,0.308,83.92346179851256,116.64420597708126,-0.9782744594035364,0,0,0,0,0,0,0,0,
47,2021091609,21.782,21.841,21.944,21.53,15603344,3412410112.0,0.214,0.283,84.1568627450981,115.6468296222786,-0.997376354802654,0,0,0,0,0,0,0,0,
48,2021091709,21.899,21.499,21.998,21.449,29450284,6409759744.0,0.219,0.243,83.03686034107133,113.6951420532317,-1.9516875690468964,0,0,0,0,0,0,0,0,
49,2021092009,20.745,20.712,21.499,20.263,34944044,7327410176.0,0.213,0.168,78.98699994490778,109.15953284323047,-4.53560921000124,0,0,0,0,0,0,0,0,
50,2021092109,21.015,20.845,21.099,20.552,20468810,4348013056.0,0.209,0.114,75.80062195347583,104.51822169745682,-4.641311145773642,0,0,0,0,0,0,0,0,
51,2021092209,20.964,21.54,21.699,20.792,26872556,5768949760.0,0.214,0.106,75.40908747108165,102.360690927332,-2.157530770124822,0,0,0,0,0,0,0,0,
52,2021092309,21.739,22.081,22.132,21.514,24855492,5540440064.0,0.226,0.127,77.35328529437356,102.96999332812064,0.6093024007886356,0,0,1,1,0,0,0,0,
53,2021092409,21.669,21.68,21.962,21.462,21765544,4763930112.0,0.232,0.121,77.40769077927396,103.34186424193975,0.37187091381910875,0,0,1,1,0,0,0,0,
54,2021092709,21.309,21.259,21.749,20.925,24521514,5251899904.0,0.232,0.092,75.69208058665077,102.35343261458884,-0.9884316273509057,0,0,0,0,0,0,0,0,
55,2021092809,20.812,20.298,20.99,20.192,34306896,7122120192.0,0.218,0.019,70.12583248459924,97.97524226115775,-4.378190353431094,0,0,0,0,0,0,0,0,
56,2021092909,20.538,20.116,20.639,20.068,21839364,4506800128.0,0.203,-0.048,64.41791846464264,92.18019283904346,-5.795049422114289,0,0,0,0,0,0,0,0,
57,2021093009,20.367,20.315,20.664,20.065,22100912,4606147072.0,0.191,-0.089,60.19936576516966,86.94359879067117,-5.236594048372282,0,0,1,0,0,0,0,0,
58,2021100109,20.349,20.341,20.449,19.815,24097796,4894730240.0,0.18,-0.118,56.58757474822525,82.45423127267225,-4.489367517998929,0,0,0,0,0,0,0,0,
59,2021100409,20.103,19.331,20.289,19.154,34563496,6820279808.0,0.156,-0.192,49.15805709839327,75.57711966578472,-6.877111606887524,0,0,0,0,0,0,0,0,
60,2021100509,19.549,20.05,20.245,19.331,27928164,5691227648.0,0.143,-0.21,45.621570530994404,70.7491814859022,-4.827938179882523,0,0,0,0,0,0,0,0,
61,2021100609,19.719,20.299,20.537,19.46,29720176,5861270016.0,0.133,-0.208,43.5823053481667,67.81694203994341,-2.9322394459587855,0,0,1,1,0,0,0,0,
62,2021100709,20.691,20.674,20.919,20.581,25691892,5420499968.0,0.13,-0.184,43.411611360861826,66.65695741329463,-1.1599846266487788,0,0,0,0,0,0,0,0,
63,2021100809,20.7,20.43,20.898,20.354,15125791,3169789440.0,0.123,-0.176,42.298176535552955,63.77967832059318,-2.877279092701457,0,0,0,1,0,0,0,0,
64,2021101109,20.174,20.294,20.652,20.039,16338754,3393110016.0,0.114,-0.175,40.79957724022174,60.017810106132785,-3.7618682144603923,0,0,1,1,0,0,0,0,
65,2021101209,20.426,20.27,20.646,20.11,16213354,3364109056.0,0.106,-0.172,39.43067112864853,56.10600964522584,-3.911800460906946,0,0,1,1,0,0,0,0,
66,2021101309,20.517,20.538,20.62,20.274,18065192,3639340032.0,0.102,-0.154,39.40873137147588,53.53201633515725,-2.5739933100685874,0,0,0,0,0,0,0,0,
67,2021101409,20.887,21.345,21.47,20.729,24358880,5167750144.0,0.108,-0.097,42.85742461245775,54.910381188993924,1.378364853836672,0,0,0,0,0,0,0,0,
68,2021101509,21.409,21.461,21.538,21.264,22699400,4888269824.0,0.116,-0.044,46.48184175924621,58.021189968249416,3.1108087792554926,0,0,0,0,0,0,0,0,
69,2021101809,21.348,21.821,21.888,21.258,18949356,4191270912.0,0.128,0.016,51.28261402716237,62.948523877606235,4.927333909356818,0,0,0,0,0,0,0,0,
70,2021101909,21.875,21.889,21.976,21.646,16147329,3591625472.0,0.14,0.066,55.89180220293861,68.32454368571486,5.376019808108623,0,0,0,1,0,0,0,0,
71,2021102009,21.903,21.702,22.028,21.581,14627594,3239510016.0,0.149,0.095,59.24590879514946,72.52072197517037,4.196178289455517,0,0,0,0,0,0,0,0,
72,2021102109,21.696,22.291,22.367,21.57,18759036,4194670080.0,0.165,0.146,64.65929654733742,78.19349701275469,5.672775037584316,0,0,0,0,0,0,0,0,
73,2021102209,22.422,22.325,22.719,22.161,24938380,5692000256.0,0.181,0.186,68.75259599225197,83.34807156030615,5.154574547551462,0,0,0,0,0,0,0,0,
74,2021102509,22.572,22.765,23.299,22.268,23023484,5272110080.0,0.201,0.238,72.05812924309964,87.51164571217032,4.163574151864168,0,0,0,0,0,0,0,0,
75,2021102609,23.588,24.316,24.852,23.23,48589832,12001185792.0,0.242,0.356,75.6688813710378,91.3096431421288,3.7979974299584853,0,0,0,0,0,0,0,0,
76,2021102709,24.073,24.05,24.681,23.934,24598988,6075811840.0,0.276,0.429,77.98841304019749,93.86232714381484,2.552684001686032,0,0,0,0,0,0,0,0,
77,2021102809,24.477,24.54,24.799,24.05,23420432,5755189760.0,0.314,0.506,81.68771770605903,96.863016667554,3.000689523739169,0,0,0,0,0,0,0,0,
78,2021102909,24.599,25.166,25.305,24.552,29250284,7444480000.0,0.359,0.592,85.58185208429057,100.11191333939423,3.248896671840228,0,0,0,0,0,0,0,0,
79,2021110109,25.248,25.426,25.509,24.854,26573976,6824684544.0,0.404,0.665,89.21038265775485,103.25452074798902,3.1426074085947846,0,0,0,0,0,0,0,0,
80,2021110209,25.421,26.0,26.269,25.299,29411240,7739332608.0,0.454,0.743,91.94044498726288,105.69685886221819,2.442338114229173,0,0,0,0,0,0,0,0,
81,2021110309,26.269,26.197,26.363,25.853,23991032,6351777280.0,0.503,0.804,94.62012471003112,107.8413797262875,2.1445208640693068,0,0,0,0,0,0,0,0,
82,2021110409,26.828,29.4,30.92,26.449,115363112,34011234304.0,0.593,1.008,94.93928314830166,108.1617795061376,0.32039977985010637,0,0,0,0,0,0,0,0,
83,2021110509,29.786,29.351,30.924,29.043,85126016,25919217664.0,0.676,1.151,95.09716399150912,107.73065135456746,-0.4311281515701495,0,0,0,0,0,0,0,0,
84,2021110809,29.748,30.403,30.699,29.277,50310180,15398400000.0,0.768,1.302,96.90523530450156,108.28428901905525,0.5536376644877947,0,0,0,0,0,0,0,0,
85,2021110909,31.881,30.256,32.31,29.564,64674668,19970199552.0,0.852,1.395,96.33655178237566,107.57525017137911,-0.7090388476761404,0,0,0,0,0,0,0,0,
86,2021111009,28.955,29.058,30.435,28.42,63620572,18889900032.0,0.915,1.388,94.04777864734703,105.26685775884536,-2.308392412533749,0,0,0,0,0,0,0,0,
87,2021111109,30.067,29.989,30.449,29.132,33217212,9971850240.0,0.986,1.412,93.32301662872808,103.59531145769218,-1.6715463011531853,0,0,1,1,0,0,0,0,
88,2021111209,29.609,29.989,30.499,29.235,41305428,12492792832.0,1.052,1.413,92.64293434985578,102.30349629420893,-1.2918151634832498,0,0,0,0,0,0,0,0,
89,2021111509,30.151,29.624,30.284,28.86,38490900,11496583168.0,1.108,1.376,91.47457710292753,100.93981722683034,-1.363679067378584,0,0,0,0,0,0,0,0,
90,2021111609,29.358,29.802,29.974,29.179,26448368,7875630080.0,1.163,1.338,90.66253105964478,99.91666662337884,-1.0231506034514979,0,0,0,0,0,0,0,0,
91,2021111709,30.017,28.86,30.508,28.431,42850992,12006200320.0,1.201,1.243,88.5435220070031,98.14021075375335,-1.7764558696254937,0,0,0,0,0,0,0,0,
92,2021111809,31.966,31.274,32.34,30.549,78171072,24948799488.0,1.268,1.278,90.09864660605714,98.83366274285768,0.6934519891043323,0,0,0,0,0,0,0,0,
93,2021111909,31.842,32.584,32.884,31.514,53386700,17271300096.0,1.349,1.357,92.58883713858816,101.1648083817885,2.3311456389308205,0,0,0,0,0,0,0,0,
94,2021112209,33.116,31.555,34.206,31.489,75433624,24961300480.0,1.409,1.347,91.83297235834166,101.7488365875561,0.584028205767595,0,0,0,0,0,0,0,0,
95,2021112309,31.134,31.345,31.939,30.486,53216272,16725600256.0,1.463,1.311,90.86592002784215,101.47651176006634,-0.2723248274897543,0,0,0,0,0,0,0,0,
96,2021112409,31.06,32.273,32.425,30.541,43516224,13973199872.0,1.524,1.314,91.15788451324684,101.67569777093769,0.1991860108713439,0,0,0,0,0,0,0,0,
97,2021112609,32.199,31.102,32.284,30.959,28306886,9015601152.0,1.565,1.239,89.90765355432856,100.84527279327166,-0.8304249776660271,0,0,0,0,0,0,0,0,
