,dt_1D,open,close,high,low,vol,turnover,m1,m2,long,short
0,20210712,110.52,110.52,111.649,108.53,3955984,434468096.0,0.0,0.0,0,0
1,20210713,111.69,112.07,114.7,109.54,5587310,629178624.0,0.021,0.081,0,0
2,20210714,109.72,108.94,113.0,105.53,7621810,823679424.0,-0.002,-0.02,0,0
3,20210715,108.94,110.74,112.554,108.68,6195898,686519104.0,0.001,-0.005,0,0
4,20210716,110.75,107.45,111.46,106.605,7207975,775290048.0,-0.04,-0.164,0,0
5,20210719,105.734,104.69,106.156,102.77,10106771,1051739584.0,-0.116,-0.429,0,0
6,20210720,104.46,102.25,105.0,101.1,7033533,719048896.0,-0.221,-0.757,0,0
7,20210721,102.0,104.52,105.32,101.5,5452373,568530688.0,-0.289,-0.885,0,0
8,20210722,105.72,104.96,105.72,103.75,3569087,374148768.0,-0.347,-0.95,0,0
9,20210723,100.23,97.31,102.01,96.0,11854592,1156965888.0,-0.505,-1.386,0,0
10,20210726,89.74,88.71,95.31,83.72,16262727,1471767296.0,-0.769,-2.154,0,0
11,20210727,84.3,79.53,88.71,77.66,27965062,2266184448.0,-1.141,-3.202,0,0
12,20210728,86.39,91.89,94.75,80.5,21821220,1969758336.0,-1.325,-3.335,0,0
13,20210729,95.8,92.1,97.41,89.17,10934232,1001254208.0,-1.494,-3.384,0,0
14,20210730,89.521,91.61,92.39,87.36,6002308,546238656.0,-1.659,-3.404,0,0
15,20210802,91.72,91.48,93.76,88.13,5807252,526705792.0,-1.815,-3.382,0,0
16,20210803,89.31,88.91,91.48,87.444,5399086,478094560.0,-1.995,-3.454,0,0
17,20210804,90.0,89.28,93.19,88.649,8212622,738893568.0,-2.158,-3.446,0,0
18,20210805,88.65,88.74,90.5,86.53,4362982,387651392.0,-2.318,-3.424,0,0
19,20210806,90.0,87.46,91.0,86.09,4860657,425515008.0,-2.483,-3.428,0,0
20,20210809,88.4,92.71,93.78,87.25,4938686,453798016.0,-2.567,-3.114,0,0
21,20210810,95.0,91.59,95.88,91.01,4303811,399832992.0,-2.659,-2.887,0,0
22,20210811,92.822,89.61,93.145,89.39,3486994,314651008.0,-2.77,-2.776,0,0
23,20210812,87.93,87.42,90.0,85.419,4198719,363564992.0,-2.902,-2.767,0,0
24,20210813,87.267,84.38,87.267,83.68,4678274,388268992.0,-3.066,-2.882,0,0
25,20210816,82.64,82.22,83.79,81.0,6503333,533862016.0,-3.247,-3.046,0,0
26,20210817,79.0,79.45,82.56,77.08,9353386,744472000.0,-3.452,-3.279,0,0
27,20210818,80.98,80.96,82.25,78.31,5596533,451180992.0,-3.622,-3.339,0,0
28,20210819,76.08,74.69,78.77,74.13,10034339,751604992.0,-3.864,-3.668,0,0
29,20210820,77.69,77.29,81.37,72.7,9950775,769014976.0,-4.055,-3.742,0,0
30,20210823,79.0,81.08,83.0,76.385,10749546,850558016.0,-4.18,-3.554,0,0
31,20210824,90.94,99.12,101.0,83.5,42178180,3991259904.0,-4.051,-2.424,0,0
32,20210825,97.47,97.84,99.01,95.89,10592115,1030745920.0,-3.944,-1.579,0,0
33,20210826,96.975,95.86,98.63,94.71,7602142,731621504.0,-3.866,-1.002,0,0
34,20210827,96.5,94.63,97.1,93.01,6822643,645324800.0,-3.807,-0.604,0,0
35,20210830,94.3,94.98,96.88,90.235,7790197,722865024.0,-3.743,-0.268,0,0
36,20210831,99.1,100.02,101.01,95.282,14928660,1469949568.0,-3.611,0.26,0,0
37,20210901,100.3,106.83,109.65,99.99,15630120,1660390016.0,-3.393,1.021,0,0
38,20210902,103.77,102.76,109.37,100.61,11398160,1177400576.0,-3.239,1.39,0,0
39,20210903,100.53,102.23,103.79,100.5,6572388,667958976.0,-3.099,1.631,0,0
40,20210907,106.29,107.74,108.98,104.74,17767432,1914255232.0,-2.889,2.085,0,0
41,20210908,107.2,104.72,108.03,102.53,7374211,768470016.0,-2.731,2.254,0,0
42,20210909,101.9,104.28,105.31,100.0,4966103,513572992.0,-2.585,2.334,0,0
43,20210910,106.46,103.75,107.57,103.12,4806586,504970976.0,-2.452,2.338,0,0
44,20210913,102.151,104.16,104.83,99.4,8206855,839315008.0,-2.32,2.332,0,0
45,20210914,102.15,101.78,104.0,101.0,4059248,412900000.0,-2.225,2.174,0,0
46,20210915,99.7,99.3,100.0,96.79,9199597,902598976.0,-2.167,1.893,0,0
47,20210916,97.55,99.89,100.61,96.78,4958822,492936416.0,-2.104,1.681,0,0
48,20210917,101.66,100.73,102.47,99.07,6701612,672364032.0,-2.03,1.537,0,0
49,20210920,96.89,94.18,98.0,91.88,9011883,834404992.0,-2.048,1.065,0,0
50,20210921,94.94,95.1,96.52,93.93,4317341,410982976.0,-2.051,0.731,0,0
51,20210922,95.24,97.6,99.59,94.8,4950350,477952000.0,-2.018,0.591,0,0
52,20210923,96.86,98.28,99.15,95.28,3708876,359183008.0,-1.976,0.51,0,0
53,20210924,96.22,94.55,96.8,93.61,4667620,438803008.0,-1.985,0.246,0,0
54,20210927,92.86,96.32,96.51,91.61,6246201,591671424.0,-1.969,0.129,0,0
55,20210928,93.08,89.0,97.0,88.12,11708283,1052532608.0,-2.05,-0.344,0,0
56,20210929,89.12,89.06,91.82,87.85,7138572,639465984.0,-2.125,-0.705,0,1
57,20210930,89.06,90.67,91.64,88.77,6266180,563638976.0,-2.172,-0.893,0,0
58,20211001,90.54,88.15,91.49,87.59,4471435,391508000.0,-2.248,-1.159,0,0
59,20211004,85.876,85.08,87.1,83.76,7907996,671758272.0,-2.36,-1.511,0,0
60,20211005,85.5,87.42,88.615,84.2,5037004,440743008.0,-2.431,-1.644,0,0
61,20211006,85.27,89.32,90.24,84.6,4397836,388160000.0,-2.472,-1.628,0,0
62,20211007,93.995,94.95,95.87,92.27,9282723,875840000.0,-2.432,-1.301,0,0
63,20211008,95.73,96.22,96.98,94.13,7394478,707140992.0,-2.375,-0.964,0,0
64,20211011,99.82,94.83,100.3,94.39,6910339,664948992.0,-2.338,-0.761,0,0
65,20211012,94.5,93.52,97.07,93.0,4443684,420307168.0,-2.319,-0.661,0,0
66,20211013,95.82,97.58,99.15,94.0,5332600,519711008.0,-2.245,-0.363,0,0
67,20211014,96.99,94.03,98.9,92.35,7437369,696584000.0,-2.221,-0.311,0,0
68,20211015,94.38,94.01,95.89,92.58,5988482,563596992.0,-2.197,-0.268,0,0
69,20211018,93.25,97.0,97.5,92.51,4444757,427237344.0,-2.132,-0.075,0,0
70,20211019,99.87,97.52,100.12,96.28,6886127,673136576.0,-2.062,0.103,0,0
71,20211020,100.29,99.4,102.49,97.345,6847865,682220032.0,-1.969,0.338,0,0
72,20211021,98.74,97.15,99.55,96.38,6101526,595694016.0,-1.911,0.4,0,0
73,20211022,99.85,99.05,104.215,97.15,10357227,1044689984.0,-1.828,0.542,0,0
74,20211025,99.55,100.64,102.02,98.54,4718065,474006016.0,-1.727,0.728,0,0
75,20211026,101.6,93.19,101.9,92.821,6428567,609372992.0,-1.732,0.477,0,0
76,20211027,93.22,92.29,95.135,91.52,4745336,439535008.0,-1.746,0.228,0,0
77,20211028,90.02,92.45,92.8,89.085,4898621,446484000.0,-1.757,0.039,0,0
78,20211029,91.1,88.92,92.62,88.51,4527730,404768000.0,-1.813,-0.292,0,0
79,20211101,89.05,93.48,93.8,88.6,5392762,499713792.0,-1.802,-0.309,0,1
80,20211102,91.07,92.28,92.73,90.68,3136369,288329600.0,-1.808,-0.38,0,0
81,20211103,93.03,92.39,93.6,91.37,2671304,246339440.0,-1.81,-0.426,0,0
82,20211104,94.01,86.67,94.5,86.05,7127209,629199616.0,-1.887,-0.752,0,0
83,20211105,86.97,83.67,87.56,83.07,5510360,463369600.0,-1.999,-1.153,0,0
84,20211108,84.06,83.24,86.74,83.17,4780111,400098368.0,-2.109,-1.473,0,0
85,20211109,83.148,83.24,85.07,82.225,4494884,357240000.0,-2.211,-1.703,0,0
86,20211110,84.34,86.51,90.46,83.67,7486848,649876992.0,-2.261,-1.69,0,0
87,20211111,89.81,92.87,93.5,86.51,6800732,623362496.0,-2.221,-1.328,0,0
88,20211112,91.74,95.0,95.58,91.62,6465793,610146176.0,-2.153,-0.917,0,0
89,20211115,94.76,91.37,95.97,90.48,6196522,567997440.0,-2.136,-0.774,0,0
90,20211116,93.33,93.96,95.033,92.32,3867178,362503104.0,-2.083,-0.518,0,0
91,20211117,93.21,89.77,94.42,89.1,4479306,403618944.0,-2.088,-0.53,0,0
92,20211118,86.75,85.08,90.98,84.135,7267038,618467008.0,-2.154,-0.776,0,0
93,20211119,85.69,81.87,87.0,81.38,7266599,600891008.0,-2.258,-1.124,0,0
94,20211122,81.93,79.52,84.022,78.045,9651653,775118976.0,-2.386,-1.502,0,0
95,20211123,78.95,79.27,81.78,78.25,5969337,474900000.0,-2.509,-1.791,0,0
96,20211124,79.9,81.36,82.25,78.99,6420087,519976352.0,-2.594,-1.884,0,0
97,20211126,73.91,68.46,80.0,65.18,23275796,1595589120.0,-2.846,-2.602,0,0
98,20211129,68.17,71.96,72.25,67.07,13258162,935979904.0,-3.034,-2.946,0,0
99,20211130,70.015,66.5,71.0,65.907,11687086,782648000.0,-3.283,-3.46,0,0
100,20211201,68.42,62.11,68.83,61.69,12972706,832944128.0,-3.574,-4.043,0,0
