,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,64.782,64.767,64.982,63.757,21781548,2827422976.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071309,64.572,64.732,66.402,63.807,29862500,3929982976.0,-0.0,-0.002,,,,0,0,0,0,0,0,0,0,
2,2021071409,66.062,65.087,66.402,64.617,34010672,4503135232.0,0.004,0.015,,,,0,0,0,0,0,0,0,0,
3,2021071509,65.087,63.727,65.937,62.612,34298240,4415888384.0,-0.01,-0.042,,,,0,0,0,1,0,0,0,0,
4,2021071609,64.209,62.147,64.711,61.967,31850724,4059370496.0,-0.045,-0.169,,,,0,0,1,0,0,0,0,0,
5,2021071909,60.287,60.642,62.047,59.272,50571604,6130035712.0,-0.098,-0.343,,,,0,0,0,0,0,0,0,0,
6,2021072009,61.102,62.662,63.502,60.237,30386172,3809417472.0,-0.121,-0.37,,,,0,0,0,0,0,0,0,0,
7,2021072109,62.537,64.107,64.332,62.102,20440840,2608053760.0,-0.123,-0.311,,,,0,0,0,0,0,0,0,0,
8,2021072209,64.307,65.467,66.162,64.152,23739352,3110690816.0,-0.106,-0.19,,,,0,0,0,0,0,0,0,0,
9,2021072309,66.232,67.662,67.932,65.562,25974612,3513141760.0,-0.06,0.021,,,,0,0,0,1,0,0,0,0,
10,2021072609,67.392,67.947,68.159,66.907,21494408,2933227008.0,-0.014,0.199,,,,0,0,0,1,0,0,0,0,
11,2021072709,67.797,65.707,68.122,63.312,44695528,5754488832.0,0.0,0.22,,,,0,0,0,0,0,0,0,0,
12,2021072809,66.312,66.432,67.217,65.044,35985064,4818375680.0,0.023,0.27,,,,0,0,0,0,0,0,0,0,
13,2021072909,66.122,66.762,67.427,64.467,22159624,2994382848.0,0.049,0.323,,,,0,0,0,0,0,0,0,0,
14,2021073009,64.557,65.752,66.042,64.147,28279692,3738059008.0,0.06,0.308,,,,0,0,0,0,0,0,0,0,
15,2021080209,66.652,65.732,66.977,65.437,27279954,3641074176.0,0.07,0.291,,,,0,0,0,0,0,0,0,0,
16,2021080309,66.102,66.887,66.982,64.323,31708912,4204673536.0,0.095,0.334,,,,0,0,0,0,0,0,0,0,
17,2021080409,66.927,67.222,67.747,66.357,24214242,3277250048.0,0.123,0.381,,,,0,0,0,0,0,0,0,0,
18,2021080509,67.662,68.497,68.607,67.317,19335126,2659200000.0,0.166,0.478,,,,0,0,0,0,0,0,0,0,
19,2021080609,67.777,67.597,68.437,67.002,21576490,2945619968.0,0.195,0.501,,,,0,0,0,0,0,0,0,0,
20,2021080909,67.837,67.962,68.267,67.242,17105448,2341420032.0,0.227,0.532,,,,0,0,0,0,0,0,0,0,
