,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
0,2021071209,220.733,228.567,229.167,218.983,25927042,17616467968.0,0.0,0.0,,,,0,0,0,0,0,0,0,0,
1,2021071309,228.773,222.847,231.577,220.667,20966092,14161854464.0,-0.077,-0.297,,,,0,0,0,0,0,0,0,0,
2,2021071409,223.583,217.793,226.163,217.62,21641190,14410105856.0,-0.218,-0.787,,,,0,0,0,0,0,0,0,0,
3,2021071509,219.463,216.867,222.04,212.667,20209572,13183490048.0,-0.363,-1.207,,,,0,0,0,0,0,0,0,0,
4,2021071609,218.227,214.74,218.82,213.667,16370970,10588978176.0,-0.529,-1.629,,,,0,0,0,0,0,0,0,0,
5,2021071909,209.963,215.407,216.33,207.172,21297090,13524942848.0,-0.675,-1.902,,,,0,0,0,0,0,0,0,0,
6,2021072009,217.33,220.167,220.752,213.56,15487127,10078552064.0,-0.748,-1.843,,,,0,0,0,0,0,0,0,0,
7,2021072109,219.87,218.43,221.547,216.77,13953338,9152495616.0,-0.84,-1.863,,,,0,0,0,0,0,0,0,0,
8,2021072209,218.814,216.42,220.587,214.89,15105727,9854371840.0,-0.953,-1.959,,,,0,0,0,0,0,0,0,0,
9,2021072309,215.453,214.46,217.2,212.433,14604944,9378849792.0,-1.086,-2.11,,,,0,0,0,0,0,0,0,0,
10,2021072609,216.99,219.207,226.0,213.25,25336556,16620728320.0,-1.146,-1.954,,,,0,0,1,1,0,0,0,0,
11,2021072709,221.133,214.927,224.72,209.162,32813290,21081079808.0,-1.259,-2.029,,,,0,0,0,0,0,0,0,0,
12,2021072809,215.665,215.66,218.22,213.29,16006596,10359400448.0,-1.355,-2.023,,,,0,0,0,0,0,0,0,0,
13,2021072909,216.597,225.783,227.743,215.66,30394636,20412356608.0,-1.308,-1.467,,,,0,0,0,0,0,0,0,0,
14,2021073009,223.919,229.067,232.453,221.0,29656412,20371234816.0,-1.218,-0.843,,,,0,0,0,0,0,0,0,0,
15,2021080209,233.333,236.557,242.249,229.0,33615764,24057491456.0,-1.031,0.043,,,,0,0,0,0,0,0,0,0,
16,2021080309,239.667,236.58,240.723,233.737,21620252,15318292480.0,-0.854,0.734,,,,0,0,0,1,0,0,0,0,
17,2021080409,237.0,236.973,241.556,235.517,17002648,12145156096.0,-0.681,1.283,,,,0,0,0,0,0,0,0,0,
18,2021080509,238.667,238.21,240.3,236.94,12919637,9248830464.0,-0.5,1.758,,,,0,0,0,0,0,0,0,0,
19,2021080609,237.3,233.033,238.933,232.333,15623049,10992909312.0,-0.4,1.837,,,,0,0,0,0,0,0,0,0,
20,2021080909,236.723,237.92,239.633,234.977,14715349,10506619904.0,-0.239,2.129,,,,0,0,0,0,0,0,0,0,
21,2021081009,237.997,236.663,238.753,234.033,13432305,9524786176.0,-0.103,2.263,,,,0,0,0,0,0,0,0,0,
22,2021081109,237.57,235.94,238.293,234.852,9800558,6943796736.0,0.014,2.3,,,,0,0,0,0,0,0,0,0,
23,2021081209,235.447,240.75,242.0,233.273,17681686,12534400000.0,0.19,2.55,,,,0,0,0,0,0,0,0,0,
24,2021081309,241.237,239.057,243.167,238.19,16731467,12017999872.0,0.333,2.623,,,,0,0,0,0,0,0,0,0,
25,2021081609,235.023,228.723,238.5,226.123,23103304,15586199552.0,0.328,2.109,,,,0,0,0,0,0,0,0,0,
26,2021081709,224.22,221.903,228.723,216.352,23721280,15698494464.0,0.231,1.327,,,,0,0,0,0,0,0,0,0,
27,2021081809,223.249,229.663,231.883,222.15,20349376,13986239488.0,0.244,1.103,,,,0,0,1,0,0,0,0,0,
28,2021081909,226.07,224.49,228.827,222.577,14313486,9637499904.0,0.187,0.646,,,,0,0,0,0,0,0,0,0,
29,2021082009,227.617,226.753,230.512,223.667,14919716,10047899648.0,0.163,0.399,,,,0,0,0,0,0,0,0,0,
30,2021082309,228.481,235.433,237.3,227.063,20264860,14248889344.0,0.257,0.652,,,,0,0,1,1,0,0,0,0,
31,2021082409,236.893,236.163,238.383,234.283,13083071,9229679616.0,0.356,0.879,,,,0,0,0,0,0,0,0,0,
32,2021082509,235.677,237.067,238.94,234.783,12645562,8971570176.0,0.46,1.091,,,,0,0,0,1,0,0,0,0,
33,2021082609,236.103,233.72,238.387,232.596,13214292,9322415104.0,0.514,1.068,,,,0,0,0,0,0,0,0,0,
34,2021082709,235.0,237.307,238.328,234.073,13833763,9777920000.0,0.612,1.223,,102.43992221141819,,0,0,0,0,0,0,0,0,
35,2021083009,238.238,243.637,245.783,237.647,18604220,13402399744.0,0.79,1.657,,103.93760361045105,1.4976813990328566,0,0,0,0,0,0,0,0,
36,2021083109,244.333,245.24,246.683,242.247,20855436,15079900160.0,0.978,2.056,,106.08985935945714,2.1522557490060876,0,0,0,0,0,0,0,0,
37,2021090109,244.693,244.697,247.273,243.38,13204335,9366070272.0,1.148,2.313,,107.91549523133344,1.825635871876301,0,0,0,0,0,0,0,0,
38,2021090209,244.833,244.13,246.827,242.33,12796739,9381499904.0,1.299,2.453,,109.25697383329849,1.3414786019650506,0,0,0,0,0,0,0,0,
39,2021090309,244.083,244.523,245.8,241.407,15271045,11136033792.0,1.446,2.551,,110.41013939049968,1.1531655572011914,0,0,0,0,0,0,0,0,
40,2021090709,246.667,250.973,253.375,245.0,20039824,15080189952.0,1.671,2.929,,111.56033877360926,1.1501993831095803,0,0,0,0,0,0,0,0,
41,2021090809,253.86,251.29,254.733,247.0,18793036,14098199552.0,1.885,3.202,,112.29220620017442,0.7318674265651595,0,0,0,0,0,0,0,0,
42,2021090909,251.137,251.62,253.967,249.007,14077731,10523499520.0,2.09,3.391,,112.9050688920599,0.612862691885482,0,0,0,0,0,0,0,0,
43,2021091009,253.2,245.423,254.113,243.867,15184170,11257199616.0,2.199,3.172,,111.50876715321466,-1.3963017388452386,0,0,0,0,0,0,0,0,
44,2021091309,246.738,247.667,248.223,236.533,22952482,16684300288.0,2.329,3.076,85.14328967010786,110.22325801172596,-1.2855091414887028,0,0,0,0,0,0,0,0,
45,2021091409,247.523,248.163,251.313,245.407,18524880,13788699648.0,2.457,2.988,85.34259395536492,109.21445303020631,-1.0088049815196456,0,0,1,0,0,0,0,0,
46,2021091509,248.333,251.943,252.25,246.233,15357685,11445199872.0,2.627,3.076,87.03885084807271,109.49996439846606,0.28551136825974766,0,0,1,1,0,0,0,0,
47,2021091609,250.943,252.33,252.957,249.267,13923393,10254900224.0,2.79,3.126,88.70351796172866,110.33087587109046,0.8309114726243934,0,0,0,0,0,0,0,0,
48,2021091709,252.383,253.163,253.573,250.113,28204176,21360058368.0,2.953,3.167,90.51609788322088,111.61393269676881,1.2830568256783579,0,0,0,1,0,0,0,0,
49,2021092009,244.853,243.39,253.163,239.588,24835389,17831499776.0,2.972,2.65,88.19551814989217,109.39871134121395,-2.21522135555486,0,0,0,0,0,0,0,0,
50,2021092109,244.93,246.46,248.173,242.782,16330723,12073058304.0,3.03,2.372,87.20893440624084,107.28164608060317,-2.1170652606107865,0,0,0,0,0,0,0,0,
51,2021092209,247.842,250.647,251.533,245.844,15126272,10866299904.0,3.138,2.342,88.08157695180842,106.84244168994165,-0.43920439066151573,0,0,1,0,0,0,0,0,
52,2021092309,251.667,251.213,253.267,249.337,11947527,8975519744.0,3.245,2.318,89.09222986428583,107.27128149155239,0.4288398016107351,0,0,0,0,0,0,0,0,
53,2021092409,248.63,258.13,258.333,248.033,21407252,16250900480.0,3.437,2.629,91.38405320354906,109.24638644187999,1.975104950327605,0,0,0,0,0,0,0,0,
54,2021092709,257.707,263.787,266.3,256.17,28070656,22002900992.0,3.691,3.13,92.65531313631544,110.97768481866945,1.7312983767894536,0,0,0,0,0,0,0,0,
55,2021092809,262.4,259.187,265.16,255.393,25381422,19549399040.0,3.866,3.241,92.23724240117872,111.20501751555119,0.22733269688174573,0,0,0,1,0,0,0,0,
56,2021092909,259.933,260.437,264.45,256.9,20942876,16165499904.0,4.045,3.351,92.11761222687065,111.20651175178871,0.0014942362375194307,0,0,0,0,0,0,0,0,
57,2021093009,260.333,258.493,263.01,258.0,17955960,13983399936.0,4.184,3.292,91.16670402506381,110.53589251495917,-0.6706192368295376,0,0,0,0,0,0,0,0,
58,2021100109,259.467,258.407,260.497,254.623,17031414,13098500096.0,4.31,3.199,90.23537337416835,109.66191653672452,-0.8739759782346539,0,0,0,0,0,0,0,0,
59,2021100409,265.5,260.51,268.924,257.761,30483340,24098340864.0,4.454,3.194,89.35858770203257,108.76238510905284,-0.8995314276716755,0,0,1,0,0,0,0,0,
60,2021100509,261.599,260.197,265.69,258.297,18432624,14428900352.0,4.583,3.132,88.45719047001603,107.86427286110415,-0.8981122479486885,0,0,0,0,0,0,0,0,
61,2021100609,258.733,260.917,262.127,255.053,14632768,11230400512.0,4.71,3.081,87.91123280327508,106.99386575666057,-0.8704071044435864,0,0,0,0,0,0,0,0,
62,2021100709,261.82,264.537,268.07,260.265,19196184,15017499648.0,4.875,3.189,88.73763145432798,107.29896815118144,0.3051023945208726,0,0,0,0,0,0,0,0,
63,2021100809,265.403,261.83,266.08,260.662,16738604,13181897728.0,4.99,3.091,88.48642798279528,107.13713792121844,-0.16183022996300167,0,0,1,1,0,0,0,0,
64,2021101109,262.55,263.98,267.06,261.0,14200322,11250700288.0,5.123,3.086,89.04037413094571,107.40131710574539,0.2641791845269523,0,0,0,0,0,0,0,0,
65,2021101209,266.977,268.573,270.733,263.32,22020036,17708099584.0,5.307,3.281,90.56800275136848,108.63886200415588,1.2375448984104906,0,0,0,0,0,0,0,0,
