,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao
0,2023-08-07 21:31:00,116.36,117.03,117.23,115.88,1578190,1691415060,,,,,,,,,,,46.354136478165685,-18.768302831798252,56.04762558421669,76.34178972702401
1,2023-08-07 21:32:00,117.27,117.027,117.39,116.76,498881,1691415120,,,,,,,,,,,54.20269895257975,-18.768302831798252,56.04762558421669,80.99826175554128
2,2023-08-07 21:33:00,117.06,116.59,117.06,116.59,370897,1691415180,,,,,,,,,,,57.208667993398635,-18.768302831798252,56.04762558421669,81.6702142761623
3,2023-08-07 21:34:00,116.721,117.01,117.045,116.35,380206,1691415240,,,,,,,,,,,63.65298240531013,-18.768302831798252,56.04762558421669,80.00928029421888
4,2023-08-07 21:35:00,116.88,116.885,117.2,116.88,283305,1691415300,,,,,,,,,,,68.21602163714778,-12.115661222533745,56.04762558421669,80.34597832785047
5,2023-08-07 21:36:00,116.81,117.04,117.22,116.74,292844,1691415360,,,,,,,,,,,73.6297229516594,-12.115661222533745,56.04762558421669,79.6358838787206
6,2023-08-07 21:37:00,117.099,117.0,117.099,116.845,195764,1691415420,,,,,,,,,,,78.02684059294722,-12.115661222533745,56.04762558421669,79.47633117378761
7,2023-08-07 21:38:00,117.08,117.23,117.23,116.906,292221,1691415480,,,,,,,,,,,83.95593029927664,-12.115661222533745,56.04762558421669,78.80849541621068
8,2023-08-07 21:39:00,117.07,117.12,117.126,117.07,209163,1691415540,,,,,,,,,,,88.16211739989407,-12.115661222533745,56.04762558421669,79.01210482139184
9,2023-08-07 21:40:00,116.969,117.055,117.065,116.95,217793,1691415600,,,,,,,,,,,91.23318358128974,-5.148930663708427,56.04762558421669,78.2519766152541
10,2023-08-07 21:41:00,117.1,117.179,117.23,117.1,233717,1691415660,,,,,,,,,,,94.99994105916534,-5.148930663708427,56.04762558421669,77.01456870537716
11,2023-08-07 21:42:00,117.075,117.105,117.13,116.93,193836,1691415720,,,,,,,,,,,97.58873589205719,-5.148930663708427,56.04762558421669,76.43624375702004
12,2023-08-07 21:43:00,117.335,117.61,117.74,117.335,502799,1691415780,,,,,,,,,,,101.36597081292864,-5.148930663708427,56.04762558421669,75.18491905601891
13,2023-08-07 21:44:00,117.71,118.19,118.19,117.71,626310,1691415840,,,,,,,,,,,105.6367410048845,-5.148930663708427,56.04762558421669,75.01024622797594
