,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao
0,2023-09-25 21:31:00,243.38,242.81,246.8,240.04,4430531,1695648660,,,,,,,,,,,-0.20915502982707324,3.9453648790898654,0.6191838663093243,-46.489823092043395
1,2023-09-25 21:32:00,242.745,241.765,243.146,241.765,1087475,1695648720,,,,,,,,,,,0.6672814544846801,3.9453648790898654,0.6191838663093243,-10.964116199896297
2,2023-09-25 21:33:00,241.02,240.285,241.02,240.272,1028878,1695648780,,,,,,,,,,,-1.9820964033548023,3.9453648790898654,0.6191838663093243,-25.8112850388405
3,2023-09-25 21:34:00,239.805,239.445,240.0,239.31,1336071,1695648840,,,,,,,,,,,-4.55471572923291,3.9453648790898654,0.6191838663093243,-61.76779586065646
4,2023-09-25 21:35:00,240.1,238.91,240.1,238.91,1162859,1695648900,,,,,,,,,,,-7.061873464009331,2.2171399744666616,0.6191838663093243,-70.66897963262844
5,2023-09-25 21:36:00,238.77,239.335,239.335,238.77,1012952,1695648960,,,,,,,,,,,-8.058421328599977,2.2171399744666616,0.6191838663093243,-74.50689621510782
6,2023-09-25 21:37:00,239.1,238.373,239.11,238.373,804968,1695649020,1.0,,,,,,,,1.0,,-10.019903473556006,2.2171399744666616,0.6191838663093243,-74.82497885693445
7,2023-09-25 21:38:00,238.83,239.257,239.38,238.83,714099,1695649080,,,,,,,,,,,-9.94898531367722,2.2171399744666616,0.6191838663093243,-76.52122841538373
8,2023-09-25 21:39:00,239.77,239.451,239.98,239.03,943610,1695649140,,,,,,,,,,,-9.421870106366633,2.2171399744666616,0.6191838663093243,-75.26766553158392
9,2023-09-25 21:40:00,239.74,239.719,239.74,239.554,484998,1695649200,,,,,,,,,,,-8.27197763959905,2.2825607661258083,0.6191838663093243,-73.43765809433766
10,2023-09-25 21:41:00,240.065,241.17,241.17,240.065,1032939,1695649260,,,,,,,,,,,-4.170691421161003,2.2825607661258083,0.6191838663093243,-70.36985063193883
11,2023-09-25 21:42:00,240.874,241.7,241.7,240.874,755039,1695649320,,,,,,,,,,,0.7068874909686045,2.2825607661258083,0.6191838663093243,-48.26964718183538
12,2023-09-25 21:43:00,241.71,241.51,241.928,241.51,591021,1695649380,,,,,,,,,,,4.79802149317586,2.2825607661258083,0.6191838663093243,25.771596821725737
13,2023-09-25 21:44:00,241.59,241.093,241.87,241.093,586384,1695649440,,,,,,,,,,,7.6310369051016025,2.2825607661258083,0.6191838663093243,52.86112103518963
14,2023-09-25 21:45:00,241.1,241.35,241.403,241.1,432575,1695649500,,,,,,,,,,,10.735211885564425,4.281622887298852,0.6191838663093243,55.22703364445333
15,2023-09-25 21:46:00,241.55,241.355,241.875,241.155,835041,1695649560,,,,,,,,,,,13.546932295206702,4.281622887298852,0.6191838663093243,59.55148360673234
16,2023-09-25 21:47:00,241.615,242.23,242.23,241.4,462224,1695649620,,,,,,,,,,,18.048055988432743,4.281622887298852,0.6191838663093243,61.243918098656934
17,2023-09-25 21:48:00,242.17,242.28,242.419,242.17,560596,1695649680,,,,,,,,,,,22.502234153908212,4.281622887298852,0.6191838663093243,68.79394588514101
18,2023-09-25 21:49:00,242.154,241.917,242.26,241.917,422178,1695649740,,,,,,,,,,,25.777358276218855,4.281622887298852,0.6191838663093243,71.53022849546569
19,2023-09-25 21:50:00,241.69,242.002,242.103,241.69,364794,1695649800,,1.0,,,,,,,,,28.986200751354083,6.851018622219943,0.6191838663093243,70.7644932480198
20,2023-09-25 21:51:00,242.13,242.74,242.74,242.13,557920,1695649860,,,,,,,,,,,33.51327896199922,6.851018622219943,0.6191838663093243,70.1953755777166
21,2023-09-25 21:52:00,243.045,242.95,243.045,242.75,626754,1695649920,,,,,,,,,,,38.01281112626032,6.851018622219943,0.6191838663093243,72.63206613474537
22,2023-09-25 21:53:00,242.97,243.91,243.91,242.97,651334,1695649980,,,,,,,,,,,44.20598526282055,6.851018622219943,0.6191838663093243,74.04710973364723
23,2023-09-25 21:54:00,243.4,243.15,243.4,243.055,504678,1695650040,,,,,,,,,,,47.972920820830474,6.851018622219943,0.6191838663093243,76.70747918154859
24,2023-09-25 21:55:00,243.23,243.315,243.315,243.032,530054,1695650100,,,,,,,,,,1.0,51.66726282835835,10.69990850134003,0.6191838663093243,75.96053622854099
25,2023-09-25 21:56:00,243.47,243.925,244.05,243.46,612434,1695650160,,,,,,,,,,,56.29984071438247,10.69990850134003,0.6191838663093243,75.42580780039509
26,2023-09-25 21:57:00,244.16,244.57,244.57,244.076,671454,1695650220,,,,,,,,,,,61.840683284440495,10.69990850134003,0.6191838663093243,76.01843631065384
27,2023-09-25 21:58:00,244.26,243.67,244.26,243.67,735660,1695650280,,,,,,,,,,,64.67829989147673,10.69990850134003,0.6191838663093243,77.10080913576977
28,2023-09-25 21:59:00,243.73,243.83,243.995,243.73,467180,1695650340,,,,,,,,,,,67.50494156742496,10.69990850134003,0.6191838663093243,75.63209362958915
29,2023-09-25 22:00:00,244.018,243.725,244.018,243.69,362138,1695650400,,,,,,,,,,,69.71692015500274,14.670692455175505,2.112244601742521,74.51152198292658
30,2023-09-25 22:01:00,243.902,244.04,244.04,243.87,513670,1695650460,,,,,,,,,,,72.33058409294155,14.670692455175505,2.112244601742521,73.02461577413025
31,2023-09-25 22:02:00,243.847,243.37,243.847,243.12,528772,1695650520,,,,,,,,,,,73.06533244668854,14.670692455175505,2.112244601742521,72.3924879869753
32,2023-09-25 22:03:00,243.34,242.91,243.34,242.83,600356,1695650580,,,,,,,,,,,72.60098183891662,14.670692455175505,2.112244601742521,69.36581930515044
33,2023-09-25 22:04:00,243.175,242.868,243.175,242.868,344486,1695650640,,,,,,,,,,,72.0178442214655,14.670692455175505,2.112244601742521,64.25398398342227
34,2023-09-25 22:05:00,242.474,242.74,242.99,242.474,393606,1695650700,,,,,,,,,,,71.1365720613994,17.24200117117978,2.112244601742521,58.90854065875613
35,2023-09-25 22:06:00,242.97,243.21,243.23,242.88,373864,1695650760,,,,,,,,,,,71.34892754872705,17.24200117117978,2.112244601742521,52.66670272393588
36,2023-09-25 22:07:00,243.381,243.13,243.59,243.0,518414,1695650820,,,,,,,,,,,71.29048494868324,17.24200117117978,2.112244601742521,52.17597331848761
37,2023-09-25 22:08:00,243.246,242.67,243.306,242.67,380488,1695650880,,,,,,,,,,,70.13040737178667,17.24200117117978,2.112244601742521,50.41117197730505
38,2023-09-25 22:09:00,242.675,242.82,242.82,242.47,480458,1695650940,,,,,,,,,,,69.37496267890195,17.24200117117978,2.112244601742521,42.87630765517741
39,2023-09-25 22:10:00,242.78,242.765,242.886,242.76,287060,1695651000,,,,,,,,,,,68.5183590286374,19.63242704965582,2.112244601742521,38.79345604903779
40,2023-09-25 22:11:00,242.83,243.12,243.283,242.555,474632,1695651060,,,,,,,,,,,68.50435662480474,19.63242704965582,2.112244601742521,34.46665502461285
41,2023-09-25 22:12:00,243.108,243.648,243.648,243.108,481838,1695651120,,,,,,,,,,,69.63547545097542,19.63242704965582,2.112244601742521,37.07722798281032
42,2023-09-25 22:13:00,243.775,244.06,244.2,243.775,564274,1695651180,,,,,,,,,,,71.52387214657564,19.63242704965582,2.112244601742521,45.362770810817985
43,2023-09-25 22:14:00,243.99,243.68,243.99,243.48,409588,1695651240,,,,,,,,,,,72.28914675035982,19.63242704965582,2.112244601742521,52.99097788379597
44,2023-09-25 22:15:00,243.67,243.68,243.965,243.67,294040,1695651300,,,,,,,,,,,72.91439485563431,23.17909613352272,2.112244601742521,52.995358204065255
45,2023-09-25 22:16:00,243.34,243.95,244.011,243.34,347932,1695651360,,,,,,,,,,,78.57851862687782,23.17909613352272,2.112244601742521,53.66178460846332
46,2023-09-25 22:17:00,243.815,244.46,244.46,243.815,446504,1695651420,,,,,,,,,,,85.13614444733352,23.17909613352272,2.112244601742521,56.204207911049814
47,2023-09-25 22:18:00,244.46,244.52,244.718,244.46,601064,1695651480,,,,,,,,,,,90.64959476678949,23.17909613352272,2.112244601742521,60.73371425178426
48,2023-09-25 22:19:00,244.58,244.43,244.61,244.27,347832,1695651540,,,,,,,,,,,95.20903117865288,23.17909613352272,2.112244601742521,63.11805515498981
49,2023-09-25 22:20:00,244.33,243.61,244.39,243.59,499256,1695651600,,,,,,,,,,,96.71209046081248,26.381320120336344,2.112244601742521,63.46972505932801
50,2023-09-25 22:21:00,243.321,243.35,243.66,243.321,369964,1695651660,,,,,,,,,,,97.17530479966571,26.381320120336344,2.112244601742521,58.551774106223164
51,2023-09-25 22:22:00,243.279,242.759,243.465,242.759,402000,1695651720,,,,,,,,,,,95.2574872434746,26.381320120336344,2.112244601742521,51.81557853553404
52,2023-09-25 22:23:00,243.02,242.95,243.07,242.9,347544,1695651780,,,,,,,,,,,93.87822754938233,26.381320120336344,2.112244601742521,39.24338698780698
53,2023-09-25 22:24:00,242.935,243.06,243.06,242.775,323768,1695651840,,,,,,,,,,,92.37011940540636,26.381320120336344,2.112244601742521,33.74282258390761
54,2023-09-25 22:25:00,243.07,242.95,243.1,242.95,252904,1695651900,,,,,,,,,,,89.8219398776755,28.856359280401904,2.112244601742521,32.30041579276623
55,2023-09-25 22:26:00,242.93,241.986,242.93,241.93,647132,1695651960,,,,,,,,,,,81.15758918280548,28.856359280401904,2.112244601742521,29.86503535765783
56,2023-09-25 22:27:00,241.875,241.53,241.875,241.53,373796,1695652020,,,,,,,,,,,70.15322339239077,28.856359280401904,2.112244601742521,6.98132489017268
57,2023-09-25 22:28:00,241.54,241.946,241.946,241.54,342060,1695652080,,,,,,,,,,,62.50214927268249,28.856359280401904,2.112244601742521,-19.487829045644826
58,2023-09-25 22:29:00,242.055,241.841,242.184,241.841,332796,1695652140,,,,,,,,,,,55.08109953336535,28.856359280401904,2.112244601742521,-25.275207732318798
59,2023-09-25 22:30:00,242.17,241.991,242.17,241.937,209636,1695652200,,,,,,,,,,,49.032740465518174,29.79382540934817,2.5365602066389847,-30.320515070914293
60,2023-09-25 22:31:00,241.85,242.34,242.34,241.85,324040,1695652260,,,,,,,,,,,44.58043348702961,29.79382540934817,2.5365602066389847,-30.292869575761497
61,2023-09-25 22:32:00,242.26,242.42,242.42,242.14,283628,1695652320,,,,,,,,,,,40.55080294395485,29.79382540934817,2.5365602066389847,-23.0312991479049
62,2023-09-25 22:33:00,242.268,242.83,242.86,242.268,320140,1695652380,,,,,,,,,,,39.44222557693351,29.79382540934817,2.5365602066389847,-15.745178128024692
63,2023-09-25 22:34:00,242.87,242.84,242.87,242.655,229764,1695652440,,,,,,,,,,,38.54241494572224,29.79382540934817,2.5365602066389847,-0.5128126151972878
64,2023-09-25 22:35:00,243.345,243.49,243.65,243.333,545436,1695652500,,,,,,,,,,,41.66646612077032,32.977852704258794,2.5365602066389847,9.562000723368804
65,2023-09-25 22:36:00,243.47,243.45,243.74,243.45,305836,1695652560,,,,,,,,,,,44.23613632101197,32.977852704258794,2.5365602066389847,29.127636270899163
66,2023-09-25 22:37:00,243.345,243.484,243.56,243.345,215688,1695652620,,,,,,,,,,,46.74948984490614,32.977852704258794,2.5365602066389847,37.65474172646869
67,2023-09-25 22:38:00,243.67,243.78,243.905,243.58,253200,1695652680,,,,,,,,,,,50.777966840685636,32.977852704258794,2.5365602066389847,42.083795141711
68,2023-09-25 22:39:00,243.715,243.315,243.73,243.315,216620,1695652740,,,,,,,,,,,51.58767775044542,32.977852704258794,2.5365602066389847,47.46585963555121
69,2023-09-25 22:40:00,243.235,243.78,243.78,243.235,260320,1695652800,,,,,,,,,,,55.10013380212979,36.26082219860512,2.5365602066389847,44.63361906548559
70,2023-09-25 22:41:00,243.805,243.705,243.805,243.642,231548,1695652860,,,,,,,,,,,57.77905742184501,36.26082219860512,2.5365602066389847,47.61192711541982
71,2023-09-25 22:42:00,243.74,244.12,244.12,243.55,283396,1695652920,,,,,,,,,,,62.64692362966733,36.26082219860512,2.5365602066389847,47.927044707235574
72,2023-09-25 22:43:00,244.127,243.88,244.127,243.88,253584,1695652980,,,,,,,,,,,65.53129289175284,36.26082219860512,2.5365602066389847,51.54215074023795
73,2023-09-25 22:44:00,243.89,243.705,243.89,243.665,154440,1695653040,,,,,,,,,,,67.03119335590561,36.26082219860512,2.5365602066389847,50.83842638700773
74,2023-09-25 22:45:00,243.67,243.18,243.67,243.1,416200,1695653100,,,,,,,,,,,65.1958585738148,38.58690027439215,2.5365602066389847,48.05920548271852
75,2023-09-25 22:46:00,243.46,243.75,243.85,243.46,284544,1695653160,,,,,,,,,,,66.95432830049367,38.58690027439215,2.5365602066389847,39.15568051882237
76,2023-09-25 22:47:00,243.685,243.91,243.91,243.63,163132,1695653220,,,,,,,,,,,69.45722233807052,38.58690027439215,2.5365602066389847,39.84482102180406
77,2023-09-25 22:48:00,243.76,244.282,244.382,243.76,388640,1695653280,,,,,,,,,,,73.89065145946758,38.58690027439215,2.5365602066389847,41.70698818473626
78,2023-09-25 22:49:00,244.283,244.32,244.424,244.24,214096,1695653340,,,,,,,,,,,78.03571757238251,38.58690027439215,2.5365602066389847,46.3697512752015
79,2023-09-25 22:50:00,244.56,244.485,244.56,244.37,283188,1695653400,,,,,,,,,,,82.67778979167983,42.69148382608814,2.5365602066389847,48.68651393591462
80,2023-09-25 22:51:00,244.35,243.9,244.35,243.725,316900,1695653460,,,,,,,,,,,83.25915428105333,42.69148382608814,2.5365602066389847,50.8605825126163
81,2023-09-25 22:52:00,243.83,243.67,243.876,243.58,305316,1695653520,,,,,,,,,,,82.3471708077618,42.69148382608814,2.5365602066389847,59.66108831087971
82,2023-09-25 22:53:00,243.918,243.91,243.918,243.783,161076,1695653580,,,,,,,,,,,82.92381401164526,42.69148382608814,2.5365602066389847,61.572897246215526
83,2023-09-25 22:54:00,243.885,243.683,243.963,243.66,219488,1695653640,,,,,,,,,,,82.02858639919721,42.69148382608814,2.5365602066389847,63.42241927925404
84,2023-09-25 22:55:00,243.655,243.475,243.655,243.475,214928,1695653700,,,,,,,,,,,79.93742744670374,44.75884023460421,2.5365602066389847,62.67172443876631
85,2023-09-25 22:56:00,243.53,242.905,243.53,242.78,424548,1695653760,,,,,,,,,,,74.6146935726654,44.75884023460421,2.5365602066389847,60.334111193725235
86,2023-09-25 22:57:00,242.974,242.875,243.0,242.875,223348,1695653820,,,,,,,,,,,69.65823008620956,44.75884023460421,2.5365602066389847,53.526044478238646
87,2023-09-25 22:58:00,242.905,242.96,243.09,242.905,179192,1695653880,,,,,,,,,,,65.72806595111999,44.75884023460421,2.5365602066389847,45.08696991026024
88,2023-09-25 22:59:00,242.805,242.93,243.0,242.791,231752,1695653940,,,,,,,,,,,62.031849202570356,44.75884023460421,2.5365602066389847,37.924335150880296
89,2023-09-25 23:00:00,243.031,242.287,243.031,242.287,350000,1695654000,,,,,,,,,,,54.876919357100476,44.650217041492176,3.099661217375381,27.64307155034389
