,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao
0,2024-07-12 21:31:00,128.26,128.76,128.87,126.51,14334577,1832551936.0,1720791060,,,,,,,,,,,5.109734076589362,51.975292464548744,0.9211428571428572,-4.493888392623774,-69.83190393519745
1,2024-07-12 21:32:00,128.905,128.839,128.95,128.47,1897497,244349440.0,1720791120,,,,,,,,,,,10.119235353953968,51.975292464548744,0.9211428571428572,-4.493888392623774,-54.041570004080135
2,2024-07-12 21:33:00,128.98,128.38,128.98,128.38,1670418,215385344.0,1720791180,,,,,,,,,,,13.244057057036095,51.975292464548744,0.9211428571428572,-4.493888392623774,-21.756553658271265
3,2024-07-12 21:34:00,128.145,128.83,128.83,127.9,1654932,212550400.0,1720791240,,,,,,,,,,,17.42667563801617,51.975292464548744,0.9211428571428572,-4.493888392623774,-7.798667782729935
4,2024-07-12 21:35:00,128.58,127.97,128.58,127.95,1426084,182968320.0,1720791300,,,,,,,,,,,18.586834579106707,49.5406142058362,1.0627857142857116,-4.493888392623774,21.88715818558836
5,2024-07-12 21:36:00,127.822,127.884,127.975,127.755,1288804,164623360.0,1720791360,,,,,,,,,,,19.386444658795405,49.5406142058362,1.0627857142857116,-4.493888392623774,1.627870449854338
6,2024-07-12 21:37:00,127.98,127.81,127.98,127.781,1305952,166776576.0,1720791420,,,,,,,,,,,19.898628440882867,49.5406142058362,1.0627857142857116,-4.493888392623774,-15.489785263896396
7,2024-07-12 21:38:00,127.775,128.176,128.23,127.75,1201668,153768192.0,1720791480,,,,,,,,,,,21.48200577509487,49.5406142058362,1.0627857142857116,-4.493888392623774,-27.799917599308305
8,2024-07-12 21:39:00,128.441,127.915,128.441,127.915,1093496,140324096.0,1720791540,1.0,,,,,,,,,,22.123290508669626,49.5406142058362,1.0627857142857116,-4.493888392623774,-20.668192566344946
9,2024-07-12 21:40:00,127.996,128.24,128.41,127.935,899532,115345920.0,1720791600,,,,,,,,,,,23.69277438467185,48.14647023921442,1.0996428571428558,-4.493888392623774,-26.15978695053173
10,2024-07-12 21:41:00,128.31,128.42,128.42,128.028,806152,103591168.0,1720791660,,,,,,,,,,,25.648695368973648,48.14647023921442,1.0996428571428558,-4.493888392623774,-15.962197121870542
11,2024-07-12 21:42:00,128.576,128.12,128.576,128.12,1363412,175256064.0,1720791720,,,,,,,,,,,26.495326329523913,48.14647023921442,1.0996428571428558,-4.493888392623774,-0.010338272062733073
12,2024-07-12 21:43:00,128.032,128.111,128.111,127.985,1043214,133779200.0,1720791780,,,,,,,,,,,27.22979016279138,48.14647023921442,1.0996428571428558,-4.493888392623774,-3.96911611486818
13,2024-07-12 21:44:00,127.884,127.705,127.884,127.61,1077270,137458432.0,1720791840,,,,,,,,,,,26.663483393962487,48.14647023921442,1.0996428571428558,-4.493888392623774,-6.812663549666572
14,2024-07-12 21:45:00,127.58,127.465,127.58,127.426,1300564,165508096.0,1720791900,,,,,,,,,,,25.43947176619144,44.52741996293147,1.153499999999997,-4.493888392623774,-26.034599414169385
15,2024-07-12 21:46:00,127.44,127.88,127.88,127.32,1415084,180240896.0,1720791960,,,,,,,,,,,25.609576913183666,44.52741996293147,1.153499999999997,-4.493888392623774,-42.550514921986505
16,2024-07-12 21:47:00,127.914,128.36,128.36,127.914,1310912,167931392.0,1720792020,,,,,,,,,,,27.218845296524357,44.52741996293147,1.153499999999997,-4.493888392623774,-39.714795437427725
17,2024-07-12 21:48:00,128.52,128.21,128.52,128.21,927320,119126528.0,1720792080,,,,,,,,,,,28.20539480311347,44.52741996293147,1.153499999999997,-4.493888392623774,-19.37204312126865
18,2024-07-12 21:49:00,128.146,128.65,128.65,128.146,1358288,174661632.0,1720792140,,,,,,,,,,,30.41669847015301,44.52741996293147,1.153499999999997,-4.493888392623774,-9.497273192753832
19,2024-07-12 21:50:00,128.79,129.2,129.2,128.79,1774864,228995584.0,1720792200,,,,,,,,,,,34.048241266174045,46.51349004612217,1.268499999999998,-4.493888392623774,18.304988109704716
20,2024-07-12 21:51:00,128.98,129.14,129.159,128.954,1251516,161476096.0,1720792260,,,,,,,,,,,37.096920785350925,46.51349004612217,1.268499999999998,-4.493888392623774,47.95062236353168
21,2024-07-12 21:52:00,129.096,129.43,129.45,129.096,1427836,184626688.0,1720792320,,1.0,,,,,,,,,40.67729474842719,46.51349004612217,1.268499999999998,-4.493888392623774,56.53873706005529
22,2024-07-12 21:53:00,129.48,129.79,129.79,129.48,1264272,163809792.0,1720792380,,,,,,,,,,,44.93673163425741,46.51349004612217,1.268499999999998,-4.493888392623774,63.0337291435094
23,2024-07-12 21:54:00,129.711,129.548,129.78,129.54,1138936,147659264.0,1720792440,,,,,,,,,,,47.975685609687645,46.51349004612217,1.268499999999998,-4.493888392623774,68.05981135877404
24,2024-07-12 21:55:00,129.59,129.251,129.59,129.204,1170824,151415808.0,1720792500,,,,,,,,,,,49.75482639991416,48.40866154750592,1.2917857142857119,-4.493888392623774,68.42311741304698
25,2024-07-12 21:56:00,129.14,129.226,129.226,129.07,701372,90567168.0,1720792560,,,,,,,,,,,51.22935318930099,48.40866154750592,1.2917857142857119,-4.493888392623774,66.10569718394231
26,2024-07-12 21:57:00,129.42,129.755,129.755,129.4,1000216,129573888.0,1720792620,,,,,,,,,,,54.10361043438857,48.40866154750592,1.2917857142857119,-4.493888392623774,63.66793590142093
27,2024-07-12 21:58:00,129.515,129.86,129.86,129.515,1170244,151732736.0,1720792680,,,,,,,,,,,56.940854606530436,48.40866154750592,1.2917857142857119,-4.493888392623774,65.79831420253888
28,2024-07-12 21:59:00,129.92,129.98,129.99,129.915,1788152,232322048.0,1720792740,,,,,,,,,,,59.78593056868493,48.40866154750592,1.2917857142857119,-4.493888392623774,67.08859080795746
29,2024-07-12 22:00:00,129.81,129.91,130.0,129.81,1213916,157623808.0,1720792800,,,,,,,,,,,62.059706349625216,52.05631299957754,1.3311428571428559,-4.336765818751559,67.98573601513584
30,2024-07-12 22:01:00,130.03,130.062,130.13,130.005,1195228,155331584.0,1720792860,,,,,,,,,,,64.49135862903715,52.05631299957754,1.3311428571428559,-4.336765818751559,67.56831703609659
31,2024-07-12 22:02:00,129.96,129.831,129.96,129.66,961484,124795392.0,1720792920,,,,,,,,,,,65.90353270657748,52.05631299957754,1.3311428571428559,-4.336765818751559,67.65088051150374
32,2024-07-12 22:03:00,129.91,129.82,129.91,129.71,821528,106634752.0,1720792980,,,,,,,,,,1.0,67.06964908592569,52.05631299957754,1.3311428571428559,-4.336765818751559,65.76107427380465
