,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao
0,2024-07-17 21:31:00,252.73,254.8,254.8,250.31,4060922,1024799680.0,1721223060,,,,,,,,,,,77.1752990190711,102.55124907533943,0.8102857142857138,61.89794351261094,-7.11429669469841
1,2024-07-17 21:32:00,255.245,253.8,255.245,253.58,691556,175955136.0,1721223120,,,,,,,,,,,73.62245766345157,102.55124907533943,0.8102857142857138,61.89794351261094,-6.270967223583736
2,2024-07-17 21:33:00,253.259,253.9,253.9,253.06,630062,159582464.0,1721223180,,,,,,,,,,,70.69212008890052,102.55124907533943,0.8102857142857138,61.89794351261094,-25.771387575099475
3,2024-07-17 21:34:00,254.56,254.35,254.56,253.606,544339,138369152.0,1721223240,,,,,,,,,,,69.27351559123994,102.55124907533943,0.8102857142857138,61.89794351261094,-34.004100962491165
4,2024-07-17 21:35:00,253.458,253.475,254.43,253.458,450650,114524672.0,1721223300,,,,,,,,,,,65.6096060080238,94.08163405167645,1.2110000000000005,61.89794351261094,-31.50083050896751
5,2024-07-17 21:36:00,253.43,254.49,254.49,253.3,594292,150759424.0,1721223360,,,,,,,,,,,65.08151217873005,94.08163405167645,1.2110000000000005,61.89794351261094,-42.17187994481276
6,2024-07-17 21:37:00,254.87,255.078,255.235,254.78,713811,182069888.0,1721223420,,,,,,,,,,,66.19233362118521,94.08163405167645,1.2110000000000005,61.89794351261094,-34.28666089096442
7,2024-07-17 21:38:00,255.572,255.23,255.572,254.6,600229,153207936.0,1721223480,,,,,,,,,,,67.57943073637719,94.08163405167645,1.2110000000000005,61.89794351261094,-16.332060241313
8,2024-07-17 21:39:00,255.11,254.92,255.11,254.67,389480,99325696.0,1721223540,,,,,,,,,,,67.95645907668178,94.08163405167645,1.2110000000000005,61.89794351261094,1.2080801518963475
9,2024-07-17 21:40:00,254.594,254.78,254.78,254.09,426578,108517888.0,1721223600,,,,,,,,,,,67.89384879460225,89.87056246234502,1.3400714285714304,61.89794351261094,5.48737436375549
10,2024-07-17 21:41:00,254.76,255.565,255.67,254.76,595581,152090880.0,1721223660,,,,,,,,,,,69.95075228757028,89.87056246234502,1.3400714285714304,61.89794351261094,4.907665947977027
11,2024-07-17 21:42:00,255.21,255.36,255.39,254.99,367174,93808128.0,1721223720,,,,,,,,,,,71.2069040676414,89.87056246234502,1.3400714285714304,61.89794351261094,21.314185877294083
12,2024-07-17 21:43:00,255.615,256.04,256.04,255.615,690219,176635136.0,1721223780,,,,,,,,,,,74.14944943858656,89.87056246234502,1.3400714285714304,61.89794351261094,26.201621085416857
13,2024-07-17 21:44:00,256.35,257.11,257.11,256.229,679008,174127616.0,1721223840,,,,,,,,,,,79.64959443896362,89.87056246234502,1.3400714285714304,61.89794351261094,39.15357375669007
14,2024-07-17 21:45:00,256.59,256.373,256.63,256.269,549081,140805632.0,1721223900,,,,,,,,,,,82.51543214885619,90.211703341618,1.4237857142857158,61.89794351261094,54.75630506238597
15,2024-07-17 21:46:00,256.75,257.768,257.768,256.75,704343,181041152.0,1721223960,,1.0,,,,,,,,,87.6801347140648,90.211703341618,1.4237857142857158,61.89794351261094,55.68740834673231
16,2024-07-17 21:47:00,257.66,257.75,257.95,257.53,684846,176448512.0,1721224020,,,,,,,,,,,91.73362859424546,90.211703341618,1.4237857142857158,61.89794351261094,61.66382769575789
17,2024-07-17 21:48:00,257.39,257.2,257.725,257.2,525826,135287808.0,1721224080,,,,,,,,,,1.0,93.91397702558788,90.211703341618,1.4237857142857158,61.89794351261094,63.131592704361175
18,2024-07-17 21:49:00,257.12,256.94,257.48,256.94,471395,121173760.0,1721224140,,,,,,,,,,,95.14634361695141,90.211703341618,1.4237857142857158,61.89794351261094,61.07456886102878
19,2024-07-17 21:50:00,257.28,256.86,257.28,256.86,383684,98555392.0,1721224200,,,,,,,,,,,95.98257221691532,90.43432407443066,1.4605000000000021,61.89794351261094,57.691073885277326
20,2024-07-17 21:51:00,256.906,257.41,257.41,256.906,396893,101988352.0,1721224260,,,,,,,,,,,98.04126640132066,90.43432407443066,1.4605000000000021,61.89794351261094,54.0939197079635
21,2024-07-17 21:52:00,257.001,255.496,257.001,255.496,809298,207335680.0,1721224320,,,,,,,,,,,95.02412605471784,90.43432407443066,1.4605000000000021,61.89794351261094,54.6037113194732
22,2024-07-17 21:53:00,255.55,255.72,256.047,255.55,454335,116238592.0,1721224380,,,,,,,,,,,92.83554492401692,90.43432407443066,1.4605000000000021,61.89794351261094,37.94414864461624
23,2024-07-17 21:54:00,255.66,255.624,255.695,255.256,580822,148345600.0,1721224440,,,,,,,,,,,90.59102340477523,90.43432407443066,1.4605000000000021,61.89794351261094,24.231197571009325
24,2024-07-17 21:55:00,255.99,255.81,256.17,255.71,391268,99942912.0,1721224500,,,,,,,,,,,89.0075727226428,87.98082957426442,1.5836428571428607,61.89794351261094,11.662841198588168
25,2024-07-17 21:56:00,256.125,256.235,256.28,255.876,366942,94095872.0,1721224560,,,,,,,,,,,88.61569358066879,87.98082957426442,1.5836428571428607,61.89794351261094,6.202484411905864
26,2024-07-17 21:57:00,256.75,255.98,256.75,255.98,569762,146321920.0,1721224620,,,,,,,,,,,87.58728206157983,87.98082957426442,1.5836428571428607,61.89794351261094,10.150089212653539
27,2024-07-17 21:58:00,256.205,256.837,256.837,256.205,467248,120048128.0,1721224680,,,,,,,,,,,88.77573384744656,87.98082957426442,1.5836428571428607,61.89794351261094,7.963158827110273
28,2024-07-17 21:59:00,256.877,258.29,258.321,256.877,995856,256962560.0,1721224740,,,,,,,,,,,92.5063108892426,87.98082957426442,1.5836428571428607,61.89794351261094,20.888281336821493
29,2024-07-17 22:00:00,257.915,257.946,258.06,257.72,480930,124192768.0,1721224800,,,,,,,,,,,94.96699404385197,90.23099982693432,1.703000000000005,64.4415258613077,40.83866434652079
30,2024-07-17 22:01:00,257.91,256.831,257.91,256.831,568120,146484224.0,1721224860,,,,,,,,,,,94.4521329944746,90.23099982693432,1.703000000000005,64.4415258613077,46.217577996040895
31,2024-07-17 22:02:00,256.905,256.79,256.905,255.97,588032,151062528.0,1721224920,,,,,,,,,,,93.84781492999943,90.23099982693432,1.703000000000005,64.4415258613077,38.834119681621516
32,2024-07-17 22:03:00,256.56,256.37,257.16,256.27,450872,115950080.0,1721224980,,,,,,,,,,,92.26183538506908,90.23099982693432,1.703000000000005,64.4415258613077,32.212321765743425
33,2024-07-17 22:04:00,256.636,256.475,256.667,256.252,357378,91915776.0,1721225040,,,,,,,,,,,91.05691167649093,90.23099982693432,1.703000000000005,64.4415258613077,21.217892062317492
34,2024-07-17 22:05:00,256.65,256.626,257.148,256.335,447426,115181568.0,1721225100,,,,,,,,,,,90.30484848004892,89.06475773405504,1.7714285714285782,64.4415258613077,14.598889165462689
35,2024-07-17 22:06:00,256.967,256.54,256.967,256.27,376910,96949248.0,1721225160,,,,,,,,,,,89.39360772417373,89.06475773405504,1.7714285714285782,64.4415258613077,12.349269235272228
36,2024-07-17 22:07:00,256.184,254.67,256.184,254.67,638576,163092480.0,1721225220,,,,,,,,,,,84.08705848950456,89.06475773405504,1.7714285714285782,64.4415258613077,9.33047025732479
37,2024-07-17 22:08:00,254.04,253.738,254.375,253.738,712356,180772864.0,1721225280,,,,,,,,,,,77.10924656663701,89.06475773405504,1.7714285714285782,64.4415258613077,-22.127371680487713
38,2024-07-17 22:09:00,253.67,253.11,253.67,252.989,745888,188459520.0,1721225340,,,,,,,,,,,69.3801100006335,89.06475773405504,1.7714285714285782,64.4415258613077,-45.847559641599254
39,2024-07-17 22:10:00,252.95,252.67,252.95,252.28,586580,147856384.0,1721225400,,,,,,,,,,,61.44449135674384,78.56592707410442,2.068642857142862,64.4415258613077,-58.01193618086484
40,2024-07-17 22:11:00,252.93,253.04,253.28,252.806,656518,165801984.0,1721225460,,,,,,,,,,,55.27220544560828,78.56592707410442,2.068642857142862,64.4415258613077,-64.40558175586061
41,2024-07-17 22:12:00,252.996,251.67,253.255,251.67,720428,181566464.0,1721225520,1.0,,,,,,,,1.0,,46.53297888495706,78.56592707410442,2.068642857142862,64.4415258613077,-66.32426617572337
42,2024-07-17 22:13:00,251.41,252.8,253.08,251.41,840814,211710976.0,1721225580,,,,,,,,,,,41.48451790024819,78.56592707410442,2.068642857142862,64.4415258613077,-70.41218979906456
43,2024-07-17 22:14:00,252.7,253.11,253.246,252.7,448296,113213440.0,1721225640,,,,,,,,,,,37.78005388337948,78.56592707410442,2.068642857142862,64.4415258613077,-70.29905266249044
44,2024-07-17 22:15:00,252.87,252.898,253.06,252.853,389812,98357248.0,1721225700,,,,,,,,,,,34.03473568782596,69.7459469936617,2.1525000000000056,64.4415258613077,-69.3792431669894
45,2024-07-17 22:16:00,252.784,253.023,253.04,252.623,360976,91051008.0,1721225760,,,,,,,,,,,29.050964563535643,69.7459469936617,2.1525000000000056,64.4415258613077,-69.06016982094302
46,2024-07-17 22:17:00,252.84,252.74,252.93,252.74,266980,67309568.0,1721225820,,,,,,,,,,,23.90157740610053,69.7459469936617,2.1525000000000056,64.4415258613077,-68.33741190374747
47,2024-07-17 22:18:00,252.25,252.7,252.7,252.03,518920,130698240.0,1721225880,,,,,,,,,,,19.28457901584966,69.7459469936617,2.1525000000000056,64.4415258613077,-68.43076446633397
48,2024-07-17 22:19:00,253.1,252.77,253.201,252.73,514826,130020864.0,1721225940,,,,,,,,,,,15.453482955087821,69.7459469936617,2.1525000000000056,64.4415258613077,-68.43248231316785
49,2024-07-17 22:20:00,253.145,252.64,253.145,252.64,256726,64736768.0,1721226000,,,,,,,,,,,11.775460365410169,61.28087567530562,2.1918571428571476,64.4415258613077,-68.05290340380155
50,2024-07-17 22:21:00,252.11,251.705,252.29,251.61,556220,139960832.0,1721226060,,,,,,,,,,,6.012687476091287,61.28087567530562,2.1918571428571476,64.4415258613077,-68.00616545355103
51,2024-07-17 22:22:00,251.84,251.35,251.84,251.048,610580,153235456.0,1721226120,,,,,,,,,,,0.9627106802042675,61.28087567530562,2.1918571428571476,64.4415258613077,-70.43632731781324
52,2024-07-17 22:23:00,251.151,250.698,251.151,250.59,597224,149556224.0,1721226180,,,,,,,,,,,-3.948786093442692,61.28087567530562,2.1918571428571476,64.4415258613077,-72.47057194879751
53,2024-07-17 22:24:00,250.54,251.07,251.074,250.504,615216,153977856.0,1721226240,,,,,,,,,,,-7.086698950717519,61.28087567530562,2.1918571428571476,64.4415258613077,-74.71262230261667
54,2024-07-17 22:25:00,251.22,251.544,251.8,251.22,463072,116285440.0,1721226300,,,,,,,,,,,-8.597650851073936,51.149138138874065,2.259928571428572,64.4415258613077,-75.3523654944607
55,2024-07-17 22:26:00,251.64,251.29,251.64,250.94,379216,95068672.0,1721226360,,,,,,,,,,,-10.437498431301705,51.149138138874065,2.259928571428572,64.4415258613077,-74.93532252943054
56,2024-07-17 22:27:00,251.17,251.315,251.75,251.17,290384,72866816.0,1721226420,,,,,,,,,,,-11.888011943192879,51.149138138874065,2.259928571428572,64.4415258613077,-75.01659881224859
57,2024-07-17 22:28:00,251.75,252.121,252.369,251.75,438080,110203904.0,1721226480,,,,,,,,,,,-11.0821043507041,51.149138138874065,2.259928571428572,64.4415258613077,-74.95764670993853
58,2024-07-17 22:29:00,252.31,251.778,252.31,251.778,333792,83973120.0,1721226540,,,,,,,,,,,-11.077450322472501,51.149138138874065,2.259928571428572,64.4415258613077,-73.08402460991472
59,2024-07-17 22:30:00,252.047,251.08,252.047,251.08,360720,90599424.0,1721226600,,,,,,,,,,,-12.658208490707864,41.05747848818058,2.309500000000004,62.830546721518886,-72.34138567329072
60,2024-07-17 22:31:00,251.87,252.034,252.253,251.574,529256,132993024.0,1721226660,,,,,,,,,,,-11.613864089214289,41.05747848818058,2.309500000000004,62.830546721518886,-73.56866181680606
61,2024-07-17 22:32:00,251.88,252.182,252.223,251.82,216048,54281216.0,1721226720,,,,,,,,,,,-10.203684536311357,41.05747848818058,2.309500000000004,62.830546721518886,-71.66075199896063
62,2024-07-17 22:33:00,252.534,252.148,252.534,252.05,338332,85213184.0,1721226780,,,,,,,,,,,-8.917630823879094,41.05747848818058,2.309500000000004,62.830546721518886,-69.32892043600098
63,2024-07-17 22:34:00,252.09,252.35,252.47,252.09,268496,67534848.0,1721226840,,,,,,,,,,,-7.170377307078667,41.05747848818058,2.309500000000004,62.830546721518886,-67.3483956927927
